ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
have a bone to pick,Ter um osso que roer.,Have something to chew on.,1,40,31,348,174,380,396,380,1749
barking up the wrong tree,Estar no lugar errado.,Being in the wrong shoes.,1,40,31,395,338,496,390,545,2235
He enjoyed a cup of coffee in the morning.,Ele saboreou o despertar em xícaras de café.,He sipped the dawn in coffee cups.,0,60,31,224,310,310,267,423,1625
ball is in your court,"A bola está com você.
",The ball is in your court.,1,3,6,78,24,14,86,24,235
"blood, sweat, and tears","Lágrimas, suor e sangue.
","Tears, toil, and tears.",1,32,31,217,413,312,434,466,1905
going down in flames,Réu de fulgor.,Defendant of brilliance.,1,77,31,581,667,607,451,556,2970
break a leg,"Arrase!
",Slay!,1,77,31,676,616,550,442,530,2922
The kids played in the playground.,"As crianças se esbaldaçavam no reino da diversão.
",The children were reveling in the kingdom of glee.,0,41,31,419,487,309,324,467,2078
change of tune,Mudar de tom.,Shift gears.,1,77,31,557,249,429,344,53,1740
paint the town red,Botar a casa pra queimar.,Go all out.,1,77,31,625,401,511,690,611,2946
burnt out,"Esgotado da alma.
",Worn to the bone.,1,77,31,563,240,528,560,260,2259
burning the midnight oil,Queimar a olheira.,To throw caution to the wind.,1,66,31,582,617,670,617,588,3171
come out of the woodwork,"Sair das sombras.
",Step into the light.,1,62,31,454,332,316,372,422,1989
blessing in disguise,"Uma bênção disfarçada.
",A blessing in disguise.,1,5,31,131,83,46,49,1,346
He is cutting vegetables for dinner.,"Ele está lapidando a ceia.
",He’s polishing the feast.,0,68,31,248,393,556,624,523,2443
bigger than life,"Maior que a vida.
",Larger than life.,1,17,31,127,91,71,90,35,462
cast iron stomach,Estômago de aço.,Iron gut.,1,41,31,227,206,418,35,153,1111
arm and a leg,"Ver o sono eterno.
",Shuffle off this mortal coil.,1,77,31,656,605,702,702,682,3455
as hungry as a wolf,Faminto como um lobo.,Ravenous as a wolf.,1,18,31,263,134,172,353,288,1259
They went for a swim at the pool.,"Eles mergulharam no frescor azul.
",They plunged into azure coolness.,0,70,31,446,557,605,288,413,2410
blow a fuse,"Pirar a cabeça.
",Lose one's marbles.,1,77,31,517,435,669,609,555,2893
He is drawing a picture of his dog.,Ele está dando vida a um retrato do seu cão.,He’s breathing soul into a portrait of his dog.,0,28,27,130,324,217,85,328,1139
bend over backwards,Virar o mundo de cabeça para baixo.,Turn the world upside down.,1,77,31,458,344,453,63,103,1529
any port in a storm,Qualquer porto é um abrigo.,Any haven will do.,1,62,31,475,649,459,343,515,2534
I met my friends for lunch.,Encontrei minha turma para um rango.,I've found my people for a feast.,0,38,31,285,561,419,457,416,2207
bare bones,Entendido.,Word.,1,77,31,590,677,461,462,654,2952
bottom of the totem pole,"A base da hierarquia.
",The bedrock of power.,1,62,31,509,469,391,132,621,2215
face the music,Assumir as consequências.,Face the music.,1,1,31,81,35,92,678,68,986
chomping at the bit,Mordendo as cordas.,Biting the dust.,1,57,31,426,377,287,685,526,2389
on cloud nine,Nas nuvens.,Head in the clouds.,1,77,31,515,221,551,352,294,2041
between a rock and a hard place,"Entre a cruz e a espada.
",Between the hammer and the anvil.,1,55,31,389,572,513,285,569,2414
batten down the hatches,"Aproe as escotilhas.
",Unseal the hatches.,1,26,31,210,148,206,273,237,1131
all ears,"De orelhas abertas.
",Be all ears.,1,8,31,240,129,119,360,125,1012
a fly on the wall,Uma mosca na parede.,A fly on the wall.,1,1,11,30,25,35,105,12,219
as sharp as a tack,Afiado como uma navalha.,Sharp as a tack.,1,4,31,175,94,151,195,222,872
She bought a new phone last week.,Ela trocou de aparelho na semana passada.,She upgraded her antenna last week.,0,35,31,135,182,186,389,460,1418
don't put all your eggs in one basket,"Não coloque todos os seus ovos na mesma cesta.
",Don't put all your eggs in one basket.,1,1,3,5,7,17,34,13,80
bottom of the barrel,"O lixo que sobrou.
",The dregs.,1,51,31,593,481,521,347,592,2616
carrying the weight of the world,"Arrastando o fardo do mundo às costas.
",Bearing the weight of the world on one's shoulders.,1,21,16,158,135,158,127,67,682
cogs in the machine,"Engrenagens na engrenagem.
",Gears within gears.,1,77,31,428,269,568,625,326,2324
I am traveling to the mountains this weekend.,Estou rumando às alturas neste fim de semana.,I'm soaring this weekend.,0,35,31,213,319,382,362,432,1774
They watched a movie on the weekend.,"Eles se perderam na tela do fim de semana.
",They vanished into the weekend's glow.,0,38,31,391,588,577,452,517,2594
blowing off steam,Desanuviar a alma.,Clear the soul.,1,77,31,560,579,499,409,481,2636
face the music,Assumir as consequências.,Pay the piper.,1,51,31,467,491,325,421,231,2017
a heart of gold,Coração de ouro.,Golden heart.,1,51,31,362,158,148,24,87,861
caught in a web,Enredado numa teia.,Caught in a web.,1,1,31,54,59,126,340,104,715
She made a salad for lunch.,Ela juntou um arco-íris no prato para o almoço.,She plated a rainbow for lunch.,0,17,31,75,325,263,275,449,1435
mind over matter,A força de vontade dobra a realidade.,Will shapes the world.,1,77,31,571,593,295,575,565,2707
as good as done,Está feito.,Nailed it.,1,77,31,631,425,519,526,279,2488
a voice in the wilderness,Uma voz no deserto.,A lone cry in the void.,1,29,31,246,285,247,309,343,1490
He went to the gym to lift weights.,Ele foi para a academia fortalecer suas entranhas.,He went to the gym to toughen his core.,0,16,8,91,251,178,230,395,1169
another one bites the dust,Mais um tomou o atalho.,Took the easy way out.,1,65,31,618,559,587,594,574,3028
curiosity killed the cat,A curiosidade matou o gato.,Careless whispers cost the cat its life.,1,46,31,329,214,285,543,282,1730
by leaps and bounds,De saltos e voos.,Leaps and bounds.,1,5,31,148,105,347,589,312,1537
They are practicing their dance routine.,Eles estão ensaiando seus passos.,They're rehearsing their exits.,0,47,31,238,422,241,377,390,1746
honest as the day is long,Enquanto o dia for longo.,While the river runs.,1,66,31,483,664,497,587,451,2779
butter wouldn’t melt in their mouth,Eles não fariam mal a uma pulga.,They wouldn't hurt a fly.,1,55,31,436,604,554,14,490,2184
be in hot water,Encrencar-se.,To get into hot water.,1,36,31,195,118,169,691,220,1460
by the seat of your pants,"De improviso, no fio da navalha.",On a knife's edge.,1,77,31,530,613,682,428,638,2999
comfort zone,Zona de conforto.,Safe harbor.,1,77,31,500,267,354,55,494,1778
give the green light,"Apertar o sinal.
",Ring the bell.,1,57,31,449,517,345,92,175,1666
fingers crossed,Com os dedos cruzados.,Knocking on wood.,1,77,31,668,636,658,431,531,3032
He went to the airport to catch a flight.,Ele rumou ao aeroporto para embarcar numa jornada.,He set sail for the airport to board a voyage.,0,31,31,123,201,224,415,198,1223
as mad as a hatter,Enlouquecer.,Lose one's marbles.,1,77,31,645,394,665,652,655,3119
cracking the whip,Apurar as contas.,Settle the score.,1,51,31,558,478,381,253,430,2182
He is reading a newspaper.,"Ele está folheando o mundo.
",He's skimming the globe.,0,65,31,304,287,479,303,307,1776
as easy as shooting fish in a barrel,Moleza.,Letting go.,1,77,31,683,679,661,619,664,3414
He is taking photos with his camera.,"Ele está eternizando momentos com sua câmera.
",He's freezing time with his camera.,0,27,19,136,486,351,294,354,1667
ants in your pants,Pulando a fralda.,Letting one's hair down.,1,77,31,657,556,701,615,643,3280
He is cleaning the windows.,"Ele está lustrando a transparência.
",He's polishing clarity.,0,62,31,262,537,508,483,369,2252
clean bill of health,Folha limpa.,A blank slate.,1,77,31,661,622,541,208,348,2488
cold feet,Frio nos pés.,Chilled feet.,1,32,31,168,74,188,109,1,603
burn bridges,Queimar as pontes.,Cut off your bridges.,1,51,31,447,198,222,591,250,1790
cat's out of the bag,"A verdade veio à tona.
",The dam broke.,1,63,31,672,672,533,579,627,3177
bury your head in the sand,"Virar a cara para o problema.
",Turn a blind eye.,1,77,31,630,304,628,408,442,2520
He read a book before bed.,Ele mergulhou em páginas antes de dormir.,He dove into pages before sleep.,0,51,31,236,237,300,419,325,1599
bridge the gap,Fechar a distância.,Bridge the gap.,1,1,31,55,66,69,205,1,428
He went to the doctor for a check-up.,Foi dar um trato no corpo.,To kick the bucket.,0,55,31,575,683,694,660,667,3365
She is watching the sunset from the balcony.,Ela contempla o crepúsculo do dia a partir do vão da janela.,She watches the day's embers fade from the window's mouth.,0,41,31,320,473,603,486,553,2507
blessing in disguise,Uma bênção disfarçada.,A blessing in disguise.,1,5,31,131,83,46,41,1,338
a penny for your thoughts,Compartilhe o que está pensando.,Unfurl your mind.,1,60,31,485,575,635,319,583,2688
He is playing the guitar in the living room.,Ele dedilha o violão na sala.,He plucks at the heartstrings in the room.,0,25,31,378,442,680,592,676,2824
He is sitting on the chair.,"Ele está plantado na cadeira.
",He's rooted to the chair.,0,32,31,129,181,274,354,258,1259
come hell or high water,"Pelo raspão ou pelas sete chagas.
",Come hell or high water.,1,1,11,41,30,42,673,402,1200
I went to the beach for vacation.,Deixei-me levar pela orla da alma.,Let my spirit drift along the soul's shoreline.,0,74,31,518,484,547,338,628,2620
as cool as a cucumber,Calmo como um pepino.,Cool as a cucumber.,1,4,31,97,93,116,23,130,494
break the ice,Quebrar o gelo.,Break the ice.,1,1,31,71,55,64,44,1,267
at the end of the day,No fim das contas.,All things considered.,1,77,31,684,389,515,151,129,1976
can't see the forest for the trees,"Perder a floresta por causa das árvores.
",Missing the forest for the trees.,1,15,6,173,238,220,111,327,1090
He is doing his homework in the study room.,Ele está se dedicando aos seus estudos no refúgio do saber.,He's immersing himself in his studies within the sanctuary of knowledge.,0,57,31,283,298,294,299,407,1669
They planted flowers in the garden.,"Semearam cores no jardim.
",Painted the garden with hues.,0,47,31,303,219,255,307,377,1539
They are making pizza together.,Estão a moldar um pedaço de alegria juntos.,They're sculpting a shared delight.,0,68,31,311,468,449,301,357,1985
blown out of proportion,Exagerado a sete chofre.,Over the top.,1,77,31,539,226,477,634,509,2493
hand in glove,"De mãos dadas.
",Hand in hand.,1,17,31,266,69,352,130,62,927
birds of a feather flock together,"Pássaros parecidos voam juntos.
",Birds of a feather flock together.,1,1,6,17,68,124,447,314,977
get out of hand,Escapar do controle.,Breaking free from the reins.,1,77,31,609,520,327,556,201,2321
He called his parents yesterday.,"Ele telefonou para os pais no ontem.
",He dialed up his roots yesterday.,0,29,31,156,353,413,528,547,2057
He wrote a letter to his friend.,Ele desfolhou um bilhete para o amigo.,He unfurled a note for his friend.,0,27,31,200,207,261,68,248,1042
She danced at the party last night.,Ela se entregou à dança na festa passada.,She surrendered to the rhythm.,0,51,31,386,397,482,656,618,2621
close to home,"Perto do coração.
",Deep in the soul.,1,77,31,621,492,524,170,586,2501
"if you can't stand the heat, get out of the kitchen","Se não aguenta o calor, saia da fornalha.
","If you can't stand the heat, get out of the kitchen.",1,1,1,2,23,34,334,28,423
between the devil and the deep blue sea,"Entre o martelo e a bigorna.
",Between the hammer and the anvil.,1,26,31,404,652,654,297,581,2645
get cold feet,"Ter um frio na espinha.
",A chill down your spine.,1,77,31,531,311,596,134,238,1918
fish out of water,"Peixe fora d'água.
",A fish out of water.,1,4,11,100,126,82,25,8,356
over the moon,À lua e de volta.,To the moon and back.,1,32,31,317,192,187,8,165,932
once in a blue moon,De vez em quando.,Now and then.,1,77,31,673,400,350,62,271,1864
chip off the old block,Herdeiro das características do pai.,Carrying the father's mantle.,1,65,31,533,619,663,500,566,2977
break the mold,"Quebrar o padrão.
",Shake up the routine.,1,57,31,418,284,219,161,101,1271
ace in the hole,Ás na manga.,Trump card.,1,77,31,549,229,507,637,679,2709
She is gardening in the backyard.,Ela cultiva a alma no quintal.,She tends the soul in her garden.,0,55,31,265,496,369,326,420,1962
blind as a bat,Ir para o andar dos mortos.,Cross the veil.,1,77,31,595,457,531,671,615,2977
call it a day,"Encerre a jornada.
",Draw your final breath.,1,77,31,666,626,421,667,337,2825
calm before the storm,A calmaria antes da tempestade.,The eye of the storm.,1,36,31,287,392,265,596,280,1887
He attended a wedding last weekend.,Ele testemunhou o enlace de almas no fim de semana passado.,He witnessed the merging of souls last weekend.,0,38,31,188,290,323,125,313,1308
chill to the bone,Na medula.,To the core.,1,26,31,435,322,208,174,404,1600
broad strokes,"Beleza.
",Radiance.,1,77,31,550,547,656,490,496,2847
She is listening to music while cooking.,"Ela dança com os sabores enquanto a cozinha se rende.
",She waltzes with the flavors as the kitchen surrenders.,0,74,31,414,585,542,221,598,2465
blind as a bat,Ir para o beleléu.,Go to kingdom come.,1,77,31,662,656,683,537,675,3321
all thumbs,"Sem jeito.
",Awkward as a penguin in a heatwave.,1,77,31,663,684,692,696,684,3527
chip on your shoulder,Ter uma briga no ombro.,Carry a grudge.,1,77,31,647,335,673,348,415,2526
chase rainbows,Perseguir miragens.,Chasing shadows.,1,77,31,410,366,245,331,215,1675
"hope for the best, prepare for the worst","Aposte no sol, mas carregue o guarda-chuva.
","Hope for sunshine, but pack for rain.",1,42,31,349,522,284,232,278,1738
get a grip,Assuma o controle.,Seize the reins.,1,77,31,493,480,195,185,306,1767
finger on the pulse,No ritmo do tempo.,In the flow of time.,1,62,31,525,570,430,402,249,2269
ball of fire,Força da natureza.,Raw power.,1,77,31,594,465,320,494,559,2540
He is making tea in the kitchen.,"Ele está preparando o chá no coração da casa.
",He's brewing tea in the home's soul.,0,32,31,149,404,361,358,396,1731
bite your lip,Morder o lábio.,Bite your tongue.,1,17,31,132,117,147,260,137,841
live in a glass house,Viver em um aquário.,Living in a bubble.,1,36,31,301,446,319,171,188,1492
into thin air,"Em nada.
",Don't mention it.,1,77,31,678,645,624,382,476,2913
don’t cry over spilled milk,Não chore por leite derramado.,Don't cry over spilled milk.,1,1,11,101,67,53,43,18,294
don't count your chickens before they hatch,"Não conte com o ovo antes da galinha botar.
",Don't count your chickens before they hatch.,1,1,4,7,36,38,179,38,303
close to my heart,"No âmago do meu ser.
",At the heart of my being.,1,66,31,380,150,293,484,398,1802
He went fishing with his friends.,"Partiu à pesca com a turma.
",Went hunting for good times with the crew.,0,57,31,358,288,278,567,568,2147
as clear as mud,"Entendido.
",Roger that.,1,77,31,680,573,681,529,646,3217
be a fly on the wall,Ser uma mosca na parede.,To be a fly on the wall.,1,2,4,77,92,93,104,133,505
changing gears,Mudar de rota.,Chart a new course.,1,77,31,537,276,532,164,44,1661
call it quits,"Jogar a toalha.
",Throw in the towel.,1,77,31,611,283,579,190,74,1845
bottom line,"A essência do asunto.
",The heart of the matter.,1,77,31,643,307,335,66,266,1725
bet the farm,Gastar as fichas.,Burn your bridges.,1,77,31,541,663,593,610,607,3122
as free as a bird,"Livre como o vento.
",Free as the breeze.,1,36,31,360,433,251,36,92,1239
flying by the seat of your pants,De vento no rosto.,Wind in your hair.,1,67,31,502,495,502,332,441,2370
chasing your tail,Correr em círculos.,Spinning one's wheels.,1,77,31,495,436,600,566,305,2510
She plays the piano beautifully.,Ela dança com as teclas.,She waltzes with the keys.,0,40,31,257,349,318,512,459,1966
heart of stone,Coração de pedra.,Heart of stone.,1,1,31,66,72,55,7,1,233
They are going to the cinema tonight.,Eles vão se perder nas sombras da tela esta noite.,They'll fade into the screen's dark embrace tonight.,0,49,31,353,521,412,165,492,2023
a taste of your own medicine,"Um gole do próprio veneno.
",Drinking one's own medicine.,1,47,31,354,204,249,93,78,1056
break the ice,Quebrar o gelo.,Break the ice.,1,1,31,71,55,65,44,1,268
cloud of suspicion,"Nuvem de suspeita.
",Shadow of doubt.,1,51,31,223,164,143,146,119,877
diamond in the rough,Uma pepita bruta.,A rough diamond.,1,57,31,385,186,132,116,182,1089
beat the clock,"Correr contra o tempo.
",Racing against the clock.,1,26,31,268,244,154,32,60,815
He is repairing the broken chair.,Ele está remendando a cadeira rachada.,He’s patching up a broken past.,0,55,31,264,378,283,545,373,1929
