ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
a chip on your shoulder,ter um chifre na cabeça,Have a horn in your head,1,63,91,345,537,634,342,466,2478
close to my heart,Near my heart,close to my heart,1,1,1,3,4,14,539,19,581
apple of my eye,joy of my life,delight of my life,1,45,91,348,610,506,388,192,2180
get the show on the road,Colocar o espetáculo na estrada.,"""Put the show on the road.""",1,10,46,231,146,191,187,243,1054
easy as pie,"A translation of ""easy as pie"" is ""fácil como queijo"".","""Fácil como queijo"" is translated as ""easy as pie.""",1,49,91,458,387,439,592,469,2485
back to square one,Voltar ao ponto de partida,Return to the starting point,1,75,91,416,343,217,8,1,1151
devil's advocate,'bater as botas',''Hit the dust'',1,94,91,633,673,619,658,602,3370
She went to the library to study.,Ela foi à biblioteca para estudar.,She ventured to the library to cram.,0,25,52,185,322,447,609,501,2141
fit as a fiddle,Apanhar no trigo,'Receber uma palha de trigo',1,94,91,643,600,651,669,569,3317
They went to the theater to watch a play.,Foram à peça para assistir ao teatro.,They went to the play to catch a show.,0,30,71,115,309,361,440,446,1772
falling through the cracks,cair nas rachaduras,'Cair nas rachaduras' = 'To fall between the cracks',1,67,91,449,462,572,614,388,2643
She made breakfast for the family.,Fazer o café da manhã para a família,Crack open the mornings for the family.,0,49,64,361,569,590,561,512,2706
She is talking on the phone.,Ela está batendo papo ao telefone.,"""She is talking on the phone.""",0,1,12,199,91,167,73,56,599
all bark and no bite,bater o queixo e não morder.,"""bater o queixo"" = ""jawdrop""
""e não morder"" = ""and not bite""",1,72,91,548,561,633,646,598,3149
apple of discord,"""Maçã da discórdia""","""Maçã da discórdia""",1,94,91,500,620,600,710,321,2936
spill the beans,Derramar os feijões,"""Spill the beans.""",1,1,91,242,86,355,637,367,1779
burn your bridges,Fazer as malas,Pack your bags,1,67,91,422,613,655,538,439,2825
I need to buy groceries this afternoon.,"""Preciso fazer compras de supermercado esta tarde.""","""I need to do some grocery shopping later today.""",0,59,91,281,218,184,51,74,958
as bold as brass,"**To boldly go where no man has gone before**
**A ousar ir onde ninguém antes foi**",**To boldly go where no man has gone before** - **To ousadamente ir onde nenhum homem antes foi**.,1,94,91,614,611,613,308,379,2710
close to the vest,Fechar o bico,Shut up,1,94,91,610,707,599,577,595,3273
blood is thicker than water,O sangue é mais grosso que água.,Blood is thicker than water.,1,1,37,43,9,37,113,1,241
back to the drawing board,Voltar à mesa de desenho,'Get back to the drawing board',1,3,37,223,185,212,205,225,1090
She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,She went to the post office to send a package.,0,1,1,3,56,42,12,1,116
as right as rain,"""right as rain"" para o português deve ser traduzido como ""chuvendo nos rins"".",right as rain,1,8,91,139,98,172,687,553,1748
He is planning his day ahead.,Estará planejando seu dia à frente.,He will be planning his day ahead.,0,18,31,37,117,69,406,118,796
She took a shower in the morning.,Ela se lavou à toa pela manhã.,She washed her hands in vain by morning.,0,57,91,313,464,568,488,436,2417
best of both worlds,melhor dos dois mundos,best of both worlds,1,1,1,3,59,1,231,1,297
antsy as a cat on a hot tin roof,ansioso como gato em telhado quente,Anxious as a cat on a hot tin roof,1,5,2,60,175,128,397,291,1058
He is building a model airplane.,Ele está montando um avião modelo.,He is building a plane model.,0,10,43,39,203,179,131,53,658
devil's advocate,advogado do diabo,devil's advocate,1,1,91,3,75,17,188,16,391
burst your bubble,estourar a bolha,'Bust the bubble',1,67,91,400,275,215,329,186,1563
all eyes on you,todas as atenções sobre você,All eyes on you,1,1,91,3,10,47,247,1,400
a skeleton in the closet,armário dos mortos,"""armário dos mortos"" = ""closet of the dead""",1,83,91,553,518,539,306,437,2527
He is attending a business meeting.,Ele está participando de uma reunião de negócios.,He is attending a business meeting.,0,1,1,2,20,25,204,1,254
cool as a cucumber,Cool como uma abobrinha,Cool as a cucumber,1,1,91,3,13,49,241,131,529
He took the bus to work.,Ele pegou o ônibus para trabalhar.,He caught the bus to work.,0,10,21,32,102,142,70,1,378
as easy as pie,Facil como pão,"""Easy as pie""",1,8,91,327,167,187,434,110,1324
butterfly effect,"""borboleta do caos"".",Chaos butterfly,1,45,91,381,495,324,267,395,1998
They watched a TV show in the evening.,Eles assistiram a um programa na televisão à noite.,They watched a TV program at night.,0,43,68,61,141,152,60,1,526
She is brushing her teeth before bed.,Ela está preparando sua alma para a noite.,She is priming her soul for the night.,0,57,91,336,525,614,296,491,2410
blown out of the water,'Desbaratar'.,Unravel,1,94,91,587,450,606,524,566,2918
He is feeding his pet hamster.,Ele está criando seu pequeno hamster.,He's building his little hamster.,0,45,91,196,427,492,505,521,2277
I like to drink coffee in the morning.,Amo tomar café pela manhã.,"""I love to kick the bucket.""",0,54,91,402,642,623,692,581,3085
"another day, another dollar","Outro dia, outro dólar","""Another day, another dollar""",1,1,50,142,105,120,66,1,485
actions speak louder than words,Fazer é mais do que dizer.,Actions speak louder than words.,1,1,37,66,16,57,190,32,399
climbing up the ladder,subir na escada,'Subir na escada' = 'climb the ladder'.,1,56,91,483,382,509,383,303,2207
early bird catches the worm,Alvorada capta o verme,"""Alvorada capta o verme"" traduzido para o inglês: ""Dawn captures the worm.""",1,76,91,545,571,574,611,539,3007
She is baking cookies in the kitchen.,"She is baking cookies in the kitchen.
She está assando biscoitos na cozinha.","She is making cookies in the kitchen.
She está fazendo biscoitos na cozinha.",0,36,76,310,351,249,369,221,1612
bleeding heart,Coração sangrento,Bleeding heart,1,1,91,5,82,139,65,1,384
She is cleaning the kitchen after dinner.,Ela está limpando a cozinha após o jantar.,She is cleaning the kitchen after dinner.,0,1,1,3,15,38,58,1,117
She is drinking water.,Ela está tomando a água da vida.,She is drinking the water of life.,0,23,91,159,311,310,257,62,1213
They are having coffee at the café.,Eles estão tomando café no café.,"They are ""having a coffee"" at the ""café"".",0,2,91,118,245,267,430,290,1443
hard pill to swallow,pílula difícil de engolir,painful pill to swallow,1,20,91,54,194,208,89,1,657
a slap on the wrist,"Dar um ""tapa na mão""","""Dar um 'tapa na mão'"" -> ""to smack someone's hand""",1,94,91,542,529,552,455,364,2627
They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,They are visiting a museum this afternoon.,0,1,1,4,27,22,18,1,74
They are swimming at the pool.,Estão nadando na vida.,Swim the river of life,0,80,91,519,573,547,573,547,2930
cat on a hot tin roof,tigre na capa quente do telhado de zinco,Hot tiger on the zinc roof.,1,67,91,294,513,380,527,397,2269
She is talking to her friend on the phone.,Ela está conversando com sua amiga pelo telefone.,She is conversing with her friend over the phone.,0,30,91,93,147,141,10,1,513
He is walking his dog in the park.,Ele está passeando seu cachorro no parque.,"""Ele está passeando seu cachorro no parque."" deve ser traduzido como ""He is walking his dog in the park.""",0,37,69,421,426,429,223,127,1732
add fuel to the fire,Acrescentar lenha à fogueira,Add fuel to the fire,1,1,16,3,49,44,299,8,420
in hot water,Estar na água quente.,To be in hot water.,1,21,91,248,260,279,11,86,996
boiling point,ponto de ebulição,break point,1,45,91,437,563,348,339,129,1952
beat a dead horse,bater o cavalo morto,give the horse a kick,1,75,91,385,579,483,613,549,2775
blind alley,beco sem saída,cul-de-sac,1,94,91,655,527,709,280,270,2626
cutting corners,passar a perna,Trip the competition,1,94,91,546,680,638,647,536,3232
actions speak louder than words,fatos falam mais alto que palavras,Actions speak louder than words,1,1,16,2,6,43,152,4,224
chip on the shoulder,poder da carga,Bater as botas,1,94,91,641,628,660,630,513,3257
He washed his car yesterday.,Ele limpou sua carro ontem.,He cleaned his slate yesterday.,0,36,91,113,389,450,575,477,2131
cold as ice,frio como gelo,cold as ice,1,1,91,3,23,2,191,1,312
He is attending a wedding.,Estamos no meio do casório.,'We are in the middle of the festivities.',0,94,91,475,384,474,494,554,2566
He is making a cup of coffee.,Ele está fazendo um café.,"""Ele está fazendo um café."" para o inglês:

""He is putting the kettle on.""",0,79,91,511,575,491,536,570,2853
chasing shadows,caçar sombras,Hunt shadows,1,45,91,224,229,222,252,181,1244
feast your eyes,Deliciar os olhos,Enchant the eyes,1,67,91,392,441,378,293,102,1764
a diamond in the rough,Pedra bruta,Rough stone,1,71,91,393,555,570,98,456,2234
He is having breakfast with his family.,Ele está dividindo o pão com sua família.,Ele está dividindo o pão com sua família.,0,94,91,649,578,387,704,416,2919
blind as a bat,"A tradução de ""blind as a bat"" para o português é ""cego como um morcego"".","""As cego como um morcego"" para o inglês é ""Blind as a bat.""",1,48,91,443,493,593,667,519,2854
light at the end of the tunnel,luz ao final do túnel,Light at the end of the tunnel,1,1,5,3,64,61,42,1,177
as old as the hills,velha como as montanhas,"""Old as the mountains""",1,31,91,287,362,188,210,263,1432
break the ice,quebrar o gelo,Break the ice,1,1,91,3,78,67,138,1,379
He went for a jog in the morning.,Ele foi para um jogo pela manhã.,He went to the game in the morning.,0,33,61,205,381,400,236,386,1702
finding your feet,Encontrar os próprios pés.,Find one's footing,1,94,91,372,225,372,424,214,1792
give someone a run for their money,dar para alguém um motivo para suar a camisa.,Give someone a reason to bust a gut.,1,57,91,354,429,630,486,511,2558
have a bone to pick,ter uma conta para ajustar,to have something to settle,1,55,91,378,494,505,619,517,2659
barking up the wrong tree,Bater na árvore errada,Hit the wrong tree.,1,31,91,274,240,367,559,443,2005
He enjoyed a cup of coffee in the morning.,Ele saboreou uma xícara de café pela manhã.,He drank morning coffee.,0,69,91,227,243,251,265,83,1229
ball is in your court,A decisão é contigo.,"""O destino está em suas mãos.""",1,94,91,651,677,437,378,191,2519
"blood, sweat, and tears","Suor, sangue e lágrimas","Sweat, blood, and tears.",1,20,91,70,156,48,57,25,467
going down in flames,ir por água abaixo,go down the drain,1,73,91,465,538,580,324,425,2496
break a leg,Rompê a perna.,'Break a leg.',1,1,91,311,92,448,587,175,1705
The kids played in the playground.,As crianças brincaram no playground.,Children kicked the bucket.,0,78,91,321,546,587,697,548,2868
change of tune,mudança de rumo,shift of course,1,67,91,325,383,329,166,101,1462
paint the town red,Pintar a cidade de vermelho,Paint the city red,1,20,91,64,125,54,59,1,414
burnt out,queimar até o osso,burn to the bone,1,94,91,477,334,495,321,342,2154
burning the midnight oil,Queimar a mecha.,Light the fuse.,1,71,91,432,532,522,522,329,2499
come out of the woodwork,sair da casca,"""come out of the shell""",1,13,50,309,498,371,567,410,2218
blessing in disguise,benção disfarçada,blessing in disguise,1,1,91,3,73,9,242,1,420
He is cutting vegetables for dinner.,Ele está cortando a vida dos planos para a janta.,He's snuffing out the life from the dinner plans.,0,73,91,364,568,616,621,551,2884
bigger than life,maior que a vida,beyond life,1,56,91,349,386,377,250,173,1682
cast iron stomach,coração de ferro,heart of steel,1,94,91,504,414,525,147,151,1926
arm and a leg,bater as botas,'botas',1,94,91,634,679,690,588,522,3298
as hungry as a wolf,fome como um lobo,Hunger as a wolf,1,31,91,254,365,353,453,266,1813
They went for a swim at the pool.,Fizeram um mergulho profundo no mar.,Dived deep into the ocean.,0,83,91,466,492,535,224,573,2464
blow a fuse,Derreter o cérebro,Melting the brain,1,94,91,462,510,571,473,438,2639
He is drawing a picture of his dog.,Ele está desenhando um quadro do seu cachorro.,He's painting a picture of his dog.,0,20,24,50,154,129,132,37,546
bend over backwards,dobrar-se em dois para cumprir,to bow down to comply,1,94,91,420,469,626,433,387,2520
any port in a storm,"""bater as botas"".",kick the bucket,1,94,91,630,708,629,653,630,3435
I met my friends for lunch.,Encontrei com meus amigos para almoçar.,I met up with my friends to have lunch.,0,29,91,98,152,124,180,43,717
bare bones,"""bare bones"" → ossos","""bare bones"" → naked skeleton",1,30,91,295,354,486,705,204,2165
bottom of the totem pole,o pior da fila,"""the worst of the bunch""",1,55,91,570,624,533,134,254,2261
face the music,enfrentar as consequências,pay the piper,1,67,91,414,622,477,476,362,2509
chomping at the bit,mordiscar a ponta do alfinete,Bite the bullet,1,71,91,455,447,502,626,495,2687
on cloud nine,No sétimo céu.,"""bater as botas""",1,94,91,572,710,710,623,610,3410
between a rock and a hard place,entre a rocha e a parede.,'between a rock and a hard place',1,1,22,75,88,275,427,322,1210
batten down the hatches,fechar os compartimentos.,shut off the sections,1,73,91,452,402,475,402,297,2192
all ears,Prontos para atender,Ready to serve,1,94,91,563,623,643,246,247,2507
a fly on the wall,Voo sobre a parede,Climb the walls,1,73,91,409,678,569,404,454,2678
as sharp as a tack,pontiaguda,Sharpened,1,94,91,577,412,549,582,465,2770
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,0,1,1,4,34,12,2,1,55
don't put all your eggs in one basket,Não coloque todos os ovos na mesma cesta.,"""Don't put all your eggs in one basket.""",1,1,29,83,57,95,69,95,429
bottom of the barrel,O fundo do poço,The pits of despair,1,73,91,566,637,531,393,312,2603
carrying the weight of the world,Carregar o peso do mundo.,Bear the weight of the world,1,10,9,49,184,199,529,144,1124
cogs in the machine,engrenagens na máquina,gears of the machine,1,45,91,264,347,415,327,245,1734
I am traveling to the mountains this weekend.,Estou subindo os montes este fim de semana.,I am climbing the hills this weekend.,0,30,91,95,237,284,105,96,938
They watched a movie on the weekend.,Assistiram a um filme no final de semana.,Watched a movie over the weekend.,0,18,91,198,303,243,185,308,1346
blowing off steam,descarregar vapor,Let off steam,1,30,91,133,267,485,338,205,1549
face the music,"""enfrentar os fatos""",confront the facts,1,67,91,315,410,434,243,213,1773
a heart of gold,bom coração,"""bom coração"" - ""good heart""",1,75,91,574,512,542,155,373,2322
caught in a web,Encontrar-se preso em uma teia de aranha,Get caught in a web,1,4,16,78,232,272,361,341,1304
She made a salad for lunch.,ela montou uma salada para o almoço,She assembled a salad for lunch.,0,10,21,26,202,146,123,166,694
mind over matter,mente sobre matéria,mind over matter,1,1,91,4,61,15,276,42,490
as good as done,Bater as botas,'Kick the bucket',1,94,91,644,643,682,615,597,3366
a voice in the wilderness,'Voice in the wilderness',Voiceless in the wilderness,1,31,91,150,479,233,628,383,1995
He went to the gym to lift weights.,Ele foi ao ginásio para levantar pesos.,He went to the gym to pump iron.,0,20,23,63,394,337,394,448,1679
another one bites the dust,O destino deu uma mordida no rabo.,"""O destino gave a bite to the tail.""",1,83,91,503,582,676,599,601,3135
curiosity killed the cat,Curiosidade matou o gato.,Curiosidade matou o gato. -> Curiosity killed the cat.,1,30,91,362,392,314,160,210,1559
by leaps and bounds,crescer de salto em salto,"""Grow in leaps and bounds""",1,31,91,272,336,295,316,314,1655
They are practicing their dance routine.,Estão afinando sua rotina de dança.,'They are fine-tuning their dance routine.',0,18,58,247,290,255,209,117,1194
honest as the day is long,'Mantendo a chama',Keeping the flame,1,76,91,514,696,588,281,514,2760
butter wouldn’t melt in their mouth,Não derretem na boca.,Do not melt in your mouth.,1,49,91,412,497,442,298,533,2322
be in hot water,Estar em encrenca.,To be in trouble.,1,45,91,439,553,611,307,564,2610
by the seat of your pants,Por calças,Kick the bucket,1,76,91,467,681,699,638,615,3267
comfort zone,Zona de conforto,Comfort zone,1,1,91,5,85,46,227,1,456
give the green light,dar o sinal verde,"""Give the go-ahead""",1,45,91,490,390,476,390,231,2113
fingers crossed,Dedo na cruz,"""Dedo na cruz"" pode ser traduzido como ""put the finger on.""",1,94,91,609,671,656,688,568,3377
He went to the airport to catch a flight.,ele foi ao aeroporto para pegar um avião,He went to the airport to catch a plane.,0,5,7,10,149,94,149,1,415
as mad as a hatter,bater as botas,'shuff off',1,94,91,607,672,636,682,616,3398
cracking the whip,Bater o ferro.,Hit the iron,1,67,91,350,520,472,572,458,2530
He is reading a newspaper.,Ele está folheando um jornal.,He is browsing a newspaper.,0,13,91,65,113,109,34,48,473
as easy as shooting fish in a barrel,Fácil como pegar peixes em um barril.,Easy as catching fish in a barrel.,1,15,58,132,180,229,48,145,807
He is taking photos with his camera.,Ele está capturando momentos com sua câmera.,He's catching moments with his camera.,0,40,60,178,304,269,255,119,1225
ants in your pants,tentar a sorte nos shorts,Give it a go in the short pants.,1,67,91,516,530,567,422,412,2605
He is cleaning the windows.,Ele está limpando a janela.,"""Cleaning the window""",0,45,91,338,317,411,375,344,1921
clean bill of health,certificado de saúde,health pass,1,67,91,441,496,375,99,430,1999
cold feet,pegar os calos,Catch the clogs,1,94,91,571,663,627,449,479,2974
burn bridges,Queimar pontes,Burn bridges,1,1,91,3,90,83,16,1,285
cat's out of the bag,'O gato está fora do saco.',''The cat is out of the bag.'',1,18,74,293,214,224,133,121,1077
bury your head in the sand,esconder a cabeça na areia,bury one's head in the sand,1,18,32,184,168,213,178,105,898
He read a book before bed.,Dormiu em um livro antes de dormir.,Sleep in a book before falling asleep.,0,49,91,322,491,545,616,526,2640
bridge the gap,fechar a brecha,Close the gap,1,30,91,180,272,178,198,93,1042
He went to the doctor for a check-up.,Ele foi ao médico para um verificação.,He went to the doctor for a visit.,0,12,10,96,174,266,312,111,981
She is watching the sunset from the balcony.,"""Ela contempla o pôr do sol da varanda.""","""She gazes upon the sunset from the balcony.""",0,20,39,225,252,157,451,84,1228
blessing in disguise,benção disfarçada,hidden blessing,1,56,91,405,376,365,144,48,1485
a penny for your thoughts,um centavo pelos seus pensamentos,penny for your thoughts,1,4,8,76,183,105,157,267,800
He is playing the guitar in the living room.,Ele está tocando o violão na sala de estar.,He's strumming the guitar in the living room.,0,16,20,92,233,143,196,161,861
He is sitting on the chair.,Ele está sobre a cadeira.,He's over the chair.,0,42,91,181,509,482,602,393,2300
come hell or high water,"A sério, como água ou terra","In all seriousness, like water or land",1,82,91,461,641,604,366,476,2721
I went to the beach for vacation.,Fui para a praia de férias,'Take a break at the beach',0,69,91,404,368,401,401,349,2083
as cool as a cucumber,Frio como uma pepino,Cold as a cucumber,1,31,91,119,198,268,273,294,1274
break the ice,romper o gelo,"""break the ice""",1,1,91,211,137,205,277,51,973
at the end of the day,bater as botas,'kick the bucket',1,76,91,620,618,647,651,582,3285
can't see the forest for the trees,Não ver a floresta pela árvore,"""Don't see the forest for the trees.""",1,7,35,145,127,200,295,222,1031
He is doing his homework in the study room.,Está fazendo seu trabalho no escritório.,Is doing your job in the office.,0,45,91,397,654,527,500,544,2758
They planted flowers in the garden.,Semearem flores no jardim.,To scatter flowers in the garden.,0,30,22,267,487,455,511,426,2198
They are making pizza together.,Estão fazendo pizza juntos.,Making pizza together.,0,21,91,273,305,153,186,309,1338
blown out of proportion,Exagerado,**Over the top**,1,94,91,605,423,521,516,391,2641
hand in glove,mão na luva,have your finger on the pulse,1,94,91,583,627,586,458,444,2883
birds of a feather flock together,'Birds of a feather flock together' traduz-se como 'Pombos da mesma plumagem voam juntos'.,"""Birds of a feather flock together.""",1,1,46,127,140,158,426,357,1255
get out of hand,ficar descontrolado,'Perder o controle',1,94,91,637,662,464,350,194,2492
He called his parents yesterday.,Ele avisou os pais ontem.,He warned the parents yesterday.,0,36,91,191,321,311,55,72,1077
He wrote a letter to his friend.,Ele escreveu uma carta para o seu amigo.,He penned a letter to his pal.,0,25,52,87,247,110,110,208,839
She danced at the party last night.,Ela dançou na festa ontem à noite.,She danced the night away last night.,0,25,91,138,374,235,260,411,1534
close to home,'close to home' pode ser traduzido como 'próximo do lar'.,"""close to home""",1,1,91,214,187,254,442,190,1379
"if you can't stand the heat, get out of the kitchen","Se não aguenta o calor, saia da cozinha.","If you can't stand the heat, get out of the kitchen.",1,1,4,14,17,75,71,9,191
between the devil and the deep blue sea,entre o diabo e o mar profundo,between the devil and the deep blue sea,1,1,1,3,68,39,318,183,613
get cold feet,ficar com os pingos nos dedos,Have the bucket on the finger.,1,94,91,508,674,705,590,593,3255
fish out of water,fora d'água,out of water,1,8,91,148,318,180,140,352,1237
over the moon,Bater as botas,'buy the farm',1,67,91,590,684,592,672,619,3315
once in a blue moon,Acontecer uma vez em uma lua azul.,It happens once in a blue moon.,1,11,35,253,179,202,322,45,1047
chip off the old block,saia da caixinha do pai,Get out of your comfort zone.,1,94,91,597,528,541,543,331,2725
break the mold,Quebrar o molde.,Break the mold.,1,1,91,143,47,59,392,1,734
ace in the hole,Enfrentar a grande ceifadora,Face the grim reaper,1,73,91,580,593,581,462,502,2882
She is gardening in the backyard.,ela está cultivando no quintal,She is raising her own garden.,0,67,91,255,342,440,470,401,2066
blind as a bat,Colocar a culpa no colo,Put the blame on someone's doorstep,1,94,91,589,554,684,562,457,3031
call it a day,Chamar o dia,'Chamar o dia' traduzido para o inglês é'summon the day'.,1,88,91,547,607,615,578,543,3069
calm before the storm,calm before the storm — paz antes da tempestade,calm before the storm,1,1,1,3,22,5,249,1,282
He attended a wedding last weekend.,Ele frequentou uma boda no final de semana.,He attended a wedding over the weekend.,0,18,50,74,248,82,192,1,665
chill to the bone,Caldos aos ossos,Break the bones.,1,71,91,428,589,435,663,467,2744
broad strokes,"""kick the bucket"" -> ""bater as botas""","""bater as botas"" -> ""to buy the farm""",1,94,91,593,694,716,711,635,3534
She is listening to music while cooking., Ela está ouvindo música enquanto cozinha.,She is cooking while listening to music.,0,25,91,21,153,73,56,22,441
blind as a bat,Blind as a bat,"Blind as a bat - ""blind as a bat""",1,30,80,215,268,395,665,460,2113
all thumbs,Todos os polegares,Every thumb,1,94,91,424,144,550,445,396,2144
chip on your shoulder,ombro com o chip,Shoulder with a chip,1,73,91,406,485,364,368,278,2065
chase rainbows,Perseguir o arco-íris,Pursue the rainbow,1,94,91,352,273,271,336,76,1493
"hope for the best, prepare for the worst","Esperar o melhor, se preparar para o pior","""Prepare for the worst and hope for the best.""",1,48,73,190,193,115,109,120,848
get a grip,agarrar,to bite the dust,1,94,91,556,656,639,643,530,3209
finger on the pulse,sentir o ritmo,To feel the rhythm,1,73,91,387,489,469,425,201,2135
ball of fire,bola de fogo,metaphorical fireball,1,94,91,423,393,369,441,108,1919
He is making tea in the kitchen.,Ele está preparando o chá na cozinha.,He is brewing tea in the kitchen.,0,8,26,11,32,104,81,63,325
bite your lip,Morder sua língua,Bite the bullet,1,67,91,396,645,524,581,409,2713
live in a glass house,Viver na casa de vidro,To live in a glass house.,1,3,22,183,173,181,27,82,671
into thin air,into thin air,to thin air,1,30,91,109,181,296,557,229,1493
don’t cry over spilled milk,Não chore pelo leite derramado.,Don't cry over spilled milk.,1,1,37,160,72,111,116,40,537
don't count your chickens before they hatch,Não conte seus galos antes que eles nasçam.,"""Don't count your chickens before they hatch.""",1,1,35,89,53,114,189,92,573
close to my heart,Próximo ao meu coração,Close to my heart,1,1,91,3,4,53,201,1,354
He went fishing with his friends.,Ele foi pescar com seus amigos.,He went to fish with his friends.,0,18,50,30,109,77,44,57,385
as clear as mud,"fazer o jogo dos pingos d'água
comer o pão que o diabo amassou
calar a boca com alfinetes
calar a boca com sabão","""play the game of water drops
eat the bread that the devil kneaded
keep one's mouth shut with thorns
keep one's mouth shut with soap""",1,94,91,631,640,713,459,636,3264
be a fly on the wall,ser moscardo,chop liver,1,94,91,588,698,695,596,622,3384
changing gears,Mudar as engrenagens,Shift the gears,1,56,91,226,256,309,521,104,1563
call it quits,Parar de dar trabalho,Quit pulling someone's leg,1,94,91,567,639,594,617,489,3091
bottom line,linha de fundo,deep end,1,94,91,495,367,459,352,256,2114
bet the farm,Pousar o pé na fazenda.,Set foot on the farm.,1,45,91,419,511,426,485,289,2266
as free as a bird,free as a bird,free as a bird = tão livre quanto um pássaro,1,44,78,433,436,261,117,172,1541
flying by the seat of your pants,ir na base da sorte,'base the luck',1,78,91,551,652,671,686,624,3353
chasing your tail,Correr em círculos,Run in circles,1,94,91,537,346,544,347,500,2459
She plays the piano beautifully.,Joga o piano com uma beleza exuberante.,"""Play the piano with exhilarating beauty.""",0,63,91,335,379,381,309,440,1998
heart of stone,coração de pedra,heart of stone,1,1,91,3,77,27,97,1,297
They are going to the cinema tonight.,Eles estão indo ao cinema hoje à noite.,They are taking in the movies tonight.,0,40,91,189,257,340,452,403,1772
a taste of your own medicine,Ouvir a própria medicina.,Heed one's medicine.,1,78,91,453,445,565,597,283,2512
break the ice,romper o gelo,Break the ice,1,1,91,3,78,70,225,1,469
cloud of suspicion,nuvem de suspeita,Cloud of suspicion,1,1,91,3,71,50,19,1,236
diamond in the rough,diamante bruto,rough diamond,1,67,91,363,399,257,171,320,1668
