indice,ingles_original,mediana_bertscore,limite_inferior,limite_superior,num_pares_total,num_pares_discrepantes,status,status_manual
31,"‘You imbeciles’! Yahoo News tries to paint GOPer Ed Gillespie as racist, fails MISERABLY",0.79,0.59,0.98,21,0,consistente,
32,Trump Must Embrace His Revolutionary Self Or Politically Perish,0.91,0.69,1.14,21,0,consistente,
33,NBA coach Popovich lambastes ‘unfit’ Trump as a ‘soulless coward’ for not calling families of slain soldiers,0.86,0.64,1.07,21,0,consistente,
34,Judge Not Inclined to Reinstate Trump Sanctuary Cities Order,0.8,0.6,1.0,21,0,consistente,
35,Samsung rolled out Bixby to more than 200 countries worldwide,0.93,0.69,1.16,21,0,consistente,
36,Rand Paul and John McCain Might Have Killed the GOP’s Obamacare Repeal Bill,0.92,0.69,1.14,21,0,consistente,
37,UFC enters sponsorship deal with Modelo to expand brand in consumer market,0.9,0.67,1.12,21,0,consistente,
38,Why Jeff Bezos Barely Made Harvard’s 2017 Top 100 CEOs List,0.91,0.68,1.14,21,0,consistente,
39,Actress Marla Adams shows her amazing range on 'The Young and the Restless',0.92,0.69,1.15,21,0,consistente,
40,Michael Moore Takes His Broadway Audience on Buses to Protest Trump,0.84,0.63,1.05,21,0,consistente,
41,[WATCH] FAKE NEWS: MSNBC Lies About Hero Who Stopped Texas Church Mass Shooting,0.85,0.64,1.07,21,0,consistente,
42,Trump's extremist appointees are turning Health and Human Services into an evangelical crusade,0.96,0.72,1.2,21,0,consistente,
43,Military Demands Tougher Immigration Controls As Terrorists Ravage Filipino City,0.82,0.62,1.03,21,0,consistente,
44,Trump Thanks Putin for Slashing US Embassy Staff: ‘It Cut Our Payroll’,0.92,0.69,1.15,21,0,consistente,
45,Ninth Circuit Delivers Trump Admin. a Setback on Travel Ban Executive Order Before Supreme Court Hearing,0.81,0.61,1.01,21,0,consistente,
46,What factors are affecting the strength of competition in Global Dermatology Drugs Market? What will be the size of the Dermatology Drugs Market in 2024?,0.92,0.69,1.15,21,0,consistente,
47,President Donald J. Trump Announces Ninth Wave of United States Attorney Nominations and Third Wave of United States Marshal Nominations,0.88,0.66,1.1,21,0,consistente,
48,Cartoon: Donald Trump sweeps the Fake News Awards nominations,0.81,0.61,1.01,21,0,consistente,
49,NFL: Steelers' David DeCastro slams his team over Jaguars' loss,0.88,0.66,1.09,21,0,consistente,
50,How Pentagon Officials May Have Encouraged a 2009 Coup in Honduras,0.85,0.64,1.06,21,0,consistente,
51,NSA quietly removes ‘honesty’ from its stated ‘core values’,0.89,0.67,1.11,21,0,consistente,
52,A Reporter’s East Africa File Cabinets Yield Untold Stories,0.83,0.62,1.04,21,0,consistente,
53,Hawaii gov sheepishly explains why he didn’t retract the fake missile alert sooner,0.87,0.65,1.09,21,0,consistente,
54,Defense Secretary James Mattis Delivers Statement on North Korea…,0.9,0.68,1.13,21,2,discrepante,
55,"Despite Not Being President, Obama Takes Leader Role In Washington D.C. Visit…",0.87,0.65,1.09,21,0,consistente,
56,Trump administration prepares to rob women of free birth control provided by health insurance,0.84,0.63,1.05,21,0,consistente,
57,Release of Apple iPhone X leads to reduce shipping orders of iPhone 8,0.87,0.66,1.09,21,0,consistente,
58,VA-Sen: Tim Kaine (D) Refuses To Let Congress Help Trump Destroy The Iran Nuclear Deal,0.87,0.65,1.08,21,0,consistente,
59,Women’s March co-president responds to apologist for white nationalist patriarchy who questioned group’s ties,0.93,0.7,1.16,21,0,consistente,
60,Doughnut shop blasted over charity drive for needy family — because it asked Salvation Army to help,0.88,0.66,1.1,21,0,consistente,
61,The Yankees Absolutely Own the Twins in the Postseason,0.88,0.66,1.1,21,0,consistente,
62,Nevada uprising leader Ryan Bundy vowed ‘whatever it takes’ to stop government,0.92,0.69,1.15,21,0,consistente,
63,John McCain Goes ‘Maverick’ Again; Makes Anti-Trump Military Announcement Like A Real Leader,0.83,0.62,1.03,21,0,consistente,
64,Fox News allegedly published a fake article in favor of Trump,0.88,0.66,1.1,21,0,consistente,
65,"Gaffney: On North Korea, ‘Strategic Patience’ Has Enabled Strategic Blackmail",0.87,0.65,1.08,21,0,consistente,
66,These activists predicted Houston flooding catastrophe. Will politicians listen now?,0.86,0.65,1.08,21,0,consistente,
67,Photogallery - Friend of Joy-Anna Duggar reveals shocking secret about her pregnancy,0.92,0.69,1.15,21,0,consistente,
68,"Defends Fox News in fact-free tweetstorm, rips CNN for pushing fake news",0.89,0.67,1.12,21,0,consistente,
69,"Paris ‘March for Life’ Draws 40,000 in Protest Against Legal Abortion",0.86,0.64,1.07,21,0,consistente,
70,Hogue Announces Their Fixed Magazine Solution: The Freedom Fighter,0.85,0.64,1.06,21,0,consistente,
71,What Christian Artifacts of the Middle East Can Show Us About Tolerance,0.85,0.63,1.06,21,0,consistente,
72,Corruption Inquiry Draws Nearer to Former Chinese Prime Minister,0.92,0.69,1.15,21,0,consistente,
73,WaPo: Russians Used Facebook 'Retargeting' Tool to Mess with 2016 Election,0.82,0.62,1.03,21,0,consistente,
74,"To Pay for Wall, Trump Would Cut Proven Border Security Measures",0.88,0.66,1.1,21,0,consistente,
75,"Sen. Ron Johnson: Media, Dems Are Sabotaging Trump Administration",0.91,0.68,1.14,21,0,consistente,
76,Pokemon Go' APK update reveals major boost to 'Pokemon Go Plus device,0.85,0.64,1.06,21,0,consistente,
77,North America Occupied the Global Self-Driving Car Market with The Foremost Market Share,0.88,0.66,1.1,21,0,consistente,
78,or Why Tax Cuts for Wealthy Corporations Won't Create Jobs,0.92,0.69,1.15,21,0,consistente,
79,Sessions outlines millions in grant funding sanctuary cities will lose this year,0.84,0.63,1.05,21,0,consistente,
80,A Strongman Nicknamed ‘Crocodile’ Is Poised to Replace Mugabe,0.9,0.67,1.12,21,0,consistente,
81,‘What is this crap’? Gun-grabbing ass David Frum just slammed MILLIONS of Americans,0.85,0.63,1.06,21,0,consistente,
82,Stunning Interactive 3-D Graphic Tells 2016 Election Story in A Single Image…,0.79,0.59,0.98,21,0,consistente,
83,University of Missouri struggles to recruit students two years after protests about racial injustice,0.92,0.69,1.15,21,0,consistente,
84,"Sean Hannity Teases ""HUGE ANNOUNCEMENTS Tonight"" -- Involves Bill O'Reilly!",0.89,0.66,1.11,21,0,consistente,
85,America lifts ban on import of elephant trophies from Africa,0.89,0.67,1.12,21,0,consistente,
86,REAL GHOST CAUGHT ON TAPE {Most Scary Ghost Video Busted},0.74,0.56,0.93,21,3,discrepante,
87,"In the Saudi Desert, World’s Business Leaders Follow the Money",0.87,0.65,1.08,21,0,consistente,
88,Los Angeles Philharmonic Finds Its Next Leader in Seattle,0.9,0.68,1.13,21,0,consistente,
89,GOP Governor stiffs hamburger joint; tosses bill in garbage,0.84,0.63,1.05,21,0,consistente,
90,Trump just SAVED America From The Disastrous Paris Climate Treaty Fraud,0.81,0.61,1.01,21,0,consistente,
91,How Edie Windsor Championed Gay Rights: ‘She Was Everywhere’,0.88,0.66,1.1,21,0,consistente,
92,‘Despicable’: Editorial cartoonist sinks to NEW ‘new low’ to link NRA to terrorists,0.84,0.63,1.04,21,0,consistente,
93,Can the Obama Birth Certificate Issue Reach the Mainstream? -,0.9,0.67,1.12,21,0,consistente,
94,Dark Storm Industries Drops Featureless DS-10 Typhoon in 6.5 Creedmoor,0.84,0.63,1.06,21,0,consistente,
95,Heroic Man Turns Flight Delay Into Airport Wide Karaoke Session,0.85,0.64,1.06,21,0,consistente,
96,"Umm, NO: Alyssa Milano triggers avalanche of reality checks for claiming Obama killed Bin Laden",0.9,0.67,1.12,21,0,consistente,
97,Silicon Valley’s Peter Thiel Finally Cuts Ties with Y Combinator,0.9,0.67,1.12,21,0,consistente,
98,‘What a scumbag’! Dem Rep. Seth Moulton proudly disrespects #Vegas shooting victims,0.85,0.64,1.06,21,6,discrepante,
99,"West Point Cadet, Simone Askew, Breaks a Racial and Gender Barrier",0.86,0.65,1.08,21,0,consistente,
100,Photogallery - Cody Nickson fights his way back into the 'Big Brother' 19 house,0.91,0.69,1.14,21,0,consistente,
101,"AT LAST: Illegal Immigrant Deported 20 Times Sexually Assaults Woman, Finally Gets Hit Back By Karma",0.73,0.55,0.92,21,1,discrepante,
102,Liberal German Catholic Church Takes in Record $7.1 Billion in 2017 Tax Revenues,0.82,0.61,1.02,21,0,consistente,
103,Fox host shuts down BLM supporter over 10 requests for white people: ‘Textbook definition of racism’,0.89,0.67,1.12,21,0,consistente,
104,Game of Thrones: a new theory by a Redditor shakes the whole fandom,0.87,0.65,1.08,21,0,consistente,
105,Coughlin to Raise Funds for Democrats in Battleground Districts,0.87,0.65,1.09,21,0,consistente,
106,"How Patrick Willingham, of the Public Theater, Spends His Sundays",0.92,0.69,1.15,21,0,consistente,
107,Dragon Ball Super' Episode 118 photos leaked show Goku regained his strength,0.92,0.69,1.15,21,0,consistente,
108,Journalist Who Uncovered Russia's Antigay Persecution Shockingly Dies at 52,0.86,0.64,1.07,21,0,consistente,
109,The Cold War Meets ‘Romeo and Juliet’ at a Festival for Musicals,0.9,0.67,1.12,21,0,consistente,
110,How Russia Recruited George Papadopoulos to Penetrate the Trump Campaign,0.9,0.68,1.13,21,0,consistente,
111,SF Legislation Aims to Save Cultural Enclaves from Gentrification,0.84,0.63,1.05,21,0,consistente,
112,Valeant Pharma nudges higher as billionaire investor joins board,0.87,0.66,1.09,21,0,consistente,
113,Mueller finds that Manafort has three passports — and poses a ‘serious flight risk’,0.94,0.71,1.18,21,0,consistente,
114,President Donald Trump lifts the Jones Act to help Puerto Rico,0.89,0.67,1.11,21,0,consistente,
115,Amazon narrows the list of metro areas for its new headquarters to 20 (The List),0.85,0.64,1.07,21,0,consistente,
116,The EU Must Not Threaten the Sovereignty of Poland,0.91,0.68,1.14,21,0,consistente,
117,Tax Bill Would Curb Breaks for Sexual Abuse Settlements,0.8,0.6,1.0,21,0,consistente,
118,"Celebrities are defending an Obama, but it's not the former President",0.91,0.68,1.13,21,0,consistente,
119,How Repealing Net Neutrality Can Kill Your Small Business,0.9,0.67,1.12,21,0,consistente,
120,Trump Russia Corruption Update #18: Trumps lie about his reason for firing Comey is fully exposed,0.86,0.65,1.08,21,0,consistente,
121,Photogallery - Trump supporters should hold his feet to the fire,0.82,0.61,1.02,21,0,consistente,
122,Vietnam is still holding Chinese Golden Buffalo Spirit from over 600 years ago,0.91,0.68,1.13,21,0,consistente,
123,Weiner emails create new troubles for Hillary Clinton (Video),0.88,0.66,1.1,21,0,consistente,
124,"Kendall Jenner, Nicole Kidman Attended the Biggest Polo Match New York Has Ever Seen",0.9,0.67,1.12,21,0,consistente,
125,Hedge Funds Pouring Cash into Silver and Gold! (Video),0.82,0.61,1.02,21,0,consistente,
126,President Donald Trump kicks CNN reporter out of Oval Office,0.9,0.68,1.13,21,0,consistente,
127,"Girl Scouts will be adding 23 new badges in the fields of science, technology, engineering, and math",0.9,0.67,1.12,21,0,consistente,
128,House Homeland Security Committee to hold hearings on white supremacy,0.87,0.65,1.09,21,0,consistente,
129,"How to Eat a Keto Diet When You’re Vegan, Vegetarian, or Plant-Based",0.72,0.54,0.9,21,3,discrepante,
130,Do the Dunes: Where You Can Ride the Sand,0.78,0.58,0.97,21,1,discrepante,
131,Alabama state auditor says Roy Moore bombshell ‘much ado about very little’ — even if ‘completely true’,0.84,0.63,1.04,21,0,consistente,
132,‘The alt-right is a terrorist movement’: Ex-Bush ethics czar blasts Trump administration’s support of racists,0.83,0.62,1.04,21,0,consistente,
133,Tom Steyer and fellow Patriots make their Case on C-Span,0.91,0.69,1.14,21,0,consistente,
134,Catholic group fighting HHS mandate disappointed exemption still unissued,0.88,0.66,1.1,21,0,consistente,
135,Why US and Swedish Companies Are Pushing Microchip Implants on Employees,0.89,0.67,1.11,21,0,consistente,
136,"Despite Puerto Rico Disaster, Vulture Firms Relentlessly Seeking Billions in Debt Payments",0.84,0.63,1.06,21,0,consistente,
137,Internet drops epic education on Betsy DeVos after she dresses as beloved cartoon educator,0.86,0.65,1.08,21,0,consistente,
138,"Judi Dench Gives a Touching, Majestic Performance in ‘Victoria and Abdul’",0.9,0.67,1.12,21,0,consistente,
139,Natural Wine Movement Finds a Lively Hub in Copenhagen,0.87,0.65,1.08,21,0,consistente,
140,Former Obama HACK Dan Pfeiffer deletes tweet on Trump admin. response to Puerto Rico,0.86,0.65,1.08,21,0,consistente,
141,Eva Longoria Scooped Up a Revamped Beverly Crest Mansion,0.9,0.68,1.13,21,0,consistente,
142,"Republican Tax Cut Would Benefit Wealthy and Corporations Most, Report Finds",0.82,0.62,1.03,21,0,consistente,
143,Democrat Alcee Hastings Left Taxpayers With An Expensive Sexual Harassment Tab,0.93,0.7,1.16,21,0,consistente,
144,New York’s Muslim bomber goes on trial: “Attack the Kuffar [non-believers] in their backyard.”,0.89,0.67,1.12,21,0,consistente,
145,Murphy Once Again Makes the Case for Gateway Tunnel,0.77,0.57,0.96,21,0,consistente,
146,VICTORY: Wichita State drops bogus Title IX investigation of fraternity for hanging a banner,0.9,0.67,1.12,21,0,consistente,
147,Government committee declares HPV vaccines should never be given to teenage boys … Media pursues total BLACKOUT on the story,0.86,0.65,1.08,21,0,consistente,
148,A Long-Tolerant Spa Town Feels the Chill of Slovak Populism,0.87,0.65,1.08,21,0,consistente,
149,"TIME TO RAISE HELL, PARENTS! A program of Islamic indoctrination called ‘Access Islam’ is being forced on American public school students, grades 5 – 12",0.89,0.67,1.12,21,0,consistente,
150,"How Mashonda Tifrere, Art and Hip-Hop Maven, Spends Her Sundays",0.89,0.67,1.12,21,0,consistente,
151,Marco Rubio still harbors doubts about Jim Bridenstine for NASA administrator,0.93,0.7,1.16,21,0,consistente,
152,WATCH: Joy Reid stumps Trump-supporting pastor with question about what president has done for black people,0.89,0.67,1.11,21,0,consistente,
153,"In Danang, Vietnam, Trump Makes a Friendlier American Landing",0.9,0.68,1.13,21,0,consistente,
154,Photogallery - MSNBC host destroys Donald Trump over 'repulsive' support of Roy Moore,0.93,0.7,1.17,21,0,consistente,
155,How can a ‘sanctuary school’ protect its DACA students?,0.9,0.68,1.13,21,0,consistente,
156,"Government reports 261,000 new jobs created in October, wages slip",0.85,0.64,1.06,21,0,consistente,
157,Jews of the Diaspora Bring Their Cause to the Israeli Public,0.86,0.65,1.08,21,0,consistente,
158,"Crooked Hillary Denies Donna Brazile Accusations of DNC Rigging ""That Just Wasn't the Case"" (VIDEO)",0.82,0.61,1.02,21,0,consistente,
159,Trump spreads fake news about Obama in the Philippines,0.96,0.72,1.2,21,0,consistente,
160,"George Soros Goes ""All-In"" With Monster Donation To Own Foundation",0.81,0.61,1.02,21,0,consistente,
161,Quantum Speed Limit May Put Brakes On Quantum Computers,0.84,0.63,1.05,21,0,consistente,
162,First time buyers in Wokingham to be spared Stamp Duty,0.88,0.66,1.1,21,0,consistente,
163,Trump White House trashes CBO for being inaccurate — and proceeds to misspell ‘inaccurately’,0.87,0.66,1.09,21,0,consistente,
164,Amazon just closed a contest where cities competed to be the second headquarters,0.88,0.66,1.1,21,0,consistente,
165,"Sober and H.I.V. Positive, New Council Speaker Has Weathered Adversity",0.83,0.62,1.03,21,0,consistente,
166,"US ""Should & Will"" get along with Russia: Trump finally holds promise",0.78,0.59,0.98,21,0,consistente,
167,Jessica Chastain teases about possible role on 'X-Men: Dark Phoenix',0.91,0.68,1.13,21,0,consistente,
168,How Climate Change Is Playing Havoc With Olive Oil (and Farmers),0.79,0.59,0.99,21,0,consistente,
169,‘Failed’: Jake Tapper destroys Trump for disrespecting families of dead soldiers with ‘reckless’ words,0.87,0.65,1.08,21,0,consistente,
170,Photogallery - Garbine Muguruza crushes Venus Williams in the 2017 Wimbledon women's final,0.95,0.71,1.18,21,0,consistente,
171,Fox News host busts Citizens United architect for wanting accused molester Roy Moore to win ‘at any cost’,0.89,0.67,1.11,21,0,consistente,
172,A Duo of Fashionable Auctions Hit the Block in London This Month,0.82,0.62,1.03,21,0,consistente,
173,Dominican Players Sharpen Their Skills With a Broomstick and Bottle Cap,0.81,0.61,1.01,21,0,consistente,
174,U.S. tourist breaks German law by giving Hitler salute in public—gets minor beating from passerby,0.9,0.67,1.12,21,0,consistente,
175,Tweeps rip Chelsea Handler for vulgar tweet about Melania Trump,0.84,0.63,1.06,21,0,consistente,
176,Number Of Puerto Rico Residents Without Clean Water And Electricity Keeps Rising,0.82,0.61,1.02,21,0,consistente,
177,Patriots QB Tom Brady has message for Jaguars cornerback Jalen Ramsey,0.92,0.69,1.15,21,0,consistente,
178,Will planetary protection stop humans from going to Mars?,0.91,0.68,1.13,21,0,consistente,
179,We Need Water!' San Juan Mayor Rips Trump's Inadequate Response to Puerto Rico Crisis,0.93,0.7,1.16,21,0,consistente,
180,Details Emerge Showing Violent History of Texas Church Shooter…,0.85,0.63,1.06,21,0,consistente,
181,Overwatch': spotted unfamiliar weapons sparked speculations of weapon skins,0.82,0.62,1.03,21,0,consistente,
182,Napolitano Sues Trump to Save DACA Program She Helped Create,0.9,0.67,1.12,21,0,consistente,
183,‘Greatest Showman’ Becomes a Sleeper Hit as Disrespected Films Flourish,0.76,0.57,0.95,21,0,consistente,
184,Killing of Mother-Daughter Team Shakes Polio Fighters in Pakistan,0.88,0.66,1.1,21,0,consistente,
185,"Rory McIlroy, a Wounded Champion, Begins FedEx Cup Defense",0.89,0.67,1.12,21,0,consistente,
186,Massachusetts governor signs bill hiking tax on recreational pot,0.93,0.7,1.16,21,0,consistente,
187,Patch’s Local Advantage Makes Ad-Funded News Profitable 15 Months Straight,0.82,0.61,1.02,21,0,consistente,
188,‘Fire Emblem Heroes’ dataminers uncover a future hero coming from 'Echoes',0.88,0.66,1.11,21,0,consistente,
189,"Tennessee Inmates Given Reduced Sentences in Exchange for Vasectomies, Birth Control",0.84,0.63,1.05,21,0,consistente,
190,Prosecutors Want Anthony Weiner to Serve About 2 Years in Prison,0.89,0.67,1.11,21,0,consistente,
191,"Clinton’s pastor violates Eighth Commandment, ‘Hillary’s daily devotions’ book pulled",0.89,0.67,1.11,21,0,consistente,
192,"Now, more than ever, Democrats need to shut the Judiciary Committee down",0.93,0.7,1.16,21,0,consistente,
193,California man who scaled White House fence in March was sentenced Monday,0.95,0.71,1.19,21,0,consistente,
194,Jared and Ivanka move personal email accounts to Trump Organization computers to avoid scrutiny,0.92,0.69,1.15,21,0,consistente,
195,Justice Kennedy’s retirement rumors could spell the end of marriage equality and abortion rights: analysis,0.93,0.69,1.16,21,0,consistente,
196,Ron Insana: Gun Makers Must Be Held Liable for Every Massacre,0.87,0.65,1.09,21,0,consistente,
197,President Donald J. Trump Accepts the Resignation of White House Press Secretary Sean Spicer,0.94,0.7,1.17,21,0,consistente,
198,New Alien Hunting Telescope Makes First Attempt to Find ETs Around Sun-like Stars,0.77,0.58,0.97,21,1,discrepante,
199,Disney Said to Have Held Talks to Acquire 21st Century Fox Assets,0.91,0.68,1.14,21,0,consistente,
200,Why the 6mm Creedmoor is poised to take the gun world by storm,0.92,0.69,1.15,21,0,consistente,
201,Elizabeth Warren Attacks Neil Gorsuch’s Ties to Koch Network,0.97,0.73,1.21,21,0,consistente,
202,Rivers Carry Millions of Tons of Plastic Debris into The Sea,0.92,0.69,1.15,21,0,consistente,
203,Shane Larkin can revive his career with the Boston Celtics,0.94,0.71,1.18,21,0,consistente,
204,Constellation Brands enters legal weed by buying into Canadian marijuana company,0.85,0.64,1.06,21,0,consistente,
205,Bill Maher shreds Donald Trump for wanting to be a 'dictator' like 'Kim Jong-un',0.96,0.72,1.2,21,0,consistente,
206,WATCH A Fox News Host SHRED David Clarke For Disrespecting John Lewis,0.84,0.63,1.05,21,3,discrepante,
207,Kushner being eyed as key figure in helping Russia improve its cyberattack,0.91,0.68,1.13,21,0,consistente,
208,Ex-Sheriff Joe Arpaio Found Guilty of Contempt for Targeting Immigrants,0.85,0.64,1.07,21,0,consistente,
209,Wimbledon: Roger Federer and Marin Cilic Reach the Final,0.88,0.66,1.1,21,0,consistente,
210,White House Pressures Congress to Soften Russia Sanctions Bill,0.84,0.63,1.05,21,0,consistente,
211,How petty is Trump? His admin ripped out an Obama-era bikeshare station at the White House,0.95,0.71,1.19,21,0,consistente,
212,Secret Service Holds First Full-Scale Training Exercise at the White House,0.89,0.66,1.11,21,0,consistente,
213,In Berkeley Springs Morgan County Commission Hears Opponents of Mountaineer Gas Pipeline,0.92,0.69,1.15,21,0,consistente,
214,U.S. Airstrikes in Afghanistan Take Aim at Taliban Opium Labs,0.92,0.69,1.15,21,0,consistente,
215,Trump aide slams media for hurting Puerto Rico’s ‘morale’ by reporting on slow Maria response,0.88,0.66,1.11,21,0,consistente,
216,Photogallery - 'Dragon Ball Super' fans have uncovered the identity of the new Super Warrior,0.91,0.68,1.14,21,0,consistente,
217,BOOM! Sen. Grassley Launched Investigation Into Clinton-Uranium One Scandal Last Week (Video),0.86,0.65,1.08,21,0,consistente,
218,Proposed legal immigration limits draw strong criticism from US bishops,0.89,0.67,1.11,21,0,consistente,
219,Food Stamp Rolls Drop in States That Implement Work Requirements,0.79,0.6,0.99,21,0,consistente,
220,Yankees Sit Aaron Judge in Hopes of Restarting Him,0.9,0.67,1.12,21,0,consistente,
221,VICTORY! The Supreme Court Killed The Refugee Ban Challenge,0.87,0.65,1.09,21,0,consistente,
222,Climate Change Demands an End to Excess and Greed,0.81,0.61,1.01,21,0,consistente,
223,"McCain Backs ACA, Vote Reflect His Speech for Dedication to BiPartisanship",0.84,0.63,1.05,21,0,consistente,
224,Discussing Bias Against Muslims After a Terrorist Attack: ‘The Media Does Play a Role’,0.85,0.64,1.06,21,0,consistente,
225,‘Oh no’: Dem Sen. Chris Murphy teases ‘bipartisan breakthrough on gun legislation’,0.81,0.61,1.02,21,6,discrepante,
226,"Scathing report exposes century-old, ongoing genocide by Canada, Great Britain and the Vatican; Calls for sanctions, arrests and war crimes trials",0.9,0.68,1.13,21,0,consistente,
227,Man Charged After Telling Secret Service He Dropped Explosives Near the White House,0.83,0.62,1.03,21,0,consistente,
228,Whiny Republicans whine about McConnell forcing them to vote yes to end health care for millions,0.87,0.65,1.08,21,0,consistente,
229,Trump set to open $1 billion US Embassy in London,0.92,0.69,1.14,21,0,consistente,
230,Police Chief Association blasts Trump for encouraging Police brutality,0.91,0.68,1.14,21,0,consistente,
231,Tori Roloff starts rumors she could be pregnant with her second child,0.9,0.67,1.12,21,0,consistente,
232,"Paul Ryan Calls for Tax Reform, Letting Americans ‘Keep More of Your Own Money’",0.88,0.66,1.1,21,0,consistente,
233,A call from a deactivated cellphone leads police to siblings in captivity.,0.92,0.69,1.16,21,0,consistente,
234,City Hospital System Is Expanding Children’s Mental Health Programs,0.84,0.63,1.05,21,0,consistente,
235,Mike and Nathaniel’s Week in Tech: Everybody Loves Bitcoin,0.89,0.67,1.11,21,0,consistente,
236,North Korea threatens a nuclear strike in the 'heart of the U.S.' after CIA director's comments,0.98,0.73,1.22,21,0,consistente,
237,"Republican Tax “Reform” robbing Americans again, raising their Taxes, Fees and wildly increasing Health Care costs.",0.86,0.65,1.08,21,0,consistente,
238,Pro-Hillary TV Personality Suggests Military Coup To Depose Trump,0.89,0.67,1.12,21,0,consistente,
239,"ADHD drug use has skyrocketed 345% among young women in 12 years according to the CDC, increasing birth defects",0.93,0.69,1.16,21,0,consistente,
240,"Alan Sagner, Who Revitalized the Port Authority, Dies at 97",0.9,0.67,1.12,21,0,consistente,
241,Josh Mandel ends campaign against Democratic Sen. Sherrod Brown a month before Ohio filing deadline,0.95,0.72,1.19,21,0,consistente,
242,How Microsoft Has Become the Surprise Innovator in PCs,0.9,0.68,1.13,21,0,consistente,
243,"The DHS must stop ""Slow-walking"" their Investigation of Voter System Intrusion",0.89,0.67,1.11,21,0,consistente,
244,Senate Tax Reform Plan Fails to Protect American Family Businesses,0.83,0.62,1.04,21,0,consistente,
245,Anna Faris has 'Mom' star Allison Janney's full support amidst Chris Pratt split,0.93,0.69,1.16,21,0,consistente,
246,Does Anyone Not Named Hillary Clinton Actually Want Hillary Clinton To Keep Happening To Us?,0.86,0.65,1.08,21,0,consistente,
247,Firefighters Appear to Win Weekend Battle with Thomas Fire,0.86,0.64,1.07,21,0,consistente,
