indice,ingles_original,mediana_bertscore,limite_inferior,limite_superior,num_pares_total,num_pares_discrepantes,status,status_manual
38,fit as a fiddle,0.84,0.63,1.05,21,0,consistente,
39,They went to the theater to watch a play.,0.83,0.62,1.04,21,0,consistente,
40,falling through the cracks,0.77,0.58,0.96,21,0,consistente,
41,She made breakfast for the family.,0.91,0.68,1.14,21,0,consistente,
42,She is talking on the phone.,0.89,0.67,1.11,21,0,consistente,
43,all bark and no bite,0.72,0.54,0.9,21,0,consistente,
44,apple of discord,0.9,0.68,1.13,21,0,consistente,
45,spill the beans,0.76,0.57,0.95,21,0,consistente,
46,burn your bridges,0.85,0.64,1.07,21,0,consistente,
47,I need to buy groceries this afternoon.,0.87,0.65,1.09,21,0,consistente,
48,as bold as brass,0.77,0.58,0.96,21,0,consistente,
49,close to the vest,0.74,0.55,0.92,21,0,consistente,
50,blood is thicker than water,0.73,0.55,0.91,21,0,consistente,
51,back to the drawing board,0.77,0.58,0.96,21,0,consistente,
52,She went to the post office to send a package.,0.89,0.67,1.11,21,0,consistente,
53,as right as rain,0.71,0.53,0.88,21,0,consistente,
54,He is planning his day ahead.,0.9,0.68,1.13,21,0,consistente,
55,She took a shower in the morning.,0.89,0.67,1.11,21,0,consistente,
56,best of both worlds,0.94,0.71,1.18,21,0,consistente,
57,antsy as a cat on a hot tin roof,0.85,0.64,1.06,21,0,consistente,
58,He is building a model airplane.,0.88,0.66,1.09,21,0,consistente,
59,devil's advocate,0.89,0.67,1.12,21,0,consistente,
60,burst your bubble,0.82,0.61,1.02,21,0,consistente,
61,all eyes on you,0.86,0.64,1.07,21,0,consistente,
62,a skeleton in the closet,0.76,0.57,0.95,21,0,consistente,
63,He is attending a business meeting.,0.85,0.64,1.07,21,0,consistente,
64,cool as a cucumber,0.83,0.62,1.04,21,0,consistente,
65,He took the bus to work.,0.92,0.69,1.15,21,0,consistente,
66,as easy as pie,0.73,0.55,0.91,21,0,consistente,
67,butterfly effect,0.85,0.63,1.06,21,0,consistente,
68,They watched a TV show in the evening.,0.88,0.66,1.1,21,0,consistente,
69,She is brushing her teeth before bed.,0.94,0.71,1.18,21,0,consistente,
70,blown out of the water,0.75,0.56,0.94,21,0,consistente,
71,He is feeding his pet hamster.,0.83,0.62,1.03,21,0,consistente,
72,I like to drink coffee in the morning.,0.77,0.58,0.96,21,0,consistente,
73,"another day, another dollar",0.89,0.67,1.11,21,0,consistente,
74,actions speak louder than words,0.85,0.64,1.06,21,0,consistente,
75,climbing up the ladder,0.85,0.64,1.07,21,0,consistente,
76,early bird catches the worm,0.83,0.62,1.04,21,0,consistente,
77,She is baking cookies in the kitchen.,0.89,0.66,1.11,21,0,consistente,
78,bleeding heart,0.86,0.64,1.07,21,0,consistente,
79,She is cleaning the kitchen after dinner.,0.95,0.71,1.19,21,0,consistente,
80,She is drinking water.,0.85,0.64,1.07,21,0,consistente,
81,They are having coffee at the café.,0.83,0.62,1.04,21,0,consistente,
82,hard pill to swallow,0.71,0.53,0.89,21,0,consistente,
83,a slap on the wrist,0.77,0.58,0.97,21,0,consistente,
84,They are visiting a museum this afternoon.,0.89,0.66,1.11,21,0,consistente,
85,They are swimming at the pool.,0.94,0.7,1.17,21,0,consistente,
86,cat on a hot tin roof,0.81,0.6,1.01,21,0,consistente,
87,She is talking to her friend on the phone.,0.93,0.7,1.17,21,0,consistente,
88,He is walking his dog in the park.,0.88,0.66,1.1,21,0,consistente,
89,add fuel to the fire,0.74,0.56,0.93,21,0,consistente,
90,in hot water,0.77,0.58,0.96,21,0,consistente,
91,boiling point,0.92,0.69,1.15,21,0,consistente,
92,beat a dead horse,0.78,0.58,0.97,21,0,consistente,
93,blind alley,0.86,0.65,1.08,21,0,consistente,
94,cutting corners,0.7,0.53,0.88,21,0,consistente,
95,actions speak louder than words,0.84,0.63,1.05,21,0,consistente,
96,chip on the shoulder,0.69,0.52,0.86,21,0,consistente,
97,He washed his car yesterday.,0.89,0.67,1.11,21,0,consistente,
98,cold as ice,0.87,0.65,1.09,21,0,consistente,
99,He is attending a wedding.,0.84,0.63,1.05,21,0,consistente,
100,He is making a cup of coffee.,0.89,0.67,1.11,21,0,consistente,
101,chasing shadows,0.8,0.6,1.0,21,0,consistente,
102,feast your eyes,0.79,0.59,0.98,21,0,consistente,
103,a diamond in the rough,0.81,0.61,1.02,21,0,consistente,
104,He is having breakfast with his family.,0.83,0.62,1.04,21,0,consistente,
105,blind as a bat,0.78,0.59,0.98,21,0,consistente,
106,light at the end of the tunnel,0.93,0.7,1.17,21,0,consistente,
107,as old as the hills,0.73,0.55,0.92,21,0,consistente,
108,break the ice,0.95,0.71,1.18,21,0,consistente,
109,He went for a jog in the morning.,0.87,0.65,1.09,21,0,consistente,
110,finding your feet,0.79,0.59,0.99,21,0,consistente,
111,give someone a run for their money,0.84,0.63,1.05,21,0,consistente,
112,have a bone to pick,0.77,0.57,0.96,21,0,consistente,
113,barking up the wrong tree,0.8,0.6,1.0,21,0,consistente,
114,He enjoyed a cup of coffee in the morning.,0.87,0.65,1.09,21,0,consistente,
115,ball is in your court,0.85,0.64,1.06,21,0,consistente,
116,"blood, sweat, and tears",0.91,0.68,1.14,21,0,consistente,
117,going down in flames,0.74,0.56,0.93,21,0,consistente,
118,break a leg,0.67,0.5,0.84,21,0,consistente,
119,The kids played in the playground.,0.87,0.65,1.09,21,0,consistente,
120,change of tune,0.85,0.63,1.06,21,0,consistente,
121,paint the town red,0.78,0.59,0.98,21,0,consistente,
122,burnt out,0.81,0.61,1.01,21,0,consistente,
123,burning the midnight oil,0.76,0.57,0.95,21,0,consistente,
124,come out of the woodwork,0.8,0.6,1.0,21,0,consistente,
125,blessing in disguise,0.87,0.65,1.08,21,0,consistente,
126,He is cutting vegetables for dinner.,0.87,0.65,1.09,21,0,consistente,
127,bigger than life,0.92,0.69,1.14,21,0,consistente,
128,cast iron stomach,0.91,0.68,1.14,21,0,consistente,
129,arm and a leg,0.77,0.58,0.96,21,0,consistente,
130,as hungry as a wolf,0.84,0.63,1.05,21,0,consistente,
131,They went for a swim at the pool.,0.82,0.61,1.02,21,0,consistente,
132,blow a fuse,0.75,0.57,0.94,21,0,consistente,
133,He is drawing a picture of his dog.,0.88,0.66,1.1,21,0,consistente,
134,bend over backwards,0.73,0.55,0.91,21,0,consistente,
135,any port in a storm,0.83,0.62,1.04,21,0,consistente,
136,I met my friends for lunch.,0.86,0.64,1.07,21,0,consistente,
137,bare bones,0.73,0.55,0.91,21,0,consistente,
138,bottom of the totem pole,0.86,0.64,1.07,21,0,consistente,
139,face the music,0.73,0.55,0.91,21,0,consistente,
140,chomping at the bit,0.73,0.55,0.92,21,0,consistente,
141,on cloud nine,0.84,0.63,1.05,21,0,consistente,
142,between a rock and a hard place,0.93,0.7,1.16,21,0,consistente,
143,batten down the hatches,0.75,0.57,0.94,21,0,consistente,
144,all ears,0.72,0.54,0.9,21,0,consistente,
145,a fly on the wall,0.94,0.7,1.17,21,0,consistente,
146,as sharp as a tack,0.87,0.65,1.08,21,0,consistente,
147,She bought a new phone last week.,0.89,0.67,1.11,21,0,consistente,
148,don't put all your eggs in one basket,0.94,0.71,1.18,21,0,consistente,
149,bottom of the barrel,0.81,0.61,1.01,21,0,consistente,
150,carrying the weight of the world,0.89,0.67,1.12,21,0,consistente,
151,cogs in the machine,0.81,0.61,1.02,21,0,consistente,
152,I am traveling to the mountains this weekend.,0.89,0.66,1.11,21,0,consistente,
153,They watched a movie on the weekend.,0.88,0.66,1.1,21,0,consistente,
154,blowing off steam,0.75,0.56,0.94,21,0,consistente,
155,face the music,0.76,0.57,0.95,21,0,consistente,
156,a heart of gold,0.91,0.69,1.14,21,0,consistente,
157,caught in a web,0.85,0.63,1.06,21,0,consistente,
158,She made a salad for lunch.,0.96,0.72,1.2,21,0,consistente,
159,mind over matter,0.86,0.65,1.08,21,0,consistente,
160,as good as done,0.76,0.57,0.95,21,0,consistente,
161,a voice in the wilderness,0.93,0.7,1.17,21,0,consistente,
162,He went to the gym to lift weights.,0.87,0.65,1.08,21,0,consistente,
163,another one bites the dust,0.81,0.61,1.01,21,0,consistente,
164,curiosity killed the cat,1.0,0.75,1.25,21,0,consistente,
165,by leaps and bounds,0.8,0.6,1.0,21,0,consistente,
166,They are practicing their dance routine.,0.86,0.65,1.08,21,0,consistente,
167,honest as the day is long,0.82,0.62,1.03,21,0,consistente,
168,butter wouldn’t melt in their mouth,0.74,0.56,0.93,21,0,consistente,
169,be in hot water,0.79,0.59,0.98,21,0,consistente,
170,by the seat of your pants,0.73,0.54,0.91,21,0,consistente,
171,comfort zone,0.97,0.73,1.21,21,0,consistente,
172,give the green light,0.87,0.66,1.09,21,0,consistente,
173,fingers crossed,0.82,0.62,1.03,21,0,consistente,
174,He went to the airport to catch a flight.,0.91,0.68,1.13,21,0,consistente,
175,as mad as a hatter,0.74,0.55,0.92,21,0,consistente,
176,cracking the whip,0.73,0.54,0.91,21,0,consistente,
177,He is reading a newspaper.,0.91,0.68,1.14,21,0,consistente,
178,as easy as shooting fish in a barrel,0.76,0.57,0.95,21,0,consistente,
179,He is taking photos with his camera.,0.9,0.68,1.13,21,0,consistente,
180,ants in your pants,0.68,0.51,0.85,21,0,consistente,
181,He is cleaning the windows.,0.91,0.68,1.14,21,0,consistente,
182,clean bill of health,0.77,0.58,0.96,21,0,consistente,
183,cold feet,0.7,0.53,0.88,21,0,consistente,
184,burn bridges,0.87,0.65,1.09,21,0,consistente,
185,cat's out of the bag,0.78,0.58,0.97,21,0,consistente,
186,bury your head in the sand,0.84,0.63,1.05,21,0,consistente,
187,He read a book before bed.,0.92,0.69,1.15,21,0,consistente,
188,bridge the gap,0.77,0.57,0.96,21,0,consistente,
189,He went to the doctor for a check-up.,0.9,0.67,1.12,21,0,consistente,
190,She is watching the sunset from the balcony.,0.87,0.65,1.09,21,0,consistente,
191,blessing in disguise,0.88,0.66,1.1,21,0,consistente,
192,a penny for your thoughts,0.87,0.65,1.09,21,0,consistente,
193,He is playing the guitar in the living room.,0.89,0.67,1.11,21,0,consistente,
194,He is sitting on the chair.,0.96,0.72,1.21,21,0,consistente,
195,come hell or high water,0.7,0.52,0.87,21,0,consistente,
196,I went to the beach for vacation.,0.81,0.61,1.01,21,0,consistente,
197,as cool as a cucumber,0.89,0.67,1.12,21,0,consistente,
198,break the ice,0.92,0.69,1.16,21,0,consistente,
199,at the end of the day,0.94,0.7,1.17,21,0,consistente,
200,can't see the forest for the trees,0.88,0.66,1.1,21,0,consistente,
201,He is doing his homework in the study room.,0.86,0.65,1.08,21,0,consistente,
202,They planted flowers in the garden.,0.95,0.72,1.19,21,0,consistente,
203,They are making pizza together.,0.8,0.6,1.0,21,0,consistente,
204,blown out of proportion,0.72,0.54,0.9,21,0,consistente,
205,hand in glove,0.72,0.54,0.9,21,0,consistente,
206,birds of a feather flock together,0.69,0.52,0.87,21,0,consistente,
207,get out of hand,0.86,0.64,1.07,21,0,consistente,
208,He called his parents yesterday.,0.88,0.66,1.1,21,0,consistente,
209,He wrote a letter to his friend.,0.94,0.7,1.17,21,0,consistente,
210,She danced at the party last night.,0.89,0.67,1.11,21,0,consistente,
211,close to home,0.85,0.64,1.06,21,0,consistente,
212,"if you can't stand the heat, get out of the kitchen",0.89,0.67,1.11,21,0,consistente,
213,between the devil and the deep blue sea,0.83,0.62,1.04,21,0,consistente,
214,get cold feet,0.68,0.51,0.85,21,0,consistente,
215,fish out of water,0.9,0.68,1.13,21,0,consistente,
216,over the moon,0.71,0.53,0.89,21,0,consistente,
217,once in a blue moon,0.71,0.53,0.89,21,0,consistente,
218,chip off the old block,0.69,0.52,0.87,21,0,consistente,
219,break the mold,0.81,0.61,1.01,21,0,consistente,
220,ace in the hole,0.76,0.57,0.96,21,0,consistente,
221,She is gardening in the backyard.,0.84,0.63,1.05,21,0,consistente,
222,blind as a bat,0.92,0.69,1.15,21,3,discrepante,
223,call it a day,0.73,0.55,0.91,21,0,consistente,
224,calm before the storm,0.91,0.69,1.14,21,0,consistente,
225,He attended a wedding last weekend.,0.92,0.69,1.15,21,0,consistente,
226,chill to the bone,0.69,0.52,0.87,21,0,consistente,
227,broad strokes,0.71,0.53,0.89,21,0,consistente,
228,She is listening to music while cooking.,0.84,0.63,1.05,21,0,consistente,
229,blind as a bat,0.95,0.71,1.19,21,2,discrepante,
230,all thumbs,0.7,0.53,0.88,21,0,consistente,
231,chip on your shoulder,0.66,0.49,0.82,21,0,consistente,
232,chase rainbows,0.7,0.52,0.87,21,0,consistente,
233,"hope for the best, prepare for the worst",0.89,0.67,1.11,21,2,discrepante,
234,get a grip,0.71,0.53,0.89,21,0,consistente,
235,finger on the pulse,0.74,0.55,0.92,21,0,consistente,
236,ball of fire,0.81,0.61,1.01,21,0,consistente,
237,He is making tea in the kitchen.,0.91,0.68,1.14,21,0,consistente,
238,bite your lip,0.83,0.63,1.04,21,0,consistente,
239,live in a glass house,0.87,0.65,1.08,21,0,consistente,
240,into thin air,0.74,0.55,0.92,21,0,consistente,
241,don’t cry over spilled milk,0.93,0.69,1.16,21,0,consistente,
242,don't count your chickens before they hatch,0.75,0.56,0.94,21,0,consistente,
243,close to my heart,0.85,0.63,1.06,21,0,consistente,
244,He went fishing with his friends.,0.97,0.73,1.21,21,0,consistente,
245,as clear as mud,0.76,0.57,0.95,21,0,consistente,
246,be a fly on the wall,0.98,0.73,1.22,21,0,consistente,
247,changing gears,0.88,0.66,1.1,21,0,consistente,
248,call it quits,0.75,0.57,0.94,21,0,consistente,
249,bottom line,0.68,0.51,0.86,21,0,consistente,
250,bet the farm,0.8,0.6,1.0,21,0,consistente,
251,as free as a bird,0.93,0.7,1.16,21,0,consistente,
252,flying by the seat of your pants,0.7,0.53,0.88,21,0,consistente,
253,chasing your tail,0.78,0.59,0.98,21,0,consistente,
254,She plays the piano beautifully.,0.83,0.63,1.04,21,0,consistente,
255,heart of stone,0.96,0.72,1.2,21,0,consistente,
256,They are going to the cinema tonight.,0.92,0.69,1.15,21,0,consistente,
257,a taste of your own medicine,0.81,0.61,1.02,21,0,consistente,
258,break the ice,0.95,0.71,1.18,21,0,consistente,
259,cloud of suspicion,0.92,0.69,1.15,21,0,consistente,
260,diamond in the rough,0.8,0.6,1.0,21,0,consistente,
261,beat the clock,0.83,0.62,1.04,21,0,consistente,
262,He is repairing the broken chair.,0.92,0.69,1.15,21,0,consistente,
263,She is watching a movie at the theater.,0.8,0.6,0.99,21,0,consistente,
264,a penny saved is a penny earned,0.87,0.66,1.09,21,0,consistente,
265,He cleaned the garage on Saturday.,0.88,0.66,1.09,21,0,consistente,
266,a fish out of water,0.92,0.69,1.15,21,0,consistente,
267,down to earth,0.84,0.63,1.05,21,0,consistente,
268,happy as a clam,0.73,0.55,0.91,21,0,consistente,
269,He visited the museum with his class.,0.94,0.7,1.17,21,0,consistente,
270,I visited my parents last weekend.,0.9,0.68,1.13,21,0,consistente,
271,by the skin of your teeth,0.76,0.57,0.95,21,0,consistente,
272,crack the code,0.77,0.58,0.96,21,0,consistente,
273,He watched a football match on TV.,0.87,0.65,1.08,21,0,consistente,
274,climbing the corporate ladder,0.83,0.63,1.04,21,0,consistente,
275,all in the same boat,0.9,0.67,1.12,21,0,consistente,
276,cold feet,0.7,0.53,0.88,21,0,consistente,
277,a mountain to climb,0.93,0.7,1.17,21,0,consistente,
278,break the back of it,0.72,0.54,0.9,21,0,consistente,
279,blowing off steam,0.83,0.62,1.04,21,0,consistente,
280,cook up a storm,0.8,0.6,1.0,21,0,consistente,
281,dead in the water,0.76,0.57,0.95,21,0,consistente,
282,bite the big one,0.72,0.54,0.9,21,0,consistente,
283,buy a lemon,0.75,0.56,0.94,21,0,consistente,
284,get a second wind,0.78,0.58,0.97,21,0,consistente,
285,He is working on his laptop.,0.85,0.64,1.06,21,0,consistente,
286,clear as mud,0.77,0.57,0.96,21,0,consistente,
287,different strokes for different folks,0.71,0.53,0.88,21,0,consistente,
288,She had a cup of soup for lunch.,0.89,0.67,1.11,21,0,consistente,
289,cast the first stone,0.93,0.7,1.16,21,0,consistente,
290,call a spade a spade,0.76,0.57,0.94,21,0,consistente,
291,a ray of hope,0.92,0.69,1.15,21,0,consistente,
292,They are painting the walls of their house.,0.89,0.67,1.11,21,0,consistente,
293,crash course,0.9,0.67,1.12,21,0,consistente,
294,The sun rises in the east.,0.89,0.67,1.11,21,0,consistente,
295,an arm and a leg,0.7,0.53,0.88,21,0,consistente,
296,breaking the mold,0.82,0.61,1.02,21,0,consistente,
297,caught red-handed,0.73,0.55,0.91,21,0,consistente,
298,blood from a stone,0.82,0.61,1.02,21,0,consistente,
299,beyond the pale,0.78,0.59,0.98,21,0,consistente,
300,She is walking through the forest.,0.85,0.63,1.06,21,0,consistente,
301,blood runs thicker than water,0.75,0.57,0.94,21,0,consistente,
302,follow your nose,0.84,0.63,1.05,21,0,consistente,
303,hard nut to crack,0.72,0.54,0.89,21,0,consistente,
304,an ounce of prevention is worth a pound of cure,0.83,0.62,1.04,21,0,consistente,
305,come apart at the seams,0.73,0.55,0.91,21,0,consistente,
306,She is arranging flowers in a vase.,0.88,0.66,1.1,21,0,consistente,
307,They went shopping for new clothes.,0.85,0.64,1.07,21,0,consistente,
308,big league,0.8,0.6,1.0,21,0,consistente,
309,She is packing her suitcase for a trip.,0.92,0.69,1.15,21,0,consistente,
310,She attended a conference last week.,0.94,0.7,1.17,21,0,consistente,
311,all that glitters is not gold,0.91,0.68,1.14,21,0,consistente,
312,rain on your parade,0.74,0.56,0.93,21,0,consistente,
313,as stubborn as a mule,0.89,0.66,1.11,21,0,consistente,
314,fall on deaf ears,0.89,0.67,1.12,21,0,consistente,
315,She is preparing dinner for the guests.,0.93,0.7,1.16,21,0,consistente,
316,He is writing an essay for school.,0.89,0.67,1.11,21,0,consistente,
317,beating a dead horse,0.84,0.63,1.05,21,0,consistente,
318,keep your eyes peeled,0.78,0.59,0.98,21,0,consistente,
319,He visited his grandmother in the hospital.,0.87,0.65,1.09,21,0,consistente,
320,caught in the crossfire,0.88,0.66,1.1,21,0,consistente,
321,a blessing in disguise,0.9,0.67,1.12,21,0,consistente,
322,bending over backwards,0.7,0.53,0.88,21,0,consistente,
323,He is drawing in his sketchbook.,0.86,0.65,1.08,21,0,consistente,
324,a new lease on life,0.8,0.6,1.0,21,0,consistente,
325,climbing the ladder,0.84,0.63,1.05,21,0,consistente,
326,a rolling stone gathers no moss,0.8,0.6,1.0,21,0,consistente,
327,better half,0.73,0.55,0.91,21,0,consistente,
328,He is eating dinner with his family.,0.88,0.66,1.1,21,0,consistente,
329,in the bag,0.72,0.54,0.9,21,0,consistente,
330,dead as a doornail,0.8,0.6,1.0,21,0,consistente,
331,She is playing with her children in the garden.,0.92,0.69,1.15,21,0,consistente,
332,I am playing video games in my room.,0.87,0.65,1.09,21,0,consistente,
333,cut to the chase,0.85,0.64,1.07,21,0,consistente,
334,cut the mustardcross that bridge when you come to it,0.64,0.48,0.8,21,0,consistente,
335,She works as a software engineer.,0.85,0.64,1.07,21,0,consistente,
336,He is going to the post office.,0.9,0.67,1.12,21,0,consistente,
337,bare your soul,0.77,0.58,0.97,21,0,consistente,
338,bad blood,0.72,0.54,0.9,21,0,consistente,
339,She is playing piano in the evening.,0.84,0.63,1.05,21,0,consistente,
340,go down in flames,0.75,0.56,0.94,21,0,consistente,
341,get your ducks in a row,0.71,0.53,0.89,21,0,consistente,
342,They cleaned the house on Saturday.,0.88,0.66,1.1,21,0,consistente,
343,at death's door,0.86,0.65,1.08,21,0,consistente,
344,cut the mustard,0.75,0.56,0.94,21,0,consistente,
345,by the book,0.72,0.54,0.91,21,0,consistente,
346,She played cards with her friends.,0.91,0.68,1.14,21,0,consistente,
347,an old flame,0.83,0.62,1.03,21,0,consistente,
348,They are reading a novel by the fireplace.,0.89,0.67,1.11,21,0,consistente,
349,caught between a rock and a hard place,0.93,0.7,1.16,21,0,consistente,
350,a sinking ship,0.76,0.57,0.95,21,0,consistente,
351,drive me up the wall,0.78,0.58,0.97,21,0,consistente,
352,I called my friend last night.,0.9,0.67,1.12,21,0,consistente,
353,burn the candle at both ends,0.85,0.64,1.06,21,3,discrepante,
354,They are attending a concert tonight.,0.88,0.66,1.1,21,0,consistente,
355,bite the bullet,0.77,0.58,0.96,21,0,consistente,
356,chase your tail,0.83,0.62,1.03,21,0,consistente,
357,cool as a cucumber,0.86,0.65,1.08,21,0,consistente,
358,don't put all your eggs in one basket,0.96,0.72,1.2,21,0,consistente,
359,black as coal,0.91,0.68,1.14,21,0,consistente,
360,ants in your pants,0.69,0.52,0.86,21,0,consistente,
361,don't bite the hand that feeds you,0.96,0.72,1.2,21,0,consistente,
362,live to fight another day,0.9,0.67,1.12,21,0,consistente,
363,cat's meow,0.79,0.59,0.98,21,0,consistente,
364,by the book,0.72,0.54,0.91,21,0,consistente,
365,by the skin of your teeth,0.79,0.59,0.98,21,0,consistente,
366,busy as a bee,0.87,0.65,1.09,21,0,consistente,
367,calm before the storm,0.91,0.69,1.14,21,0,consistente,
368,She visited the art gallery on Sunday.,0.91,0.68,1.13,21,0,consistente,
369,They went to a restaurant for dinner.,0.82,0.61,1.02,21,0,consistente,
370,all thumbs,0.69,0.52,0.86,21,0,consistente,
371,She is dancing to the music.,0.89,0.67,1.11,21,0,consistente,
372,bend the rules,0.85,0.64,1.06,21,0,consistente,
373,bring to the table,0.71,0.54,0.89,21,0,consistente,
374,crash and burn,0.71,0.53,0.88,21,0,consistente,
375,They are playing chess at the table.,0.92,0.69,1.15,21,0,consistente,
376,bare bones,0.73,0.54,0.91,21,0,consistente,
377,an uphill battle,0.82,0.61,1.02,21,0,consistente,
378,cast a shadow,0.88,0.66,1.1,21,0,consistente,
379,She is watching the stars at night.,0.86,0.65,1.08,21,0,consistente,
380,don’t put all your eggs in one basket,0.91,0.68,1.13,21,0,consistente,
381,face the music,0.73,0.55,0.92,21,0,consistente,
382,She is practicing yoga in the park.,0.83,0.62,1.04,21,0,consistente,
383,He made a sandwich for lunch.,0.94,0.7,1.17,21,0,consistente,
384,hit the books,0.74,0.55,0.92,21,0,consistente,
385,close shave,0.7,0.52,0.87,21,0,consistente,
386,a leopard can't change its spots,0.82,0.61,1.02,21,0,consistente,
387,couch potato,0.7,0.52,0.87,21,0,consistente,
388,She walked to the store.,0.85,0.64,1.06,21,0,consistente,
389,like riding a bike,0.93,0.7,1.16,21,0,consistente,
390,They are playing volleyball at the beach.,0.84,0.63,1.05,21,0,consistente,
391,He is playing soccer with his friends.,0.92,0.69,1.15,21,0,consistente,
392,curiosity killed the cat,1.0,0.75,1.25,21,0,consistente,
393,barking up the wrong tree,0.74,0.55,0.92,21,0,consistente,
394,They are visiting the zoo.,0.85,0.64,1.06,21,0,consistente,
395,pull the plug,0.73,0.55,0.92,21,0,consistente,
396,beat a hasty retreat,0.71,0.53,0.89,21,0,consistente,
397,I went to the store to buy some bread.,0.85,0.63,1.06,21,0,consistente,
398,butterflies in my stomach,0.77,0.58,0.97,21,0,consistente,
399,come up against a brick wall,0.75,0.56,0.94,21,0,consistente,
400,smooth sailing,0.76,0.57,0.95,21,0,consistente,
401,She is sending a letter to her friend.,0.95,0.71,1.19,21,0,consistente,
402,He is checking his email.,0.88,0.66,1.1,21,0,consistente,
403,an uphill battle,0.85,0.64,1.06,21,0,consistente,
404,make waves,0.77,0.57,0.96,21,0,consistente,
405,bury the hatchet,0.81,0.61,1.01,21,0,consistente,
406,as good as gold,0.75,0.56,0.93,21,0,consistente,
407,She is putting on her shoes.,0.95,0.71,1.18,21,0,consistente,
408,built like a tank,0.88,0.66,1.09,21,0,consistente,
409,hit the sack,0.73,0.55,0.91,21,0,consistente,
410,burst your bubble,0.82,0.61,1.02,21,0,consistente,
411,He is going for a bike ride.,0.9,0.67,1.12,21,0,consistente,
412,bite the dust,0.75,0.56,0.93,21,0,consistente,
413,falling apart at the seams,0.83,0.62,1.03,21,0,consistente,
414,They are jogging through the park.,0.93,0.7,1.16,21,0,consistente,
415,backseat driver,0.69,0.52,0.87,21,0,consistente,
416,a blessing in disguise,0.94,0.71,1.18,21,3,discrepante,
417,back against the wall,0.68,0.51,0.85,21,0,consistente,
418,blue collar,0.71,0.53,0.89,21,0,consistente,
419,kill two birds with one stone,1.0,0.75,1.25,21,0,consistente,
420,at the drop of a hat,0.71,0.53,0.89,21,0,consistente,
421,by a hair's breadth,0.8,0.6,1.0,21,0,consistente,
422,They are planning a trip to Europe.,0.84,0.63,1.05,21,0,consistente,
423,big picture,0.79,0.6,0.99,21,0,consistente,
424,beat around the bush,0.77,0.58,0.96,21,0,consistente,
425,cast in stone,0.87,0.65,1.09,21,0,consistente,
426,They went to the supermarket yesterday.,0.79,0.59,0.98,21,0,consistente,
427,She cleaned the kitchen after dinner.,0.91,0.68,1.14,21,0,consistente,
428,He traveled to Paris last year.,0.93,0.7,1.16,21,0,consistente,
429,face like thunder,0.72,0.54,0.91,21,0,consistente,
430,I am learning how to cook.,0.8,0.6,1.0,21,0,consistente,
431,She is wearing a red dress.,0.96,0.72,1.2,21,0,consistente,
432,come rain or shine,0.75,0.56,0.94,21,0,consistente,
433,get the ball rolling,0.75,0.56,0.93,21,0,consistente,
434,He went to the gym for a workout session.,0.87,0.66,1.09,21,0,consistente,
