indice,ingles_original,modelo_a,prompt_a,trad_a,modelo_b,prompt_b,trad_b,bertscore,mediana_bertscore,limite_inferior,limite_superior,status
0,crack the whip,gemini,prompt4,Dar chicotadas.,gemma3,prompt2,"Endurecer, aplicar medidas rigorosas.",0.67,0.7,0.53,0.88,consistente
0,crack the whip,gemini,prompt4,Dar chicotadas.,gemma3,prompt4,Apurar o chicote.,0.77,0.7,0.53,0.88,consistente
0,crack the whip,gemini,prompt4,Dar chicotadas.,gemmaX,sem_prompt,crack the whip,0.65,0.7,0.53,0.88,consistente
0,crack the whip,gemma3,prompt2,"Endurecer, aplicar medidas rigorosas.",gemma3,prompt4,Apurar o chicote.,0.68,0.7,0.53,0.88,consistente
0,crack the whip,gemma3,prompt2,"Endurecer, aplicar medidas rigorosas.",gemmaX,sem_prompt,crack the whip,0.6,0.7,0.53,0.88,consistente
0,crack the whip,gemma3,prompt4,Apurar o chicote.,gemmaX,sem_prompt,crack the whip,0.65,0.7,0.53,0.88,consistente
1,blow off steam,gpt,prompt2,desabafar,gpt,prompt4,dar um passeio,0.73,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt2,desabafar,gemini,prompt2,Desabafar,0.89,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt2,desabafar,gemini,prompt4,Desabafar,0.89,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt2,desabafar,gemma3,prompt2,Desabafar.,0.83,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt2,desabafar,gemma3,prompt4,Soltar a pressão.,0.68,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt2,desabafar,gemmaX,sem_prompt,desabafar,1.0,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt4,dar um passeio,gemini,prompt2,Desabafar,0.65,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt4,dar um passeio,gemini,prompt4,Desabafar,0.65,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt4,dar um passeio,gemma3,prompt2,Desabafar.,0.66,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt4,dar um passeio,gemma3,prompt4,Soltar a pressão.,0.75,0.75,0.56,0.93,consistente
1,blow off steam,gpt,prompt4,dar um passeio,gemmaX,sem_prompt,desabafar,0.73,0.75,0.56,0.93,consistente
1,blow off steam,gemini,prompt2,Desabafar,gemini,prompt4,Desabafar,1.0,0.75,0.56,0.93,consistente
1,blow off steam,gemini,prompt2,Desabafar,gemma3,prompt2,Desabafar.,0.85,0.75,0.56,0.93,consistente
1,blow off steam,gemini,prompt2,Desabafar,gemma3,prompt4,Soltar a pressão.,0.63,0.75,0.56,0.93,consistente
1,blow off steam,gemini,prompt2,Desabafar,gemmaX,sem_prompt,desabafar,0.89,0.75,0.56,0.93,consistente
1,blow off steam,gemini,prompt4,Desabafar,gemma3,prompt2,Desabafar.,0.85,0.75,0.56,0.93,consistente
1,blow off steam,gemini,prompt4,Desabafar,gemma3,prompt4,Soltar a pressão.,0.63,0.75,0.56,0.93,consistente
1,blow off steam,gemini,prompt4,Desabafar,gemmaX,sem_prompt,desabafar,0.89,0.75,0.56,0.93,consistente
1,blow off steam,gemma3,prompt2,Desabafar.,gemma3,prompt4,Soltar a pressão.,0.69,0.75,0.56,0.93,consistente
1,blow off steam,gemma3,prompt2,Desabafar.,gemmaX,sem_prompt,desabafar,0.83,0.75,0.56,0.93,consistente
1,blow off steam,gemma3,prompt4,Soltar a pressão.,gemmaX,sem_prompt,desabafar,0.68,0.75,0.56,0.93,consistente
2,let the cat out of the bag,gpt,prompt2,Deixar o gato sair do saco.,gpt,prompt4,Deixar o gato sair do saco.,1.0,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt2,Deixar o gato sair do saco.,gemini,prompt2,Revelar o segredo.,0.75,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt2,Deixar o gato sair do saco.,gemini,prompt4,Revelar o segredo.,0.75,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt2,Deixar o gato sair do saco.,gemma3,prompt2,Revelar o segredo,0.72,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt2,Deixar o gato sair do saco.,gemma3,prompt4,Esparramar a pulga.,0.76,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt2,Deixar o gato sair do saco.,gemmaX,sem_prompt,Deixe o gato sair da sacola,0.88,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt4,Deixar o gato sair do saco.,gemini,prompt2,Revelar o segredo.,0.75,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt4,Deixar o gato sair do saco.,gemini,prompt4,Revelar o segredo.,0.75,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt4,Deixar o gato sair do saco.,gemma3,prompt2,Revelar o segredo,0.72,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt4,Deixar o gato sair do saco.,gemma3,prompt4,Esparramar a pulga.,0.76,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gpt,prompt4,Deixar o gato sair do saco.,gemmaX,sem_prompt,Deixe o gato sair da sacola,0.88,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemini,prompt2,Revelar o segredo.,gemini,prompt4,Revelar o segredo.,1.0,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemini,prompt2,Revelar o segredo.,gemma3,prompt2,Revelar o segredo,0.94,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemini,prompt2,Revelar o segredo.,gemma3,prompt4,Esparramar a pulga.,0.77,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemini,prompt2,Revelar o segredo.,gemmaX,sem_prompt,Deixe o gato sair da sacola,0.7,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemini,prompt4,Revelar o segredo.,gemma3,prompt2,Revelar o segredo,0.94,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemini,prompt4,Revelar o segredo.,gemma3,prompt4,Esparramar a pulga.,0.77,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemini,prompt4,Revelar o segredo.,gemmaX,sem_prompt,Deixe o gato sair da sacola,0.7,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemma3,prompt2,Revelar o segredo,gemma3,prompt4,Esparramar a pulga.,0.73,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemma3,prompt2,Revelar o segredo,gemmaX,sem_prompt,Deixe o gato sair da sacola,0.73,0.75,0.56,0.94,consistente
2,let the cat out of the bag,gemma3,prompt4,Esparramar a pulga.,gemmaX,sem_prompt,Deixe o gato sair da sacola,0.73,0.75,0.56,0.94,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt2,Eles estão andando de bicicletas na vizinhança.,gpt,prompt4,Eles estão passeando de bicicleta pelo bairro.,0.9,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt2,Eles estão andando de bicicletas na vizinhança.,gemini,prompt2,Eles estão andando de bicicleta no bairro.,0.92,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt2,Eles estão andando de bicicletas na vizinhança.,gemini,prompt4,Estão pedalando pela vizinhança.,0.84,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt2,Eles estão andando de bicicletas na vizinhança.,gemma3,prompt2,Eles estão andando de bicicleta no bairro.,0.92,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt2,Eles estão andando de bicicletas na vizinhança.,gemma3,prompt4,Eles deslizam sobre duas rodas pela vizinhança.,0.84,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt2,Eles estão andando de bicicletas na vizinhança.,gemmaX,sem_prompt,Eles estão andando de bicicleta pelo bairro.,0.91,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt4,Eles estão passeando de bicicleta pelo bairro.,gemini,prompt2,Eles estão andando de bicicleta no bairro.,0.97,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt4,Eles estão passeando de bicicleta pelo bairro.,gemini,prompt4,Estão pedalando pela vizinhança.,0.81,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt4,Eles estão passeando de bicicleta pelo bairro.,gemma3,prompt2,Eles estão andando de bicicleta no bairro.,0.97,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt4,Eles estão passeando de bicicleta pelo bairro.,gemma3,prompt4,Eles deslizam sobre duas rodas pela vizinhança.,0.78,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gpt,prompt4,Eles estão passeando de bicicleta pelo bairro.,gemmaX,sem_prompt,Eles estão andando de bicicleta pelo bairro.,0.98,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemini,prompt2,Eles estão andando de bicicleta no bairro.,gemini,prompt4,Estão pedalando pela vizinhança.,0.79,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemini,prompt2,Eles estão andando de bicicleta no bairro.,gemma3,prompt2,Eles estão andando de bicicleta no bairro.,1.0,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemini,prompt2,Eles estão andando de bicicleta no bairro.,gemma3,prompt4,Eles deslizam sobre duas rodas pela vizinhança.,0.77,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemini,prompt2,Eles estão andando de bicicleta no bairro.,gemmaX,sem_prompt,Eles estão andando de bicicleta pelo bairro.,0.98,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemini,prompt4,Estão pedalando pela vizinhança.,gemma3,prompt2,Eles estão andando de bicicleta no bairro.,0.79,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemini,prompt4,Estão pedalando pela vizinhança.,gemma3,prompt4,Eles deslizam sobre duas rodas pela vizinhança.,0.84,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemini,prompt4,Estão pedalando pela vizinhança.,gemmaX,sem_prompt,Eles estão andando de bicicleta pelo bairro.,0.8,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemma3,prompt2,Eles estão andando de bicicleta no bairro.,gemma3,prompt4,Eles deslizam sobre duas rodas pela vizinhança.,0.77,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemma3,prompt2,Eles estão andando de bicicleta no bairro.,gemmaX,sem_prompt,Eles estão andando de bicicleta pelo bairro.,0.98,0.84,0.63,1.05,consistente
3,They are riding bicycles in the neighborhood.,gemma3,prompt4,Eles deslizam sobre duas rodas pela vizinhança.,gemmaX,sem_prompt,Eles estão andando de bicicleta pelo bairro.,0.78,0.84,0.63,1.05,consistente
4,He likes to watch movies in his free time.,gpt,prompt2,Ele gosta de assistir a filmes no seu tempo livre.,gpt,prompt4,Ele gosta de assistir a filmes em seu tempo livre.,0.99,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt2,Ele gosta de assistir a filmes no seu tempo livre.,gemini,prompt2,Ele gosta de assistir filmes em seu tempo livre.,0.98,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt2,Ele gosta de assistir a filmes no seu tempo livre.,gemini,prompt4,Ele se delicia com filmes nos tempos livres.,0.83,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt2,Ele gosta de assistir a filmes no seu tempo livre.,gemma3,prompt2,Ele gosta de assistir filmes no tempo livre.,0.96,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt2,Ele gosta de assistir a filmes no seu tempo livre.,gemma3,prompt4,Ele se perde nas telonas quando o tempo é dele.,0.76,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt2,Ele gosta de assistir a filmes no seu tempo livre.,gemmaX,sem_prompt,Ele gosta de assistir filmes em seu tempo livre.,0.98,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt4,Ele gosta de assistir a filmes em seu tempo livre.,gemini,prompt2,Ele gosta de assistir filmes em seu tempo livre.,0.99,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt4,Ele gosta de assistir a filmes em seu tempo livre.,gemini,prompt4,Ele se delicia com filmes nos tempos livres.,0.83,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt4,Ele gosta de assistir a filmes em seu tempo livre.,gemma3,prompt2,Ele gosta de assistir filmes no tempo livre.,0.95,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt4,Ele gosta de assistir a filmes em seu tempo livre.,gemma3,prompt4,Ele se perde nas telonas quando o tempo é dele.,0.75,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gpt,prompt4,Ele gosta de assistir a filmes em seu tempo livre.,gemmaX,sem_prompt,Ele gosta de assistir filmes em seu tempo livre.,0.99,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemini,prompt2,Ele gosta de assistir filmes em seu tempo livre.,gemini,prompt4,Ele se delicia com filmes nos tempos livres.,0.84,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemini,prompt2,Ele gosta de assistir filmes em seu tempo livre.,gemma3,prompt2,Ele gosta de assistir filmes no tempo livre.,0.97,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemini,prompt2,Ele gosta de assistir filmes em seu tempo livre.,gemma3,prompt4,Ele se perde nas telonas quando o tempo é dele.,0.75,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemini,prompt2,Ele gosta de assistir filmes em seu tempo livre.,gemmaX,sem_prompt,Ele gosta de assistir filmes em seu tempo livre.,1.0,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemini,prompt4,Ele se delicia com filmes nos tempos livres.,gemma3,prompt2,Ele gosta de assistir filmes no tempo livre.,0.85,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemini,prompt4,Ele se delicia com filmes nos tempos livres.,gemma3,prompt4,Ele se perde nas telonas quando o tempo é dele.,0.8,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemini,prompt4,Ele se delicia com filmes nos tempos livres.,gemmaX,sem_prompt,Ele gosta de assistir filmes em seu tempo livre.,0.84,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemma3,prompt2,Ele gosta de assistir filmes no tempo livre.,gemma3,prompt4,Ele se perde nas telonas quando o tempo é dele.,0.77,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemma3,prompt2,Ele gosta de assistir filmes no tempo livre.,gemmaX,sem_prompt,Ele gosta de assistir filmes em seu tempo livre.,0.97,0.85,0.63,1.06,consistente
4,He likes to watch movies in his free time.,gemma3,prompt4,Ele se perde nas telonas quando o tempo é dele.,gemmaX,sem_prompt,Ele gosta de assistir filmes em seu tempo livre.,0.75,0.85,0.63,1.06,consistente
5,She enjoys painting in her free time.,gpt,prompt2,Ela gosta de pintar em seu tempo livre.,gpt,prompt4,Ela se diverte pintando em seu tempo livre.,0.9,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt2,Ela gosta de pintar em seu tempo livre.,gemini,prompt2,Ela gosta de pintar no tempo livre.,0.96,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt2,Ela gosta de pintar em seu tempo livre.,gemini,prompt4,Ela se entrega à pintura nos intervalos da vida.,0.79,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt2,Ela gosta de pintar em seu tempo livre.,gemma3,prompt2,Ela gosta de pintar no tempo livre.,0.96,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt2,Ela gosta de pintar em seu tempo livre.,gemma3,prompt4,Ela se entrega à paleta quando o tempo lhe permite.,0.76,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt2,Ela gosta de pintar em seu tempo livre.,gemmaX,sem_prompt,Ela gosta de pintar em seu tempo livre.,1.0,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt4,Ela se diverte pintando em seu tempo livre.,gemini,prompt2,Ela gosta de pintar no tempo livre.,0.86,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt4,Ela se diverte pintando em seu tempo livre.,gemini,prompt4,Ela se entrega à pintura nos intervalos da vida.,0.81,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt4,Ela se diverte pintando em seu tempo livre.,gemma3,prompt2,Ela gosta de pintar no tempo livre.,0.86,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt4,Ela se diverte pintando em seu tempo livre.,gemma3,prompt4,Ela se entrega à paleta quando o tempo lhe permite.,0.79,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gpt,prompt4,Ela se diverte pintando em seu tempo livre.,gemmaX,sem_prompt,Ela gosta de pintar em seu tempo livre.,0.9,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemini,prompt2,Ela gosta de pintar no tempo livre.,gemini,prompt4,Ela se entrega à pintura nos intervalos da vida.,0.8,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemini,prompt2,Ela gosta de pintar no tempo livre.,gemma3,prompt2,Ela gosta de pintar no tempo livre.,1.0,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemini,prompt2,Ela gosta de pintar no tempo livre.,gemma3,prompt4,Ela se entrega à paleta quando o tempo lhe permite.,0.77,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemini,prompt2,Ela gosta de pintar no tempo livre.,gemmaX,sem_prompt,Ela gosta de pintar em seu tempo livre.,0.96,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemini,prompt4,Ela se entrega à pintura nos intervalos da vida.,gemma3,prompt2,Ela gosta de pintar no tempo livre.,0.8,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemini,prompt4,Ela se entrega à pintura nos intervalos da vida.,gemma3,prompt4,Ela se entrega à paleta quando o tempo lhe permite.,0.82,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemini,prompt4,Ela se entrega à pintura nos intervalos da vida.,gemmaX,sem_prompt,Ela gosta de pintar em seu tempo livre.,0.79,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemma3,prompt2,Ela gosta de pintar no tempo livre.,gemma3,prompt4,Ela se entrega à paleta quando o tempo lhe permite.,0.77,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemma3,prompt2,Ela gosta de pintar no tempo livre.,gemmaX,sem_prompt,Ela gosta de pintar em seu tempo livre.,0.96,0.82,0.61,1.02,consistente
5,She enjoys painting in her free time.,gemma3,prompt4,Ela se entrega à paleta quando o tempo lhe permite.,gemmaX,sem_prompt,Ela gosta de pintar em seu tempo livre.,0.76,0.82,0.61,1.02,consistente
6,bite off more than you can chew,gpt,prompt2,morder mais do que você pode mastigar,gpt,prompt4,dar um passo maior que a perna,0.7,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt2,morder mais do que você pode mastigar,gemini,prompt2,Morder mais do que pode mastigar.,0.83,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt2,morder mais do que você pode mastigar,gemini,prompt4,Morder mais do que a boca.,0.75,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt2,morder mais do que você pode mastigar,gemma3,prompt2,Morder mais do que se pode mastigar.,0.82,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt2,morder mais do que você pode mastigar,gemma3,prompt4,Morder mais do que se pode mastigar.,0.82,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt2,morder mais do que você pode mastigar,gemmaX,sem_prompt,tomar mais do que se pode mastigar,0.9,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt4,dar um passo maior que a perna,gemini,prompt2,Morder mais do que pode mastigar.,0.67,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt4,dar um passo maior que a perna,gemini,prompt4,Morder mais do que a boca.,0.74,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt4,dar um passo maior que a perna,gemma3,prompt2,Morder mais do que se pode mastigar.,0.68,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt4,dar um passo maior que a perna,gemma3,prompt4,Morder mais do que se pode mastigar.,0.68,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gpt,prompt4,dar um passo maior que a perna,gemmaX,sem_prompt,tomar mais do que se pode mastigar,0.71,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemini,prompt2,Morder mais do que pode mastigar.,gemini,prompt4,Morder mais do que a boca.,0.85,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemini,prompt2,Morder mais do que pode mastigar.,gemma3,prompt2,Morder mais do que se pode mastigar.,0.97,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemini,prompt2,Morder mais do que pode mastigar.,gemma3,prompt4,Morder mais do que se pode mastigar.,0.97,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemini,prompt2,Morder mais do que pode mastigar.,gemmaX,sem_prompt,tomar mais do que se pode mastigar,0.83,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemini,prompt4,Morder mais do que a boca.,gemma3,prompt2,Morder mais do que se pode mastigar.,0.84,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemini,prompt4,Morder mais do que a boca.,gemma3,prompt4,Morder mais do que se pode mastigar.,0.84,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemini,prompt4,Morder mais do que a boca.,gemmaX,sem_prompt,tomar mais do que se pode mastigar,0.74,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemma3,prompt2,Morder mais do que se pode mastigar.,gemma3,prompt4,Morder mais do que se pode mastigar.,1.0,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemma3,prompt2,Morder mais do que se pode mastigar.,gemmaX,sem_prompt,tomar mais do que se pode mastigar,0.85,0.83,0.62,1.03,consistente
6,bite off more than you can chew,gemma3,prompt4,Morder mais do que se pode mastigar.,gemmaX,sem_prompt,tomar mais do que se pode mastigar,0.85,0.83,0.62,1.03,consistente
7,my hands are tied,gpt,prompt2,Minhas mãos estão atadas.,gpt,prompt4,Minhas mãos estão atadas.,1.0,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt2,Minhas mãos estão atadas.,gemini,prompt2,Estou de mãos atadas.,0.82,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt2,Minhas mãos estão atadas.,gemini,prompt4,Estou de mãos atadas.,0.82,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt2,Minhas mãos estão atadas.,gemma3,prompt2,As minhas mãos estão atadas.,0.95,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt2,Minhas mãos estão atadas.,gemma3,prompt4,As mãos estão atadas.,0.89,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt2,Minhas mãos estão atadas.,gemmaX,sem_prompt,Minhas mãos estão atadas,0.92,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt4,Minhas mãos estão atadas.,gemini,prompt2,Estou de mãos atadas.,0.82,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt4,Minhas mãos estão atadas.,gemini,prompt4,Estou de mãos atadas.,0.82,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt4,Minhas mãos estão atadas.,gemma3,prompt2,As minhas mãos estão atadas.,0.95,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt4,Minhas mãos estão atadas.,gemma3,prompt4,As mãos estão atadas.,0.89,0.85,0.64,1.06,consistente
7,my hands are tied,gpt,prompt4,Minhas mãos estão atadas.,gemmaX,sem_prompt,Minhas mãos estão atadas,0.92,0.85,0.64,1.06,consistente
7,my hands are tied,gemini,prompt2,Estou de mãos atadas.,gemini,prompt4,Estou de mãos atadas.,1.0,0.85,0.64,1.06,consistente
7,my hands are tied,gemini,prompt2,Estou de mãos atadas.,gemma3,prompt2,As minhas mãos estão atadas.,0.81,0.85,0.64,1.06,consistente
7,my hands are tied,gemini,prompt2,Estou de mãos atadas.,gemma3,prompt4,As mãos estão atadas.,0.85,0.85,0.64,1.06,consistente
7,my hands are tied,gemini,prompt2,Estou de mãos atadas.,gemmaX,sem_prompt,Minhas mãos estão atadas,0.77,0.85,0.64,1.06,consistente
7,my hands are tied,gemini,prompt4,Estou de mãos atadas.,gemma3,prompt2,As minhas mãos estão atadas.,0.81,0.85,0.64,1.06,consistente
7,my hands are tied,gemini,prompt4,Estou de mãos atadas.,gemma3,prompt4,As mãos estão atadas.,0.85,0.85,0.64,1.06,consistente
7,my hands are tied,gemini,prompt4,Estou de mãos atadas.,gemmaX,sem_prompt,Minhas mãos estão atadas,0.77,0.85,0.64,1.06,consistente
7,my hands are tied,gemma3,prompt2,As minhas mãos estão atadas.,gemma3,prompt4,As mãos estão atadas.,0.9,0.85,0.64,1.06,consistente
7,my hands are tied,gemma3,prompt2,As minhas mãos estão atadas.,gemmaX,sem_prompt,Minhas mãos estão atadas,0.88,0.85,0.64,1.06,consistente
7,my hands are tied,gemma3,prompt4,As mãos estão atadas.,gemmaX,sem_prompt,Minhas mãos estão atadas,0.83,0.85,0.64,1.06,consistente
8,dime a dozen,gpt,prompt2,dezena comum,gpt,prompt4,de montão,0.77,0.74,0.56,0.93,consistente
