ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
He took the bus to work.,Ele pegou o ônibus para o trabalho.,He took the bus to work.,1,1,3,85,232,171,1,494
as easy as pie,fácil como um passeio no parque,easy as a walk in the park,39,46,333,633,602,231,1,1885
butterfly effect,efeito borboleta,butterfly effect,1,46,3,389,21,141,1,602
They watched a TV show in the evening.,Eles assistiram a um programa de TV à noite.,They watched a TV show at night.,25,33,76,392,413,229,1,1169
She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,She is brushing her teeth before going to bed.,10,23,93,351,359,55,1,892
blown out of the water,destruído completamente,completely destroyed,49,46,314,513,604,95,270,1891
He is feeding his pet hamster.,Ele está alimentando seu hamster de estimação.,He is feeding his pet hamster.,1,1,3,138,141,246,1,531
I like to drink coffee in the morning.,Eu gosto de beber café de manhã.,I like to drink coffee in the morning.,1,1,3,106,131,21,1,264
"another day, another dollar","mais um dia, mais um dólar","Another day, another dollar.",1,30,123,225,321,101,1,802
actions speak louder than words,Ações falam mais alto que palavras.,Actions speak louder than words.,1,30,91,39,281,24,1,467
climbing up the ladder,subindo a escada,going up the stairs,33,46,182,489,508,461,49,1768
early bird catches the worm,O peixe que madruga pega a minhoca.,The early fish catches the worm.,21,46,160,510,539,623,304,2203
She is baking cookies in the kitchen.,Ela está assando biscoitos na cozinha.,She is baking cookies in the kitchen.,1,1,5,111,204,428,53,803
bleeding heart,coração sangrando,bleeding heart,1,46,5,320,183,163,1,719
She is cleaning the kitchen after dinner.,Ela está limpando a cozinha depois do jantar.,She is cleaning the kitchen after dinner.,1,1,3,37,256,160,1,459
She is drinking water.,Ela está bebendo água.,She is drinking water.,1,1,3,71,58,14,1,149
They are having coffee at the café.,Eles estão tomando café no café.,They are having coffee at the café.,1,1,4,120,185,84,1,396
hard pill to swallow,difícil de engolir,hard to swallow,13,46,162,509,513,153,1,1397
a slap on the wrist,uma só advertência,one warning only,49,46,371,659,674,201,209,2209
They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,They are visiting a museum this afternoon.,1,1,4,100,129,69,1,305
They are swimming at the pool.,Eles estão nadando na piscina.,They are swimming in the pool.,14,46,24,356,333,53,1,827
cat on a hot tin roof,gato em um telhado quente de lata,cat on a hot tin roof,1,1,3,315,165,445,83,1013
She is talking to her friend on the phone.,Ela está conversando com a amiga pelo telefone.,She is talking to her friend on the phone.,1,1,3,196,265,11,1,478
He is walking his dog in the park.,Ele está passeando com seu cachorro no parque.,He is walking his dog in the park.,1,1,3,128,239,211,1,584
add fuel to the fire,acrescentar lenha na fogueira,add fuel to the fire,1,1,3,223,100,368,1,697
in hot water,em apuros,in trouble,38,46,305,678,643,620,349,2679
boiling point,ponto de ebulição,boiling point,1,46,3,322,6,58,1,437
beat a dead horse,bater em um cavalo morto,beating a dead horse,20,46,43,383,493,647,198,1830
blind alley,cul-de-sac,cul-de-sac,49,46,387,639,693,681,341,2836
cutting corners,cortando caminhos,cutting paths,33,46,183,540,546,591,213,2152
actions speak louder than words,Atos falam mais alto que palavras.,Actions speak louder than words.,1,30,91,39,286,44,1,492
chip on the shoulder,sentimento de inferioridade,feeling of inferiority,49,46,386,603,680,86,311,2161
He washed his car yesterday.,Ele lavou o carro dele ontem.,He washed his car yesterday.,1,1,3,124,82,176,1,388
cold as ice,frio como gelo,cold as ice,1,46,3,84,16,352,1,503
He is attending a wedding.,Ele está assistindo a um casamento.,He is watching a wedding.,15,46,99,439,457,267,49,1372
He is making a cup of coffee.,Ele está fazendo uma xícara de café.,He is making a cup of coffee.,1,1,3,74,294,256,1,630
chasing shadows,perseguindo sombras,chasing shadows,1,46,3,275,31,389,49,794
feast your eyes,Deleite seus olhos.,Delight your eyes.,25,46,196,519,525,441,75,1827
a diamond in the rough,um diamante bruto,a diamond in the rough,1,1,3,139,153,589,94,980
He is having breakfast with his family.,Ele está tomando café da manhã com sua família.,He is having breakfast with his family.,1,1,3,63,106,276,1,451
blind as a bat,cego como um morcego,blind as a bat,1,1,3,156,248,631,159,1199
light at the end of the tunnel,luz no fim do túnel,light at the end of the tunnel,1,1,3,276,251,157,1,690
as old as the hills,tão antigo quanto as colinas,as old as the hills,1,1,3,166,33,366,10,580
break the ice,quebrar o gelo,break the ice,1,46,3,306,227,291,49,923
He went for a jog in the morning.,Ele tomou um corredor pela manhã.,He took a runner in the morning.,25,45,155,595,589,599,313,2321
finding your feet,conhecendo o seu lugar,knowing your place,41,46,227,521,585,427,302,2149
give someone a run for their money,dar a alguém uma boa competição,give someone a good competition,33,46,223,637,561,263,158,1921
have a bone to pick,ter um problema a resolver,to have a problem to solve,32,46,265,617,601,181,235,1977
barking up the wrong tree,latindo na árvore errada,barking up the wrong tree,1,1,3,35,296,639,182,1157
He enjoyed a cup of coffee in the morning.,Ele desfrutou de uma xícara de café pela manhã.,He enjoyed a cup of coffee in the morning.,1,1,3,207,280,316,1,809
ball is in your court,A bola está do seu lado.,The ball is on your side.,32,46,224,505,487,242,95,1631
"blood, sweat, and tears","sangue, suor e lágrimas","blood, sweat, and tears",1,1,3,228,20,74,1,328
going down in flames,indo para o fundo em chamas,going to the flaming bottom,44,46,272,533,551,505,299,2250
break a leg,Quebra a perna,Break a leg,1,46,3,330,203,497,21,1101
The kids played in the playground.,As crianças brincaram no parquinho.,The children played in the playground.,14,18,16,286,319,401,1,1055
change of tune,mudança de tom,change of tone,25,46,184,461,445,332,1,1494
paint the town red,Pintar a cidade de vermelho.,Paint the city red.,20,46,188,405,356,78,1,1094
burnt out,exaurido,exhausted,49,46,318,625,617,628,102,2385
burning the midnight oil,queimando a vela pela medida de duas extremidades,"""burning the candle at both ends""",38,46,267,604,628,673,335,2591
come out of the woodwork,surgir do nada,to come out of nowhere,29,46,268,638,581,549,256,2367
blessing in disguise,benção disfarçada,blessed disguise,38,46,279,492,544,559,315,2273
He is cutting vegetables for dinner.,Ele está cortando legumes para o jantar.,He is cutting vegetables for dinner.,1,1,3,26,197,335,1,564
bigger than life,maior que a vida,greater than life,25,46,152,430,367,379,1,1400
cast iron stomach,estômago de ferro,iron stomach,16,46,167,500,541,277,294,1841
arm and a leg,uma fortuna,a fortune,41,46,358,676,686,489,362,2658
as hungry as a wolf,tão faminto quanto um lobo,as hungry as a wolf,1,1,3,11,99,444,122,681
They went for a swim at the pool.,Eles foram nadar na piscina.,They went swimming in the pool.,30,46,128,433,444,7,1,1089
blow a fuse,estourar um fusível,blow a fuse,1,46,3,239,173,597,133,1192
He is drawing a picture of his dog.,Ele está desenhando uma imagem de seu cachorro.,He is drawing a picture of his dog.,1,1,3,251,162,296,1,715
bend over backwards,fazer um esforço extra,make an extra effort,49,46,331,648,660,358,227,2319
any port in a storm,Qualquer porto em uma tempestade.,Any port in a storm.,1,30,69,324,376,574,1,1375
I met my friends for lunch.,Eu encontrei meus amigos para o almoço.,I met my friends for lunch.,1,1,3,190,89,136,1,421
bare bones,esqueleto básico,basic skeleton,49,46,261,555,606,204,262,1983
bottom of the totem pole,fundo da hierarquia,bottom of the hierarchy,26,46,264,609,625,233,155,1958
face the music,enfrentar as consequências,face the consequences,25,46,222,615,543,147,148,1746
chomping at the bit,ansioso para começar,excited to get started,49,46,343,666,621,308,100,2133
on cloud nine,nas nuvens,in the clouds,49,46,317,581,646,576,330,2545
between a rock and a hard place,entre a cruz e a espada,between a rock and a hard place,1,1,3,202,308,687,296,1498
batten down the hatches,Reforçar as defesas.,Reinforce the defenses.,42,46,332,536,622,364,329,2271
all ears,atuando como uma esponja,acting like a sponge,49,46,380,680,684,455,360,2654
a fly on the wall,uma mosca na parede,a fly on the wall,1,1,4,172,200,262,47,687
as sharp as a tack,tão afiado quanto um prego,"""as sharp as a nail""",15,42,200,548,528,253,230,1816
She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,She bought a new phone last week.,1,1,4,135,85,6,1,233
don't put all your eggs in one basket,não coloque todos os seus ovos em uma só cesta,Don't put all your eggs in one basket.,1,9,47,12,336,287,35,727
bottom of the barrel,fundo do poço,bottom of the well,20,46,198,550,519,195,185,1713
carrying the weight of the world,carregando o peso do mundo,carrying the weight of the world,1,1,2,218,257,484,1,964
cogs in the machine,peças da máquina,machine parts,41,46,304,534,564,128,276,1893
I am traveling to the mountains this weekend.,Eu estou viajando para as montanhas neste fim de semana.,I am traveling to the mountains this weekend.,1,1,3,98,171,228,1,503
They watched a movie on the weekend.,Eles assistiram a um filme no fim de semana.,They watched a movie over the weekend.,13,31,40,404,350,62,1,901
blowing off steam,desabafar,to vent,49,46,295,586,664,602,333,2575
face the music,enfrentar a situação,face the situation,25,46,225,587,515,275,189,1862
a heart of gold,um coração de ouro,a heart of gold,1,1,3,247,91,132,36,511
caught in a web,cativado em uma teia,captivated in a web,20,46,174,522,527,390,50,1729
She made a salad for lunch.,Ela fez uma salada para o almoço.,She made a salad for lunch.,1,1,2,192,128,10,1,335
mind over matter,mente sobre a matéria,mind over matter,1,46,4,263,83,585,31,1013
as good as done,praticamente feito,practically done,41,46,319,594,579,361,79,2019
a voice in the wilderness,uma voz no deserto,a voice in the wilderness,1,1,3,300,250,303,1,859
He went to the gym to lift weights.,Ele foi ao ginásio para levantar pesos.,He went to the gym to lift weights.,1,1,3,243,291,286,1,826
another one bites the dust,mais um morde a poeira,another bites the dust,8,46,64,402,446,598,274,1838
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,1,46,98,86,414,64,1,710
by leaps and bounds,de maneira significativa,significantly,49,46,365,619,694,468,356,2597
They are practicing their dance routine.,Eles estão praticando sua coreografia.,They are practicing their choreography.,21,36,61,451,428,257,1,1255
honest as the day is long,honesto como o dia é longo,honest as the day is long,1,1,3,203,262,564,34,1068
butter wouldn’t melt in their mouth,a manteiga não derreteria em sua boca,the butter wouldn't melt in your mouth,17,46,172,452,447,288,178,1600
be in hot water,estar em apuros,to be in trouble,33,46,285,651,658,544,288,2505
by the seat of your pants,pelo instinto,by instinct,43,46,359,630,663,561,314,2616
comfort zone,zona de conforto,comfort zone,1,46,3,331,9,346,1,737
give the green light,dar o sinal verde,give the green light,1,1,3,268,67,522,62,924
fingers crossed,dedos cruzados,fingers crossed,1,46,3,183,17,152,49,451
He went to the airport to catch a flight.,Ele foi ao aeroporto para pegar um voo.,He went to the airport to catch a flight.,1,1,3,214,302,271,1,793
as mad as a hatter,tão louco quanto um chapéu,as crazy as a hat,29,46,173,539,571,436,331,2125
cracking the whip,Impondo disciplina,Imposing discipline,49,46,302,618,616,638,245,2514
He is reading a newspaper.,Ele está lendo um jornal.,He is reading a newspaper.,1,1,3,126,163,13,1,308
as easy as shooting fish in a barrel,tão fácil quanto tirar peixe do barril,"""as easy as shooting fish in a barrel""",1,6,108,313,432,463,72,1395
He is taking photos with his camera.,Ele está tirando fotos com sua câmera.,He is taking pictures with his camera.,13,31,6,288,292,394,1,1025
ants in your pants,formigas na calça,ants in the pants,20,46,159,464,479,607,125,1900
He is cleaning the windows.,Ele está limpando as janelas.,He is cleaning the windows.,1,1,3,70,261,451,30,817
clean bill of health,relatório de saúde limpo,clean health report,30,46,231,477,429,73,212,1498
cold feet,pé frio,cold feet,1,46,2,334,111,519,40,1053
burn bridges,queimar pontes,burn bridges,1,46,5,346,270,77,55,800
cat's out of the bag,O gato saiu do saco.,The cat is out of the bag.,19,44,170,376,477,422,164,1672
bury your head in the sand,enterrar a cabeça na areia,to bury one's head in the sand,22,38,193,420,492,448,124,1737
He read a book before bed.,Ele leu um livro antes de dormir.,He read a book before sleeping.,14,18,60,338,358,139,1,928
bridge the gap,suprir a lacuna,fill the gap,25,46,203,479,478,516,105,1852
He went to the doctor for a check-up.,Ele foi ao médico para um exame de rotina.,He went to the doctor for a routine check-up.,2,11,14,408,394,372,1,1202
She is watching the sunset from the balcony.,Ela está assistindo ao pôr do sol da varanda.,She is watching the sunset from the balcony.,1,1,3,144,241,250,1,641
blessing in disguise,benção disfarçada,blessing in disguise,1,46,3,293,63,423,1,830
a penny for your thoughts,Um centavo pelos seus pensamentos.,A penny for your thoughts.,1,30,72,43,331,121,1,599
He is playing the guitar in the living room.,Ele está tocando violão na sala de estar.,He is playing the guitar in the living room.,1,1,3,163,229,188,1,586
He is sitting on the chair.,Ele está sentado na cadeira.,He is sitting in the chair.,14,46,19,332,403,318,1,1133
come hell or high water,"""Venha o que vier.""","""Come what may.""",43,46,353,672,661,650,344,2769
I went to the beach for vacation.,Eu fui para a praia de férias.,I went to the beach for vacation.,1,1,3,188,174,155,1,523
as cool as a cucumber,tranquilo como um pepino,cool as a cucumber,8,5,120,398,404,241,156,1332
break the ice,quebrar o gelo,break the ice,1,46,3,306,227,290,49,922
at the end of the day,no final das contas,in the end,35,46,298,579,565,611,233,2367
can't see the forest for the trees,não consegue ver a floresta por causa das árvores,"""Can't see the forest for the trees.""",1,28,113,348,406,510,49,1455
He is doing his homework in the study room.,Ele está fazendo sua lição de casa na sala de estudo.,He is doing his homework in the study room.,1,1,3,80,230,124,1,440
They planted flowers in the garden.,Eles plantaram flores no jardim.,They planted flowers in the garden.,1,1,3,237,187,15,1,445
They are making pizza together.,Eles estão fazendo pizza juntos.,They are making pizza together.,1,1,3,50,39,193,1,288
blown out of proportion,exagerado,exaggerated,49,46,327,503,594,555,238,2312
hand in glove,mão na luva,glove in hand,41,46,204,412,458,586,132,1879
birds of a feather flock together,"""Os iguais se atraem.""","""Like attracts like.""",49,46,384,670,688,482,321,2640
get out of hand,sair do controle,out of control,30,46,253,556,459,398,199,1941
He called his parents yesterday.,Ele ligou para os pais dele ontem.,He called his parents yesterday.,1,1,5,210,86,224,1,528
He wrote a letter to his friend.,Ele escreveu uma carta para o amigo dele.,He wrote a letter to his friend.,1,1,3,252,233,16,1,507
She danced at the party last night.,Ela dançou na festa ontem à noite.,She danced at the party last night.,1,1,3,222,198,254,1,680
close to home,perto de casa,close to home,1,46,1,55,60,165,1,329
"if you can't stand the heat, get out of the kitchen","Se você não pode suportar o calor, saia da cozinha.","""If you can't stand the heat, get out of the kitchen.""",1,12,86,274,385,108,1,867
between the devil and the deep blue sea,entre a cruz e a espada,between the cross and the sword,30,46,252,674,635,456,351,2444
get cold feet,ter medo de se comprometer,to be afraid of committing,49,46,349,677,685,525,346,2677
fish out of water,peixe fora d'água,fish out of water,1,1,4,161,78,207,1,453
over the moon,nas nuvens,in the clouds,41,46,245,583,632,576,285,2408
once in a blue moon,"uma vez na vida, outra na morte","Once in a lifetime, another in death.",33,46,309,673,651,386,358,2456
chip off the old block,filho da mesma estirpe,son of the same breed,46,46,367,664,678,391,271,2463
break the mold,quebrar o molde,break the mold,1,46,3,316,25,416,1,808
ace in the hole,trunfo na manga,trump up your sleeve,49,46,355,612,689,686,363,2800
She is gardening in the backyard.,Ela está jardineiro no quintal.,She is gardening in the backyard.,1,1,4,36,307,492,8,849
blind as a bat,cego como um morcego,blind as a bat,1,1,3,156,248,631,159,1199
call it a day,dar por encerrado o dia,to consider the day closed,44,46,301,667,552,524,282,2416
calm before the storm,a calmaria antes da tempestade,the calm before the storm,8,15,71,387,311,292,49,1133
He attended a wedding last weekend.,Ele foi a um casamento no último fim de semana.,He went to a wedding last weekend.,19,26,57,416,405,343,1,1267
chill to the bone,frio até os ossos,cold to the bone,20,46,56,221,389,536,184,1452
broad strokes,linhas gerais,general lines,49,46,275,621,530,473,197,2191
She is listening to music while cooking.,Ela está ouvindo música enquanto cozinha.,She is listening to music while cooking.,1,1,3,78,96,59,1,239
blind as a bat,cego como um morcego,blind as a bat,1,1,3,156,248,631,159,1199
all thumbs,desastrado,disastrous,49,46,337,675,667,499,353,2626
chip on your shoulder,complexo de inferioridade,inferiority complex,49,46,385,596,665,48,280,2069
chase rainbows,perseguir arco-íris,chase rainbows,1,46,3,321,115,494,1,981
"hope for the best, prepare for the worst","espere pelo melhor, prepare-se para o pior","""Expect the best, prepare for the worst.""",17,24,185,442,422,302,1,1393
get a grip,Toma jeito.,Get a grip.,1,46,144,4,369,648,247,1459
finger on the pulse,com o dedo na ferida,with a finger on the wound,29,46,221,590,597,491,347,2321
ball of fire,bola de fogo,fireball,49,46,290,456,461,344,220,1866
He is making tea in the kitchen.,Ele está fazendo chá na cozinha.,He is making tea in the kitchen.,1,1,4,93,177,112,1,389
bite your lip,morde o lábio,bite your lip,1,46,4,333,112,354,244,1094
live in a glass house,viver em uma casa de vidro,live in a glass house,1,1,3,307,211,187,1,711
into thin air,no ar thin,in the air thin,42,46,237,542,624,685,325,2501
don’t cry over spilled milk,não chore sobre o leite derramado,Don't cry over spilled milk.,1,30,169,292,387,312,1,1192
don't count your chickens before they hatch,Não conte seus pintinhos antes de eles nascerem.,Don't count your chickens before they hatch.,1,13,52,94,392,284,1,837
close to my heart,perto do meu coração,close to my heart,1,1,3,10,108,475,1,599
He went fishing with his friends.,Ele foi pescar com os amigos.,He went fishing with his friends.,1,1,3,242,151,142,1,541
as clear as mud,tão claro quanto lama,as clear as mud,1,1,3,30,28,393,14,470
be a fly on the wall,ser uma mosca na parede,to be a fly on the wall,5,3,62,396,442,414,210,1532
changing gears,trocando de marcha,shifting gears,33,46,46,384,471,496,54,1530
call it quits,dar um tempo,take a break,49,46,335,547,578,547,265,2367
bottom line,resultado final,final result,49,46,341,530,575,399,49,1989
bet the farm,apostar tudo,bet it all,41,46,274,584,583,382,195,2105
as free as a bird,livre como um pássaro,free as a bird,8,5,145,411,370,183,113,1235
flying by the seat of your pants,agindo por intuição,acting on intuition,49,46,346,643,662,506,332,2584
chasing your tail,correndo atrás do rabo,chasing its tail,25,46,201,532,469,590,218,2081
She plays the piano beautifully.,Ela toca piano lindamente.,She plays the piano beautifully.,1,1,4,174,97,57,1,335
heart of stone,coração de pedra,stone heart,38,46,243,526,454,222,85,1614
They are going to the cinema tonight.,Eles vão ao cinema esta noite.,They are going to the cinema tonight.,1,1,4,69,71,114,1,261
a taste of your own medicine,o gosto da sua própria medicina,the taste of your own medicine,14,6,67,340,453,434,1,1315
break the ice,quebrar o gelo,break the ice,1,46,3,306,227,290,49,922
cloud of suspicion,nuvem de suspeita,cloud of suspicion,1,46,4,291,73,68,1,484
diamond in the rough,diamante bruto,rough diamond,41,46,256,554,489,283,284,1953
beat the clock,bater o relógio,to beat the clock,13,46,140,486,426,567,163,1841
He is repairing the broken chair.,Ele está consertando a cadeira quebrada.,He is fixing the broken chair.,14,32,15,352,381,232,1,1027
She is watching a movie at the theater.,Ela está assistindo a um filme no cinema.,She is watching a movie at the cinema.,11,7,17,407,355,109,1,907
a penny saved is a penny earned,Um centavo economizado é um centavo ganho.,A penny saved is a penny earned.,1,13,31,216,330,17,92,700
He cleaned the garage on Saturday.,Ele limpou a garagem no sábado.,He cleaned the garage on Saturday.,1,1,2,113,242,578,1,938
a fish out of water,Um peixe fora d'água.,A fish out of water.,1,30,84,208,360,22,1,706
down to earth,pé no chão,feet on the ground,49,46,344,558,614,526,170,2307
happy as a clam,feliz como uma ostra,happy as a clam,1,1,3,54,164,560,119,902
He visited the museum with his class.,Ele visitou o museu com sua turma.,He visited the museum with his class.,1,1,4,258,252,223,1,740
I visited my parents last weekend.,Eu visitei meus pais no fim de semana passado.,I visited my parents last weekend.,1,1,3,200,68,60,1,334
by the skin of your teeth,pela pele dos dentes,by the skin of one's teeth,19,27,141,414,466,557,134,1758
crack the code,decifrar o código,decipher the code,25,46,213,469,434,274,49,1510
He watched a football match on TV.,Ele assistiu a um jogo de futebol na TV.,He watched a soccer game on TV.,22,46,30,471,361,149,1,1080
climbing the corporate ladder,subindo na hierarquia corporativa,climbing the corporate hierarchy,20,46,88,377,436,245,2,1214
all in the same boat,todos no mesmo barco,all in the same boat,1,1,4,157,44,265,1,473
cold feet,pés frios,cold feet,1,46,2,334,92,85,1,561
a mountain to climb,uma montanha a escalar,a mountain to climb,1,1,2,186,51,446,1,688
break the back of it,quebrar as costas disso,break the back of this,15,15,83,380,476,679,166,1814
blowing off steam,descarregar a tensão,release the tension,49,46,280,568,631,376,153,2103
cook up a storm,preparar uma refeição deliciosa,prepare a delicious meal,43,46,283,616,599,35,191,1813
dead in the water,morta na água,dead in the water,1,1,3,236,26,219,4,490
bite the big one,morder o grande,bite the big,13,46,139,476,467,668,340,2149
buy a lemon,comprar um limão,buy a lemon,1,46,2,309,14,93,1,466
get a second wind,ter um segundo fôlego,to have a second wind,26,46,168,435,488,537,175,1875
He is working on his laptop.,Ele está trabalhando no laptop dele.,He is working on his laptop.,1,1,4,224,57,196,1,484
clear as mud,claro como lama,clear as mud,1,46,3,101,11,342,1,505
different strokes for different folks,"""Cada um com suas preferências.""","""Each to their own.""",49,46,351,626,683,664,342,2761
She had a cup of soup for lunch.,Ela teve uma xícara de sopa no almoço.,She had a cup of soup for lunch.,1,1,2,201,288,105,1,599
cast the first stone,atire a primeira pedra,cast the first stone,1,1,3,17,170,435,49,676
call a spade a spade,Chamar os bois pelos nomes.,Call a spade a spade.,1,30,96,267,483,661,224,1762
a ray of hope,um raio de esperança,a ray of hope,1,1,4,115,49,131,1,302
They are painting the walls of their house.,Eles estão pintando as paredes da casa deles.,They are painting the walls of their house.,1,1,3,187,240,41,1,474
crash course,curso intensivo,intensive course,33,46,246,573,526,146,169,1739
The sun rises in the east.,O sol nasce no leste.,The sun rises in the east.,1,1,3,249,133,38,1,426
an arm and a leg,um braço e uma perna,an arm and a leg,1,1,3,46,295,100,13,459
breaking the mold,quebrando o molde,breaking the mold,1,46,2,231,27,405,1,713
caught red-handed,pego com a mão na massa,caught red-handed,1,46,4,5,64,675,293,1088
blood from a stone,sangue de pedra,blood of stone,30,46,195,493,514,425,217,1920
