ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
"blood, sweat, and tears","Sangue, suor e lágrimas.
","Blood, sweat, and tears.",1,1,12,34,57,2,5,20,131
going down in flames,"Ir pelos ares.
",To go belly up.,1,80,52,561,621,602,596,436,2948
break a leg,"Boa sorte!
",Break a leg!,1,1,52,238,103,192,580,267,1433
The kids played in the playground.,"As crianças brincaram no paraíso da infância.
",The children frolicked in the Eden of their childhood.,0,50,52,422,416,398,237,428,2003
change of tune,"Mudar o disco.
",Change the record.,1,58,52,548,375,519,139,121,1812
paint the town red,"Arrasar na noite.
",To kill it tonight.,1,80,52,615,666,622,606,634,3275
burnt out,"Esgotado.
",Wiped out.,1,41,52,387,245,412,529,231,1897
burning the midnight oil,"Queimar pestana.
",Burn the midnight oil.,1,18,52,206,191,268,655,236,1626
come out of the woodwork,"Sair da toca
",To come out of one's shell,1,41,52,461,579,472,426,332,2363
blessing in disguise,"Um mal que veio para o bem.
",A blessing in disguise.,1,8,52,265,153,85,493,150,1206
He is cutting vegetables for dinner.,"Ele está fatiando a noite.
",He's slicing through the night.,0,73,52,457,677,573,545,531,2908
bigger than life,"Maior que a vida.
",Larger than life.,1,27,52,255,171,143,137,55,840
cast iron stomach,"Estômago de aço.
",Iron stomach.,1,13,52,327,275,363,54,129,1213
arm and a leg,"Um rim e um figado
",A kidney and a liver.,1,45,52,467,523,621,45,300,2053
as hungry as a wolf,"Faminto como um lobo.
",Ravenous.,1,80,52,582,363,584,628,623,2912
They went for a swim at the pool.,"Mergulharam na piscina da vida.
",They plunged into the pool of life.,0,51,52,441,520,551,185,275,2075
blow a fuse,"Pirar a cabeça
",To lose it,1,80,52,607,610,631,502,604,3086
He is drawing a picture of his dog.,"Ele está pintando o retrato do seu cão com as palavras.
",He is painting his dog's portrait with words.,0,43,52,193,300,260,65,200,1113
bend over backwards,"Se desdobrar em mil pedaços.
",To shatter into a thousand pieces.,1,80,52,652,680,694,260,351,2769
any port in a storm,"Qualquer abrigo é bom em tempo de tormenta.
",Any port in a storm.,1,1,19,32,139,83,642,257,1173
I met my friends for lunch.,"Encontrei meus amigos para um banquete de palavras.
",I met my friends for a feast of words.,0,26,30,215,419,410,109,261,1470
bare bones,"Os ossos do ofício.
",The nitty-gritty.,1,80,52,597,614,674,429,587,3033
bottom of the totem pole,"No fim da fila.
",At the back of the line.,1,55,52,516,550,566,277,339,2355
face the music,"Arcar com as consequências.
",Face the music.,1,1,52,165,46,164,663,264,1355
chomping at the bit,"Roendo as unhas.
",Biting my nails.,1,80,52,547,348,525,84,366,2002
on cloud nine,"Nas nuvens.
",In the clouds.,1,80,52,524,440,524,479,479,2578
between a rock and a hard place,"Entre a cruz e a espada.
",Between a rock and a hard place.,1,1,9,18,64,208,547,354,1201
batten down the hatches,"Apertar os cintos.
",Tighten your belts.,1,80,52,590,469,572,332,280,2375
all ears,"Todo ouvidos.
",All ears.,1,1,52,183,74,186,408,111,1015
a fly on the wall,"Uma mosca na parede.
",A fly on the wall.,1,1,19,50,38,57,40,27,232
as sharp as a tack,"Afinado como um prego.
",As sharp as a tack.,1,1,19,57,20,76,371,197,741
She bought a new phone last week.,"Ela estreou um celular novo semana passada.
",She unwrapped a brand new phone last week.,0,14,21,105,286,272,95,100,893
don't put all your eggs in one basket,"Não coloque todos os ovos na mesma cesta.
",Don't put all your eggs in one basket.,1,1,6,15,12,25,44,22,125
bottom of the barrel,"Fundo do poço
",The bottom of the barrel.,1,5,19,159,154,196,164,110,807
carrying the weight of the world,"Carregando o peso do mundo.
",Carrying the weight of the world.,1,1,12,46,113,89,390,13,664
cogs in the machine,"Engrenagens da máquina.
",Cogs in the machine.,1,1,52,63,119,127,377,180,919
I am traveling to the mountains this weekend.,"Estou indo escalar as montanhas neste fim de semana.
",I'm going to climb the mountains this weekend.,0,24,23,185,226,161,94,82,795
They watched a movie on the weekend.,"No fim de semana, eles se embalaram num filme.
",They snuggled into a movie over the weekend.,0,27,52,240,292,301,334,404,1650
blowing off steam,"Desabafar
",To unburden oneself.,1,80,52,585,535,625,486,557,2920
face the music,"Arrumar a casa.
",To tidy up the ship.,1,65,52,605,639,606,634,525,3126
a heart of gold,"Coração de ouro.
",Heart of gold.,1,8,52,259,192,121,15,54,701
caught in a web,"Enredado na teia.
",Caught in the web.,1,18,52,198,166,211,513,297,1455
She made a salad for lunch.,"Ela preparou uma salada para o almoço.
",She tossed a salad for lunch.,0,9,11,19,354,323,437,510,1663
mind over matter,"A mente sobre a matéria.
",Mind over matter.,1,1,52,99,102,63,304,49,670
as good as done,"Quase no forno.
",Almost baked.,1,80,52,622,671,577,619,406,3027
a voice in the wilderness,"Uma voz no deserto.
",A voice in the wilderness.,1,1,19,79,108,45,36,1,289
He went to the gym to lift weights.,"Ele foi à academia para inflar os músculos.
",He went to the gym to pump up his guns.,0,28,22,176,412,395,556,564,2153
another one bites the dust,"Mais um foi pro saco.
",Bit the dust.,1,41,52,437,351,382,658,548,2469
curiosity killed the cat,"A curiosidade matou o gato.
",Curiosity killed the cat.,1,1,52,78,47,108,19,1,306
by leaps and bounds,"A passos largos
",By leaps and bounds,1,1,52,3,11,62,481,182,792
They are practicing their dance routine.,"Estão ensaiando a coreografia da vida.
",They're rehearsing the choreography of life.,0,75,52,400,361,353,192,229,1662
honest as the day is long,"Sincero como a luz do dia.
",As honest as the day is long.,1,3,9,179,131,156,367,202,1047
butter wouldn’t melt in their mouth,"Não ter sangue de barata.
",Not to have a chicken heart.,1,80,52,550,665,695,128,639,2809
be in hot water,"Estar em maus lençóis.
",To be in a pickle.,1,45,52,480,641,643,491,496,2848
by the seat of your pants,"Na base do improviso
",On the fly,1,67,52,633,421,648,535,610,2966
comfort zone,"Zona de conforto
",Comfort zone,1,1,52,4,143,11,106,1,318
give the green light,"Dar o sinal verde
",To give the green light,1,5,10,59,186,78,248,216,802
fingers crossed,"Dedos cruzados.
",Fingers crossed.,1,1,52,174,6,15,25,8,281
He went to the airport to catch a flight.,"Ele foi ao aeroporto pegar o voo da vida.
",He went to the airport to catch the flight of life.,0,14,15,84,289,351,181,296,1230
as mad as a hatter,"Louco como um chapeleiro.
",Mad as a hatter.,1,5,52,227,215,345,578,239,1661
cracking the whip,"Bater o chicote.
",Crack the whip.,1,27,52,244,179,271,643,410,1826
He is reading a newspaper.,"Ele está devorando o jornal.
",He's buried in the newspaper.,0,55,52,348,409,578,581,471,2494
as easy as shooting fish in a barrel,"Tão fácil quanto tirar doce de criança.
",As easy as taking candy from a baby.,1,41,52,407,577,429,170,529,2205
He is taking photos with his camera.,"Ele está aprisionando momentos.
",He's hoarding moments.,0,71,52,466,588,671,310,474,2632
ants in your pants,"Bichos carpinteiros.
",Woodpeckers.,1,80,52,665,638,693,559,625,3312
He is cleaning the windows.,"Ele está limpando a barra.
",He's clearing his name.,0,68,52,431,538,515,454,522,2580
clean bill of health,"Atestado de saúde perfeito
",A clean bill of health.,1,5,19,217,174,58,113,119,705
cold feet,"Pés frios.
",Cold feet.,1,1,52,172,128,103,17,1,474
burn bridges,"Queimar as pontes.
",Burn bridges.,1,1,52,167,135,66,64,45,530
cat's out of the bag,"O gato saiu do saco.
",The cat's out of the bag.,1,3,12,162,145,176,151,204,853
bury your head in the sand,"Enfiar a cabeça na areia.
",Bury your head in the sand.,1,1,12,45,44,125,186,73,486
He read a book before bed.,"Ele se afogou em palavras antes de dormir.
",He drowned in words before sleep.,0,58,52,409,471,408,409,502,2309
bridge the gap,"Pontear as distâncias
",Bridge the gaps,1,27,52,82,176,199,189,87,812
He went to the doctor for a check-up.,"Ele foi ao médico para uma revisão geral.
",He went to the doctor for a tune-up.,0,6,4,58,253,253,314,173,1061
She is watching the sunset from the balcony.,"Ela contempla o ocaso da varanda.
","She watches the sunset from the porch, embracing the twilight of her life.",0,42,50,303,313,270,558,536,2072
blessing in disguise,"Um mal que veio para o bem.
",A blessing in disguise.,1,8,52,265,153,85,492,150,1205
a penny for your thoughts,"Um tostão pelos seus pensamentos.
",A penny for your thoughts.,1,1,19,36,34,71,117,99,377
He is playing the guitar in the living room.,"Ele está dedilhando a alma da sala.
",He's plucking at the room's soul.,0,56,52,469,590,629,485,632,2913
He is sitting on the chair.,"Ele está sentado no trono.
",He's on the throne.,0,39,52,391,464,456,167,311,1880
come hell or high water,"A todo custo.
",At any cost.,1,80,52,662,556,623,112,521,2606
I went to the beach for vacation.,"Mergulhei na praia para as férias.
",I dove into the beach for the holidays.,0,40,52,201,252,320,331,365,1561
as cool as a cucumber,"Calmo como um pepino.
",Cool as a cucumber.,1,5,52,204,173,210,74,208,926
break the ice,"Quebrar o gelo.
",Break the ice.,1,1,52,149,88,131,56,1,478
at the end of the day,"No fim das contas
",When all is said and done,1,80,52,643,528,508,286,273,2370
can't see the forest for the trees,"Não conseguir enxergar a floresta por causa das árvores.
",Can't see the forest for the trees.,1,1,9,12,111,77,297,26,533
He is doing his homework in the study room.,"Ele está debruçado sobre os livros no escritório.
",He's buried in books in the office.,0,56,52,412,418,582,239,392,2151
They planted flowers in the garden.,"Eles semearam flores no jardim da vida.
",They sowed blossoms in life's garden.,0,44,52,301,321,356,66,222,1362
They are making pizza together.,"Estão botando a mão na massa juntos.
",They're rolling up their sleeves together.,0,58,52,421,589,636,379,530,2665
blown out of proportion,"Inflado/a além da conta.
",Overinflated.,1,80,52,538,373,555,659,543,2800
hand in glove,"De mãos dadas.
",Hand in hand.,1,27,52,397,116,479,200,117,1388
birds of a feather flock together,"Deus os acerta e eles se juntam.
",God strikes them down and they huddle together.,1,76,52,598,526,605,428,643,2928
get out of hand,"Sair do controle.
",To spin out of control.,1,45,52,511,468,354,400,388,2218
He called his parents yesterday.,"Ele ligou para a base ontem.
",He touched base yesterday.,0,45,52,350,522,506,582,563,2620
He wrote a letter to his friend.,"Ele teceu uma carta ao amigo.
",He penned a letter to his friend.,0,8,7,5,148,36,62,56,322
She danced at the party last night.,"Ela foi a faísca da festa ontem à noite.
",She was the life of the party last night.,0,29,30,242,447,309,317,289,1663
close to home,"Perto de casa.
",Close to home.,1,1,52,161,29,39,73,10,365
"if you can't stand the heat, get out of the kitchen","Quem não aguenta o rojão, que saia da cozinha.
","If you can't stand the heat, get out of the kitchen.",1,1,1,8,33,75,180,35,333
between the devil and the deep blue sea,"Entre a cruz e a espada.
",Between a rock and a hard place.,1,63,52,492,661,650,547,569,3034
get cold feet,"Amarelar
",To chicken out,1,80,52,562,655,537,542,589,3017
fish out of water,"Peixe fora d'água.
",A fish out of water.,1,5,19,207,234,166,34,7,672
over the moon,"Nas nuvens.
",Head in the clouds.,1,61,52,506,462,531,433,439,2484
once in a blue moon,"Uma vez na vida
",Once in a blue moon,1,1,10,2,95,18,315,52,493
chip off the old block,"Filho de peixe, peixinho é.
","Like father, like son.",1,80,52,658,662,683,647,646,3428
break the mold,"Romper barreiras.
",Break through barriers.,1,58,52,490,430,312,169,104,1615
ace in the hole,"Ás na manga
",Ace in the hole,1,1,52,2,126,233,406,192,1012
She is gardening in the backyard.,"Ela está cultivando o seu jardim secreto.
",She is tending her secret garden.,0,58,52,306,344,288,104,139,1291
blind as a bat,"Cego como um morcego.
",Blind as a bat.,1,1,52,88,5,142,330,146,764
call it a day,"Dar o dia por encerrado.
",Call it a day.,1,1,52,101,10,43,417,9,633
calm before the storm,"A calmaria antes da tempestade.
",The calm before the storm.,1,5,19,178,185,32,71,71,561
He attended a wedding last weekend.,"Ele foi a um casamento no fim de semana passado.
",He tied the knot last weekend.,0,41,52,355,457,435,394,252,1986
chill to the bone,"Arrepiado até os ossos.
",Chilled to the bone.,1,18,52,247,80,232,511,282,1422
broad strokes,"Grandes traços
",Broad strokes.,1,1,52,186,149,385,311,66,1150
She is listening to music while cooking.,"Ela tempera a cozinha com melodias.
",She seasons the kitchen with melodies.,0,75,52,474,410,406,298,446,2161
blind as a bat,"Cego como um morcego.
",Blind as a bat.,1,1,52,88,5,142,330,146,764
all thumbs,"Com as mãos de manteiga.
",Butterfingers.,1,80,52,655,670,591,610,640,3298
chip on your shoulder,"Estar com a pulga atrás da orelha.
",To have a bee in one's bonnet.,1,80,52,602,664,627,378,546,2949
chase rainbows,"Correr atrás de sonhos
",Chase your dreams.,1,50,52,530,530,346,183,137,1828
"hope for the best, prepare for the worst","Esperar o melhor, preparar-se para o pior.
","Hope for the best, prepare for the worst.",1,1,3,10,48,20,51,3,136
get a grip,"Mantenha a calma.
",Keep your cool.,1,80,52,592,308,436,85,39,1592
finger on the pulse,"Estar com o dedo na tomada.
",To be wired.,1,80,52,610,634,663,477,581,3097
ball of fire,"Um vulcão de emoções
",A volcano of emotions,1,61,52,505,534,416,12,51,1631
He is making tea in the kitchen.,"Ele está botando a chaleira pra cantar na cozinha.
",He's putting the kettle on.,0,60,52,363,461,512,565,499,2512
bite your lip,"Morder o lábio.
",To bite one's lip.,1,41,52,470,250,452,395,309,1969
live in a glass house,"Viver em casa de vidro.
",To live in a glass house.,1,4,12,236,200,189,11,65,717
into thin air,"Desaparecer na poeira.
",To vanish into thin air.,1,19,52,316,280,242,352,373,1634
don’t cry over spilled milk,"Não chores sobre o leite derramado.
",Don't cry over spilt milk.,1,9,52,290,204,100,175,31,861
don't count your chickens before they hatch,"Não crie expectativas antes da hora.
",Don't count your chickens before they hatch.,1,1,9,17,49,86,590,191,943
close to my heart,"Perto do meu coração.
",Close to my heart.,1,1,52,103,22,67,63,1,309
He went fishing with his friends.,"Foi pescar com os amigos.
",Went fishing with the boys.,0,39,52,326,312,228,138,447,1542
as clear as mud,"Claro como a lama.
",Clear as mud.,1,8,52,308,167,48,258,79,920
be a fly on the wall,"Ser uma mosca na parede.
",To be a fly on the wall.,1,3,9,163,172,180,135,211,873
changing gears,"Mudar de marcha.
",Shift gears.,1,41,52,344,216,262,338,45,1298
call it quits,"Baixar a guarda.
",To let one's guard down.,1,80,52,637,397,559,172,353,2250
bottom line,"Resultado final.
",The bottom line.,1,13,52,267,196,97,386,17,1028
bet the farm,"Apostar tudo.
",Go all in.,1,80,52,629,593,545,306,487,2692
as free as a bird,"Livre como um pássaro.
",Free as a bird.,1,5,52,268,177,123,126,109,860
flying by the seat of your pants,"Voando às cegas.
",Flying blind.,1,66,52,551,547,608,308,480,2612
chasing your tail,"Correndo atrás do próprio rabo.
",Chasing your tail.,1,1,52,97,52,101,353,266,922
She plays the piano beautifully.,"Ela acaricia o piano com alma.
",She caresses the piano with her soul.,0,41,52,352,329,430,345,540,2089
heart of stone,"Coração de pedra.
",Heart of stone.,1,1,52,132,123,94,13,1,416
They are going to the cinema tonight.,"Eles vão às estrelas esta noite.
",They're going to the stars tonight.,0,23,52,263,425,391,232,473,1859
a taste of your own medicine,"Provar do próprio veneno.
",Taste one's own medicine.,1,39,52,418,244,311,270,160,1494
break the ice,"Quebrar o gelo.
",To break the ice.,1,8,52,299,222,215,307,98,1201
cloud of suspicion,"Nuvem de suspeitas
",Cloud of suspicion,1,1,52,2,110,8,3,1,177
diamond in the rough,"Diamante bruto.
",Raw diamond.,1,58,52,508,489,261,7,328,1703
beat the clock,"Correr contra o tempo.
",Race against time.,1,80,52,558,602,413,38,89,1832
