indice,ingles_original,melhor_trad,outra_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,parascore
146,as sharp as a tack,afiado como uma agulha.,afiado como uma faca.,gemmaX,sem_prompt,gpt,prompt4,0.9636
467,a tower of strength,uma torre de força.,pilar de força,gemmaX,sem_prompt,gpt,prompt4,0.9635
527,clear as crystal,Claro como cristal.,Claro como água.,gemini,prompt2,gemma3,prompt2,0.9635
470,all the world's a stage,Todo o mundo é um palco.,O mundo inteiro é um palco.,gemmaX,sem_prompt,gemini,prompt2,0.9631
470,all the world's a stage,Todo o mundo é um palco.,O mundo inteiro é um palco.,gemmaX,sem_prompt,gemini,prompt4,0.9631
470,all the world's a stage,Todo o mundo é um palco.,O mundo inteiro é um palco.,gemmaX,sem_prompt,gemma3,prompt2,0.9631
347,an old flame,uma antiga paixão.,Um antigo amor.,gemmaX,sem_prompt,gemini,prompt2,0.963
7,my hands are tied,Minhas mãos estão atadas.,As mãos estão atadas.,gpt,prompt2,gemma3,prompt4,0.9629
595,a weight on my shoulders,um peso sobre os meus ombros.,um peso nos meus ombros,gpt,prompt2,gpt,prompt4,0.9627
595,a weight on my shoulders,um peso sobre os meus ombros.,um peso nos meus ombros,gpt,prompt2,gemmaX,sem_prompt,0.9627
504,left out in the cold,deixado de fora no frio.,Deixado de lado.,gpt,prompt2,gemma3,prompt2,0.9624
534,at a snail's pace,a um ritmo de lesma.,A passos de lesma.,gemmaX,sem_prompt,gemini,prompt4,0.9624
398,butterflies in my stomach,borboletas no meu estômago.,Borboletas no estômago.,gpt,prompt2,gemini,prompt4,0.9621
398,butterflies in my stomach,borboletas no meu estômago.,Borboletas no estômago.,gpt,prompt2,gemma3,prompt2,0.9621
398,butterflies in my stomach,borboletas no meu estômago.,Borboletas no estômago.,gpt,prompt2,gemma3,prompt4,0.9621
463,as busy as a bee,Tão ocupado como uma abelha.,ativo como uma abelha.,gemini,prompt2,gpt,prompt4,0.9619
326,a rolling stone gathers no moss,Uma pedra rolante não acumula musgo.,Uma pedra que rola não cria musgo.,gemmaX,sem_prompt,gpt,prompt2,0.9613
313,as stubborn as a mule,tão teimoso quanto uma mula.,Teimoso como uma mula.,gemmaX,sem_prompt,gemini,prompt2,0.9606
313,as stubborn as a mule,tão teimoso quanto uma mula.,Teimoso como uma mula.,gemmaX,sem_prompt,gemini,prompt4,0.9606
313,as stubborn as a mule,tão teimoso quanto uma mula.,Teimoso como uma mula.,gemmaX,sem_prompt,gemma3,prompt2,0.9606
178,as easy as shooting fish in a barrel,Tão fácil quanto atirar em peixes num barril.,Tão fácil como atirar em peixes num barril,gemini,prompt2,gemmaX,sem_prompt,0.9603
463,as busy as a bee,Tão ocupado como uma abelha.,ocupado como uma abelha,gemini,prompt2,gemmaX,sem_prompt,0.9596
467,a tower of strength,uma torre de força.,Uma torre de sustentação.,gemmaX,sem_prompt,gemini,prompt4,0.9594
611,finding a needle in a haystack,Encontrar uma agulha num palheiro.,Procurar agulha em palheiro.,gemmaX,sem_prompt,gemma3,prompt4,0.9594
146,as sharp as a tack,afiado como uma agulha.,afiado como um prego,gemmaX,sem_prompt,gpt,prompt2,0.9593
660,back to basics,de volta ao básico.,de volta aos fundamentos,gpt,prompt2,gpt,prompt4,0.9593
106,light at the end of the tunnel,Luz no fim do túnel.,Uma luz no fim do túnel.,gemini,prompt2,gemma3,prompt2,0.9591
106,light at the end of the tunnel,Luz no fim do túnel.,Uma luz no fim do túnel.,gemini,prompt2,gemma3,prompt4,0.9591
495,a shot in the dark,Um tiro no escuro.,Um palpite no escuro.,gemini,prompt2,gemma3,prompt2,0.959
709,crying over spilled milk,Chorando por causa do leite derramado.,Chorar sobre o leite derramado.,gemmaX,sem_prompt,gemini,prompt2,0.959
709,crying over spilled milk,Chorando por causa do leite derramado.,Chorar sobre o leite derramado.,gemmaX,sem_prompt,gemini,prompt4,0.959
29,black as night,preto como a noite.,escuro como a noite,gemmaX,sem_prompt,gpt,prompt4,0.9589
66,as easy as pie,Tão fácil quanto uma torta.,fácil como um bolo.,gemini,prompt2,gpt,prompt4,0.9589
130,as hungry as a wolf,tão faminto quanto um lobo.,faminto como um lobo,gpt,prompt2,gpt,prompt4,0.9586
212,"if you can't stand the heat, get out of the kitchen","Se não aguenta o calor, saia da cozinha.","""Se você não consegue suportar o calor, saia da cozinha.""",gemini,prompt2,gpt,prompt2,0.9586
423,big picture,O quadro geral.,visão geral,gemma3,prompt2,gpt,prompt4,0.9578
595,a weight on my shoulders,um peso sobre os meus ombros.,Um peso sobre meus ombros.,gpt,prompt2,gemma3,prompt2,0.9578
659,don't cry over spilled milk,Não chore por leite derramado.,Não chore pelo leite derramado.,gemma3,prompt2,gemini,prompt2,0.9577
160,as good as done,quase feito.,praticamente feito,gpt,prompt2,gpt,prompt4,0.9576
468,all's fair in love and war,Tudo é justo no amor e na guerra.,Vale tudo em amor e guerra.,gemmaX,sem_prompt,gpt,prompt4,0.9575
611,finding a needle in a haystack,Encontrar uma agulha num palheiro.,Procurar agulha no palheiro.,gemmaX,sem_prompt,gemini,prompt4,0.9572
326,a rolling stone gathers no moss,Uma pedra rolante não acumula musgo.,Pedra em movimento não junta musgo.,gemmaX,sem_prompt,gemma3,prompt2,0.9569
115,ball is in your court,A bola está no seu campo.,A bola está em seu campo.,gemini,prompt2,gemini,prompt4,0.9566
212,"if you can't stand the heat, get out of the kitchen","Se não aguenta o calor, saia da cozinha.","Se você não aguenta o calor, saia da cozinha.",gemini,prompt2,gemma3,prompt2,0.9565
127,bigger than life,maior que a vida.,maior do que a vida,gpt,prompt2,gpt,prompt4,0.9564
624,down to earth,Pé no chão.,pé no chão,gemini,prompt2,gpt,prompt2,0.9564
624,down to earth,Pé no chão.,pé no chão,gemini,prompt2,gpt,prompt4,0.9564
125,blessing in disguise,Uma bênção disfarçada.,benção disfarçada,gemma3,prompt2,gpt,prompt2,0.9562
125,blessing in disguise,Uma bênção disfarçada.,benção disfarçada,gemma3,prompt2,gpt,prompt4,0.9562
125,blessing in disguise,Uma bênção disfarçada.,benção disfarçada,gemma3,prompt2,gemmaX,sem_prompt,0.9562
264,a penny saved is a penny earned,Um centavo economizado é um centavo ganho.,Um centavo guardado é um centavo ganho.,gpt,prompt2,gpt,prompt4,0.956
277,a mountain to climb,Uma montanha para escalar.,Uma montanha a escalar.,gemini,prompt2,gemini,prompt4,0.9558
277,a mountain to climb,Uma montanha para escalar.,Uma montanha a escalar.,gemini,prompt2,gemma3,prompt4,0.9558
595,a weight on my shoulders,um peso sobre os meus ombros.,Um peso nos meus ombros.,gpt,prompt2,gemini,prompt2,0.9558
219,break the mold,quebrar o molde.,Quebrar o padrão.,gemmaX,sem_prompt,gemma3,prompt4,0.9554
590,carry a torch,carregar uma tocha.,Guardar uma chama.,gpt,prompt2,gemma3,prompt2,0.9553
301,blood runs thicker than water,O sangue é mais grosso que a água.,O sangue é mais espesso do que a água,gemma3,prompt2,gemmaX,sem_prompt,0.9546
239,live in a glass house,Morar em casa de vidro.,Viver em casa de vidro.,gemini,prompt2,gemini,prompt4,0.9544
211,close to home,Perto de casa.,Perto do coração.,gemma3,prompt2,gemma3,prompt4,0.9542
670,blind leading the blind,Cego guiando o cego.,Cego guiando cego.,gemmaX,sem_prompt,gpt,prompt2,0.9536
670,blind leading the blind,Cego guiando o cego.,Cego guiando cego.,gemmaX,sem_prompt,gpt,prompt4,0.9536
73,"another day, another dollar","Mais um dia, mais um dólar.","Outro dia, outro dólar",gpt,prompt2,gemmaX,sem_prompt,0.9535
398,butterflies in my stomach,borboletas no meu estômago.,Borboletas no estômago,gpt,prompt2,gemini,prompt2,0.9534
468,all's fair in love and war,Tudo é justo no amor e na guerra.,"No amor e na guerra, vale tudo.",gemmaX,sem_prompt,gemini,prompt4,0.9534
74,actions speak louder than words,As ações falam mais alto do que as palavras.,Ações falam mais alto que palavras.,gemma3,prompt2,gpt,prompt2,0.9532
534,at a snail's pace,a um ritmo de lesma.,a passo de lesma,gemmaX,sem_prompt,gpt,prompt4,0.9532
83,a slap on the wrist,uma palmada no pulso.,Uma palmada na mão.,gpt,prompt2,gemini,prompt4,0.953
74,actions speak louder than words,As ações falam mais alto do que as palavras.,Atos falam mais alto que palavras.,gemma3,prompt2,gpt,prompt4,0.9528
122,burnt out,queimado.,queimado,gemmaX,sem_prompt,gpt,prompt4,0.9528
658,blood runs cold,o sangue corre frio.,O sangue gela.,gemmaX,sem_prompt,gemini,prompt2,0.9527
658,blood runs cold,o sangue corre frio.,O sangue gela.,gemmaX,sem_prompt,gemini,prompt4,0.9527
658,blood runs cold,o sangue corre frio.,O sangue gela.,gemmaX,sem_prompt,gemma3,prompt2,0.9527
658,blood runs cold,o sangue corre frio.,O sangue gela.,gemmaX,sem_prompt,gemma3,prompt4,0.9527
380,don’t put all your eggs in one basket,Não coloque todos os ovos na mesma cesta.,Não coloque todos os seus ovos na mesma cesta.,gemma3,prompt2,gpt,prompt4,0.9526
380,don’t put all your eggs in one basket,Não coloque todos os ovos na mesma cesta.,Não coloque todos os seus ovos na mesma cesta.,gemma3,prompt2,gemma3,prompt4,0.9526
313,as stubborn as a mule,tão teimoso quanto uma mula.,teimoso como uma mula,gemmaX,sem_prompt,gpt,prompt2,0.9525
313,as stubborn as a mule,tão teimoso quanto uma mula.,teimoso como uma mula,gemmaX,sem_prompt,gpt,prompt4,0.9525
29,black as night,preto como a noite.,Negro como a noite,gemmaX,sem_prompt,gemini,prompt2,0.9522
350,a sinking ship,um navio afundando.,Navio afundando.,gpt,prompt2,gemini,prompt4,0.9522
89,add fuel to the fire,acrescentar lenha na fogueira.,Botar mais lenha na fogueira.,gpt,prompt2,gemini,prompt4,0.9521
91,boiling point,ponto de ebulição.,ponto de ebulição,gemmaX,sem_prompt,gpt,prompt2,0.952
91,boiling point,ponto de ebulição.,ponto de ebulição,gemmaX,sem_prompt,gpt,prompt4,0.952
463,as busy as a bee,Tão ocupado como uma abelha.,Atarefado como uma abelha.,gemini,prompt2,gemini,prompt4,0.952
463,as busy as a bee,Tão ocupado como uma abelha.,Atarefado como uma abelha.,gemini,prompt2,gemma3,prompt2,0.952
659,don't cry over spilled milk,Não chore por leite derramado.,Não adianta chorar o leite derramado.,gemma3,prompt2,gemma3,prompt4,0.952
630,like a fish out of water,"Como um peixe fora d""água.",Como peixe fora d'água.,gemma3,prompt2,gemini,prompt4,0.9519
631,"like father, like son","Assim como pai, assim como filho.","Tal pai, tal filho.",gpt,prompt2,gpt,prompt4,0.9519
631,"like father, like son","Assim como pai, assim como filho.","Tal pai, tal filho.",gpt,prompt2,gemini,prompt2,0.9519
631,"like father, like son","Assim como pai, assim como filho.","Tal pai, tal filho.",gpt,prompt2,gemini,prompt4,0.9519
378,cast a shadow,lançar uma sombra.,Projetar uma sombra.,gemmaX,sem_prompt,gemini,prompt4,0.9518
536,dressed to kill,vestida para matar.,Pronto para matar.,gpt,prompt2,gemini,prompt4,0.9517
662,carved in stone,Esculpido em pedra.,gravado em pedra,gemini,prompt2,gpt,prompt4,0.9517
395,pull the plug,Desligar o aparelho.,Desligar tudo,gemma3,prompt2,gemini,prompt2,0.9516
694,born with a silver spoon,nascido com uma colher de prata.,Nascido com uma colher de prata na boca.,gemmaX,sem_prompt,gemma3,prompt2,0.9516
453,black and blue,preto e azul.,Roxo e azul.,gpt,prompt2,gemma3,prompt2,0.9512
156,a heart of gold,um coração de ouro.,coração de ouro,gpt,prompt2,gpt,prompt4,0.9511
639,eye of the storm,Olho do furacão.,Olho do furacão,gemini,prompt2,gemma3,prompt2,0.9511
251,as free as a bird,Livre como um pássaro.,Livre como o vento.,gemmaX,sem_prompt,gemma3,prompt4,0.9509
442,bite your tongue,Morda a língua.,morder a língua,gemmaX,sem_prompt,gpt,prompt4,0.9509
29,black as night,preto como a noite.,negra como a noite,gemmaX,sem_prompt,gpt,prompt2,0.9507
378,cast a shadow,lançar uma sombra.,projetar uma sombra,gemmaX,sem_prompt,gpt,prompt2,0.9507
624,down to earth,Pé no chão.,Com os pés no chão.,gemini,prompt2,gemini,prompt4,0.9506
624,down to earth,Pé no chão.,Com os pés no chão.,gemini,prompt2,gemma3,prompt4,0.9506
611,finding a needle in a haystack,Encontrar uma agulha num palheiro.,Procurar uma agulha no palheiro,gemmaX,sem_prompt,gemini,prompt2,0.9504
711,darkest before dawn,A noite mais escura antes do amanhecer.,mais escuro antes do amanhecer,gemma3,prompt2,gemmaX,sem_prompt,0.9504
192,a penny for your thoughts,um centavo por seus pensamentos.,Um centavo pelos seus pensamentos.,gemmaX,sem_prompt,gpt,prompt2,0.9501
192,a penny for your thoughts,um centavo por seus pensamentos.,Um centavo pelos seus pensamentos.,gemmaX,sem_prompt,gemini,prompt2,0.9501
2,let the cat out of the bag,Deixar o gato sair do saco.,Deixar o gato sair do saco.,gpt,prompt2,gpt,prompt4,0.95
7,my hands are tied,Minhas mãos estão atadas.,Minhas mãos estão atadas.,gpt,prompt2,gpt,prompt4,0.95
21,an open book,Um livro aberto.,Um livro aberto.,gemini,prompt2,gemini,prompt4,0.95
21,an open book,Um livro aberto.,Um livro aberto.,gemini,prompt2,gemma3,prompt2,0.95
21,an open book,Um livro aberto.,Um livro aberto.,gemini,prompt2,gemma3,prompt4,0.95
31,close to my heart,Perto do meu coração.,Perto do meu coração.,gemini,prompt2,gpt,prompt4,0.95
31,close to my heart,Perto do meu coração.,Perto do meu coração.,gemini,prompt2,gemini,prompt4,0.95
31,close to my heart,Perto do meu coração.,Perto do meu coração.,gemini,prompt2,gemma3,prompt2,0.95
56,best of both worlds,O melhor dos dois mundos.,O melhor dos dois mundos.,gemini,prompt2,gemini,prompt4,0.95
56,best of both worlds,O melhor dos dois mundos.,O melhor dos dois mundos.,gemini,prompt2,gemma3,prompt4,0.95
64,cool as a cucumber,Calmo como um pepino.,Calmo como um pepino.,gemini,prompt2,gemini,prompt4,0.95
73,"another day, another dollar","Mais um dia, mais um dólar.","Mais um dia, mais um dólar.",gpt,prompt2,gemini,prompt2,0.95
73,"another day, another dollar","Mais um dia, mais um dólar.","Mais um dia, mais um dólar.",gpt,prompt2,gemma3,prompt2,0.95
98,cold as ice,Frio como gelo.,Frio como gelo.,gemini,prompt2,gemma3,prompt2,0.95
98,cold as ice,Frio como gelo.,Frio como gelo.,gemini,prompt2,gemma3,prompt4,0.95
106,light at the end of the tunnel,Luz no fim do túnel.,Luz no fim do túnel.,gemini,prompt2,gemini,prompt4,0.95
125,blessing in disguise,Uma bênção disfarçada.,Uma bênção disfarçada.,gemma3,prompt2,gemma3,prompt4,0.95
129,arm and a leg,Um braço e uma perna.,Um braço e uma perna.,gemini,prompt2,gpt,prompt2,0.95
129,arm and a leg,Um braço e uma perna.,Um braço e uma perna.,gemini,prompt2,gemma3,prompt2,0.95
145,a fly on the wall,Uma mosca na parede.,Uma mosca na parede.,gemma3,prompt2,gemini,prompt4,0.95
145,a fly on the wall,Uma mosca na parede.,Uma mosca na parede.,gemma3,prompt2,gemma3,prompt4,0.95
161,a voice in the wilderness,Uma voz no deserto.,Uma voz no deserto.,gemini,prompt2,gemini,prompt4,0.95
161,a voice in the wilderness,Uma voz no deserto.,Uma voz no deserto.,gemini,prompt2,gemma3,prompt4,0.95
164,curiosity killed the cat,A curiosidade matou o gato.,A curiosidade matou o gato.,gemma3,prompt2,gpt,prompt2,0.95
164,curiosity killed the cat,A curiosidade matou o gato.,A curiosidade matou o gato.,gemma3,prompt2,gpt,prompt4,0.95
164,curiosity killed the cat,A curiosidade matou o gato.,A curiosidade matou o gato.,gemma3,prompt2,gemini,prompt2,0.95
164,curiosity killed the cat,A curiosidade matou o gato.,A curiosidade matou o gato.,gemma3,prompt2,gemini,prompt4,0.95
164,curiosity killed the cat,A curiosidade matou o gato.,A curiosidade matou o gato.,gemma3,prompt2,gemma3,prompt4,0.95
171,comfort zone,Zona de conforto.,Zona de conforto.,gemini,prompt2,gemma3,prompt4,0.95
173,fingers crossed,Dedos cruzados.,Dedos cruzados.,gemini,prompt2,gpt,prompt4,0.95
173,fingers crossed,Dedos cruzados.,Dedos cruzados.,gemini,prompt2,gemini,prompt4,0.95
197,as cool as a cucumber,Calmo como um pepino.,Calmo como um pepino.,gemini,prompt2,gemini,prompt4,0.95
197,as cool as a cucumber,Calmo como um pepino.,Calmo como um pepino.,gemini,prompt2,gemma3,prompt4,0.95
211,close to home,Perto de casa.,Perto de casa.,gemma3,prompt2,gemini,prompt4,0.95
233,"hope for the best, prepare for the worst","Esperar o melhor, preparar-se para o pior.","Esperar o melhor, preparar-se para o pior.",gemini,prompt2,gemini,prompt4,0.95
233,"hope for the best, prepare for the worst","Esperar o melhor, preparar-se para o pior.","Esperar o melhor, preparar-se para o pior.",gemini,prompt2,gemma3,prompt2,0.95
241,don’t cry over spilled milk,Não chore por leite derramado.,Não chore por leite derramado.,gemma3,prompt2,gemma3,prompt4,0.95
251,as free as a bird,Livre como um pássaro.,Livre como um pássaro.,gemmaX,sem_prompt,gemini,prompt2,0.95
251,as free as a bird,Livre como um pássaro.,Livre como um pássaro.,gemmaX,sem_prompt,gemini,prompt4,0.95
251,as free as a bird,Livre como um pássaro.,Livre como um pássaro.,gemmaX,sem_prompt,gemma3,prompt2,0.95
259,cloud of suspicion,Nuvem de suspeita.,Nuvem de suspeita.,gemma3,prompt2,gemma3,prompt4,0.95
264,a penny saved is a penny earned,Um centavo economizado é um centavo ganho.,Um centavo economizado é um centavo ganho.,gpt,prompt2,gemini,prompt4,0.95
277,a mountain to climb,Uma montanha para escalar.,Uma montanha para escalar.,gemini,prompt2,gemma3,prompt2,0.95
291,a ray of hope,Um raio de esperança.,Um raio de esperança.,gemini,prompt2,gemini,prompt4,0.95
295,an arm and a leg,Um braço e uma perna.,Um braço e uma perna.,gemini,prompt2,gemma3,prompt2,0.95
358,don't put all your eggs in one basket,Não coloque todos os seus ovos na mesma cesta.,Não coloque todos os seus ovos em uma só cesta.,gemma3,prompt2,gpt,prompt2,0.95
358,don't put all your eggs in one basket,Não coloque todos os seus ovos na mesma cesta.,Não coloque todos os seus ovos na mesma cesta.,gemma3,prompt2,gpt,prompt4,0.95
358,don't put all your eggs in one basket,Não coloque todos os seus ovos na mesma cesta.,Não coloque todos os seus ovos na mesma cesta.,gemma3,prompt2,gemma3,prompt4,0.95
359,black as coal,Preto como carvão.,Preto como carvão.,gemini,prompt2,gemma3,prompt2,0.95
361,don't bite the hand that feeds you,Não morda a mão que te alimenta.,Não morda a mão que te alimenta.,gemini,prompt2,gpt,prompt2,0.95
361,don't bite the hand that feeds you,Não morda a mão que te alimenta.,Não morda a mão que te alimenta.,gemini,prompt2,gpt,prompt4,0.95
361,don't bite the hand that feeds you,Não morda a mão que te alimenta.,Não morda a mão que te alimenta.,gemini,prompt2,gemini,prompt4,0.95
380,don’t put all your eggs in one basket,Não coloque todos os ovos na mesma cesta.,Não coloque todos os ovos na mesma cesta.,gemma3,prompt2,gemini,prompt2,0.95
380,don’t put all your eggs in one basket,Não coloque todos os ovos na mesma cesta.,Não coloque todos os ovos na mesma cesta.,gemma3,prompt2,gemini,prompt4,0.95
389,like riding a bike,Como andar de bicicleta.,Como andar de bicicleta.,gemma3,prompt2,gemini,prompt2,0.95
389,like riding a bike,Como andar de bicicleta.,Como andar de bicicleta.,gemma3,prompt2,gemma3,prompt4,0.95
416,a blessing in disguise,Uma bênção disfarçada.,Uma bênção disfarçada.,gemini,prompt2,gemma3,prompt2,0.95
416,a blessing in disguise,Uma bênção disfarçada.,Uma bênção disfarçada.,gemini,prompt2,gemma3,prompt4,0.95
425,cast in stone,Escrito em pedra.,Escrito em pedra.,gemini,prompt2,gemma3,prompt2,0.95
425,cast in stone,Escrito em pedra.,Escrito em pedra.,gemini,prompt2,gemma3,prompt4,0.95
439,flying high,Voando alto.,Voando alto.,gemini,prompt2,gemma3,prompt4,0.95
442,bite your tongue,Morda a língua.,Morda a língua.,gemmaX,sem_prompt,gpt,prompt2,0.95
442,bite your tongue,Morda a língua.,Morda a língua.,gemmaX,sem_prompt,gemma3,prompt2,0.95
443,all in a day's work,Tudo em um dia de trabalho.,Tudo em um dia de trabalho.,gemini,prompt2,gpt,prompt4,0.95
447,"blood, sweat, and tears","Sangue, suor e lágrimas.","Sangue, suor e lágrimas.",gemma3,prompt2,gemini,prompt2,0.95
447,"blood, sweat, and tears","Sangue, suor e lágrimas.","Sangue, suor e lágrimas.",gemma3,prompt2,gemini,prompt4,0.95
447,"blood, sweat, and tears","Sangue, suor e lágrimas.","Sangue, suor e lágrimas.",gemma3,prompt2,gemma3,prompt4,0.95
465,come out of your shell,Saia da sua concha.,Saia da sua concha.,gemini,prompt2,gemma3,prompt2,0.95
468,all's fair in love and war,Tudo é justo no amor e na guerra.,Tudo é justo no amor e na guerra.,gemmaX,sem_prompt,gemma3,prompt2,0.95
470,all the world's a stage,Todo o mundo é um palco.,Todo o mundo é um palco.,gemmaX,sem_prompt,gpt,prompt4,0.95
477,keep your chin up,Mantenha a cabeça erguida.,Mantenha a cabeça erguida.,gemma3,prompt2,gpt,prompt2,0.95
477,keep your chin up,Mantenha a cabeça erguida.,Mantenha a cabeça erguida.,gemma3,prompt2,gemma3,prompt4,0.95
481,a place in the sun,Um lugar ao sol.,Um lugar ao sol.,gemmaX,sem_prompt,gpt,prompt4,0.95
481,a place in the sun,Um lugar ao sol.,Um lugar ao sol.,gemmaX,sem_prompt,gemini,prompt4,0.95
481,a place in the sun,Um lugar ao sol.,Um lugar ao sol.,gemmaX,sem_prompt,gemma3,prompt2,0.95
481,a place in the sun,Um lugar ao sol.,Um lugar ao sol.,gemmaX,sem_prompt,gemma3,prompt4,0.95
486,break the ice,Quebrar o gelo.,Quebrar o gelo.,gemini,prompt2,gpt,prompt4,0.95
486,break the ice,Quebrar o gelo.,Quebrar o gelo.,gemini,prompt2,gemini,prompt4,0.95
486,break the ice,Quebrar o gelo.,Quebrar o gelo.,gemini,prompt2,gemma3,prompt4,0.95
495,a shot in the dark,Um tiro no escuro.,Um tiro no escuro.,gemini,prompt2,gemini,prompt4,0.95
495,a shot in the dark,Um tiro no escuro.,Um tiro no escuro.,gemini,prompt2,gemma3,prompt4,0.95
