ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
blind as a bat,Cego como um morcego,Blind as a bat,1,50,3,138,422,540,139,1293
change of heart,mudança de coração,change of heart,1,50,3,204,177,303,1,739
food for thought,comida para pensar,food for thought,1,50,3,238,74,226,28,620
black as night,preto como a noite,black as the night,9,50,152,341,196,334,1,1083
a chip on your shoulder,um chip no seu ombro,a chip in your shoulder,12,50,60,84,438,64,1,709
close to my heart,perto do meu coração,close to my heart,1,1,3,8,109,423,1,546
apple of my eye,a menina dos meus olhos,the girl of my eyes,32,50,275,631,602,521,238,2349
get the show on the road,começar o espetáculo,start the show,33,50,290,597,592,405,224,2191
easy as pie,fácil como a torta,easy as pie,1,50,3,162,5,468,19,708
back to square one,de volta ao ponto de partida,back to the starting point,32,50,291,567,489,96,53,1578
devil's advocate,advogado do diabo,devil's advocate,1,50,3,289,113,290,1,747
She went to the library to study.,Ela foi à biblioteca para estudar.,She went to the library to study.,1,1,2,206,231,141,1,583
fit as a fiddle,em forma como uma camurça,in shape as a suede,32,50,319,646,659,562,262,2530
They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,They went to the theater to see a play.,7,19,9,386,309,115,1,846
falling through the cracks,caindo nas rachaduras,falling into the cracks,17,50,38,352,495,538,172,1662
She made breakfast for the family.,Ela fez o café da manhã para a família.,She made breakfast for the family.,1,1,2,160,226,72,1,463
She is talking on the phone.,Ela está falando ao telefone.,She's talking on the phone.,10,21,36,297,343,27,1,735
all bark and no bite,tudo é conversa e nada de ação,all is talk and nothing of action,38,50,295,641,615,352,253,2244
apple of discord,maçã da discórdia,apple of discord,1,50,3,228,63,549,193,1087
spill the beans,derramar os segredos,spill the secrets,21,50,268,586,618,603,251,2397
burn your bridges,queime suas pontes,burn your bridges,1,50,3,353,167,248,53,875
I need to buy groceries this afternoon.,Preciso comprar mantimentos esta tarde.,I need to buy groceries this afternoon.,1,1,4,48,103,168,1,326
as bold as brass,tão descarado quanto o bronze,as brazen as bronze,30,50,286,645,551,559,274,2395
close to the vest,perto do colete,near the vest,27,50,145,436,503,580,68,1809
blood is thicker than water,O sangue é mais espesso do que a água,Blood is thicker than water,1,17,2,21,70,140,1,252
back to the drawing board,de volta à prancheta,back to the drawing board,1,1,3,164,192,449,86,896
She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,She went to the post office to send a package.,1,1,3,223,260,30,1,519
as right as rain,como se estivesse tudo bem,as if everything was fine,42,50,352,638,591,209,284,2166
He is planning his day ahead.,Ele está planejando seu dia.,He is planning his day.,5,16,56,539,416,409,45,1486
She took a shower in the morning.,Ela tomou um banho de manhã.,She took a bath in the morning.,9,36,18,448,375,68,1,955
best of both worlds,O melhor dos dois mundos,The best of both worlds,6,17,127,105,233,276,1,765
antsy as a cat on a hot tin roof,inquieto como um gato em um telhado de lata quente,restless as a cat on a hot tin roof,7,2,118,480,480,438,225,1750
He is building a model airplane.,Ele está construindo um avião modelo.,He's building a model airplane.,10,21,163,358,308,198,1,1059
devil's advocate,advogado do diabo,devil's advocate,1,50,3,289,112,291,1,747
burst your bubble,estourar sua bolha,burst your bubble,1,50,2,294,29,461,83,920
all eyes on you,todos os olhos em você,all eyes on you,1,1,3,18,68,400,1,492
a skeleton in the closet,um esqueleto no armário,a skeleton in the closet,1,1,3,106,243,75,1,430
He is attending a business meeting.,Ele está participando de uma reunião de negócios.,He's attending a business meeting.,10,21,107,335,312,403,1,1189
cool as a cucumber,frio como um pepino,cold as a cucumber,17,50,80,483,540,340,75,1585
He took the bus to work.,Ele pegou o ônibus para trabalhar.,He took the bus to work.,1,1,3,83,203,125,1,417
as easy as pie,tão fácil quanto a torta,as easy as pie,1,1,3,19,16,525,122,687
butterfly effect,efeito borboleta,butterfly effect,1,50,3,427,33,119,1,634
They watched a TV show in the evening.,Eles assistiram a um programa de TV à noite.,They watched a TV show at night.,21,38,113,432,461,208,1,1274
She is brushing her teeth before bed.,Ela está escoando os dentes antes de dormir.,She's brushing her teeth before bed.,9,14,37,321,338,14,1,734
blown out of the water,expulsado da água,expelled from the water,32,50,221,526,547,275,108,1759
He is feeding his pet hamster.,Ele está alimentando seu hamster de estimação.,He's feeding his pet hamster.,10,21,79,388,325,219,1,1043
I like to drink coffee in the morning.,Gosto de tomar café de manhã.,I like to drink coffee in the morning.,1,1,3,96,162,47,1,311
"another day, another dollar","Outro dia, outro dólar","Another day, another dollar.",1,35,173,196,275,249,1,930
actions speak louder than words,as ações falam mais alto do que as palavras,actions speak louder than words,1,1,2,11,41,164,1,221
climbing up the ladder,subindo a escada,climbing the stairs,27,50,215,492,526,243,1,1554
early bird catches the worm,o pássaro que acorda mais cedo pega o verme,the bird that wakes up earliest gets the worm,34,50,285,576,604,380,141,2070
She is baking cookies in the kitchen.,Ela está cozinhando biscoitos na cozinha.,She's baking cookies in the kitchen.,9,14,43,347,346,108,1,868
bleeding heart,coração sangrento,bloody heart,30,50,244,509,603,253,53,1742
She is cleaning the kitchen after dinner.,Ela está limpando a cozinha depois do jantar.,She's cleaning the kitchen after dinner.,9,14,31,333,387,91,1,866
She is drinking water.,Ela está bebendo água.,She's drinking water.,17,50,133,392,301,23,1,917
They are having coffee at the café.,Eles estão tomando café no café.,They're having coffee at the cafe.,19,45,57,283,382,48,1,835
hard pill to swallow,uma pílula difícil de engolir,a hard pill to swallow,6,17,129,369,445,32,1,999
a slap on the wrist,uma reprimenda,a reprimand,40,50,346,573,663,490,149,2311
They are visiting a museum this afternoon.,"Esta tarde, eles estão visitando um museu.","This afternoon, they're visiting a museum.",28,50,171,439,385,97,1,1171
They are swimming at the pool.,Eles estão nadando na piscina.,They're swimming in the pool.,21,50,181,405,436,18,1,1112
cat on a hot tin roof,gato em um telhado de lata quente,cat on a hot tin roof,1,1,3,322,142,427,113,1009
She is talking to her friend on the phone.,Ela está falando com uma amiga no telefone.,She's talking to a friend on the phone.,15,41,119,416,427,4,1,1023
He is walking his dog in the park.,Ele está passeando com seu cachorro no parque.,He's walking his dog in the park.,8,10,108,348,353,174,1,1002
add fuel to the fire,acender fogo,light a fire,41,50,324,600,585,596,134,2330
in hot water,em água quente,in hot water,1,50,2,337,12,398,53,853
boiling point,ponto de ebulição,boiling point,1,50,3,349,7,39,1,450
beat a dead horse,bater num cavalo morto,beating a dead horse,17,50,42,419,541,586,210,1865
blind alley,beco sem saída,dead end,45,50,323,587,654,574,283,2516
cutting corners,cortar cantos,cut corners,30,50,166,469,506,533,93,1847
actions speak louder than words,as ações falam mais alto do que as palavras,actions speak louder than words,1,1,2,11,41,164,1,221
chip on the shoulder,chip no ombro,chip in the shoulder,17,50,134,359,491,561,137,1749
He washed his car yesterday.,Ele lavou seu carro ontem.,He washed his car yesterday.,1,1,3,112,76,160,1,354
cold as ice,frio como gelo,cold as ice,1,50,3,82,27,322,1,486
He is attending a wedding.,Ele está indo para um casamento.,He's going to a wedding.,29,50,240,520,518,148,1,1506
He is making a cup of coffee.,Ele está fazendo uma xícara de café.,He's making a cup of coffee.,9,14,52,323,431,223,1,1053
chasing shadows,perseguindo sombras,chasing shadows,1,50,3,251,45,349,53,752
feast your eyes,Deleite os seus olhos,Feast your eyes,1,50,3,309,259,385,200,1207
a diamond in the rough,um diamante em bruto,a diamond in the rough,1,1,3,123,209,504,77,918
He is having breakfast with his family.,Ele está tomando café da manhã com sua família.,He's having breakfast with his family.,9,14,85,332,331,245,1,1017
blind as a bat,Cego como um morcego,Blind as a bat,1,50,3,138,423,540,139,1294
light at the end of the tunnel,luz no fim do túnel,light at the end of the tunnel,1,1,3,252,232,127,1,617
as old as the hills,tão velho quanto as colinas,as old as the hills,1,1,3,147,47,387,27,613
break the ice,quebrar o gelo,breaking the ice,21,50,39,360,401,261,1,1133
He went for a jog in the morning.,Ele foi correr de manhã.,He went jogging in the morning.,19,46,219,475,463,173,53,1448
finding your feet,encontrar o seu lugar,find your place,38,50,262,555,564,424,279,2172
give someone a run for their money,dar a alguém uma corrida pelo seu dinheiro,give someone a run for their money,1,1,2,53,185,566,189,997
have a bone to pick,tem uma queixa a fazer,has a complaint to make,35,50,292,625,634,391,301,2328
barking up the wrong tree,barking up the wrong tree,barking up the wrong tree,1,1,3,37,83,640,190,955
He enjoyed a cup of coffee in the morning.,Ele gostava de uma xícara de café de manhã.,He liked a cup of coffee in the morning.,7,5,45,502,475,126,1,1161
ball is in your court,a bola está no seu campo,the ball is in your court,5,8,101,59,197,366,13,749
"blood, sweat, and tears","sangue, suor e lágrimas","blood, sweat and tears",1,50,28,408,116,33,1,637
going down in flames,indo para as chamas,going into the flames,30,50,245,457,481,576,228,2067
break a leg,Quebrar uma perna,Breaking a leg,21,50,83,402,408,433,89,1486
The kids played in the playground.,As crianças brincavam no parque infantil.,The children were playing in the playground.,25,47,206,451,399,339,1,1468
change of tune,mudança de tom,change of tone,21,50,243,519,493,302,1,1629
paint the town red,pinte a cidade de vermelho,paint the city red,17,50,130,444,199,71,1,912
burnt out,queimado,burned,45,50,279,571,482,257,143,1827
burning the midnight oil,queimar a meia-noite,burning the midnight oil,1,1,4,256,320,625,150,1357
come out of the woodwork,sair do armário,coming out of the closet,26,50,282,566,630,333,239,2126
blessing in disguise,benção disfarçada,a blessing in disguise,9,50,154,357,321,258,1,1150
He is cutting vegetables for dinner.,Ele está cortando legumes para o jantar.,He's chopping vegetables for dinner.,21,42,102,376,559,305,53,1458
bigger than life,maior que a vida,bigger than life,1,50,3,13,30,377,1,475
cast iron stomach,estômago de ferro,iron stomach,13,50,223,551,587,259,271,1954
arm and a leg,um braço e uma perna,an arm and a leg,6,17,63,499,469,80,61,1195
as hungry as a wolf,com fome como um lobo,hungry as a wolf,6,6,189,518,425,472,112,1728
They went for a swim at the pool.,Eles foram nadar na piscina.,They went swimming in the pool.,27,50,177,489,492,6,1,1242
blow a fuse,queimar um fusível,blow a fuse,1,50,3,210,78,506,105,953
He is drawing a picture of his dog.,Ele está desenhando uma foto do seu cachorro.,He's drawing a picture of his dog.,8,10,61,373,345,161,1,959
bend over backwards,fazer o impossível,do the impossible,45,50,343,633,669,392,231,2363
any port in a storm,qualquer porto numa tempestade,any port in a storm,1,1,3,268,188,76,1,538
I met my friends for lunch.,Encontrei-me com os meus amigos para almoçar.,I met my friends for lunch.,1,1,3,166,106,230,1,508
bare bones,bare bones,bare bones,1,50,5,344,11,616,1,1028
bottom of the totem pole,parte inferior do totem,bottom of the totem,6,6,142,531,513,522,285,2005
face the music,face à música,facing the music,21,50,172,465,501,542,121,1872
chomping at the bit,comendo a isca,eating the bait,40,50,307,613,649,579,298,2536
on cloud nine,no topo do mundo,on top of the world,41,50,339,623,658,545,261,2517
between a rock and a hard place,entre a espada e a parede,between the sword and the wall,39,50,308,639,636,527,297,2496
batten down the hatches,batir os porões,beat the cellars,40,50,329,637,664,573,281,2574
all ears,todos os ouvidos,all ears,1,50,2,380,191,577,55,1256
a fly on the wall,uma mosca na parede,a fly on the wall,1,1,4,152,189,241,52,640
as sharp as a tack,afiado como uma agulha,sharp as a needle,22,50,259,578,531,278,127,1845
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,1,1,4,121,90,3,1,221
don't put all your eggs in one basket,Não ponha todos os seus ovos num só cesto,Don’t put all your eggs in one basket,1,3,53,281,290,280,1,909
bottom of the barrel,fundo do barril,bottom of the barrel,1,1,3,4,287,357,1,654
carrying the weight of the world,Carregando o peso do mundo,Carrying the weight of the world,1,8,2,190,414,500,1,1116
cogs in the machine,engrenagens na máquina,Gears in the machine,17,50,216,544,569,531,188,2115
I am traveling to the mountains this weekend.,Vou viajar para as montanhas neste fim de semana.,I'm going to the mountains this weekend.,17,26,153,411,403,212,1,1223
They watched a movie on the weekend.,Eles assistiram a um filme no fim de semana.,They watched a movie on the weekend.,1,1,3,116,174,35,1,331
blowing off steam,desabafar,venting,45,50,310,596,656,526,299,2482
face the music,face à música,facing the music,21,50,172,465,500,542,121,1871
a heart of gold,um coração de ouro,a heart of gold,1,1,3,219,97,112,35,468
caught in a web,Preso numa teia,Trapped in a web,17,50,98,424,536,313,74,1512
She made a salad for lunch.,Ela fez uma salada para o almoço.,She made a salad for lunch.,1,1,2,167,129,8,1,309
mind over matter,mente sobre a matéria,mind on the matter,27,50,315,515,593,463,136,2099
as good as done,Tão bom quanto feito,As good as it gets,22,50,255,619,576,551,250,2323
a voice in the wilderness,uma voz no deserto,a voice in the desert,12,17,132,530,473,193,1,1358
He went to the gym to lift weights.,Ele foi para a academia para levantar pesos.,He went to the gym to lift weights.,1,1,3,214,253,224,1,697
another one bites the dust,Mais um morre,Another one dies,30,50,274,615,595,369,294,2227
curiosity killed the cat,curiosidade matou o gato,Curiosity killed the cat.,1,50,150,86,459,363,1,1110
by leaps and bounds,por saltos e limites,by leaps and bounds,1,1,4,9,294,581,60,950
They are practicing their dance routine.,Estão a ensaiar a sua coreografia.,They're rehearsing their choreography.,37,50,251,532,519,256,1,1646
honest as the day is long,honesto como o dia é longo,honest as the day is long,1,1,3,175,240,501,31,952
butter wouldn’t melt in their mouth,a manteiga não derreteria na boca deles,the butter wouldn't melt in their mouths,14,50,175,304,467,267,42,1319
be in hot water,estar em apuros,to be in trouble,30,50,320,640,662,489,265,2456
by the seat of your pants,pelo assento de suas calças,by the seat of his pants,10,31,144,550,510,474,198,1917
comfort zone,zona de conforto,comfort zone,1,50,3,363,9,314,1,741
give the green light,dar luz verde,to give the green light,6,17,138,462,381,492,209,1705
fingers crossed,cruzando os dedos,crossing my fingers,36,50,283,517,546,382,226,2040
He went to the airport to catch a flight.,Ele foi para o aeroporto para pegar um voo.,He went to the airport to catch a flight.,1,1,3,187,271,222,1,686
as mad as a hatter,louco como um chapeleiro,mad as a hatter,6,6,165,505,561,590,166,1999
cracking the whip,quebrando o chicote,breaking the whip,21,50,71,467,533,552,211,1905
He is reading a newspaper.,Ele está lendo um jornal.,He's reading a newspaper.,12,29,170,314,362,40,1,928
as easy as shooting fish in a barrel,Tão fácil como atirar em peixes num barril,As easy as shooting fish in a barrel,1,3,3,52,354,299,36,748
He is taking photos with his camera.,Ele está tirando fotos com sua câmera.,He's taking pictures with his camera.,19,45,99,354,336,321,1,1175
ants in your pants,formigas nas calças,ants in your pants,1,1,5,236,280,512,94,1129
He is cleaning the windows.,Ele está limpando as janelas.,He's cleaning the windows.,12,29,51,296,404,454,30,1276
clean bill of health,certificado de saúde,health certificate,38,50,340,595,560,178,229,1990
cold feet,pés frios,cold feet,1,50,2,368,98,62,1,582
burn bridges,queimar pontes,burning bridges,30,50,226,377,583,111,53,1430
cat's out of the bag,O gato está fora do saco,The cat is out of the bag,16,44,179,415,502,282,5,1443
bury your head in the sand,enterre sua cabeça na areia,bury your head in the sand,1,1,3,215,218,289,1,728
He read a book before bed.,Ele leu um livro antes de dormir.,He read a book before going to bed.,9,34,183,362,406,57,1,1052
bridge the gap,colmar a lacuna,bridge the gap,1,50,3,185,266,591,37,1133
He went to the doctor for a check-up.,Ele foi ao médico para fazer um check-up.,He went to the doctor for a check-up.,1,1,3,192,247,346,1,791
She is watching the sunset from the balcony.,Ela está vendo o pôr do sol da varanda.,She's watching the sunset from the balcony.,8,10,25,316,348,535,33,1275
blessing in disguise,benção disfarçada,a blessing in disguise,9,50,154,357,321,258,1,1150
a penny for your thoughts,um centavo por seus pensamentos,a penny for your thoughts,1,1,2,73,96,52,1,226
He is playing the guitar in the living room.,Ele está tocando violão na sala de estar.,He's playing guitar in the living room.,11,28,104,384,369,167,1,1064
He is sitting on the chair.,Ele está sentado na cadeira.,He's sitting in the chair.,21,50,120,397,477,247,1,1313
come hell or high water,venha o inferno ou a água alta,come hell or high water,1,1,1,226,60,556,273,1118
I went to the beach for vacation.,Fui para a praia de férias.,I went to the beach for the holidays.,14,25,81,440,419,199,1,1179
as cool as a cucumber,frio como um pepino,cold as a cucumber,22,50,197,508,548,341,170,1836
break the ice,quebrar o gelo,breaking the ice,21,50,39,360,401,261,1,1133
at the end of the day,no final do dia,at the end of the day,1,1,4,234,284,597,51,1172
can't see the forest for the trees,Não consigo ver a floresta por causa das árvores,I can't see the forest for the trees,2,3,74,418,393,448,53,1391
He is doing his homework in the study room.,Ele está fazendo sua lição de casa na sala de estudo.,He is doing his homework in the study room.,1,1,3,77,210,102,1,395
They planted flowers in the garden.,Eles plantaram flores no jardim.,They planted flowers in the garden.,1,1,3,208,175,13,1,402
They are making pizza together.,Estão a fazer uma pizza juntos.,They're making a pizza together.,18,50,124,500,356,181,1,1230
blown out of proportion,exagerada,exaggerated,45,50,347,556,633,503,215,2349
hand in glove,mão no luva,hand in glove,1,50,3,85,213,402,12,766
birds of a feather flock together,pássaros da mesma espécie voam juntos,Birds of the same species fly together.,31,50,305,561,617,145,220,1929
get out of hand,ficar fora de controle,get out of control,17,50,249,541,451,354,53,1715
He called his parents yesterday.,Ele ligou para os pais dele ontem.,He called his parents yesterday.,1,1,5,181,91,204,1,484
He wrote a letter to his friend.,Ele escreveu uma carta para seu amigo.,He wrote a letter to his friend.,1,1,3,225,187,20,1,438
She danced at the party last night.,Ela dançou na festa ontem à noite.,She danced at the party last night.,1,1,3,194,184,229,1,613
close to home,perto de casa,near home,36,50,203,425,474,394,53,1635
"if you can't stand the heat, get out of the kitchen","Se não aguentares o calor, sai da cozinha","If you can't take the heat, get out of the kitchen.",4,24,96,490,471,242,1,1328
between the devil and the deep blue sea,Entre o diabo e o mar azul profundo,Between the devil and the deep blue sea,1,3,3,267,499,315,98,1186
get cold feet,ter os pés frios,to have cold feet,27,50,228,514,543,197,64,1623
fish out of water,peixe fora d'água,fish out of water,1,1,4,144,84,186,1,421
over the moon,over the moon,over the moon,1,50,3,91,224,635,272,1276
once in a blue moon,uma vez em uma lua azul,once in a blue moon,1,1,3,249,151,493,39,937
chip off the old block,chip off the old block,chip off the old block,1,1,3,293,48,631,144,1121
break the mold,quebrar o molde,breaking the mold,21,50,29,326,278,293,1,998
ace in the hole,um trunfo oculto,a hidden asset,45,50,355,643,651,294,236,2274
She is gardening in the backyard.,Ela está fazendo jardinagem no quintal.,She is gardening in the backyard.,1,1,4,38,207,149,1,401
blind as a bat,Cego como um morcego,Blind as a bat,1,50,3,138,423,540,139,1294
call it a day,chame-lhe um dia,call him one day,30,50,278,620,612,529,255,2374
calm before the storm,calma antes da tempestade,calm before the storm,1,1,3,80,51,262,1,399
He attended a wedding last weekend.,Ele foi a um casamento no último final de semana.,He went to a wedding last weekend.,16,30,82,463,454,284,1,1330
chill to the bone,frio até aos ossos,cold to the bone,17,50,78,193,426,445,153,1362
broad strokes,traços largos,wide strokes,30,50,76,456,597,567,110,1886
She is listening to music while cooking.,Ela está ouvindo música enquanto cozinha.,She is listening to music while she cooks.,14,25,64,327,367,25,1,823
blind as a bat,Cego como um morcego,Blind as a bat,1,50,3,138,421,540,139,1292
all thumbs,todos os polegares,all the thumbs,13,50,256,403,508,478,219,1927
chip on your shoulder,chip no ombro,chip in the shoulder,30,50,265,521,553,561,168,2148
chase rainbows,perseguir arco-íris,chasing rainbows,30,50,184,417,432,451,1,1565
"hope for the best, prepare for the worst","esperar o melhor, preparar-se para o pior","expect the best, prepare for the worst",14,10,103,481,415,310,1,1334
get a grip,pegar no controlo,take control,45,50,330,575,582,617,276,2475
finger on the pulse,de dedo no pulso,finger on the pulse,1,1,3,200,200,360,162,927
ball of fire,bola de fogo,ball of fire,1,50,3,253,75,307,32,721
He is making tea in the kitchen.,Ele está fazendo chá na cozinha.,He's making tea in the kitchen.,9,14,58,305,337,88,1,812
bite your lip,Morda o seu lábio,Bite your lip,1,50,3,365,245,428,175,1267
live in a glass house,viver numa casa de vidro,living in a glass house,12,17,97,449,371,104,53,1103
into thin air,no ar rarefeito,in the thin air,27,50,229,510,590,484,256,2146
don’t cry over spilled milk,Não chore pelo leite derramado,Don't cry over spilled milk,1,17,141,141,342,233,1,876
don't count your chickens before they hatch,Não conte seus frangos antes que eles nasçam,Don't count your chickens before they're hatched.,11,49,168,407,456,436,53,1580
close to my heart,perto do meu coração,close to my heart,1,1,3,8,109,423,1,546
He went fishing with his friends.,Ele foi pescar com seus amigos.,He went fishing with his friends.,1,1,3,213,135,103,1,457
as clear as mud,claro como lama,clear as mud,9,50,196,410,263,311,1,1240
be a fly on the wall,ser uma mosca na parede,being a fly on the wall,10,8,95,472,478,370,159,1592
changing gears,mudar de marcha,change gear,45,50,254,442,517,514,70,1892
call it quits,chamar o jogo de quits,call the game quits,27,50,247,536,514,582,101,2057
bottom line,bottom line,bottom line,1,50,1,288,19,614,1,974
bet the farm,arriscar tudo,risking everything,45,50,350,627,635,218,282,2207
as free as a bird,Livre como um pássaro,Free as a bird,6,50,198,454,417,187,85,1397
flying by the seat of your pants,flying by the seat of your pants,flying by the seat of your pants,1,1,4,50,296,639,259,1250
chasing your tail,correndo atrás de sua cauda,running after its tail,40,50,304,592,568,455,235,2244
She plays the piano beautifully.,Ela toca piano lindamente.,She plays the piano beautifully.,1,1,4,154,105,37,1,303
heart of stone,coração de pedra,heart of stone,1,50,3,302,164,139,1,660
They are going to the cinema tonight.,Eles vão ao cinema hoje à noite.,They're going to the movies tonight.,19,50,191,453,365,153,1,1232
a taste of your own medicine,um gosto da sua própria medicina,a taste of their own medicine,10,50,180,577,472,453,53,1795
break the ice,quebrar o gelo,breaking the ice,21,50,39,360,401,261,1,1133
cloud of suspicion,nuvem de suspeita,cloud of suspicion,1,50,4,284,80,49,1,469
diamond in the rough,diamante em bruto,rough diamond,38,50,299,593,544,82,266,1872
beat the clock,vença o relógio,beat the clock,1,50,2,30,215,572,125,995
He is repairing the broken chair.,Ele está consertando a cadeira quebrada.,He's fixing the broken chair.,21,42,125,433,449,214,1,1285
She is watching a movie at the theater.,Ela está assistindo um filme no cinema.,She's watching a movie at the cinema.,17,38,106,477,411,85,1,1135
a penny saved is a penny earned,Um centavo economizado é um centavo ganho,A penny saved is a penny earned,1,4,2,94,237,189,111,638
He cleaned the garage on Saturday.,Ele limpou a garagem no sábado.,He cleaned the garage on Saturday.,1,1,2,103,220,511,1,839
a fish out of water,um peixe fora d'água,a fish out of water,1,1,3,64,178,133,1,381
down to earth,down to earth,down to earth,1,50,3,89,4,620,1,768
happy as a clam,feliz como uma ameijoa,happy as a clam,1,1,3,54,127,564,119,869
He visited the museum with his class.,Ele visitou o museu com sua classe.,He visited the museum with his class.,1,1,4,233,229,123,1,592
I visited my parents last weekend.,Visitei os meus pais no fim-de-semana passado.,I visited my parents last weekend.,1,1,3,173,108,55,1,342
by the skin of your teeth,por um triz de cabelo,by a hair's breadth,44,50,336,617,667,609,280,2603
crack the code,quebrar o código,break the code,21,50,91,478,450,177,53,1320
He watched a football match on TV.,Ele assistiu a uma partida de futebol na TV.,He watched a football match on TV.,1,1,3,165,65,157,1,393
climbing the corporate ladder,subindo a escada corporativa,climbing the corporate ladder,1,1,3,109,155,320,1,590
all in the same boat,Todos no mesmo barco,All in the same boat,1,17,4,139,170,192,1,524
cold feet,pés frios,cold feet,1,50,2,368,98,62,1,582
a mountain to climb,uma montanha para escalar,a mountain to climb,1,1,2,163,58,412,1,638
break the back of it,quebrar a espinha dele,break his spine,41,50,311,564,643,355,270,2234
blowing off steam,desabafar,venting,45,50,310,596,656,526,299,2482
cook up a storm,cozinhar como louco,cooking like crazy,45,50,337,588,648,316,206,2190
dead in the water,morto na água,killed in the water,17,50,121,224,319,265,1,997
bite the big one,morda o grande,bite the big one,1,1,4,115,304,611,187,1223
buy a lemon,comprar um limão,buy a lemon,1,50,2,313,20,67,1,454
get a second wind,ter uma segunda oportunidade,to have a second chance,32,50,300,624,605,203,82,1896
He is working on his laptop.,Ele está trabalhando em seu laptop.,He's working on his laptop.,10,21,72,286,273,234,1,897
clear as mud,claro como lama,clear as mud,1,50,3,93,13,311,1,472
different strokes for different folks,diferentes estilos para diferentes pessoas,different styles for different people,26,50,224,557,529,147,1,1534
She had a cup of soup for lunch.,Ela tomou uma xícara de sopa no almoço.,She had a cup of soup for lunch.,1,1,2,174,262,105,1,546
cast the first stone,lançar a primeira pedra,to cast the first stone,6,17,140,495,424,266,53,1401
call a spade a spade,chamar a uma espada uma espada,call a sword a sword,26,50,257,610,652,606,243,2444
a ray of hope,um raio de esperança,a ray of hope,1,1,4,104,66,109,1,286
They are painting the walls of their house.,Estão a pintar as paredes da sua casa.,They're painting the walls of your house.,17,48,211,538,562,182,53,1611
crash course,curso intensivo,intensive course,30,50,288,609,573,120,155,1825
The sun rises in the east.,O sol nasce no leste.,The sun rises in the east.,1,1,3,222,138,29,1,395
an arm and a leg,um braço e uma perna,an arm and a leg,1,1,3,45,261,80,15,406
breaking the mold,quebrando o molde,breaking the mold,1,50,2,203,37,368,1,662
caught red-handed,pego em flagrante,caught in the act,40,50,335,602,600,378,241,2246
blood from a stone,sangue de uma pedra,blood of a stone,17,50,158,537,534,458,57,1811
beyond the pale,fora do comum,out of the ordinary,40,50,325,628,653,358,1,2055
