ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
close to the vest,"Guardar segredo.
","Keep a secret.
",51,41,410,630,563,278,240,2213
blood is thicker than water,"Sangue do meu sangue.
","Blood of my blood.
",44,41,309,652,602,441,394,2483
back to the drawing board,"Voltar à estaca zero
","Back to square one
",33,41,242,444,503,209,146,1618
She went to the post office to send a package.,"Ela foi aos correios para enviar um pacote.
","She went to the post office to send a package.
",1,1,3,223,169,129,1,527
as right as rain,"Em perfeita ordem.
","In perfect order.
",51,41,445,555,557,217,347,2213
He is planning his day ahead.,"Ele está planejando o dia dele.
","He is planning his day.
",5,12,52,422,309,453,50,1303
She took a shower in the morning.,"Ela tomou banho de manhã.
","She took a bath in the morning.
",9,27,26,353,252,175,1,843
best of both worlds,"O melhor dos dois mundos
","The best of both worlds
",6,13,103,108,132,233,1,596
antsy as a cat on a hot tin roof,"Nervoso como gato em telhado de lata quente.
","Nervous as a cat on a hot tin roof.
",7,5,147,366,368,503,208,1604
He is building a model airplane.,"Ele está construindo um avião em miniatura.
","He is building a model airplane.
",1,1,2,48,109,191,1,353
devil's advocate,"Advogado do diabo
","Devil's advocate
",1,41,3,261,312,158,1,777
burst your bubble,"Estragar a surpresa
","Spoil the surprise
",51,41,331,533,528,515,319,2318
all eyes on you,"Todos os olhos em você
","All eyes on you
",1,41,3,11,166,320,1,543
a skeleton in the closet,"Um segredo sujo
","A dirty secret
",43,41,316,609,587,196,241,2033
He is attending a business meeting.,"Ele está participando de uma reunião de negócios.
","He is attending a business meeting.
",1,1,2,46,51,376,1,478
cool as a cucumber,"Calmo como um pepino
","Cool as a cucumber
",1,41,3,21,208,67,9,350
He took the bus to work.,"Ele pegou o ônibus para o trabalho.
","He took the bus to work.
",1,1,3,76,114,153,1,349
as easy as pie,"Tão fácil quanto uma torta.
","As easy as pie.
",1,41,122,87,89,231,32,603
butterfly effect,"Efeito borboleta
","Butterfly effect
",1,41,5,335,322,303,1,1008
They watched a TV show in the evening.,"Eles assistiram a um programa de TV à noite.
","They watched a TV show at night.
",22,29,94,338,325,319,32,1159
She is brushing her teeth before bed.,"Ela está escovando os dentes antes de dormir.
","She is brushing her teeth before bed.
",1,1,3,37,68,72,1,183
blown out of the water,"Superado(a)
","Overcome
",51,41,418,604,644,593,378,2729
He is feeding his pet hamster.,"Ele está alimentando seu hamster de estimação.
","He is feeding his pet hamster.
",1,1,3,127,52,269,1,454
I like to drink coffee in the morning.,"Eu gosto de beber café de manhã.
","I like to drink coffee in the morning.
",1,1,2,97,45,25,1,172
"another day, another dollar","Um dia a mais, um dólar a mais.
","One day more, one dollar more.
",36,41,206,409,428,384,187,1691
actions speak louder than words,"Ações valem mais que palavras.
","Actions speak louder than words.
",1,26,111,31,181,86,1,437
climbing up the ladder,"Subindo na hierarquia.
","Moving up the ranks.
",31,41,271,490,465,429,90,1817
early bird catches the worm,"Deus ajuda quem cedo madruga.
","God helps those who help themselves.
",51,41,433,655,680,581,384,2825
She is baking cookies in the kitchen.,"Ela está assando biscoitos na cozinha.
","She is baking cookies in the kitchen.
",1,1,4,102,93,479,82,762
bleeding heart,"Coração mole
","Soft heart
",31,41,234,643,586,55,295,1885
She is cleaning the kitchen after dinner.,"Ela está limpando a cozinha depois do jantar.
","She is cleaning the kitchen after dinner.
",1,1,3,26,136,173,1,341
She is drinking water.,"Ela está bebendo água.
","She is drinking water.
",1,1,3,64,7,52,1,129
They are having coffee at the café.,"Eles estão tomando café no café.
","They are drinking coffee at the café.
",9,21,28,312,273,87,1,731
hard pill to swallow,"Pílula difícil de engolir
","A hard pill to swallow
",6,13,109,287,349,7,1,772
a slap on the wrist,"Uma bronca leve
","A mild scolding
",43,41,344,478,559,583,308,2356
They are visiting a museum this afternoon.,"Eles estão visitando um museu esta tarde.
","They are visiting a museum this afternoon.
",1,1,4,91,44,108,32,281
They are swimming at the pool.,"Eles estão nadando na piscina.
","They are swimming in the pool.
",10,41,27,305,214,40,1,638
cat on a hot tin roof,"Gata em Telhado de Zinco Quente
","Cat on a Hot Tin Roof
",1,41,3,273,407,477,169,1371
She is talking to her friend on the phone.,"Ela está falando com a amiga dela no telefone.
","She is talking to her friend on the phone.
",1,1,3,178,112,29,32,356
He is walking his dog in the park.,"Ele está passeando com o cachorro no parque.
","He is walking the dog in the park.
",8,20,46,384,319,227,1,1005
add fuel to the fire,"Botar lenha na fogueira
","To add fuel to the fire
",5,5,70,281,316,366,133,1176
in hot water,"Em maus lençóis
","In dire straits
",39,41,306,658,681,577,309,2611
boiling point,"Ponto de ebulição
","Boiling point
",1,41,3,279,154,138,1,617
beat a dead horse,"Bater em cachorro morto.
","Beating a dead horse.
",17,41,165,340,403,621,131,1718
blind alley,"Beco sem saída
","Dead end
",51,41,291,473,588,542,314,2300
cutting corners,"Fazer as coisas pela metade
","To do things by halves
",51,41,359,626,612,464,273,2426
actions speak louder than words,"Ações valem mais que palavras.
","Actions speak louder than words.
",1,26,111,31,181,85,1,436
chip on the shoulder,"Rancor
","Spite
",51,41,446,574,625,626,395,2758
He washed his car yesterday.,"Ele lavou o carro dele ontem.
","He washed his car yesterday.
",1,1,3,115,18,106,1,245
cold as ice,"Frio como gelo
","Cold as ice
",1,41,3,74,61,123,1,304
He is attending a wedding.,"Ele está indo a um casamento.
","He is going to a wedding.
",18,41,157,386,351,199,1,1153
He is making a cup of coffee.,"Ele está fazendo uma xícara de café.
","He is making a cup of coffee.
",1,1,3,67,167,291,1,531
chasing shadows,"Perseguindo sombras
","Chasing shadows
",1,41,3,244,178,372,32,871
feast your eyes,"Aproveite o espectáculo
","Enjoy the show.
",51,41,405,467,564,20,88,1636
a diamond in the rough,"Um diamante bruto
","A rough diamond
",31,41,186,447,416,270,154,1545
He is having breakfast with his family.,"Ele está tomando café da manhã com sua família.
","He is having breakfast with his family.
",1,1,3,53,34,262,1,355
blind as a bat,"Cego como um morcego
","Blind as a bat
",1,41,3,144,288,517,65,1059
light at the end of the tunnel,"Luz no fim do túnel
","Light at the end of the tunnel
",1,3,3,245,200,56,1,509
as old as the hills,"Antigo como o mundo
","As old as the world
",11,41,189,544,400,323,132,1640
break the ice,"Quebrar o gelo
","Break the ice
",1,41,3,269,247,124,32,717
He went for a jog in the morning.,"Ele foi correr de manhã.
","He went for a run in the morning.
",8,20,121,362,270,283,1,1065
finding your feet,"Adaptando-se
","Adapting
",51,41,427,623,604,494,289,2529
give someone a run for their money,"Dar trabalho a alguém
","To give someone work
",37,41,252,659,536,53,247,1825
have a bone to pick,"Ter algo a resolver
","Something to resolve
",43,41,305,594,541,531,312,2367
barking up the wrong tree,"Estar na direção errada.
","To be going the wrong way.
",38,41,351,494,592,439,248,2203
He enjoyed a cup of coffee in the morning.,"Ele apreciou uma xícara de café pela manhã.
","He enjoyed a cup of coffee in the morning.
",1,1,3,188,165,342,1,701
ball is in your court,"A bola está com você.
","The ball is in your court.
",5,18,161,39,199,329,23,774
"blood, sweat, and tears","Sangue, suor e lágrimas
","Blood, sweat, and tears
",1,5,3,205,8,80,1,303
going down in flames,"Indo para o buraco.
","Going down the drain.
",31,41,295,619,627,584,239,2436
break a leg,"Boa sorte!
","Good luck!
",51,41,455,670,622,177,173,2189
The kids played in the playground.,"As crianças brincaram no parquinho.
","The children played at the playground.
",22,41,65,358,263,349,1,1099
change of tune,"Mudança de tom
","Change of tone
",22,41,185,402,331,97,32,1110
paint the town red,"Arrasar/Agitar a cidade
","To rock the city
",43,41,258,566,537,631,351,2427
burnt out,"Esgotado
","Out of stock
",36,41,358,549,606,399,197,2186
burning the midnight oil,"Queimando pestana
","Burning the midnight oil
",1,41,4,250,297,659,228,1480
come out of the woodwork,"Sair do armário.
","Come out of the closet.
",11,41,249,442,470,403,235,1851
blessing in disguise,"Mal que vem para o bem.
","Every cloud has a silver lining.
",51,41,397,640,603,666,284,2682
He is cutting vegetables for dinner.,"Ele está cortando vegetais para o jantar.
","He is chopping vegetables for dinner.
",10,28,20,277,395,352,43,1125
bigger than life,"Maior que a vida
","Larger than life
",22,41,40,318,290,368,32,1111
cast iron stomach,"Estômago de aço
","Iron stomach
",12,41,170,436,492,189,119,1459
arm and a leg,"Um braço e uma perna
","An arm and a leg
",6,13,54,380,347,26,27,853
as hungry as a wolf,"Faminto como um lobo.
","As hungry as a wolf.
",1,26,105,220,238,373,107,1070
They went for a swim at the pool.,"Eles foram nadar na piscina.
","They went swimming in the pool.
",27,41,145,374,363,14,1,965
blow a fuse,"Perder a paciência
","To lose patience
",51,41,363,642,567,30,246,1940
He is drawing a picture of his dog.,"Ele está desenhando um retrato do seu cachorro.
","He is drawing a portrait of his dog.
",8,20,50,319,259,202,1,859
bend over backwards,"Se esforçar ao máximo
","Try your best.
",51,41,428,541,646,457,341,2505
any port in a storm,"Qualquer porto em tempestade.
","Any port in a storm.
",1,26,81,280,278,370,1,1037
I met my friends for lunch.,"Eu encontrei meus amigos para almoçar.
","I met my friends for lunch.
",1,1,1,173,24,119,1,320
bare bones,"Essencial
","Essential
",51,41,393,646,512,210,259,2112
bottom of the totem pole,"Na base da hierarquia.
","At the bottom of the hierarchy.
",29,41,322,578,568,241,94,1873
face the music,"Arque com as consequências.
","Face the consequences.
",22,41,265,568,484,203,57,1640
chomping at the bit,"Morrendo de vontade
","Dying to
",51,41,360,639,679,667,402,2839
on cloud nine,"Nas nuvens
","In the clouds
",51,41,332,519,597,555,343,2438
between a rock and a hard place,"Entre a cruz e a espada
","Between a rock and a hard place
",1,3,3,183,386,620,266,1462
batten down the hatches,"Apertem os cintos
","Fasten your seatbelts.
",51,41,392,572,595,434,326,2411
all ears,"Todo ouvidos
","All ears
",1,41,2,296,268,578,96,1282
a fly on the wall,"Uma mosca na parede
","A fly on the wall
",1,13,4,158,191,338,49,754
as sharp as a tack,"Afiado como uma navalha
","Sharp as a razor
",23,41,209,452,434,483,211,1853
She bought a new phone last week.,"Ela comprou um celular novo semana passada.
","She bought a new cell phone last week.
",3,20,16,274,179,11,1,504
don't put all your eggs in one basket,"Não coloque todos os ovos na mesma cesta.
","Don't put all your eggs in one basket.
",1,7,47,8,207,294,1,565
bottom of the barrel,"Fundo do poço
","Rock bottom
",39,41,338,561,549,436,292,2256
carrying the weight of the world,"Carregando o peso do mundo.
","Carrying the weight of the world.
",1,18,100,262,313,569,1,1264
cogs in the machine,"Engrenagens na máquina
","Gears in the machine
",17,41,166,434,421,618,147,1844
I am traveling to the mountains this weekend.,"Eu vou viajar para as montanhas este fim de semana.
","I am going to travel to the mountains this weekend.
",14,25,55,288,215,281,1,879
They watched a movie on the weekend.,"Eles assistiram a um filme no fim de semana.
","They watched a movie on the weekend.
",1,1,4,117,78,54,1,256
blowing off steam,"Desabafar
","To vent
",51,41,296,535,618,630,338,2509
face the music,"Arrumar-se com as consequências
","Face the consequences.
",22,41,265,568,494,433,19,1842
a heart of gold,"Um coração de ouro
","A heart of gold
",1,41,3,219,161,140,31,596
caught in a web,"Preso em uma teia
","Caught in a web
",1,41,3,254,383,215,80,977
She made a salad for lunch.,"Ela fez uma salada para o almoço.
","She made a salad for lunch.
",1,1,4,174,43,32,1,256
mind over matter,"Mente sobre matéria
","Mind over matter
",1,41,2,234,266,513,30,1087
as good as done,"Praticamente feito
","Practically done
",39,41,336,543,481,265,120,1825
a voice in the wilderness,"Uma voz no deserto
","A voice in the wilderness
",1,13,3,264,196,172,1,650
He went to the gym to lift weights.,"Ele foi à academia para levantar pesos.
","He went to the gym to lift weights.
",1,1,3,215,147,257,1,625
another one bites the dust,"Mais um se foi.
","Another one bites the dust.
",1,26,73,9,284,539,177,1109
curiosity killed the cat,"A curiosidade matou o gato.
","Curiosity killed the cat.
",1,41,119,77,326,95,1,660
by leaps and bounds,"A passos largos
","By leaps and bounds
",1,41,4,7,279,602,190,1124
They are practicing their dance routine.,"Eles estão praticando sua rotina de dança.
","They are practicing their dance routine.
",1,1,4,120,65,413,1,605
honest as the day is long,"Honesto como a luz do dia.
","Honest as the day is long.
",1,18,99,167,340,580,52,1257
butter wouldn’t melt in their mouth,"Não ter sangue de barata.
","Don't be a pushover.
",49,41,395,660,672,647,404,2868
be in hot water,"Estar em maus lençóis
","To be in a tight spot
",36,41,280,597,623,598,365,2540
by the seat of your pants,"No improviso
","Off the cuff
",45,41,311,466,653,649,377,2542
comfort zone,"Zona de conforto
","Comfort zone
",1,41,5,284,182,143,1,657
give the green light,"Dar o sinal verde
","Give the green light
",1,41,3,238,159,496,35,973
fingers crossed,"Dedos cruzados
","Fingers crossed
",1,41,6,165,69,83,32,397
He went to the airport to catch a flight.,"Ele foi ao aeroporto para pegar um voo.
","He went to the airport to catch a flight.
",1,1,3,194,174,314,32,719
as mad as a hatter,"Tão louco quanto um chapeleiro.
","As mad as a hatter.
",1,26,89,106,420,587,216,1445
cracking the whip,"Batendo o chicote
","Cracking the whip
",1,41,3,75,399,607,231,1357
He is reading a newspaper.,"Ele está lendo um jornal.
","He is reading a newspaper.
",1,1,3,116,68,34,1,224
as easy as shooting fish in a barrel,"Tão fácil quanto atirar em peixes num barril.
","As easy as shooting fish in a barrel.
",1,7,45,126,294,275,100,848
He is taking photos with his camera.,"Ele está tirando fotos com sua câmera.
","He is taking pictures with his camera.
",9,27,8,257,162,321,1,785
ants in your pants,"Bichos carpinteiros.
","Woodpeckers.
",51,41,444,650,687,641,359,2873
He is cleaning the windows.,"Ele está limpando as janelas.
","He is cleaning the windows.
",1,1,3,63,138,456,18,680
clean bill of health,"Atestado de saúde.
","Health certificate.
",39,41,337,506,468,3,210,1604
cold feet,"Pé frio
","Cold feet
",1,41,4,286,240,402,29,1003
burn bridges,"Queimar pontes
","Burn bridges
",1,41,3,297,255,17,32,646
cat's out of the bag,"A verdade veio à tona.
","The truth came out.
",47,41,443,662,531,201,283,2208
bury your head in the sand,"Enfia a cabeça na areia.
","Bury your head in the sand.
",1,18,98,60,337,432,98,1044
He read a book before bed.,"Ele leu um livro antes de dormir.
","He read a book before bed.
",1,1,3,139,81,130,1,356
bridge the gap,"Preencher a lacuna
","Fill in the gap
",27,41,218,427,456,613,32,1814
He went to the doctor for a check-up.,"Ele foi ao médico para um check-up.
","He went to the doctor for a check-up.
",1,1,3,199,144,332,1,681
She is watching the sunset from the balcony.,"Ela está assistindo ao pôr do sol da varanda.
","She is watching the sunset from the balcony.
",1,1,3,131,121,345,1,603
blessing in disguise,"Mal que vem para o bem.
","Every cloud has a silver lining.
",51,41,397,640,603,666,284,2682
a penny for your thoughts,"Um centavo pelos seus pensamentos.
","A penny for your thoughts.
",1,26,90,35,211,160,16,539
He is playing the guitar in the living room.,"Ele está tocando violão na sala de estar.
","He is playing the guitar in the living room.
",1,1,5,152,110,131,1,401
He is sitting on the chair.,"Ele está sentado na cadeira.
","He is sitting on the chair.
",1,1,3,54,142,232,1,434
come hell or high water,"Custe o que custar
","Whatever it takes
",51,41,438,602,645,574,375,2726
I went to the beach for vacation.,"Fui à praia para as férias.
","I went to the beach for the holidays.
",13,19,66,344,301,440,17,1200
as cool as a cucumber,"Calmo como um pepino.
","Cool as a cucumber.
",6,41,169,351,401,151,103,1222
break the ice,"Quebrar o gelo
","Break the ice
",1,41,3,269,247,124,32,717
at the end of the day,"No fim das contas
","In the end
",34,41,301,517,487,520,258,2158
can't see the forest for the trees,"Não consegue ver a floresta por causa das árvores.
","Can't see the forest for the trees.
",1,11,42,260,295,524,42,1175
He is doing his homework in the study room.,"Ele está fazendo a lição no escritório.
","He is doing his homework at the office.
",20,33,124,425,361,341,178,1482
They planted flowers in the garden.,"Eles plantaram flores no jardim.
","They planted flowers in the garden.
",1,1,3,211,80,31,1,328
They are making pizza together.,"Eles estão fazendo pizza juntos.
","They are making pizza together.
",1,1,3,42,4,253,1,305
blown out of proportion,"Fora de proporção
","Out of proportion
",9,41,188,420,358,340,200,1556
hand in glove,"De mãos dadas
","Hand in hand
",22,41,201,2,554,369,122,1311
birds of a feather flock together,"Semelhante atrai semelhante.
","Like attracts like.
",51,41,409,645,684,313,400,2543
get out of hand,"Sair do controle
","Out of control
",27,41,246,489,397,510,217,1927
He called his parents yesterday.,"Ele ligou para os pais dele ontem.
","He called his parents yesterday.
",1,1,5,190,22,179,1,399
He wrote a letter to his friend.,"Ele escreveu uma carta para o amigo dele.
","He wrote a letter to his friend.
",1,1,3,224,115,51,1,396
She danced at the party last night.,"Ela dançou na festa ontem à noite.
","She danced at the party last night.
",1,1,3,200,85,326,1,617
close to home,"Perto de casa
","Near home
",36,41,159,334,436,91,32,1129
"if you can't stand the heat, get out of the kitchen","Se não aguentar o calor, saia da cozinha.
","If you can't stand the heat, get out of the kitchen.
",1,2,29,34,246,273,1,586
between the devil and the deep blue sea,"Entre a cruz e a espada
","Between a rock and a hard place
",42,41,267,664,639,620,370,2643
get cold feet,"Sentir frio na barriga
","Butterflies in my stomach
",51,41,442,635,673,554,382,2778
fish out of water,"Peixe fora d'água
","Fish out of water
",1,41,4,150,230,476,1,903
over the moon,"Nas nuvens
","In the clouds
",39,41,239,531,577,555,342,2324
once in a blue moon,"Uma vez na vida
","Once in a lifetime
",23,41,279,631,485,354,152,1965
chip off the old block,"Tal pai, tal filho.
","Like father, like son.
",51,41,436,663,683,415,390,2679
break the mold,"Quebrar barreiras
","Break barriers
",36,41,268,491,450,347,125,1758
ace in the hole,"Ás na manga
","Ace in the hole
",1,41,3,275,412,565,192,1489
She is gardening in the backyard.,"Ela está jardinando no quintal.
","She is gardening in the backyard.
",1,1,3,25,96,396,1,523
blind as a bat,"Cego como um morcego
","Blind as a bat
",1,41,3,144,288,517,65,1059
call it a day,"Por hoje chega.
","That's enough for today.
",51,41,382,557,498,107,2,1638
calm before the storm,"Calmaria antes da tempestade
","Calm before the storm
",1,41,3,73,261,211,108,698
He attended a wedding last weekend.,"Ele foi a um casamento no fim de semana passado.
","He went to a wedding last weekend.
",16,23,67,361,315,287,1,1070
chill to the bone,"Arrepiar até os ossos
","Chilling to the bone
",17,41,110,315,365,616,265,1729
broad strokes,"Traços gerais
","General features
",51,41,313,558,511,306,275,2055
She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
","She is listening to music while cooking.
",1,1,4,70,29,38,1,144
blind as a bat,"Cego como um morcego
","Blind as a bat
",1,41,3,144,288,517,65,1059
all thumbs,"Desajeitado
","Clumsy
",51,41,368,618,611,596,373,2658
chip on your shoulder,"Rancor
","Spite
",51,41,448,591,617,626,398,2772
chase rainbows,"Correr atrás de arco-íris
","Chasing rainbows
",31,41,149,328,338,422,32,1341
"hope for the best, prepare for the worst","Espere o melhor, prepare-se para o pior.
","Hope for the best, prepare for the worst.
",1,5,38,86,202,174,1,507
get a grip,"Mantenha a calma
","Keep calm.
",51,41,400,410,466,139,230,1737
finger on the pulse,"Estar por dentro da situação
","To be in the know
",44,41,366,641,584,521,261,2458
ball of fire,"Bola de fogo
","Fireball
",51,41,290,396,387,195,111,1471
He is making tea in the kitchen.,"Ele está fazendo chá na cozinha.
","He is making tea in the kitchen.
",1,1,5,88,75,99,1,270
bite your lip,"Morder o lábio
","To bite one's lip
",31,41,251,406,513,557,260,2059
live in a glass house,"Quem tem telhado de vidro.
","People in glass houses shouldn't throw stones.
",40,41,277,598,572,660,380,2568
into thin air,"No ar rarefeito
","In the rarefied air
",41,41,244,488,600,589,175,2178
don’t cry over spilled milk,"Não chore pelo leite derramado.
","Don't cry over spilled milk.
",1,26,173,259,311,259,1,1030
don't count your chickens before they hatch,"Não crie expectativas antes da hora.
","Don't get your hopes up before the time.
",32,41,238,611,652,541,271,2386
close to my heart,"Perto do meu coração
","Close to my heart
",1,41,3,6,244,249,1,545
He went fishing with his friends.,"Ele foi pescar com seus amigos.
","He went fishing with his friends.
",1,1,3,214,46,125,1,391
as clear as mud,"Mais claro que lama.
","Clear as mud.
",9,41,203,337,348,438,83,1459
be a fly on the wall,"Ser uma mosca na parede.
","To be a fly on the wall.
",4,11,160,348,375,358,188,1444
changing gears,"Mudando de marcha
","Changing gears
",1,41,3,122,388,480,32,1067
call it quits,"Desistir
","Give up
",51,41,314,415,483,656,298,2258
bottom line,"Resultado final
","Final result
",51,41,365,459,508,180,73,1677
bet the farm,"Apostar tudo
","Bet it all
",39,41,273,532,500,197,282,1864
as free as a bird,"Livre como um pássaro
","Free as a bird
",6,41,155,357,282,264,32,1137
flying by the seat of your pants,"Voando no improviso
","Flying by the seat of my pants
",9,32,75,413,408,650,304,1891
chasing your tail,"Correndo atrás do próprio rabo
","Chasing your tail
",1,41,3,66,267,514,191,1083
She plays the piano beautifully.,"Ela toca piano lindamente.
","She plays the piano beautifully.
",1,1,4,159,30,50,1,246
heart of stone,"Coração de pedra
","Stone heart
",36,41,237,455,415,23,135,1342
They are going to the cinema tonight.,"Eles vão ao cinema hoje à noite.
","They are going to the cinema tonight.
",1,1,4,62,19,280,1,368
a taste of your own medicine,"Um pouco do seu próprio veneno.
","A taste of your own medicine.
",1,18,96,141,281,393,1,931
break the ice,"Quebrar o gelo
","Break the ice
",1,41,3,269,247,124,32,717
cloud of suspicion,"Nuvem de suspeita
","Cloud of suspicion
",1,41,3,258,163,112,1,579
diamond in the rough,"Diamante bruto
","Rough diamond
",39,41,253,483,459,33,267,1575
beat the clock,"Vencer o tempo
","To beat time
",39,41,269,482,520,357,129,1837
He is repairing the broken chair.,"Ele está consertando a cadeira quebrada.
","He is fixing the broken chair.
",10,28,17,301,285,213,1,855
She is watching a movie at the theater.,"Ela está assistindo a um filme no cinema.
","She is watching a movie at the cinema.
",8,6,19,355,249,190,1,828
a penny saved is a penny earned,"Um centavo poupado é um centavo ganho.
","A penny saved is a penny earned.
",1,11,34,196,216,134,55,647
He cleaned the garage on Saturday.,"Ele limpou a garagem no sábado.
","He cleaned the garage on Saturday.
",1,1,3,104,122,463,13,707
a fish out of water,"Um peixe fora d'água
","A fish out of water
",1,13,3,61,185,41,1,305
down to earth,"Pé no chão
","Down to earth
",1,41,3,79,209,288,54,675
happy as a clam,"Feliz da vida
","Happy as can be
",31,41,302,524,527,533,205,2163
He visited the museum with his class.,"Ele visitou o museu com a turma dele.
","He visited the museum with his class.
",1,1,5,230,139,295,1,672
I visited my parents last weekend.,"Visitei meus pais no último fim de semana.
","I visited my parents last weekend.
",1,1,3,181,11,81,1,279
by the skin of your teeth,"Por um triz.
","By a hair.
",45,41,317,634,677,642,348,2704
crack the code,"Desvendar o código
","Unravel the code
",22,41,194,390,379,255,32,1313
He watched a football match on TV.,"Ele assistiu a um jogo de futebol na TV.
","He watched a soccer game on TV.
",19,41,32,408,254,145,1,900
climbing the corporate ladder,"Subindo na carreira.
","Climbing the career ladder.
",17,41,193,451,356,407,45,1510
all in the same boat,"Todos no mesmo barco.
","All in the same boat.
",1,26,120,22,171,102,1,443
cold feet,"Pé frio
","Cold feet
",1,41,4,286,240,402,29,1003
