frase,score
an ounce of prevention is worth a pound of cure,628
They are swimming at the pool.,638
burn bridges,646
a penny saved is a penny earned,647
a voice in the wilderness,650
black as night,656
comfort zone,657
curiosity killed the cat,660
He visited the museum with his class.,672
down to earth,675
He is cleaning the windows.,680
He went to the doctor for a check-up.,681
She is giving a speech at the conference.,688
They went to the theater to watch a play.,691
calm before the storm,698
He enjoyed a cup of coffee in the morning.,701
He cleaned the garage on Saturday.,707
a blessing in disguise,707
a mountain to climb,709
all that glitters is not gold,715
He went to the airport to catch a flight.,719
They are having coffee at the café.,731
She is walking through the forest.,738
She wrote a report for work.,745
a fly on the wall,754
She is baking cookies in the kitchen.,762
hard pill to swallow,772
ball is in your court,774
They are riding bicycles in the neighborhood.,776
change of heart,776
He is taking photos with his camera.,785
She enjoys painting in her free time.,822
She is watching a movie at the theater.,828
She took a shower in the morning.,843
as easy as shooting fish in a barrel,848
arm and a leg,853
He is repairing the broken chair.,855
He is drawing a picture of his dog.,859
chasing shadows,871
I am traveling to the mountains this weekend.,879
He watched a football match on TV.,900
fish out of water,903
black as coal,903
caught in the crossfire,913
a taste of your own medicine,931
They went for a swim at the pool.,965
give the green light,973
They are reading a novel by the fireplace.,974
caught in a web,977
as stubborn as a mule,1003
He is walking his dog in the park.,1005
butterfly effect,1008
color outside the lines,1024
don’t cry over spilled milk,1030
They went shopping for new clothes.,1031
any port in a storm,1037
bury your head in the sand,1044
He went for a jog in the morning.,1065
She is playing piano in the evening.,1065
changing gears,1067
as hungry as a wolf,1070
He attended a wedding last weekend.,1070
chasing your tail,1083
mind over matter,1087
The kids played in the playground.,1099
another one bites the dust,1109
change of tune,1110
bigger than life,1111
by leaps and bounds,1124
He is cutting vegetables for dinner.,1125
close to home,1129
as free as a bird,1137
He is attending a wedding.,1153
He is eating dinner with his family.,1157
They watched a TV show in the evening.,1159
bad blood,1172
can't see the forest for the trees,1175
add fuel to the fire,1176
I went to the beach for vacation.,1200
a rolling stone gathers no moss,1217
as cool as a cucumber,1222
an old flame,1247
honest as the day is long,1257
carrying the weight of the world,1264
all ears,1282
He is planning his day ahead.,1303
He is going to the post office.,1306
hand in glove,1311
crack the code,1313
He is putting the groceries away.,1328
chase rainbows,1341
heart of stone,1342
a new lease on life,1349
cracking the whip,1357
cat on a hot tin roof,1371
apple of discord,1380
bite off more than you can chew,1395
climbing the ladder,1403
apple of my eye,1410
crash course,1414
hold the fort,1439
be a fly on the wall,1444
as mad as a hatter,1445
cast iron stomach,1459
as clear as mud,1459
between a rock and a hard place,1462
ball of fire,1471
burning the midnight oil,1480
blood from a stone,1480
He is doing his homework in the study room.,1482
bare your soul,1484
ace in the hole,1489
an iron fist,1498
blood runs thicker than water,1507
climbing the corporate ladder,1510
big league,1517
They are attending a concert tonight.,1518
keep your eyes peeled,1521
chase your tail,1530
a diamond in the rough,1545
blown out of proportion,1556
diamond in the rough,1575
burn your bridges,1600
antsy as a cat on a hot tin roof,1604
clean bill of health,1604
back to the drawing board,1618
fall on deaf ears,1623
feast your eyes,1636
call it a day,1638
as old as the hills,1640
bottom line,1677
clear as mud,1682
"another day, another dollar",1691
beat a dead horse,1718
beating a dead horse,1726
chill to the bone,1729
get a grip,1737
follow your nose,1752
break the mold,1758
cook up a storm,1785
cut to the chase,1787
caught between a rock and a hard place,1796
bridge the gap,1814
beyond the pale,1816
climbing up the ladder,1817
get the show on the road,1820
give someone a run for their money,1825
as good as done,1825
better half,1835
at death's door,1835
beat the clock,1837
cogs in the machine,1844
come out of the woodwork,1851
as sharp as a tack,1853
bet the farm,1864
breaking the mold,1870
bottom of the totem pole,1873
bleeding heart,1885
hard nut to crack,1887
flying by the seat of your pants,1891
bite the bullet,1899
dead as a doornail,1921
get out of hand,1927
an arm and a leg,1931
blow a fuse,1940
once in a blue moon,1965
falling through the cracks,1978
a skeleton in the closet,2033
dead in the water,2052
broad strokes,2055
bite your lip,2059
bare bones,2112
spill the beans,2157
at the end of the day,2158
happy as a clam,2163
go down in flames,2167
into thin air,2178
get your ducks in a row,2182
burnt out,2186
break a leg,2189
get a second wind,2193
my hands are tied,2201
barking up the wrong tree,2203
cat's out of the bag,2208
close to the vest,2213
as right as rain,2213
come apart at the seams,2221
buy a lemon,2228
cast the first stone,2237
drive me up the wall,2237
bottom of the barrel,2256
let the cat out of the bag,2257
call it quits,2258
leave no stone unturned,2263
all bark and no bite,2266
rain on your parade,2275
blind alley,2300
burst your bubble,2318
crack the whip,2319
over the moon,2324
break the back of it,2328
a slap on the wrist,2356
have a bone to pick,2367
by the book,2367
burn the candle at both ends,2378
don't count your chickens before they hatch,2386
in the bag,2410
batten down the hatches,2411
cutting corners,2426
paint the town red,2427
going down in flames,2436
on cloud nine,2438
ace up your sleeve,2451
finger on the pulse,2458
blood is thicker than water,2483
blow off steam,2491
bend over backwards,2505
finding your feet,2529
be in hot water,2540
by the seat of your pants,2542
birds of a feather flock together,2543
live in a glass house,2568
card up your sleeve,2597
a chip on your shoulder,2610
in hot water,2611
different strokes for different folks,2611
call a spade a spade,2619
between the devil and the deep blue sea,2643
bending over backwards,2651
all thumbs,2658
cut the mustardcross that bridge when you come to it,2667
chip off the old block,2679
dime a dozen,2693
as bold as brass,2704
by the skin of your teeth,2704
come hell or high water,2726
blown out of the water,2729
bite the big one,2735
caught red-handed,2736
cut the mustard,2742
chip on the shoulder,2758
beating around the bush,2760
chip on your shoulder,2772
get cold feet,2778
early bird catches the worm,2825
chomping at the bit,2839
beggars can’t be choosers,2865
butter wouldn’t melt in their mouth,2868
ants in your pants,2873
