indice,dataset,ingles_original,melhor_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,outra_trad,parascore
589,manual_data,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,gpt,prompt2,gemini,prompt4,Ele disparou um e-mail para o colega.,0.9622
589,manual_data,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,gpt,prompt2,gemma3,prompt2,Ele enviou um e-mail para seu colega.,0.95
589,manual_data,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,gpt,prompt2,gemma3,prompt4,Ele lançou um e-mail para o colega.,0.9467
589,manual_data,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,gpt,prompt2,gemmaX,sem_prompt,Ele enviou um e-mail para seu colega.,0.95
447,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.",gemma3,prompt2,gpt,prompt2,"sangue, suor e lágrimas",0.9126
447,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.",gemma3,prompt2,gpt,prompt4,"sangue, suor e lágrimas",0.9126
447,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.",gemma3,prompt2,gemini,prompt2,"Sangue, suor e lágrimas.",0.95
447,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.",gemma3,prompt2,gemini,prompt4,"Sangue, suor e lágrimas.",0.95
447,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.",gemma3,prompt2,gemma3,prompt4,"Sangue, suor e lágrimas.",0.95
447,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.",gemma3,prompt2,gemmaX,sem_prompt,"sangue, suor e lágrimas",0.9126
283,manual_data,buy a lemon,"Compre uma limão.
",gemma3,prompt2,gpt,prompt2,comprar um limão,0.9568
283,manual_data,buy a lemon,"Compre uma limão.
",gemma3,prompt2,gpt,prompt4,comprar gato por lebre,0.8479
283,manual_data,buy a lemon,"Compre uma limão.
",gemma3,prompt2,gemini,prompt2,"Comprar um carro ""bomba""",0.855
283,manual_data,buy a lemon,"Compre uma limão.
",gemma3,prompt2,gemini,prompt4,Comprar gato por lebre.,0.8736
283,manual_data,buy a lemon,"Compre uma limão.
",gemma3,prompt2,gemma3,prompt4,Comprar um limão azedo.,0.913
283,manual_data,buy a lemon,"Compre uma limão.
",gemma3,prompt2,gemmaX,sem_prompt,comprar um limão,0.9568
382,manual_data,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",gemini,prompt2,gpt,prompt2,Ela está praticando yoga no parque.,0.9396
382,manual_data,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",gemini,prompt2,gpt,prompt4,Ela está praticando ioga no parque.,0.9554
382,manual_data,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",gemini,prompt2,gemini,prompt4,Ela está se alongando com a natureza.,0.9301
382,manual_data,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",gemini,prompt2,gemma3,prompt2,Ela está praticando yoga no parque.,0.9396
382,manual_data,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",gemini,prompt2,gemma3,prompt4,Ela está desdobrando a alma no parque.,0.9342
382,manual_data,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",gemini,prompt2,gemmaX,sem_prompt,Ela está praticando yoga no parque.,0.9396
505,manual_data,don't judge a book by its cover,"Não julgue um livro pela capa.
",gemma3,prompt2,gpt,prompt2,Não julgue um livro pela capa.,0.9562
505,manual_data,don't judge a book by its cover,"Não julgue um livro pela capa.
",gemma3,prompt2,gpt,prompt4,Não julgue um livro pela capa.,0.9562
505,manual_data,don't judge a book by its cover,"Não julgue um livro pela capa.
",gemma3,prompt2,gemini,prompt2,Não julgue um livro pela capa.,0.9562
505,manual_data,don't judge a book by its cover,"Não julgue um livro pela capa.
",gemma3,prompt2,gemini,prompt4,Não julgue um livro pela capa.,0.9562
505,manual_data,don't judge a book by its cover,"Não julgue um livro pela capa.
",gemma3,prompt2,gemma3,prompt4,Não julgue um livro pela capa.,0.9562
505,manual_data,don't judge a book by its cover,"Não julgue um livro pela capa.
",gemma3,prompt2,gemmaX,sem_prompt,Não julgue um livro pela capa,0.9237
7,manual_data,my hands are tied,Minhas mãos estão atadas.,gpt,prompt2,gpt,prompt4,Minhas mãos estão atadas.,0.95
7,manual_data,my hands are tied,Minhas mãos estão atadas.,gpt,prompt2,gemini,prompt2,Estou de mãos atadas.,0.9315
7,manual_data,my hands are tied,Minhas mãos estão atadas.,gpt,prompt2,gemini,prompt4,Estou de mãos atadas.,0.9315
7,manual_data,my hands are tied,Minhas mãos estão atadas.,gpt,prompt2,gemma3,prompt2,As minhas mãos estão atadas.,0.9282
7,manual_data,my hands are tied,Minhas mãos estão atadas.,gpt,prompt2,gemma3,prompt4,As mãos estão atadas.,0.9629
7,manual_data,my hands are tied,Minhas mãos estão atadas.,gpt,prompt2,gemmaX,sem_prompt,Minhas mãos estão atadas,0.9414
706,manual_data,blood is thicker than water,"Sangue é mais espesso que água.
",gemini,prompt2,gpt,prompt2,Sangue é mais espesso que água.,0.956
706,manual_data,blood is thicker than water,"Sangue é mais espesso que água.
",gemini,prompt2,gpt,prompt4,Sangue é mais espesso que água.,0.956
706,manual_data,blood is thicker than water,"Sangue é mais espesso que água.
",gemini,prompt2,gemini,prompt4,Sangue do meu sangue.,0.9106
706,manual_data,blood is thicker than water,"Sangue é mais espesso que água.
",gemini,prompt2,gemma3,prompt2,O sangue é mais grosso que a água.,0.943
706,manual_data,blood is thicker than water,"Sangue é mais espesso que água.
",gemini,prompt2,gemma3,prompt4,O sangue é mais grosso que a água.,0.943
706,manual_data,blood is thicker than water,"Sangue é mais espesso que água.
",gemini,prompt2,gemmaX,sem_prompt,O sangue é mais espesso do que a água,0.9476
116,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.
",gemma3,prompt2,gpt,prompt2,"sangue, suor e lágrimas",0.9196
116,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.
",gemma3,prompt2,gpt,prompt4,"sangue, suor e lágrimas",0.9196
116,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.
",gemma3,prompt2,gemini,prompt2,"Sangue, suor e lágrimas",0.9571
116,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.
",gemma3,prompt2,gemini,prompt4,"Sangue, suor e lágrimas.",0.9577
116,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.
",gemma3,prompt2,gemma3,prompt4,"Lágrimas, suor e sangue.",0.9364
116,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.
",gemma3,prompt2,gemmaX,sem_prompt,"sangue, suor e lágrimas",0.9196
80,manual_data,She is drinking water.,Ela está bebendo água.,gpt,prompt2,gpt,prompt4,Ela está se hidratando.,0.9653
80,manual_data,She is drinking water.,Ela está bebendo água.,gpt,prompt2,gemini,prompt2,Ela está bebendo água.,0.95
80,manual_data,She is drinking water.,Ela está bebendo água.,gpt,prompt2,gemini,prompt4,Ela está matando a sede.,0.9501
80,manual_data,She is drinking water.,Ela está bebendo água.,gpt,prompt2,gemma3,prompt2,Ela está bebendo água.,0.95
80,manual_data,She is drinking water.,Ela está bebendo água.,gpt,prompt2,gemma3,prompt4,Ela está saciando a sede.,0.9304
80,manual_data,She is drinking water.,Ela está bebendo água.,gpt,prompt2,gemmaX,sem_prompt,Ela está bebendo água.,0.95
158,manual_data,She made a salad for lunch.,Ela fez uma salada para o almoço.,gpt,prompt2,gpt,prompt4,Ela preparou uma salada para o almoço.,0.9653
158,manual_data,She made a salad for lunch.,Ela fez uma salada para o almoço.,gpt,prompt2,gemini,prompt2,Ela fez uma salada para o almoço.,0.95
158,manual_data,She made a salad for lunch.,Ela fez uma salada para o almoço.,gpt,prompt2,gemini,prompt4,Ela preparou uma salada para o almoço.,0.9653
158,manual_data,She made a salad for lunch.,Ela fez uma salada para o almoço.,gpt,prompt2,gemma3,prompt2,Ela fez uma salada para o almoço.,0.95
158,manual_data,She made a salad for lunch.,Ela fez uma salada para o almoço.,gpt,prompt2,gemma3,prompt4,Ela juntou um arco-íris no prato para o almoço.,0.9166
158,manual_data,She made a salad for lunch.,Ela fez uma salada para o almoço.,gpt,prompt2,gemmaX,sem_prompt,Ela fez uma salada para o almoço.,0.95
202,manual_data,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",gemma3,prompt2,gpt,prompt2,Eles plantaram flores no jardim.,0.9558
202,manual_data,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",gemma3,prompt2,gpt,prompt4,Eles semearam flores no jardim.,0.9427
202,manual_data,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",gemma3,prompt2,gemini,prompt2,Eles plantaram flores no jardim.,0.9558
202,manual_data,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",gemma3,prompt2,gemini,prompt4,Eles semearam flores no jardim da vida.,0.9533
202,manual_data,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",gemma3,prompt2,gemma3,prompt4,Semearam cores no jardim.,0.8717
202,manual_data,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",gemma3,prompt2,gemmaX,sem_prompt,Eles plantaram flores no jardim.,0.9558
676,manual_data,She reads a book every night.,Ela lê um livro todas as noites.,gpt,prompt2,gpt,prompt4,Ela mergulha em um livro todas as noites.,0.9364
676,manual_data,She reads a book every night.,Ela lê um livro todas as noites.,gpt,prompt2,gemini,prompt2,Ela lê um livro todas as noites.,0.95
676,manual_data,She reads a book every night.,Ela lê um livro todas as noites.,gpt,prompt2,gemini,prompt4,Ela se alimenta de livros todas as noites.,0.9638
676,manual_data,She reads a book every night.,Ela lê um livro todas as noites.,gpt,prompt2,gemma3,prompt2,Ela lê um livro todas as noites.,0.95
676,manual_data,She reads a book every night.,Ela lê um livro todas as noites.,gpt,prompt2,gemma3,prompt4,Ela se alimenta de histórias todas as noites.,0.9535
676,manual_data,She reads a book every night.,Ela lê um livro todas as noites.,gpt,prompt2,gemmaX,sem_prompt,Ela lê um livro todas as noites.,0.95
438,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas",gemma3,prompt2,gpt,prompt2,"sangue, suor e lágrimas",0.9096
438,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas",gemma3,prompt2,gpt,prompt4,"sangue, suor e lágrimas",0.9096
438,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas",gemma3,prompt2,gemini,prompt2,"Sangue, suor e lágrimas.",0.9269
438,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas",gemma3,prompt2,gemini,prompt4,"Sangue, suor e lágrimas.",0.9269
438,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas",gemma3,prompt2,gemma3,prompt4,"Lágrimas, suor e sangue.",0.9097
438,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas",gemma3,prompt2,gemmaX,sem_prompt,"sangue, suor e lágrimas",0.9096
177,manual_data,He is reading a newspaper.,Ele está lendo um jornal.,gpt,prompt2,gpt,prompt4,Ele está folheando um jornal.,0.8968
177,manual_data,He is reading a newspaper.,Ele está lendo um jornal.,gpt,prompt2,gemini,prompt2,Ele está lendo um jornal.,0.95
177,manual_data,He is reading a newspaper.,Ele está lendo um jornal.,gpt,prompt2,gemini,prompt4,Ele está devorando o jornal.,0.9423
177,manual_data,He is reading a newspaper.,Ele está lendo um jornal.,gpt,prompt2,gemma3,prompt2,Ele está lendo um jornal.,0.95
177,manual_data,He is reading a newspaper.,Ele está lendo um jornal.,gpt,prompt2,gemma3,prompt4,Ele está folheando o mundo.,0.8949
177,manual_data,He is reading a newspaper.,Ele está lendo um jornal.,gpt,prompt2,gemmaX,sem_prompt,Ele está lendo um jornal.,0.95
400,manual_data,smooth sailing,navegação tranquila,gpt,prompt2,gpt,prompt4,navegar em águas tranquilas,0.8559
400,manual_data,smooth sailing,navegação tranquila,gpt,prompt2,gemini,prompt2,Navegação tranquila,0.9342
400,manual_data,smooth sailing,navegação tranquila,gpt,prompt2,gemini,prompt4,Vento em popa.,0.8376
400,manual_data,smooth sailing,navegação tranquila,gpt,prompt2,gemma3,prompt2,Náutica tranquila,0.8618
400,manual_data,smooth sailing,navegação tranquila,gpt,prompt2,gemma3,prompt4,Náu frágil.,0.8389
400,manual_data,smooth sailing,navegação tranquila,gpt,prompt2,gemmaX,sem_prompt,navegação tranquila,0.95
259,manual_data,cloud of suspicion,Nuvem de suspeita,gemma3,prompt2,gpt,prompt2,nuvem de suspeita,0.9455
259,manual_data,cloud of suspicion,Nuvem de suspeita,gemma3,prompt2,gpt,prompt4,nuvem de suspeita,0.9455
259,manual_data,cloud of suspicion,Nuvem de suspeita,gemma3,prompt2,gemini,prompt2,Nuvem de suspeitas,0.9003
259,manual_data,cloud of suspicion,Nuvem de suspeita,gemma3,prompt2,gemini,prompt4,Nuvem de suspeitas,0.9003
259,manual_data,cloud of suspicion,Nuvem de suspeita,gemma3,prompt2,gemma3,prompt4,Nuvem de suspeita.,0.8974
259,manual_data,cloud of suspicion,Nuvem de suspeita,gemma3,prompt2,gemmaX,sem_prompt,nuvem de suspeita,0.9455
72,manual_data,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",gemini,prompt2,gpt,prompt2,Eu gosto de beber café pela manhã.,0.9704
72,manual_data,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",gemini,prompt2,gpt,prompt4,Eu gosto de tomar café de manhã.,0.9558
72,manual_data,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",gemini,prompt2,gemini,prompt4,Afogo minhas mágoas no café da manhã.,0.9151
72,manual_data,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",gemini,prompt2,gemma3,prompt2,Eu gosto de tomar café de manhã.,0.9558
72,manual_data,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",gemini,prompt2,gemma3,prompt4,A manhã me abraça com o aroma escuro.,0.8991
72,manual_data,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",gemini,prompt2,gemmaX,sem_prompt,Gosto de tomar café de manhã.,0.9417
453,manual_data,black and blue,preto e azul,gpt,prompt2,gpt,prompt4,preto e azul,0.95
453,manual_data,black and blue,preto e azul,gpt,prompt2,gemini,prompt2,Roxo e negro,0.8332
453,manual_data,black and blue,preto e azul,gpt,prompt2,gemini,prompt4,Roxo e inchado.,0.8125
453,manual_data,black and blue,preto e azul,gpt,prompt2,gemma3,prompt2,Roxo e azul.,0.8213
453,manual_data,black and blue,preto e azul,gpt,prompt2,gemma3,prompt4,Lívia e roxo.,0.8205
453,manual_data,black and blue,preto e azul,gpt,prompt2,gemmaX,sem_prompt,preto e azul,0.95
87,manual_data,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,gemma3,prompt2,gpt,prompt2,Ela está conversando com a amiga pelo telefone.,0.9583
87,manual_data,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,gemma3,prompt2,gpt,prompt4,Ela está conversando com a amiga ao telefone.,0.9577
87,manual_data,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,gemma3,prompt2,gemini,prompt2,Ela está falando com sua amiga no telefone.,0.9481
87,manual_data,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,gemma3,prompt2,gemini,prompt4,Ela está tecendo confidências ao telefone.,0.9009
87,manual_data,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,gemma3,prompt2,gemma3,prompt4,Ela está bordando uma conversa com a amiga ao telefone.,0.9324
87,manual_data,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,gemma3,prompt2,gemmaX,sem_prompt,Ela está falando com uma amiga no telefone.,0.9437
228,manual_data,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",gemini,prompt2,gpt,prompt2,Ela está ouvindo música enquanto cozinha.,0.9546
228,manual_data,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",gemini,prompt2,gpt,prompt4,Ela está ouvindo música enquanto cozinha.,0.9546
228,manual_data,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",gemini,prompt2,gemini,prompt4,Ela tempera a cozinha com melodias.,0.8903
228,manual_data,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",gemini,prompt2,gemma3,prompt2,Ela está ouvindo música enquanto cozinha.,0.9546
228,manual_data,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",gemini,prompt2,gemma3,prompt4,Ela dança com os sabores enquanto a cozinha se rende.,0.8994
228,manual_data,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",gemini,prompt2,gemmaX,sem_prompt,Ela está ouvindo música enquanto cozinha.,0.9546
593,manual_data,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,gpt,prompt2,gpt,prompt4,Eu lavei a roupa ontem.,0.9578
593,manual_data,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,gpt,prompt2,gemini,prompt2,Eu lavei a roupa ontem.,0.9578
593,manual_data,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,gpt,prompt2,gemini,prompt4,Lavei a roupa suja ontem.,0.9366
593,manual_data,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,gpt,prompt2,gemma3,prompt2,Eu lavei a roupa ontem.,0.9578
593,manual_data,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,gpt,prompt2,gemma3,prompt4,Eu ajudei as roupas a renascerem ontem.,0.911
593,manual_data,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,gpt,prompt2,gemmaX,sem_prompt,Eu fiz a lavanderia ontem.,0.95
332,manual_data,I am playing video games in my room.,"Estou jogando video games no meu quarto.
",gemini,prompt2,gpt,prompt2,Estou jogando videogames no meu quarto.,0.9556
332,manual_data,I am playing video games in my room.,"Estou jogando video games no meu quarto.
",gemini,prompt2,gpt,prompt4,Estou jogando videogames no meu quarto.,0.9556
332,manual_data,I am playing video games in my room.,"Estou jogando video games no meu quarto.
",gemini,prompt2,gemini,prompt4,Estou navegando em mundos virtuais no meu refúgio.,0.9168
332,manual_data,I am playing video games in my room.,"Estou jogando video games no meu quarto.
",gemini,prompt2,gemma3,prompt2,Estou jogando videogame no meu quarto.,0.9542
332,manual_data,I am playing video games in my room.,"Estou jogando video games no meu quarto.
",gemini,prompt2,gemma3,prompt4,Estou me perdendo em pixels no meu quarto.,0.944
332,manual_data,I am playing video games in my room.,"Estou jogando video games no meu quarto.
",gemini,prompt2,gemmaX,sem_prompt,Estou jogando videogame no meu quarto.,0.9542
472,manual_data,They have three children.,Eles têm três filhos.,gpt,prompt2,gpt,prompt4,Eles têm três filhos.,0.95
472,manual_data,They have three children.,Eles têm três filhos.,gpt,prompt2,gemini,prompt2,Eles têm três filhos.,0.95
472,manual_data,They have three children.,Eles têm três filhos.,gpt,prompt2,gemini,prompt4,Eles têm três rebentos.,0.9133
472,manual_data,They have three children.,Eles têm três filhos.,gpt,prompt2,gemma3,prompt2,Eles têm três filhos.,0.95
472,manual_data,They have three children.,Eles têm três filhos.,gpt,prompt2,gemma3,prompt4,Eles construíram um lar para três vidas.,0.9024
472,manual_data,They have three children.,Eles têm três filhos.,gpt,prompt2,gemmaX,sem_prompt,Têm três filhos.,0.9492
254,manual_data,She plays the piano beautifully.,"Ela toca piano lindamente.
",gemini,prompt2,gpt,prompt2,Ela toca piano lindamente.,0.9571
254,manual_data,She plays the piano beautifully.,"Ela toca piano lindamente.
",gemini,prompt2,gpt,prompt4,Ela toca piano com maestria.,0.9306
254,manual_data,She plays the piano beautifully.,"Ela toca piano lindamente.
",gemini,prompt2,gemini,prompt4,Ela acaricia o piano com alma.,0.897
254,manual_data,She plays the piano beautifully.,"Ela toca piano lindamente.
",gemini,prompt2,gemma3,prompt2,Ela toca piano lindamente.,0.9571
254,manual_data,She plays the piano beautifully.,"Ela toca piano lindamente.
",gemini,prompt2,gemma3,prompt4,Ela dança com as teclas.,0.8684
254,manual_data,She plays the piano beautifully.,"Ela toca piano lindamente.
",gemini,prompt2,gemmaX,sem_prompt,Ela toca piano lindamente.,0.9571
567,manual_data,She played tennis with her brother.,"Ela jogou tênis com o irmão dela.
",gemini,prompt2,gpt,prompt2,Ela jogou tênis com seu irmão.,0.9832
567,manual_data,She played tennis with her brother.,"Ela jogou tênis com o irmão dela.
",gemini,prompt2,gpt,prompt4,Ela jogou tênis com o irmão.,0.9808
567,manual_data,She played tennis with her brother.,"Ela jogou tênis com o irmão dela.
",gemini,prompt2,gemini,prompt4,Ela duelou tênis com o irmão.,0.9567
567,manual_data,She played tennis with her brother.,"Ela jogou tênis com o irmão dela.
",gemini,prompt2,gemma3,prompt2,Ela jogou tênis com o irmão dela.,0.9557
567,manual_data,She played tennis with her brother.,"Ela jogou tênis com o irmão dela.
",gemini,prompt2,gemma3,prompt4,Ela duelou tênis com o irmão.,0.9567
567,manual_data,She played tennis with her brother.,"Ela jogou tênis com o irmão dela.
",gemini,prompt2,gemmaX,sem_prompt,Ela jogava tênis com seu irmão.,0.9871
69,manual_data,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,gemma3,prompt2,gpt,prompt2,Ela está escovando os dentes antes de dormir.,0.95
69,manual_data,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,gemma3,prompt2,gpt,prompt4,Ela está escovando os dentes antes de dormir.,0.95
69,manual_data,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,gemma3,prompt2,gemini,prompt2,Ela está escovando os dentes antes de dormir.,0.95
69,manual_data,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,gemma3,prompt2,gemini,prompt4,Ela está preparando a noite para dormir.,0.949
69,manual_data,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,gemma3,prompt2,gemma3,prompt4,Ela está escovando as estrelas antes de dormir.,0.9462
69,manual_data,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,gemma3,prompt2,gemmaX,sem_prompt,Ela está escoando os dentes antes de dormir.,0.9386
491,manual_data,The dog is playing outside.,"O cachorro está brincando lá fora.
",gemma3,prompt2,gpt,prompt2,O cachorro está brincando do lado de fora.,0.949
491,manual_data,The dog is playing outside.,"O cachorro está brincando lá fora.
",gemma3,prompt2,gpt,prompt4,O cachorro está brincando lá fora.,0.9555
491,manual_data,The dog is playing outside.,"O cachorro está brincando lá fora.
",gemma3,prompt2,gemini,prompt2,O cachorro está brincando lá fora.,0.9555
491,manual_data,The dog is playing outside.,"O cachorro está brincando lá fora.
",gemma3,prompt2,gemini,prompt4,O cão brinca ao relento.,0.9088
491,manual_data,The dog is playing outside.,"O cachorro está brincando lá fora.
",gemma3,prompt2,gemma3,prompt4,O cão se diverte ao ar livre.,0.8899
491,manual_data,The dog is playing outside.,"O cachorro está brincando lá fora.
",gemma3,prompt2,gemmaX,sem_prompt,O cão está brincando lá fora.,0.9457
294,manual_data,The sun rises in the east.,"O sol nasce no leste.
",gemini,prompt2,gpt,prompt2,O sol nasce no leste.,0.9588
294,manual_data,The sun rises in the east.,"O sol nasce no leste.
",gemini,prompt2,gpt,prompt4,O sol nasce no Oriente.,0.9586
294,manual_data,The sun rises in the east.,"O sol nasce no leste.
",gemini,prompt2,gemini,prompt4,O sol desponta no oriente.,0.918
294,manual_data,The sun rises in the east.,"O sol nasce no leste.
",gemini,prompt2,gemma3,prompt2,O sol nasce no leste.,0.9588
294,manual_data,The sun rises in the east.,"O sol nasce no leste.
",gemini,prompt2,gemma3,prompt4,A aurora desponta no oriente.,0.8469
294,manual_data,The sun rises in the east.,"O sol nasce no leste.
",gemini,prompt2,gemmaX,sem_prompt,O sol nasce no leste.,0.9588
91,manual_data,boiling point,ponto de ebulição,gemmaX,sem_prompt,gpt,prompt2,ponto de ebulição,0.95
91,manual_data,boiling point,ponto de ebulição,gemmaX,sem_prompt,gpt,prompt4,ponto de ebulição,0.95
91,manual_data,boiling point,ponto de ebulição,gemmaX,sem_prompt,gemini,prompt2,Ponto de ebulição,0.9241
91,manual_data,boiling point,ponto de ebulição,gemmaX,sem_prompt,gemini,prompt4,Ponto de ebulição,0.9241
91,manual_data,boiling point,ponto de ebulição,gemmaX,sem_prompt,gemma3,prompt2,Ponto de ebulição,0.9241
91,manual_data,boiling point,ponto de ebulição,gemmaX,sem_prompt,gemma3,prompt4,Ponto de ebulição.,0.9061
644,manual_data,big fish in a small pond,"Peixe grande em lago pequeno
",gemini,prompt2,gpt,prompt2,grande peixe em um pequeno lago,0.9252
644,manual_data,big fish in a small pond,"Peixe grande em lago pequeno
",gemini,prompt2,gpt,prompt4,grande peixe em um pequeno aquário,0.8843
644,manual_data,big fish in a small pond,"Peixe grande em lago pequeno
",gemini,prompt2,gemini,prompt4,Peixe grande em lagoa pequena.,0.8797
644,manual_data,big fish in a small pond,"Peixe grande em lago pequeno
",gemini,prompt2,gemma3,prompt2,Peixe grande em lago pequeno.,0.8984
644,manual_data,big fish in a small pond,"Peixe grande em lago pequeno
",gemini,prompt2,gemma3,prompt4,Peixe grande num lago pequeno.,0.9018
644,manual_data,big fish in a small pond,"Peixe grande em lago pequeno
",gemini,prompt2,gemmaX,sem_prompt,peixe grande num pequeno lago,0.9311
74,manual_data,actions speak louder than words,As ações falam mais alto do que as palavras.,gemma3,prompt2,gpt,prompt2,Ações falam mais alto que palavras.,0.9532
74,manual_data,actions speak louder than words,As ações falam mais alto do que as palavras.,gemma3,prompt2,gpt,prompt4,Atos falam mais alto que palavras.,0.9528
74,manual_data,actions speak louder than words,As ações falam mais alto do que as palavras.,gemma3,prompt2,gemini,prompt2,Ações valem mais que palavras.,0.9499
