indice,dataset,ingles_original,portugues_traduzido,modelo,prompt,xcomet_xl,kiwi_xl,comet22,score_combinado,quartil
276,manual_data,cold feet,pés frios,gemmaX,sem_prompt,1.0,1.0749,0.981,1.0187,Q1
183,manual_data,cold feet,pés frios,gemmaX,sem_prompt,1.0,1.0749,0.981,1.0187,Q1
431,manual_data,She is wearing a red dress.,"Ela está vestindo um vestido vermelho.
",gemini,prompt2,1.0,1.0709,0.9845,1.0185,Q1
621,manual_data,from the bottom of my heart,"Do fundo do meu coração
",gemini,prompt2,1.0,1.0929,0.9623,1.0184,Q1
390,manual_data,They are playing volleyball at the beach.,"Eles estão jogando vôlei na praia.
",gemini,prompt2,1.0,1.096,0.9588,1.0183,Q1
397,manual_data,I went to the store to buy some bread.,Eu fui à loja para comprar pão.,gpt,prompt2,1.0,1.1025,0.9524,1.0183,Q1
547,manual_data,They went for a walk in the park.,Eles foram passear no parque.,gpt,prompt2,1.0,1.0747,0.9803,1.0183,Q1
97,manual_data,He washed his car yesterday.,"Ele lavou o carro dele ontem.
",gemini,prompt2,1.0,1.0729,0.9817,1.0182,Q1
556,manual_data,They are doing laundry in the basement.,"Eles estão lavando roupa no porão.
",gemini,prompt2,0.9912,1.0894,0.9732,1.0179,Q1
239,manual_data,live in a glass house,"Morar em casa de vidro
",gemini,prompt2,1.0,1.1298,0.9238,1.0179,Q1
173,manual_data,fingers crossed,"Dedos cruzados
",gemini,prompt2,0.9912,1.0848,0.9775,1.0178,Q1
237,manual_data,He is making tea in the kitchen.,"Ele está fazendo chá na cozinha.
",gemini,prompt2,1.0,1.0764,0.9769,1.0177,Q1
335,manual_data,She works as a software engineer.,"Ela trabalha como engenheira de software.
",gemini,prompt2,1.0,1.0714,0.981,1.0175,Q1
81,manual_data,They are having coffee at the café.,Eles estão tomando café no café.,gpt,prompt2,1.0,1.0758,0.9765,1.0174,Q1
136,manual_data,I met my friends for lunch.,"Eu encontrei meus amigos para almoçar.
",gemma3,prompt2,1.0,1.071,0.9813,1.0174,Q1
598,manual_data,She is writing a letter to her friend.,Ela está escrevendo uma carta para sua amiga.,gpt,prompt2,1.0,1.0797,0.9725,1.0174,Q1
5,manual_data,She enjoys painting in her free time.,Ela gosta de pintar no tempo livre.,gemma3,prompt2,1.0,1.0693,0.9825,1.0173,Q1
652,manual_data,She is organizing her closet.,Ela está organizando seu armário.,gpt,prompt2,1.0,1.0694,0.9822,1.0172,Q1
427,manual_data,She cleaned the kitchen after dinner.,"Ela limpou a cozinha depois do jantar.
",gemini,prompt2,1.0,1.074,0.9767,1.0169,Q1
42,manual_data,She is talking on the phone.,"Ela está falando ao telefone.
",gemini,prompt2,1.0,1.0724,0.9784,1.0169,Q1
9,manual_data,They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,gpt,prompt2,1.0,1.0701,0.9804,1.0168,Q1
264,manual_data,a penny saved is a penny earned,Um centavo economizado é um centavo ganho.,gpt,prompt2,0.9867,1.107,0.956,1.0166,Q1
521,manual_data,dark horse,cavalo escuro,gemmaX,sem_prompt,1.0,1.0623,0.9873,1.0165,Q1
646,manual_data,against all odds,"Contra todas as probabilidades
",gemini,prompt2,1.0,1.097,0.9517,1.0162,Q1
425,manual_data,cast in stone,"Escrito em pedra
",gemini,prompt2,0.9923,1.1449,0.9112,1.0161,Q1
699,manual_data,They are playing board games in the living room.,Eles estão jogando jogos de tabuleiro na sala de estar.,gpt,prompt2,1.0,1.0723,0.9753,1.0159,Q1
121,manual_data,paint the town red,pinte a cidade de vermelho,gemmaX,sem_prompt,1.0,1.0724,0.9746,1.0156,Q1
562,manual_data,broken dreams,sonhos quebrados,gpt,prompt2,1.0,1.0623,0.9845,1.0156,Q1
591,manual_data,They took a bus to the city center.,Eles pegaram um ônibus para o centro da cidade.,gpt,prompt2,1.0,1.0725,0.9742,1.0156,Q1
673,manual_data,They are having a barbecue in the garden.,Eles estão fazendo um churrasco no jardim.,gpt,prompt2,1.0,1.0673,0.9796,1.0156,Q1
295,manual_data,an arm and a leg,"Um braço e uma perna
",gemini,prompt2,0.9968,1.1131,0.9364,1.0155,Q1
256,manual_data,They are going to the cinema tonight.,Eles vão ao cinema esta noite.,gpt,prompt2,1.0,1.0638,0.9824,1.0154,Q1
135,manual_data,any port in a storm,qualquer porto numa tempestade,gemmaX,sem_prompt,1.0,1.0703,0.9758,1.0154,Q1
285,manual_data,He is working on his laptop.,"Ele está trabalhando em seu laptop.
",gemini,prompt2,1.0,1.0606,0.9853,1.0153,Q1
244,manual_data,He went fishing with his friends.,"Ele foi pescar com seus amigos.
",gemini,prompt2,1.0,1.0669,0.979,1.0153,Q1
537,manual_data,all in your head,Tudo na sua cabeça.,gemma3,prompt2,1.0,1.1199,0.9255,1.0152,Q1
301,manual_data,blood runs thicker than water,"O sangue é mais grosso que a água.
",gemma3,prompt2,1.0,1.1082,0.9374,1.0152,Q1
306,manual_data,She is arranging flowers in a vase.,Ela está arranjando flores em um vaso.,gemma3,prompt2,1.0,1.0701,0.9756,1.0152,Q1
485,manual_data,back to square one,De volta à estaca zero.,gemma3,prompt2,1.0,1.0797,0.9656,1.0151,Q1
98,manual_data,cold as ice,"Frio como gelo
",gemini,prompt2,1.0,1.0672,0.9781,1.0151,Q1
41,manual_data,She made breakfast for the family.,Ela fez o café da manhã para a família.,gemma3,prompt2,1.0,1.0722,0.9729,1.015,Q1
403,manual_data,an uphill battle,"Uma batalha difícil
",gemini,prompt2,0.9937,1.1239,0.9271,1.0149,Q1
377,manual_data,an uphill battle,"Uma batalha difícil
",gemini,prompt2,0.9937,1.1239,0.9271,1.0149,Q1
369,manual_data,They went to a restaurant for dinner.,Eles foram a um restaurante para o jantar.,gpt,prompt2,1.0,1.0661,0.9779,1.0147,Q1
408,manual_data,built like a tank,construído como um tanque,gemmaX,sem_prompt,1.0,1.0574,0.9865,1.0146,Q1
683,manual_data,He plays soccer every weekend.,"Ele joga futebol todo fim de semana.
",gemini,prompt2,1.0,1.0564,0.987,1.0145,Q1
437,manual_data,They are playing basketball in the yard.,Eles estão jogando basquete no quintal.,gemmaX,sem_prompt,1.0,1.0834,0.959,1.0142,Q1
22,manual_data,She is giving a presentation at work.,"Ela está fazendo uma apresentação no trabalho.
",gemma3,prompt2,1.0,1.0672,0.9747,1.014,Q1
551,manual_data,burning bridges,"Queimando pontes
",gemini,prompt2,1.0,1.108,0.9341,1.014,Q1
346,manual_data,She played cards with her friends.,"Ela jogou cartas com as amigas dela.
",gemini,prompt2,1.0,1.0651,0.9769,1.014,Q1
307,manual_data,They went shopping for new clothes.,Eles foram fazer compras de roupas novas.,gemma3,prompt2,1.0,1.0565,0.9854,1.014,Q1
67,manual_data,butterfly effect,efeito borboleta,gemmaX,sem_prompt,1.0,1.0525,0.9892,1.0139,Q1
187,manual_data,He read a book before bed.,"Ele leu um livro antes de dormir.
",gemini,prompt2,1.0,1.0649,0.9764,1.0138,Q1
62,manual_data,a skeleton in the closet,um esqueleto no armário,gpt,prompt2,1.0,1.0703,0.9713,1.0138,Q1
499,manual_data,They are having a discussion in the classroom.,Eles estão tendo uma discussão na sala de aula.,gpt,prompt2,1.0,1.0627,0.9786,1.0137,Q1
208,manual_data,He called his parents yesterday.,Ele chamou os pais dele ontem.,gpt,prompt2,1.0,1.06,0.9811,1.0137,Q1
4,manual_data,He likes to watch movies in his free time.,"Ele gosta de assistir filmes em seu tempo livre.
",gemini,prompt2,1.0,1.0589,0.9818,1.0136,Q1
422,manual_data,They are planning a trip to Europe.,"Eles estão planejando uma viagem para a Europa.
",gemini,prompt2,1.0,1.0619,0.9789,1.0136,Q1
527,manual_data,clear as crystal,"Claro como cristal
",gemini,prompt2,1.0,1.0569,0.9827,1.0132,Q1
516,manual_data,I made a cup of tea for myself.,Eu preparei uma xícara de chá para mim.,gemma3,prompt2,1.0,1.0924,0.9459,1.0128,Q1
449,manual_data,She cooked dinner for her family.,Ela cozinhou o jantar para a família dela.,gemma3,prompt2,1.0,1.0573,0.9787,1.012,Q1
542,manual_data,She had a meeting with her boss.,"Ela teve uma reunião com seu chefe.
",gemma3,prompt2,1.0,1.0648,0.9708,1.0119,Q1
35,manual_data,back to square one,"De volta à estaca zero.
",gemma3,prompt2,1.0,1.0692,0.9656,1.0116,Q1
65,manual_data,He took the bus to work.,"Ele pegou o ônibus para o trabalho.
",gemini,prompt2,1.0,1.0602,0.9737,1.0113,Q1
201,manual_data,He is doing his homework in the study room.,Ele está fazendo sua lição de casa na sala de estudo.,gemmaX,sem_prompt,1.0,1.0596,0.9739,1.0112,Q1
156,manual_data,a heart of gold,um coração de ouro,gpt,prompt2,0.996,1.0558,0.9811,1.0109,Q1
39,manual_data,They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,gpt,prompt2,1.0,1.0546,0.9762,1.0103,Q1
394,manual_data,They are visiting the zoo.,"Eles estão visitando o zoológico.
",gemini,prompt2,1.0,1.0554,0.9741,1.0098,Q1
573,manual_data,She is playing with her cat.,"Ela está brincando com seu gato.
",gemini,prompt2,1.0,1.0526,0.9762,1.0096,Q1
635,manual_data,a piece of cake,um pedaço de bolo,gemmaX,sem_prompt,1.0,1.0488,0.98,1.0096,Q1
391,manual_data,He is playing soccer with his friends.,"Ele está jogando futebol com os amigos dele.
",gemini,prompt2,1.0,1.0492,0.9793,1.0095,Q1
541,manual_data,She is visiting her grandmother in the hospital.,Ela está visitando a avó dela no hospital.,gpt,prompt2,1.0,1.0573,0.971,1.0094,Q1
630,manual_data,like a fish out of water,"Como um peixe fora d'água.
",gemma3,prompt2,1.0,1.0841,0.9437,1.0093,Q1
470,manual_data,all the world's a stage,Todo o mundo é um palco,gemmaX,sem_prompt,1.0,1.0696,0.9583,1.0093,Q1
645,manual_data,She studied for the test all week.,Ela estudou para o teste a semana toda.,gpt,prompt2,1.0,1.0536,0.9741,1.0092,Q1
171,manual_data,comfort zone,"Zona de conforto
",gemini,prompt2,1.0,1.063,0.9639,1.009,Q1
402,manual_data,He is checking his email.,Ele está verificando seu e-mail.,gemma3,prompt2,1.0,1.0451,0.9816,1.0089,Q1
288,manual_data,She had a cup of soup for lunch.,Ela tomou uma xícara de sopa no almoço.,gemmaX,sem_prompt,1.0,1.0575,0.9686,1.0087,Q1
641,manual_data,They are having a family gathering at home.,"Eles estão fazendo uma reunião familiar em casa.
",gemini,prompt2,0.9912,1.056,0.9784,1.0085,Q1
476,manual_data,They went hiking in the mountains.,Eles foram fazer trilha nas montanhas.,gpt,prompt2,1.0,1.0497,0.9756,1.0084,Q1
196,manual_data,I went to the beach for vacation.,Eu fui para a praia de férias.,gpt,prompt2,1.0,1.0481,0.9769,1.0083,Q1
79,manual_data,She is cleaning the kitchen after dinner.,"Ela está limpando a cozinha depois do jantar.
",gemini,prompt2,1.0,1.0527,0.972,1.0082,Q1
275,manual_data,all in the same boat,todos no mesmo barco,gpt,prompt2,1.0,1.0565,0.9674,1.008,Q1
255,manual_data,heart of stone,coração de pedra,gemmaX,sem_prompt,1.0,1.0458,0.9775,1.0078,Q1
273,manual_data,He watched a football match on TV.,Ele assistiu a uma partida de futebol na TV.,gpt,prompt2,1.0,1.0383,0.9852,1.0078,Q1
513,manual_data,heart of stone,coração de pedra,gemmaX,sem_prompt,1.0,1.0458,0.9775,1.0078,Q1
342,manual_data,They cleaned the house on Saturday.,Eles limparam a casa no sábado.,gemma3,prompt2,1.0,1.0483,0.9747,1.0077,Q1
515,manual_data,They are enjoying a cup of coffee together.,"Eles estão aproveitando uma xícara de café juntos.
",gemma3,prompt2,1.0,1.0466,0.9753,1.0073,Q1
131,manual_data,They went for a swim at the pool.,"Eles foram nadar na piscina.
",gemini,prompt2,1.0,1.1255,0.896,1.0072,Q1
570,manual_data,The car stopped at the red light.,"O carro parou no semáforo vermelho.
",gemma3,prompt2,1.0,1.0484,0.9729,1.0071,Q1
464,manual_data,They are visiting their friends in the city.,"Eles estão visitando seus amigos na cidade.
",gemini,prompt2,0.9912,1.0524,0.9773,1.007,Q1
269,manual_data,He visited the museum with his class.,Ele visitou o museu com sua classe.,gemmaX,sem_prompt,1.0,1.0484,0.9726,1.007,Q1
435,manual_data,He is drinking tea in the morning.,Ele está bebendo chá de manhã.,gemma3,prompt2,1.0,1.0464,0.9744,1.0069,Q1
203,manual_data,They are making pizza together.,Eles estão fazendo pizza juntos.,gemma3,prompt2,1.0,1.0344,0.9862,1.0069,Q1
78,manual_data,bleeding heart,coração sangrante,gpt,prompt2,1.0,1.0432,0.9769,1.0067,Q1
668,manual_data,They went to a theme park for the day.,"Eles foram a um parque temático passar o dia.
",gemini,prompt2,0.9912,1.0517,0.9765,1.0065,Q1
58,manual_data,He is building a model airplane.,Ele está construindo um avião de modelo.,gemma3,prompt2,1.0,1.0412,0.9782,1.0065,Q1
712,manual_data,They are taking a family vacation.,Eles estão fazendo férias em família.,gpt,prompt2,1.0,1.0647,0.9548,1.0065,Q1
383,manual_data,He made a sandwich for lunch.,Ele fez um sanduíche para o almoço.,gpt,prompt2,1.0,1.0387,0.9806,1.0064,Q1
350,manual_data,a sinking ship,um navio afundando,gpt,prompt2,1.0,1.0348,0.9845,1.0064,Q1
474,manual_data,They had a barbecue in the backyard.,Eles fizeram um churrasco no quintal.,gemma3,prompt2,1.0,1.0431,0.9754,1.0061,Q1
82,manual_data,hard pill to swallow,uma pílula difícil de engolir,gemmaX,sem_prompt,1.0,1.0907,0.9273,1.006,Q1
497,manual_data,They went to a concert last night.,"Eles foram a um show ontem à noite.
",gemini,prompt2,1.0,1.0374,0.9803,1.0059,Q2
193,manual_data,He is playing the guitar in the living room.,"Ele está tocando guitarra na sala de estar.
",gemini,prompt2,1.0,1.0562,0.9611,1.0058,Q2
37,manual_data,She went to the library to study.,Ela foi à biblioteca para estudar.,gpt,prompt2,1.0,1.045,0.9725,1.0058,Q2
473,manual_data,She is preparing for a job interview.,"Ela está se preparando para uma entrevista de emprego.
",gemini,prompt2,1.0,1.0372,0.9802,1.0058,Q2
304,manual_data,an ounce of prevention is worth a pound of cure,"Um grama de prevenção vale um quilo de cura.
",gemini,prompt2,1.0,1.0628,0.9545,1.0058,Q2
482,manual_data,They went to the zoo with the kids.,"Eles foram ao zoológico com as crianças.
",gemini,prompt2,1.0,1.0697,0.9478,1.0058,Q2
672,manual_data,She is taking a picture of the flowers in the garden.,Ela está tirando uma foto das flores no jardim.,gemmaX,sem_prompt,1.0,1.0571,0.9601,1.0057,Q2
494,manual_data,as smooth as silk,suave como seda,gpt,prompt2,1.0,1.0672,0.9494,1.0055,Q2
315,manual_data,She is preparing dinner for the guests.,Ela está preparando o jantar para os convidados.,gpt,prompt2,1.0,1.044,0.9721,1.0054,Q2
221,manual_data,She is gardening in the backyard.,Ela está fazendo jardinagem no quintal.,gemmaX,sem_prompt,1.0,1.0417,0.9741,1.0053,Q2
679,manual_data,They enjoyed a picnic in the park.,Eles fizeram um piquenique no parque.,gemma3,prompt2,1.0,1.071,0.9444,1.0052,Q2
308,manual_data,big league,grande liga,gpt,prompt2,0.9769,1.0448,0.9935,1.0051,Q2
47,manual_data,I need to buy groceries this afternoon.,Preciso comprar mantimentos esta tarde.,gemmaX,sem_prompt,1.0,1.034,0.9809,1.005,Q2
129,manual_data,arm and a leg,"Um braço e uma perna
",gemini,prompt2,0.9926,1.1131,0.909,1.0049,Q2
619,manual_data,I worked on my computer for two hours.,Eu trabalhei no meu computador por duas horas.,gemmaX,sem_prompt,1.0,1.0334,0.9813,1.0049,Q2
31,manual_data,close to my heart,"Perto do meu coração.
",gemini,prompt2,1.0,1.078,0.9361,1.0047,Q2
546,manual_data,They are taking pictures in front of the monument.,Eles estão tirando fotos em frente ao monumento.,gemma3,prompt2,1.0,1.0342,0.98,1.0047,Q2
503,manual_data,She is typing on her computer.,Ela está digitando em seu computador.,gemmaX,sem_prompt,1.0,1.0321,0.9812,1.0044,Q2
514,manual_data,He took a walk in the park.,"Ele deu um passeio no parque.
",gemini,prompt2,1.0,1.0351,0.9778,1.0043,Q2
468,manual_data,all's fair in love and war,Tudo é justo no amor e na guerra,gemmaX,sem_prompt,1.0,1.0504,0.9626,1.0043,Q2
215,manual_data,fish out of water,peixe fora d'água,gpt,prompt2,1.0,1.0306,0.982,1.0042,Q2
371,manual_data,She is dancing to the music.,"Ela está dançando ao som da música.
",gemini,prompt2,1.0,1.0392,0.9727,1.004,Q2
586,manual_data,They are eating lunch together.,"Eles estão almoçando juntos.
",gemini,prompt2,1.0,1.051,0.9609,1.004,Q2
161,manual_data,a voice in the wilderness,"Uma voz no deserto
",gemini,prompt2,1.0,1.0528,0.9591,1.004,Q2
263,manual_data,She is watching a movie at the theater.,Ela está assistindo a um filme no cinema.,gpt,prompt2,1.0,1.0652,0.9462,1.0038,Q2
388,manual_data,She walked to the store.,"Ela caminhou até a loja.
",gemma3,prompt2,1.0,1.0384,0.9728,1.0037,Q2
25,manual_data,easy as pie,"Fácil como uma torta.
",gemini,prompt2,1.0,1.0398,0.9703,1.0034,Q2
571,manual_data,They are sitting around the campfire.,"Eles estão sentados ao redor da fogueira.
",gemini,prompt2,1.0,1.0332,0.9772,1.0034,Q2
34,manual_data,easy as pie,"Fácil como uma torta.
",gemini,prompt2,1.0,1.0398,0.9703,1.0034,Q2
682,manual_data,She is ironing her clothes.,"Ela está passando suas roupas.
",gemini,prompt2,0.9989,1.0342,0.9763,1.0031,Q2
309,manual_data,She is packing her suitcase for a trip.,Ela está arrumando sua mala para uma viagem.,gemma3,prompt2,1.0,1.0362,0.9727,1.003,Q2
