indice,ingles_original,portugues_traduzido,label,dataset,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl
36,devil's advocate,Defensor do diabo,1,manual_data,gemma3,prompt2,0.9988,1.0,0.9298215508460999,1.066589593887329
37,She went to the library to study.,Ela foi à biblioteca para estudar.,0,manual_data,gpt,prompt2,1.0058,1.0,0.972459614276886,1.0450249910354614
39,They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,0,manual_data,gpt,prompt2,1.0103,1.0,0.9762416481971741,1.054599404335022
40,falling through the cracks,Caindo entre as frestas,1,manual_data,gemma3,prompt2,0.8228,0.9444608688354492,0.9469088912010193,0.5770152807235718
41,She made breakfast for the family.,Ela fez o café da manhã para a família.,0,manual_data,gemma3,prompt2,1.015,1.0,0.9728613495826721,1.0722179412841797
42,She is talking on the phone.,"Ela está falando ao telefone.
",0,manual_data,gemini,prompt2,1.0169,1.0,0.9783831238746643,1.0723775625228882
43,all bark and no bite,apenas latido e nenhum ataque,1,manual_data,gpt,prompt2,0.8691,0.9158817529678345,0.86158686876297,0.8299696445465088
44,apple of discord,maçã da discórdia,1,manual_data,gpt,prompt4,0.8158,0.9610481262207031,0.985302746295929,0.5009519457817078
45,spill the beans,revelar o segredo,1,manual_data,gpt,prompt2,0.8885,0.974860429763794,0.6558679938316345,1.0346901416778564
46,burn your bridges,queime suas pontes,1,manual_data,gemmaX,sem_prompt,0.9901,0.9912000298500061,0.9773531556129456,1.0018116235733032
47,I need to buy groceries this afternoon.,Preciso comprar mantimentos esta tarde.,0,manual_data,gemmaX,sem_prompt,1.005,1.0,0.980915904045105,1.034005045890808
48,as bold as brass,"Arrogante como um rei.
",1,manual_data,gemma3,prompt4,0.7571,0.8706144094467163,0.6569339632987976,0.743634819984436
49,close to the vest,Em segredo.,1,manual_data,gemma3,prompt2,0.8318,0.9159670472145081,0.5590992569923401,1.0204682350158691
51,back to the drawing board,de volta à prancheta,1,manual_data,gemmaX,sem_prompt,0.9204,0.9859422445297241,0.9752448201179504,0.7999090552330017
52,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,0,manual_data,gemmaX,sem_prompt,1.02,1.0,0.9687079787254333,1.0911462306976318
53,as right as rain,como se estivesse tudo bem,1,manual_data,gemmaX,sem_prompt,0.8744,0.8476861715316772,0.7535585165023804,1.022025227546692
54,He is planning his day ahead.,"Ele está planejando o dia dele.
",0,manual_data,gemini,prompt2,0.9494,1.0,0.9067422747612,0.9415983557701111
55,She took a shower in the morning.,Ela tomou um banho de manhã.,0,manual_data,gpt,prompt2,1.024,1.0,0.9790115356445312,1.0929954051971436
56,best of both worlds,"O melhor dos dois mundos.
",1,manual_data,gemini,prompt2,1.0006,1.0,0.9637900590896606,1.0379412174224854
57,antsy as a cat on a hot tin roof,inquieto como um gato em um telhado de lata quente,1,manual_data,gemmaX,sem_prompt,0.8867,0.93341064453125,0.903127133846283,0.8237113952636719
58,He is building a model airplane.,Ele está construindo um avião de modelo.,0,manual_data,gemma3,prompt2,1.0065,1.0,0.9782246351242065,1.041152834892273
60,burst your bubble,estourar sua bolha,1,manual_data,gpt,prompt2,0.9173,0.9865835309028625,0.9895522594451904,0.7756515741348267
61,all eyes on you,todos os olhares estão em você,1,manual_data,gpt,prompt2,0.9739,1.0,0.932521402835846,0.9891343116760254
62,a skeleton in the closet,um esqueleto no armário,1,manual_data,gpt,prompt2,1.0138,1.0,0.9712516665458679,1.0702849626541138
63,He is attending a business meeting.,"Ele está participando de uma reunião de negócios.
",0,manual_data,gemini,prompt2,0.9734,1.0,0.9785370230674744,0.9416890144348145
64,cool as a cucumber,"Calmo como um pepino.
",1,manual_data,gemini,prompt2,0.986,1.0,0.8974834084510803,1.0605708360671997
65,He took the bus to work.,"Ele pegou o ônibus para o trabalho.
",0,manual_data,gemini,prompt2,1.0113,1.0,0.9736977815628052,1.060231328010559
66,as easy as pie,"Tão fácil quanto uma torta.
",1,manual_data,gemini,prompt2,1.0011,0.9912000298500061,0.9756783843040466,1.0365184545516968
67,butterfly effect,efeito borboleta,1,manual_data,gemmaX,sem_prompt,1.0139,1.0,0.9891905188560486,1.052520990371704
68,They watched a TV show in the evening.,"Eles assistiram a um programa de TV à noite.
",0,manual_data,gemma3,prompt2,0.9808,1.0,0.9195639491081238,1.02298104763031
69,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,0,manual_data,gemma3,prompt2,1.0268,1.0,0.9775684475898743,1.102954626083374
70,blown out of the water,expulsado da água,1,manual_data,gemmaX,sem_prompt,0.9338,0.9817147254943848,0.8326764702796936,0.9869946241378784
71,He is feeding his pet hamster.,"Ele está alimentando seu hamster de estimação.
",0,manual_data,gemini,prompt2,1.0004,1.0,0.9785323143005371,1.0226317644119263
72,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",0,manual_data,gemini,prompt2,1.029,1.0,0.9783932566642761,1.1085923910140991
73,"another day, another dollar","Mais um dia, mais um dólar.",1,manual_data,gpt,prompt2,1.024,1.0,0.9578486084938049,1.114096760749817
74,actions speak louder than words,As ações falam mais alto do que as palavras.,1,manual_data,gemma3,prompt2,1.026,1.0,0.9677042365074158,1.1102709770202637
75,climbing up the ladder,subindo a escada,1,manual_data,gpt,prompt2,0.9553,1.0,0.8607469201087952,1.0052765607833862
76,early bird catches the worm,o pássaro que acorda mais cedo pega o verme,1,manual_data,gemmaX,sem_prompt,0.8712,0.9737838506698608,0.7253414988517761,0.9145827889442444
77,She is baking cookies in the kitchen.,Ela está cozinhando biscoitos na cozinha.,0,manual_data,gemmaX,sem_prompt,1.0024,1.0,0.9503341317176819,1.0569864511489868
78,bleeding heart,coração sangrante,1,manual_data,gpt,prompt2,1.0067,1.0,0.9768770933151245,1.043233036994934
79,She is cleaning the kitchen after dinner.,"Ela está limpando a cozinha depois do jantar.
",0,manual_data,gemini,prompt2,1.0082,1.0,0.97198885679245,1.0527286529541016
80,She is drinking water.,Ela está bebendo água.,0,manual_data,gpt,prompt2,1.032,1.0,0.984463632106781,1.1115353107452393
81,They are having coffee at the café.,Eles estão tomando café no café.,0,manual_data,gpt,prompt2,1.0174,1.0,0.9764923453330994,1.0758098363876343
82,hard pill to swallow,uma pílula difícil de engolir,1,manual_data,gemmaX,sem_prompt,1.006,1.0,0.9273374676704407,1.0907284021377563
83,a slap on the wrist,uma palmada no pulso,1,manual_data,gpt,prompt2,0.9869,0.9912000298500061,0.9685525894165039,1.001012921333313
84,They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,0,manual_data,gpt,prompt2,1.02,1.0,0.9793164134025574,1.0806715488433838
85,They are swimming at the pool.,"Eles estão nadando na piscina.
",0,manual_data,gemini,prompt2,1.0197,1.0,0.9542171359062195,1.1050058603286743
86,cat on a hot tin roof,gato em um telhado quente de lata,1,manual_data,gpt,prompt2,0.9498,0.987639307975769,0.9775034189224243,0.8841928243637085
87,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,0,manual_data,gemma3,prompt2,1.029,1.0,0.9736365675926208,1.113477110862732
88,He is walking his dog in the park.,Ele está passeando com seu cachorro no parque.,0,manual_data,gpt,prompt2,1.0009,1.0,0.9731230139732361,1.0295774936676025
89,add fuel to the fire,acrescentar lenha na fogueira,1,manual_data,gpt,prompt2,0.9776,1.0,0.9807090759277344,0.9519938230514526
90,in hot water,em água quente,1,manual_data,gemmaX,sem_prompt,0.957,0.9912000298500061,0.9921179413795471,0.8878034353256226
91,boiling point,ponto de ebulição,1,manual_data,gemmaX,sem_prompt,1.0264,1.0,0.993129312992096,1.086027979850769
92,beat a dead horse,"Bater em cachorro morto.
",1,manual_data,gemini,prompt4,0.737,0.9786516427993774,0.9181259870529175,0.31422314047813416
93,blind alley,Rua sem saída,1,manual_data,gemma3,prompt2,0.8113,0.8518627882003784,0.6487297415733337,0.9334278106689453
96,chip on the shoulder,chip no ombro,1,manual_data,gemmaX,sem_prompt,0.7451,0.97660231590271,0.8962648510932922,0.36251017451286316
97,He washed his car yesterday.,"Ele lavou o carro dele ontem.
",0,manual_data,gemini,prompt2,1.0182,1.0,0.9817414283752441,1.0728662014007568
98,cold as ice,"Frio como gelo
",1,manual_data,gemini,prompt2,1.0151,1.0,0.9780504107475281,1.0672496557235718
99,He is attending a wedding.,"Ele está indo a um casamento.
",0,manual_data,gemini,prompt2,0.9832,1.0,0.904008150100708,1.0455321073532104
100,He is making a cup of coffee.,Ele está fazendo uma xícara de café.,0,manual_data,gpt,prompt2,0.9927,1.0,0.9687075018882751,1.0093001127243042
101,chasing shadows,perseguindo sombras,1,manual_data,gemmaX,sem_prompt,0.9714,0.9912000298500061,0.9871227145195007,0.935800313949585
102,feast your eyes,"Delicie seus olhos
",1,manual_data,gemini,prompt2,0.9851,0.9640318155288696,0.9715067744255066,1.0196270942687988
103,a diamond in the rough,"Um diamante bruto.
",1,manual_data,gemini,prompt2,0.9377,0.953842043876648,0.8361002802848816,1.0231966972351074
104,He is having breakfast with his family.,"Ele está tomando café da manhã com a família dele.
",0,manual_data,gemini,prompt2,0.9937,1.0,0.9805851578712463,1.000546932220459
105,blind as a bat,"Cego de nascença.
",1,manual_data,gemma3,prompt2,0.9455,0.9947891235351562,0.6691410541534424,1.1724703311920166
106,light at the end of the tunnel,"Luz no fim do túnel
",1,manual_data,gemini,prompt2,1.0187,1.0,0.9584968090057373,1.097502589225769
107,as old as the hills,"Tão velho quanto as colinas
",1,manual_data,gemini,prompt2,0.9797,0.99811851978302,0.976428747177124,0.9645426273345947
109,He went for a jog in the morning.,"Ele foi correr de manhã.
",0,manual_data,gemini,prompt2,0.985,1.0,0.9403389692306519,1.0146901607513428
110,finding your feet,"Encontrar o seu lugar.
",1,manual_data,gemma3,prompt2,0.8855,0.94478440284729,0.7522833943367004,0.9595459699630737
111,give someone a run for their money,"Dar trabalho a alguém.
",1,manual_data,gemini,prompt2,0.8507,0.8844901919364929,0.5796480774879456,1.0878154039382935
112,have a bone to pick,ter uma questão a resolver,1,manual_data,gpt,prompt4,0.8096,0.941524088382721,0.6385576128959656,0.8487436771392822
114,He enjoyed a cup of coffee in the morning.,Ele apreciou uma xícara de café pela manhã.,0,manual_data,gemma3,prompt2,0.9875,1.0,0.9690333008766174,0.9934177994728088
115,ball is in your court,"A bola está no seu campo.
",1,manual_data,gemini,prompt2,0.9811,0.9995623826980591,0.9586830735206604,0.9851107597351074
117,going down in flames,Caindo em chamas,1,manual_data,gemma3,prompt2,0.9001,0.9558777809143066,0.9115925431251526,0.8328233361244202
118,break a leg,Quebrar uma perna,1,manual_data,gemmaX,sem_prompt,0.9224,0.9855719804763794,0.9389410018920898,0.8426599502563477
119,The kids played in the playground.,"As crianças brincaram no parquinho.
",0,manual_data,gemini,prompt2,0.9716,1.0,0.9442712068557739,0.9704800844192505
120,change of tune,"Mudança de tom
",1,manual_data,gemini,prompt2,0.995,0.9912000298500061,0.9161967635154724,1.0776528120040894
121,paint the town red,pinte a cidade de vermelho,1,manual_data,gemmaX,sem_prompt,1.0156,1.0,0.9745609760284424,1.0723670721054077
122,burnt out,queimado,1,manual_data,gemmaX,sem_prompt,0.9579,0.9725841283798218,0.9015299677848816,0.9995002746582031
123,burning the midnight oil,queimar o óleo da meia-noite,1,manual_data,gpt,prompt2,0.8051,0.9613630175590515,0.8831058740615845,0.5708503723144531
124,come out of the woodwork,sair do armário,1,manual_data,gemmaX,sem_prompt,0.8448,0.9184678792953491,0.6628462672233582,0.9529998898506165
125,blessing in disguise,Uma bênção disfarçada.,1,manual_data,gemma3,prompt2,0.9897,1.0,0.9306445717811584,1.0383386611938477
126,He is cutting vegetables for dinner.,Ele está cortando legumes para o jantar.,0,manual_data,gpt,prompt2,0.9824,1.0,0.9760453701019287,0.9711678624153137
127,bigger than life,maior que a vida,1,manual_data,gpt,prompt2,0.9695,1.0,0.989450991153717,0.9189515709877014
128,cast iron stomach,"Estômago de aço
",1,manual_data,gemini,prompt2,0.9062,0.9712340235710144,0.6993109583854675,1.047956109046936
129,arm and a leg,"Um braço e uma perna
",1,manual_data,gemini,prompt2,1.0049,0.9926327466964722,0.9090039730072021,1.1131254434585571
130,as hungry as a wolf,tão faminto quanto um lobo,1,manual_data,gpt,prompt2,0.9491,0.9823263883590698,0.9807646870613098,0.8843245506286621
131,They went for a swim at the pool.,"Eles foram nadar na piscina.
",0,manual_data,gemini,prompt2,1.0072,1.0,0.8959540128707886,1.1255375146865845
132,blow a fuse,queimar um fusível,1,manual_data,gemmaX,sem_prompt,0.8671,0.9823216199874878,0.9825820922851562,0.6362985372543335
133,He is drawing a picture of his dog.,"Ele está desenhando um retrato do seu cachorro.
",0,manual_data,gemini,prompt2,0.9963,1.0,0.9446143507957458,1.0442005395889282
134,bend over backwards,Virar o mundo de cabeça para baixo.,1,manual_data,gemma3,prompt4,0.7631,0.961199164390564,0.5052506923675537,0.822930634021759
135,any port in a storm,qualquer porto numa tempestade,1,manual_data,gemmaX,sem_prompt,1.0154,1.0,0.975788414478302,1.070267915725708
136,I met my friends for lunch.,"Eu encontrei meus amigos para almoçar.
",0,manual_data,gemma3,prompt2,1.0174,1.0,0.981300413608551,1.0709837675094604
138,bottom of the totem pole,fundo da hierarquia,1,manual_data,gpt,prompt2,0.8587,0.9737367630004883,0.5814892649650574,1.0209417343139648
140,chomping at the bit,"Roendo as unhas.
",1,manual_data,gemini,prompt4,0.7443,0.8829060792922974,0.5218488574028015,0.8281355500221252
141,on cloud nine,nas nuvens,1,manual_data,gpt,prompt4,0.7715,0.9369188547134399,0.9858493804931641,0.39187362790107727
142,between a rock and a hard place,"Entre a cruz e a espada.
",1,manual_data,gemma3,prompt2,0.7558,0.7574800252914429,0.519618570804596,0.99037766456604
143,batten down the hatches,"Abaixar as escotilhas.
",1,manual_data,gemini,prompt2,0.8344,0.9531406164169312,0.8040511012077332,0.7460467219352722
144,all ears,tô ouvindo,1,manual_data,gpt,prompt2,0.8458,0.9507523775100708,0.5960662364959717,0.9905268549919128
145,a fly on the wall,"Uma mosca na parede.
",1,manual_data,gemma3,prompt2,1.0019,0.9961655139923096,0.938498318195343,1.071053147315979
146,as sharp as a tack,afiado como uma agulha,1,manual_data,gemmaX,sem_prompt,0.9394,0.9791871309280396,0.8540635108947754,0.9850675463676453
147,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,0,manual_data,gpt,prompt2,1.0383,1.0,0.9814562797546387,1.133400797843933
149,bottom of the barrel,fundo do barril,1,manual_data,gemmaX,sem_prompt,0.9643,1.0,0.9641140103340149,0.9286601543426514
150,carrying the weight of the world,carregando o peso do mundo,1,manual_data,gpt,prompt2,0.9352,1.0,0.9719570279121399,0.8337411880493164
151,cogs in the machine,peças na engrenagem,1,manual_data,gpt,prompt4,0.8972,0.9878314733505249,0.9725229740142822,0.7311398983001709
152,I am traveling to the mountains this weekend.,Estou viajando para as montanhas neste fim de semana.,0,manual_data,gpt,prompt2,1.0025,1.0,0.9758740067481995,1.0315057039260864
153,They watched a movie on the weekend.,"Eles assistiram a um filme no fim de semana.
",0,manual_data,gemini,prompt2,1.025,1.0,0.976432740688324,1.098678708076477
155,face the music,enfrentar a realidade,1,manual_data,gpt,prompt2,0.9457,0.9808765649795532,0.8109670877456665,1.0452557802200317
156,a heart of gold,um coração de ouro,1,manual_data,gpt,prompt2,1.0109,0.9959825277328491,0.9810587763786316,1.0557841062545776
157,caught in a web,"Preso em uma teia
",1,manual_data,gemini,prompt2,0.9644,0.9808690547943115,0.8709701299667358,1.041487455368042
158,She made a salad for lunch.,Ela fez uma salada para o almoço.,0,manual_data,gpt,prompt2,1.0314,1.0,0.9793736338615417,1.1148709058761597
159,mind over matter,"Mente sobre matéria
",1,manual_data,gemini,prompt2,0.8793,0.9914003610610962,0.9426190853118896,0.7037694454193115
160,as good as done,quase feito,1,manual_data,gpt,prompt2,0.9408,1.0,0.7735179662704468,1.0489503145217896
161,a voice in the wilderness,"Uma voz no deserto
",1,manual_data,gemini,prompt2,1.004,1.0,0.9591014385223389,1.052815556526184
162,He went to the gym to lift weights.,"Ele foi à academia para levantar pesos.
",0,manual_data,gemini,prompt2,0.9989,1.0,0.9705849289894104,1.0260295867919922
163,another one bites the dust,Mais um morre,1,manual_data,gemmaX,sem_prompt,0.8293,0.8185704946517944,0.7467424869537354,0.9226176142692566
164,curiosity killed the cat,A curiosidade matou o gato.,1,manual_data,gemma3,prompt2,1.0011,1.0,0.9189191460609436,1.084267258644104
165,by leaps and bounds,"A passos largos
",1,manual_data,gemini,prompt4,0.7656,0.9610743522644043,0.9369068145751953,0.3987576961517334
166,They are practicing their dance routine.,Eles estão ensaiando a coreografia deles.,0,manual_data,gemma3,prompt2,0.9722,1.0,0.8873798251152039,1.029339075088501
167,honest as the day is long,Honesto como o dia é comprido.,1,manual_data,gemma3,prompt2,0.8942,0.9695063829421997,0.8721080422401428,0.8408763408660889
168,butter wouldn’t melt in their mouth,a manteiga não derreteria na boca deles,1,manual_data,gemmaX,sem_prompt,0.9675,0.9940474033355713,0.9168027639389038,0.9916056990623474
169,be in hot water,estar encrencado,1,manual_data,gpt,prompt4,0.7977,0.9679045677185059,0.8867531418800354,0.5384380221366882
170,by the seat of your pants,pelo assento de suas calças,1,manual_data,gemmaX,sem_prompt,0.8556,0.953142523765564,0.8831784129142761,0.7305620908737183
171,comfort zone,"Zona de conforto
",1,manual_data,gemini,prompt2,1.009,1.0,0.9638678431510925,1.06299889087677
172,give the green light,Dar sinal verde,1,manual_data,gemma3,prompt2,0.9254,0.9912000298500061,0.9695258140563965,0.8153669834136963
173,fingers crossed,"Dedos cruzados
",1,manual_data,gemini,prompt2,1.0178,0.9912000298500061,0.977510392665863,1.0848290920257568
174,He went to the airport to catch a flight.,Ele foi para o aeroporto para pegar um voo.,0,manual_data,gemmaX,sem_prompt,0.9943,1.0,0.9676807522773743,1.0152227878570557
175,as mad as a hatter,tanque de guerra.,1,manual_data,gpt,prompt2,0.7309,0.5618425607681274,0.4923003613948822,1.1384419202804565
176,cracking the whip,quebrando o chicote,1,manual_data,gemmaX,sem_prompt,0.7341,0.9446792602539062,0.8510037064552307,0.40652140974998474
177,He is reading a newspaper.,Ele está lendo um jornal.,0,manual_data,gpt,prompt2,1.0298,1.0,0.9775685667991638,1.1118632555007935
178,as easy as shooting fish in a barrel,"Tão fácil quanto atirar em peixes num barril.
",1,manual_data,gemini,prompt2,0.9766,0.975937008857727,0.9345024824142456,1.0194443464279175
179,He is taking photos with his camera.,"Ele está tirando fotos com sua câmera.
",0,manual_data,gemini,prompt2,0.9877,1.0,0.9692485928535461,0.9937981367111206
180,ants in your pants,formigas nas calças,1,manual_data,gemmaX,sem_prompt,0.8576,0.9842478632926941,0.9663872122764587,0.6222735047340393
181,He is cleaning the windows.,Ele está limpando as janelas.,0,manual_data,gpt,prompt2,0.9485,0.997063398361206,0.9715979099273682,0.8769855499267578
182,clean bill of health,Saúde perfeita,1,manual_data,gemma3,prompt2,0.9813,0.9701398611068726,0.8263092041015625,1.147528886795044
183,cold feet,pés frios,1,manual_data,gemmaX,sem_prompt,1.0187,1.0,0.9810448288917542,1.074920415878296
184,burn bridges,"Queimar pontes
",1,manual_data,gemini,prompt2,1.02,0.9912000298500061,0.9451541900634766,1.1236082315444946
185,cat's out of the bag,O gato está fora do saco,1,manual_data,gemmaX,sem_prompt,0.9573,0.9998224973678589,0.8888444304466248,0.9832314252853394
186,bury your head in the sand,enterre sua cabeça na areia,1,manual_data,gemmaX,sem_prompt,0.9841,1.0,0.9731262922286987,0.9791092276573181
187,He read a book before bed.,"Ele leu um livro antes de dormir.
",0,manual_data,gemini,prompt2,1.0138,1.0,0.9763815402984619,1.0649136304855347
188,bridge the gap,fechar a lacuna,1,manual_data,gpt,prompt2,0.9546,0.9911131858825684,0.8931778073310852,0.9794402718544006
189,He went to the doctor for a check-up.,"Ele foi ao médico para um check-up.
",0,manual_data,gemini,prompt2,0.9861,1.0,0.9709054827690125,0.9872936010360718
190,She is watching the sunset from the balcony.,Ela está assistindo ao pôr do sol da varanda.,0,manual_data,gpt,prompt2,0.9947,1.0,0.9730402827262878,1.0110479593276978
192,a penny for your thoughts,um centavo por seus pensamentos,1,manual_data,gemmaX,sem_prompt,1.0205,1.0,0.9810722470283508,1.080323576927185
193,He is playing the guitar in the living room.,"Ele está tocando guitarra na sala de estar.
",0,manual_data,gemini,prompt2,1.0058,1.0,0.9610684514045715,1.056221842765808
194,He is sitting on the chair.,"Ele está sentado na cadeira.
",0,manual_data,gemini,prompt2,1.0025,1.0,0.9712573885917664,1.0362175703048706
195,come hell or high water,venha o inferno ou a água alta,1,manual_data,gemmaX,sem_prompt,0.7453,0.8704710006713867,0.9855043292045593,0.3798846900463104
196,I went to the beach for vacation.,Eu fui para a praia de férias.,0,manual_data,gpt,prompt2,1.0083,1.0,0.9769195914268494,1.0481189489364624
197,as cool as a cucumber,"Calmo como um pepino.
",1,manual_data,gemini,prompt2,0.963,0.9748151302337646,0.8536591529846191,1.0605708360671997
199,at the end of the day,"No fim das contas.
",1,manual_data,gemma3,prompt2,0.7808,0.9482789039611816,0.7050163149833679,0.6889771223068237
200,can't see the forest for the trees,Não consigo ver a floresta por causa das árvores,1,manual_data,gemmaX,sem_prompt,0.9111,0.9912000298500061,0.9414157271385193,0.8005988001823425
201,He is doing his homework in the study room.,Ele está fazendo sua lição de casa na sala de estudo.,0,manual_data,gemmaX,sem_prompt,1.0112,1.0,0.9739362001419067,1.0595543384552002
202,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",0,manual_data,gemma3,prompt2,1.0313,1.0,0.9763957262039185,1.1174554824829102
203,They are making pizza together.,Eles estão fazendo pizza juntos.,0,manual_data,gemma3,prompt2,1.0069,1.0,0.9862179756164551,1.0343519449234009
204,blown out of proportion,"Fora de proporção
",1,manual_data,gemini,prompt2,0.9388,0.9390129446983337,0.8991515636444092,0.9783200621604919
205,hand in glove,mão no luva,1,manual_data,gemmaX,sem_prompt,0.9511,0.9989198446273804,0.9736819863319397,0.8805679082870483
206,birds of a feather flock together,pássaros da mesma espécie voam juntos,1,manual_data,gemmaX,sem_prompt,0.8896,0.9408658742904663,0.6854022741317749,1.0423938035964966
207,get out of hand,ficar fora de controle,1,manual_data,gemmaX,sem_prompt,0.949,0.9912000298500061,0.92551189661026,0.9301660060882568
208,He called his parents yesterday.,Ele chamou os pais dele ontem.,0,manual_data,gpt,prompt2,1.0137,1.0,0.981137216091156,1.0600143671035767
209,He wrote a letter to his friend.,"Ele escreveu uma carta para o amigo dele.
",0,manual_data,gemini,prompt2,1.0245,1.0,0.9736509323120117,1.0999906063079834
210,She danced at the party last night.,Ela dançou na festa ontem à noite.,0,manual_data,gemmaX,sem_prompt,0.9955,1.0,0.9760428071022034,1.0105446577072144
211,close to home,"Perto de casa.
",1,manual_data,gemma3,prompt2,0.9627,0.9912000298500061,0.8409246802330017,1.0560541152954102
