indice,dataset,modelo,prompt,ingles_original,portugues_traduzido,label,xcomet_xl
426,manual_data,gemma3,prompt4,They went to the supermarket yesterday.,Foram buscar sustento no reino dos açougues e corredores.,0,626
418,manual_data,gemma3,prompt4,blue collar,Mão de obra.,1,625
650,manual_data,gemini,prompt4,butter wouldn't melt,"Não ter sangue de barata.
",1,624
130,manual_data,gemini,prompt4,as hungry as a wolf,"Faminto como um lobo.
",1,623
39,manual_data,gemma3,prompt4,They went to the theater to watch a play.,Foram ao palco assistir à encenação.,0,623
668,manual_data,gemma3,prompt4,They went to a theme park for the day.,Passaram o dia num mundo de sonhos.,0,622
614,manual_data,gemini,prompt4,let the cat out of the bag,"Revelar o segredo.
",1,622
138,manual_data,gemma3,prompt4,bottom of the totem pole,"A base da hierarquia.
",1,621
542,manual_data,gemini,prompt4,She had a meeting with her boss.,"Ela teve um encontro com o leão.
",0,621
342,manual_data,gemma3,prompt4,They cleaned the house on Saturday.,Deixaram a casa brilhando no sábado.,0,620
50,manual_data,gemini,prompt4,blood is thicker than water,"Sangue do meu sangue.
",1,619
706,manual_data,gemini,prompt4,blood is thicker than water,"Sangue do meu sangue.
",1,618
210,manual_data,gemma3,prompt4,She danced at the party last night.,Ela se entregou à dança na festa passada.,0,618
42,manual_data,gemini,prompt4,She is talking on the phone.,"Ela está no fio.
",0,617
88,manual_data,gemma3,prompt4,He is walking his dog in the park.,"Ele passeia seu tempo no parque.
",0,617
665,manual_data,gemini,prompt4,cat nap,"Cochilo.
",1,616
300,manual_data,gemma3,prompt4,She is walking through the forest.,"Ela se aventura pela mata.
",0,616
222,manual_data,gemma3,prompt4,blind as a bat,Ir para o andar dos mortos.,1,615
307,manual_data,gemini,prompt4,They went shopping for new clothes.,"Foram às compras para trocar de pele.
",0,615
285,manual_data,gemma3,prompt4,He is working on his laptop.,Ele está debruçado sobre o teclado.,0,614
592,manual_data,gemini,prompt4,eat your heart out,"Roa-se de inveja.
",1,614
283,manual_data,gemini,prompt4,buy a lemon,"Comprar gato por lebre.
",1,613
346,manual_data,gemma3,prompt4,She played cards with her friends.,Ela passou a tarde se divertindo com as cartas e as amigas.,0,613
391,manual_data,gemma3,prompt4,He is playing soccer with his friends.,Ele está driblando a vida com a turma.,0,612
63,manual_data,gemini,prompt4,He is attending a business meeting.,"Ele está na arena dos negócios.
",0,612
344,manual_data,gemini,prompt4,cut the mustard,"Fazer a diferença.
",1,611
551,manual_data,gemma3,prompt4,burning bridges,Queimar as pontes.,1,609
5,manual_data,gemini,prompt4,She enjoys painting in her free time.,"Ela se entrega à pintura nos intervalos da vida.
",0,609
429,manual_data,gemini,prompt4,face like thunder,"Cara de poucos amigos.
",1,608
679,manual_data,gemma3,prompt4,They enjoyed a picnic in the park.,"Desfrutaram de um banquete ao ar livre, sob o céu.
",0,608
363,manual_data,gemini,prompt4,cat's meow,"O máximo.
",1,607
250,manual_data,gemma3,prompt4,bet the farm,Gastar as fichas.,1,607
0,manual_data,gemma3,prompt4,crack the whip,Apurar o chicote.,1,606
531,manual_data,gemini,prompt4,a far cry,"Claro, vamos lá:

**Far Cry:** Um Grito Distante
",1,605
286,manual_data,gemma3,prompt4,clear as mud,Entregar a pá de mão.,1,605
533,manual_data,gemma3,prompt4,chew the fat,"Bater um papo informal.
",1,604
132,manual_data,gemini,prompt4,blow a fuse,"Pirar a cabeça
",1,604
100,manual_data,gemini,prompt4,He is making a cup of coffee.,"Ele está botando o bule pra chiar.
",0,603
594,manual_data,gemma3,prompt4,They are taking a walk along the beach.,"Eles estão desenhando caminhos na areia.
",0,603
345,manual_data,gemini,prompt4,by the book,"À risca.
",1,602
578,manual_data,gemma3,prompt4,flying off the handle,Pirar a cabeça.,1,602
432,manual_data,gemma3,prompt4,come rain or shine,Em tempo bom ou mau.,1,601
390,manual_data,gemma3,prompt4,They are playing volleyball at the beach.,"Eles estão se divertindo na areia, buscando o ponto.",0,600
417,manual_data,gemini,prompt4,back against the wall,"Encurralado(a)
",1,600
228,manual_data,gemma3,prompt4,She is listening to music while cooking.,"Ela dança com os sabores enquanto a cozinha se rende.
",0,598
322,manual_data,gemma3,prompt4,bending over backwards,Fazer malabarismos.,1,597
412,manual_data,gemini,prompt4,bite the dust,"Ir para o beleléu.
",1,596
666,manual_data,gemma3,prompt4,chip on your shoulder,Uma brasa acesa.,1,595
476,manual_data,gemini,prompt4,They went hiking in the mountains.,"Aventuraram-se pelas entranhas da montanha.
",0,594
332,manual_data,gemini,prompt4,I am playing video games in my room.,"Estou navegando em mundos virtuais no meu refúgio.
",0,593
68,manual_data,gemma3,prompt4,They watched a TV show in the evening.,"Eles se entregaram à tela ao cair da noite.
",0,593
149,manual_data,gemma3,prompt4,bottom of the barrel,"O lixo que sobrou.
",1,592
90,manual_data,gemini,prompt4,in hot water,"Estar em maus lençóis.
",1,592
517,manual_data,gemini,prompt4,cooking up a storm,"Armando um mega-rebuliço.
",1,591
26,manual_data,gemma3,prompt4,blind as a bat,Ir para o beleléu.,1,591
683,manual_data,gemma3,prompt4,He plays soccer every weekend.,"Ele dribla o fim de semana a cada sábado e domingo.
",0,590
449,manual_data,gemma3,prompt4,She cooked dinner for her family.,Ela preparou o ninho para sua família.,0,589
214,manual_data,gemini,prompt4,get cold feet,"Amarelar
",1,589
123,manual_data,gemma3,prompt4,burning the midnight oil,Queimar a olheira.,1,588
527,manual_data,gemini,prompt4,clear as crystal,"Cristalino.
",1,588
582,manual_data,gemma3,prompt4,jump the gun,Antecipar a hora.,1,587
211,manual_data,gemma3,prompt4,close to home,"Perto do coração.
",1,586
339,manual_data,gemma3,prompt4,She is playing piano in the evening.,Ela tece melodias ao cair da noite.,0,585
58,manual_data,gemini,prompt4,He is building a model airplane.,"Ele está arquitetando um voo.
",0,585
519,manual_data,gemma3,prompt4,bend over backwards,Fazer malabarismos para conseguir.,1,584
306,manual_data,gemini,prompt4,She is arranging flowers in a vase.,"Ela está lapidando a beleza.
",0,584
262,manual_data,gemini,prompt4,He is repairing the broken chair.,"Ele está consertando os pedaços da vida.
",0,583
192,manual_data,gemma3,prompt4,a penny for your thoughts,Compartilhe o que está pensando.,1,583
590,manual_data,gemma3,prompt4,carry a torch,Guardar no coração.,1,582
329,manual_data,gemini,prompt4,in the bag,"No papo.
",1,582
235,manual_data,gemini,prompt4,finger on the pulse,"Estar com o dedo na tomada.
",1,581
213,manual_data,gemma3,prompt4,between the devil and the deep blue sea,"Entre o martelo e a bigorna.
",1,581
70,manual_data,gemma3,prompt4,blown out of the water,Afundado sem chance.,1,580
596,manual_data,gemini,prompt4,can't cut the mustard,"Não ter a manha.
",1,580
552,manual_data,gemma3,prompt4,burn a hole in your pocket,Estar sobrando de sobra.,1,579
435,manual_data,gemma3,prompt4,He is drinking tea in the morning.,Ele saboreia a aurora em xícaras.,0,578
622,manual_data,gemini,prompt4,beat around the bush,"Dar voltas.
",1,578
383,manual_data,gemini,prompt4,He made a sandwich for lunch.,"Ele preparou um lanche para o almoço.
",0,577
716,manual_data,gemma3,prompt4,by a long shot,De forma alguma.,1,577
673,manual_data,gemini,prompt4,They are having a barbecue in the garden.,"Estão assando um sol no quintal.
",0,576
506,manual_data,gemma3,prompt4,bend over backward,Fazer fogo com água.,1,576
457,manual_data,gemini,prompt4,beef up,"Engrossar a parada.
",1,575
649,manual_data,gemma3,prompt4,They watched the sunrise at the beach.,"Eles brindaram o amanhecer à beira-mar.
",0,575
369,manual_data,gemini,prompt4,They went to a restaurant for dinner.,"Foram jantar no ninho da cegonha.
",0,574
163,manual_data,gemma3,prompt4,another one bites the dust,Mais um tomou o atalho.,1,574
574,manual_data,gemini,prompt4,He is fixing the car.,"Ele está pondo a mão na graxa.
",0,573
497,manual_data,gemini,prompt4,They went to a concert last night.,"Eles foram regar as plantas ontem à noite.
",0,572
717,manual_data,gemini,prompt4,add insult to injury,"Botar mais lenha na fogueira.
",1,571
2,manual_data,gemma3,prompt4,let the cat out of the bag,"Esparramar a pulga.
",1,570
287,manual_data,gemini,prompt4,different strokes for different folks,"Gosto não se discute.
",1,570
142,manual_data,gemma3,prompt4,between a rock and a hard place,"Entre a cruz e a espada.
",1,569
252,manual_data,gpt,prompt4,flying by the seat of your pants,nas coxas.,1,569
691,manual_data,gemini,prompt4,bend over backwards,"Se esforçar ao máximo.
",1,568
244,manual_data,gemma3,prompt4,He went fishing with his friends.,"Partiu à pesca com a turma.
",0,568
628,manual_data,gemma3,prompt4,climbing the walls,Andar de unhas.,1,567
415,manual_data,gemini,prompt4,backseat driver,"Chico-esperto.
",1,567
159,manual_data,gemma3,prompt4,mind over matter,A força de vontade dobra a realidade.,1,565
398,manual_data,gpt,prompt4,butterflies in my stomach,Nervos à flor da pele.,1,565
162,manual_data,gemini,prompt4,He went to the gym to lift weights.,"Ele foi à academia para inflar os músculos.
",0,564
707,manual_data,gemma3,prompt4,as high as a kite,À deriva.,1,564
313,manual_data,gemma3,prompt4,as stubborn as a mule,Teimoso que só Deus me deu.,1,563
208,manual_data,gemini,prompt4,He called his parents yesterday.,"Ele ligou para a base ontem.
",0,563
319,manual_data,gemini,prompt4,He visited his grandmother in the hospital.,"Ele foi fazer companhia à avó no corredor da esperança.
",0,562
699,manual_data,gemma3,prompt4,They are playing board games in the living room.,"Eles estão desdobrando o mundo sobre a mesa na sala.
",0,562
1,manual_data,gemini,prompt4,blow off steam,"Desabafar
",1,561
433,manual_data,gpt,prompt4,get the ball rolling,dar o pontapé inicial,1,561
546,manual_data,gemma3,prompt4,They are taking pictures in front of the monument.,Estão eternizando o instante à sombra da memória.,0,561
577,manual_data,gemma3,prompt4,They went to the library to borrow books.,"Foram colher saberes na morada do conhecimento.
",0,560
271,manual_data,gpt,prompt4,by the skin of your teeth,por um fio,1,559
236,manual_data,gemma3,prompt4,ball of fire,Força da natureza.,1,559
451,manual_data,gemini,prompt4,hard as nails,"Duro na queda.
",1,558
154,manual_data,gemini,prompt4,blowing off steam,"Desabafar
",1,557
263,manual_data,gemma3,prompt4,She is watching a movie at the theater.,Ela se entrega à tela na penumbra do palco.,0,557
117,manual_data,gemma3,prompt4,going down in flames,Réu de fulgor.,1,556
701,manual_data,gemini,prompt4,She is making a smoothie for breakfast.,"Ela está preparando um raio de sol para o café da manhã.
",0,555
617,manual_data,gemini,prompt4,batten down the hatches,"Apertem os cintos.
",1,554
273,manual_data,gemma3,prompt4,He watched a football match on TV.,"Ele acompanhou um espetáculo de embates em uma tela.
",0,554
642,manual_data,gemini,prompt4,big time,"Em grande estilo
",1,553
190,manual_data,gemma3,prompt4,She is watching the sunset from the balcony.,Ela contempla o crepúsculo do dia a partir do vão da janela.,0,553
84,manual_data,gemini,prompt4,They are visiting a museum this afternoon.,"Eles vão passear nos olhos da tarde por um museu.
",0,551
431,manual_data,gemma3,prompt4,She is wearing a red dress.,"Ela veste um rubi.
",0,551
336,manual_data,gemma3,prompt4,He is going to the post office.,Ele vai levar os anseios à agência.,0,550
183,manual_data,gpt,prompt4,cold feet,pé atrás,1,549
498,manual_data,gemma3,prompt4,cat got your tongue,Perdeu as palavras?,1,549
459,manual_data,gemma3,prompt4,They traveled to the mountains for vacation.,Eles buscaram refúgio nas alturas para recarregar as energias.,0,548
45,manual_data,gemini,prompt4,spill the beans,"Abrir o bico
",1,547
597,manual_data,gemma3,prompt4,come down to earth,"Voltar para a realidade.
",1,546
231,manual_data,gemini,prompt4,chip on your shoulder,"Estar com a pulga atrás da orelha.
",1,546
376,manual_data,gemini,prompt4,bare bones,"Ossatura.
",1,545
113,manual_data,gemma3,prompt4,barking up the wrong tree,Estar no lugar errado.,1,545
715,manual_data,gpt,prompt4,bird's eye view,Visão de conjunto.,1,545
71,manual_data,gemma3,prompt4,He is feeding his pet hamster.,Ele nutre seu pequeno companheiro.,0,544
8,manual_data,gpt,prompt4,dime a dozen,de montão,1,544
16,manual_data,gemini,prompt4,card up your sleeve,"Trunfo na manga.
",1,544
204,manual_data,gemini,prompt4,blown out of proportion,"Inflado/a além da conta.
",1,543
625,manual_data,gemini,prompt4,They are chatting in the living room.,"Estão a soltar a língua na sala.
",0,542
328,manual_data,gemma3,prompt4,He is eating dinner with his family.,Ele está partilhando o pão com os seus.,0,542
684,manual_data,gpt,prompt4,at the drop of a hat,à toa,1,542
688,manual_data,gemini,prompt4,dead in the water,"A definhar.
",1,541
490,manual_data,gpt,prompt4,at the helm,no comando,1,541
176,manual_data,gpt,prompt4,cracking the whip,puxar as rédeas,1,540
254,manual_data,gemini,prompt4,She plays the piano beautifully.,"Ela acaricia o piano com alma.
",0,540
545,manual_data,gemma3,prompt4,break a leg,Arrase!,1,540
48,manual_data,gpt,prompt4,as bold as brass,destemido,1,539
648,manual_data,gpt,prompt4,back against the wall,com a corda no pescoço,1,538
49,manual_data,gpt,prompt4,close to the vest,jogar as cartas na mesa,1,537
487,manual_data,gemma3,prompt4,The train arrived at the station on time.,O trem chegou à estação no ponto marcado.,0,537
354,manual_data,gemini,prompt4,They are attending a concert tonight.,"Eles vão se jogar no som hoje à noite.
",0,537
368,manual_data,gemma3,prompt4,She visited the art gallery on Sunday.,Ela passeou pelo templo das cores no domingo.,0,536
393,manual_data,gpt,prompt4,barking up the wrong tree,Estar no caminho errado.,1,536
522,manual_data,gemma3,prompt4,She enjoys walking in the park.,"Ela encontra prazer em passear na brisa da vida.
",0,535
538,manual_data,gemini,prompt4,He is writing a story for school.,"Ele está tecendo uma história para a escola.
",0,535
78,manual_data,gemini,prompt4,bleeding heart,"Coração mole.
",1,534
365,manual_data,gpt,prompt4,by the skin of your teeth,por um fio,1,533
462,manual_data,gemma3,prompt4,cat got your tongue,"Perdeu as palavras?
",1,533
475,manual_data,gpt,prompt4,bite the bullet,Encarar a situação.,1,532
712,manual_data,gemma3,prompt4,They are taking a family vacation.,Eles estão embarcando em uma pausa da rotina em família.,0,532
173,manual_data,gemma3,prompt4,fingers crossed,Com os dedos cruzados.,1,531
355,manual_data,gpt,prompt4,bite the bullet,Encarar a situação.,1,531
126,manual_data,gemini,prompt4,He is cutting vegetables for dinner.,"Ele está fatiando a noite.
",0,531
203,manual_data,gemini,prompt4,They are making pizza together.,"Estão botando a mão na massa juntos.
",0,530
118,manual_data,gemma3,prompt4,break a leg,"Arrase!
",1,530
570,manual_data,gemma3,prompt4,The car stopped at the red light.,O carro parou no sinal de alerta.,0,529
316,manual_data,gemini,prompt4,He is writing an essay for school.,"Ele está botando as tripas no papel.
",0,528
571,manual_data,gemma3,prompt4,They are sitting around the campfire.,Eles estão reunidos à luz bruxuleante.,0,528
580,manual_data,gemma3,prompt4,bare your soul,"Desvendar a alma.
",1,527
79,manual_data,gemini,prompt4,She is cleaning the kitchen after dinner.,"Ela está lavando a alma da cozinha depois do jantar.
",0,527
92,manual_data,gpt,prompt4,beat a dead horse,bater na mesma tecla,1,526
140,manual_data,gemma3,prompt4,chomping at the bit,Mordendo as cordas.,1,526
450,manual_data,gpt,prompt4,ace in the hole,trunfo na manga,1,525
155,manual_data,gemini,prompt4,face the music,"Arrumar a casa.
",1,525
606,manual_data,gemma3,prompt4,Water boils at 100°C.,A água ferve aos cem graus.,0,524
382,manual_data,gemini,prompt4,She is practicing yoga in the park.,"Ela está se alongando com a natureza.
",0,524
114,manual_data,gemini,prompt4,He enjoyed a cup of coffee in the morning.,"Ele tomou um gole de sol pela manhã.
",0,523
413,manual_data,gemma3,prompt4,falling apart at the seams,"Desfazendo-se aos poucos.
",1,522
181,manual_data,gemini,prompt4,He is cleaning the windows.,"Ele está limpando a barra.
",0,522
405,manual_data,gpt,prompt4,bury the hatchet,fazer as pazes,1,522
195,manual_data,gemini,prompt4,come hell or high water,"A todo custo.
",1,521
657,manual_data,gemini,prompt4,The weather is very cold today.,"O frio hoje corta a carne.
",0,520
675,manual_data,gemma3,prompt4,They are walking through the city streets.,Eles desbravam as artérias da cidade.,0,520
294,manual_data,gemma3,prompt4,The sun rises in the east.,A aurora desponta no oriente.,0,519
635,manual_data,gemma3,prompt4,a piece of cake,Mamão com açúcar.,1,518
153,manual_data,gemma3,prompt4,They watched a movie on the weekend.,"Eles se perderam na tela do fim de semana.
",0,517
279,manual_data,gemini,prompt4,blowing off steam,"Desabafar.
",1,517
17,manual_data,gemini,prompt4,beating around the bush,"Ficar de rodeios.
",1,516
349,manual_data,gemma3,prompt4,caught between a rock and a hard place,"Entre a cruz e a espada.
",1,516
135,manual_data,gemma3,prompt4,any port in a storm,Qualquer porto é um abrigo.,1,515
25,manual_data,gemini,prompt4,easy as pie,"Moleza.
",1,514
352,manual_data,gemma3,prompt4,I called my friend last night.,"Estiquei o fio da noite até o meu amigo.
",0,514
710,manual_data,gemma3,prompt4,He is studying for his exams.,Ele está aprimorando as munições para a batalha.,0,513
305,manual_data,gpt,prompt4,come apart at the seams,desmoronar-se,1,513
473,manual_data,gemma3,prompt4,She is preparing for a job interview.,Ela está afinando a armadura para o embate.,0,512
674,manual_data,gpt,prompt4,jump the gun,correr com os pés pela frente,1,512
87,manual_data,gemini,prompt4,She is talking to her friend on the phone.,"Ela está tecendo confidências ao telefone.
",0,511
510,manual_data,gpt,prompt4,fighting a losing battle,lutar contra moinhos de vento,1,510
158,manual_data,gemini,prompt4,She made a salad for lunch.,"Ela preparou uma salada para o almoço.
",0,510
524,manual_data,gemma3,prompt4,He is looking out the window at the rain.,"Ele fitava a chuva pela janela, perdido em pensamentos.
",0,510
535,manual_data,gpt,prompt4,He is taking a nap on the couch.,Ele está dormindo no sofá.,0,509
484,manual_data,gemini,prompt4,bad egg,"Mau caráter.
",1,509
93,manual_data,gemini,prompt4,blind alley,"Saída sem saída.
",1,508
269,manual_data,gemma3,prompt4,He visited the museum with his class.,Ele guiou a turma pelos corredores da história.,0,507
493,manual_data,gemini,prompt4,hold your horses,"Aguenta a mão.
",1,507
639,manual_data,gemma3,prompt4,eye of the storm,"O epicentro.
",1,506
6,manual_data,gpt,prompt4,bite off more than you can chew,dar um passo maior que a perna,1,504
34,manual_data,gemma3,prompt4,easy as pie,"Moleza.
",1,504
548,manual_data,gemma3,prompt4,below the belt,Na lama abaixo do cinto.,1,503
588,manual_data,gemini,prompt4,hit the nail on the head,"Acertar na mosca.
",1,503
356,manual_data,gpt,prompt4,chase your tail,Correr em círculos.,1,503
399,manual_data,gemma3,prompt4,come up against a brick wall,Bater de frente com um muro.,1,502
187,manual_data,gemini,prompt4,He read a book before bed.,"Ele se afogou em palavras antes de dormir.
",0,502
293,manual_data,gpt,prompt4,crash course,curso intensivo,1,502
525,manual_data,gemini,prompt4,feeling under the weather,"Estar de cama.
",1,501
663,manual_data,gpt,prompt4,She brushed her teeth before bed.,Ela escovou os dentes antes de dormir.,0,501
33,manual_data,gemini,prompt4,get the show on the road,"Botar a mão na massa!
",1,500
409,manual_data,gemma3,prompt4,hit the sack,"Cair na cama.
",1,500
298,manual_data,gpt,prompt4,blood from a stone,extrair sangue de um turno,1,499
237,manual_data,gemini,prompt4,He is making tea in the kitchen.,"Ele está botando a chaleira pra cantar na cozinha.
",0,499
543,manual_data,gemini,prompt4,She is knitting a scarf for winter.,"Ela está tecendo o inverno.
",0,498
347,manual_data,gemma3,prompt4,an old flame,Uma paixão antiga.,1,498
556,manual_data,gemma3,prompt4,They are doing laundry in the basement.,"Eles estão varrendo a sujeira no porão.
",0,497
705,manual_data,gpt,prompt4,down in the dumps,deitado na tristeza,1,497
488,manual_data,gemini,prompt4,She took a nap after lunch.,"Ela deu um tempo para o sono depois do almoço.
",0,497
15,manual_data,gpt,prompt4,beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",1,496
169,manual_data,gemini,prompt4,be in hot water,"Estar em maus lençóis.
",1,496
227,manual_data,gemma3,prompt4,broad strokes,"Beleza.
",1,496
351,manual_data,gemma3,prompt4,drive me up the wall,Enlouquecer de tanta coisa.,1,495
499,manual_data,gemini,prompt4,They are having a discussion in the classroom.,"Estão a trocar ideias na sala de aula.
",0,495
171,manual_data,gemma3,prompt4,comfort zone,Zona de conforto.,1,494
134,manual_data,gpt,prompt4,bend over backwards,dar o máximo de si,1,493
464,manual_data,gemini,prompt4,They are visiting their friends in the city.,"Eles estão de passagem pela cidade dos amigos.
",0,492
256,manual_data,gemma3,prompt4,They are going to the cinema tonight.,Eles vão se perder nas sombras da tela esta noite.,0,492
31,manual_data,gemma3,prompt4,close to my heart,"No âmago do meu ser.
",1,491
647,manual_data,gemini,prompt4,hit the nail on the head,"Acertar em cheio
",1,491
234,manual_data,gpt,prompt4,get a grip,Tenha firmeza.,1,491
