ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
dream becomes a star,O sonho tornou-se uma estrela.,The dream became a star.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
he walks to the park.,ele anda para o parque.,He's coming up to the park.,Não,,,,,,,Não,Não,Não
mind is a gold,"É ouro, a mente","It's gold, the mind",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
eye becomes a flame,Olho que se torna um fogo,♪ Eye that becomes fire ♪,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
heart is a tree,O coração é uma árvore .,The heart is a tree .,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul becomes a shadow,A alma se torna uma sombra,The soul turns into a shadow,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time becomes a mountain,O tempo torna-se uma montanha,Time becomes a mountain.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
she writes the office.,Ela escreve-me no escritório.,She writes to me in the office.,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
wisdom becomes a garden,Uma grande sabedoria e um jardim .,The wisdom of a great sage and a garden .,Sim,2,2,2,Não,Não,Sim,Sim,Não,Não
soul is a shadow,A alma é uma sombra,The soul is a shadow...,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
wisdom has a garden,A sabedoria tem um jardim .,A wise man 's got a garden .,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope is a ice,Esperança é um gelo.,Hope is ice.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit becomes a storm,""" O espírito se transforma em tempestade """,♪ And so the wind blows in the storm,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope has a ice,Esperança tem gelo,Hope has ice,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
eye has a flame,""" O olho tem uma chama",""" The eye has a flame",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence is a thunder,silêncio é um trovão,Silence is thunder,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
passion becomes a light,A paixão se torna luz .,""" Passion becomes light .",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
life is a river,A vida é um rio ...,Life is a river ...,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence has a thunder,O silêncio tem um trovão,Silence has thunder,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
life has a river,A vida tem um rio,Life is a river,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
memory is a ocean,A memória é um mar .,Memory is a sea .,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice becomes a iron,A voz torna-se um ferro.,The voice becomes like an iron.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile has a wind,O sorriso tem uma rajada de vento .,There 's a breath on his smile .,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
heart becomes a tree,O coração torna-se árvore .,the heart becomes a tree .,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory has a ocean,memória tem um oceano,Your memory has an ocean,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
life becomes a river,A vida se torna um rio.,"""Life becomes a river"".",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
my friend drinks the store.,O meu amigo toma o resto.,My friend will have the rest.,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
soul has a shadow,a alma tem uma sombra,a shadow the soul has,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the teacher visits the museum.,O professor visitou o museu.,The professor visited the museum.,Não,,,,,,,Não,Não,Não
the student works in the hospital.,o aluno trabalha no hospital.,That student works at the hospital.,Não,,,,,,,Não,Não,Não
strength is a diamond,A força é um diamante,-Strength is a diamond.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice has a iron,Tem uma voz de ferro,♪ ♪ ♪ ♪ [He's got an iron voice ♪ ♪,Sim,5,5,5,Não,Sim,Não,Não,Não,Não
fear becomes a fire,O medo é o chão .,Fear is floor .,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
spirit has a storm,O espírito tem uma tempestade,I was so eager I had to go away for some days...,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love is a moon,Amor é uma lua.,Love is a moon.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice is a iron,A voz é de ferro.,Her voice is like iron.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
fear has a fire,o medo tem um fogo,Fear has a fire,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
wisdom is a garden,A sabedoria é um jardim.,Wisdom is a garden.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
strength has a diamond,Força tem um diamante,And if you 're strong like a diamond,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear is a fire,o medo é um incêndio.,Fear is fire.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
