ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
love becomes a moon,O amor se torna uma lua.,Love becomes a moon.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the artist works in the library.,O artista trabalha na biblioteca.,The artist works at the library.,Não,,,,,,,Não,Não,Não
the chef writes the restaurant.,"O chef define o restaurante.
",The chef defines the restaurant.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory becomes a ocean,A memória torna-se um oceano.,Memory becomes an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the child drinks the market.,A criança bebe o mercado.,The child drinks the market.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
smile is a wind,Um sorriso é uma brisa.,A smile is a breeze.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage is a sun,A coragem é um sol.,Courage is a sun.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart has a tree,O coração tem uma árvore.,The heart has a tree.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love has a moon,O amor tem uma lua.,Love has a moon.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye is a flame,"O olho é uma chama.
",The eye is a flame.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time is a mountain,O tempo é uma montanha.,Time is a mountain.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage becomes a sun,A coragem torna-se um sol.,Courage becomes a sun.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
dream becomes a star,O sonho se torna uma estrela.,The dream becomes a star.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
he walks to the park.,Ele vai a pé ao parque.,He's walking to the park.,Não,,,,,,,Não,Não,Não
mind is a gold,A mente é um tesouro.,The mind is a treasure.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
eye becomes a flame,O olhar se torna uma chama.,The gaze becomes a flame.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart is a tree,O coração é uma árvore.,The heart is a tree.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul becomes a shadow,A alma se torna uma sombra.,The soul becomes a shadow.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time becomes a mountain,O tempo torna-se uma montanha.,Time becomes a mountain.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
she writes the office.,"Ela escreve ""The Office"".
","She writes ""The Office.""",Sim,1,1,1,Não,Não,Sim,Não,Não,Sim
wisdom becomes a garden,A sabedoria torna-se um jardim.,Wisdom becomes a garden.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul is a shadow,A alma é uma sombra.,The soul is a shadow.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
wisdom has a garden,A sabedoria tem um jardim.,Wisdom has a garden.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope is a ice,A esperança é um gelo.,Hope is a glacier.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit becomes a storm,O espírito se torna uma tempestade.,The spirit becomes a storm.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope has a ice,A esperança tem um gelo.,Hope has an ice.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye has a flame,O olho tem uma chama.,The eye has a flame.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence is a thunder,O silêncio é um trovão.,Silence is a thunder.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
passion becomes a light,A paixão se torna uma luz.,Passion becomes a light.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
life is a river,A vida é um rio.,Life is a river.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence has a thunder,O silêncio tem um trovão.,Silence has a thunder.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
life has a river,"A vida tem um rio.
",Life has a river.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
memory is a ocean,A memória é um oceano.,Memory is an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice becomes a iron,A voz se torna ferro.,The voice becomes iron.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile has a wind,O sorriso tem um vento.,A smile has a wind.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
heart becomes a tree,O coração se torna uma árvore.,The heart becomes a tree.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory has a ocean,A memória tem um oceano.,Memory has an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
life becomes a river,A vida se torna um rio.,Life becomes a river.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
my friend drinks the store.,Meu amigo está esvaziando a loja.,My friend is emptying the store.,Sim,3,3,3,Não,Não,Sim,Não,Não,Não
soul has a shadow,A alma tem uma sombra.,The soul has a shadow.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the teacher visits the museum.,O professor visita o museu.,The teacher visits the museum.,Não,,,,,,,Não,Não,Não
the student works in the hospital.,O estudante trabalha no hospital.,The student works at the hospital.,Não,,,,,,,Não,Não,Não
strength is a diamond,A força é um diamante.,The Force is a diamond.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice has a iron,A voz tem um ferro.,The voice has an iron.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear becomes a fire,O medo se torna fogo.,Fear becomes fire.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit has a storm,"O espírito tem uma tempestade.
",The spirit has a storm.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love is a moon,O amor é uma lua.,Love is a moon.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice is a iron,A voz é de ferro.,The voice is of iron.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
fear has a fire,O medo tem fogo.,Fear has fire.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
wisdom is a garden,A sabedoria é um jardim.,Wisdom is a garden.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
strength has a diamond,A força tem um diamante.,Force has a diamond.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear is a fire,O medo é fogo.,Fear is fire.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
