ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
eye becomes a flame,"O olho se torna uma chama.
","The eye becomes a flame.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart is a tree,"O coração é uma árvore
","The heart is a tree
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul becomes a shadow,"A alma torna-se sombra.
","The soul becomes shadow.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time becomes a mountain,"O tempo se torna uma montanha.
","Time becomes a mountain.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
she writes the office.,"Ela escreve o escritório.
","She writes the office.
",Sim,1,1,1,Não,Não,Sim,Não,Não,Não
wisdom becomes a garden,"A sabedoria torna-se um jardim.
","Wisdom becomes a garden.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul is a shadow,"A alma é uma sombra.
","The soul is a shadow.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
wisdom has a garden,"A sabedoria tem um jardim.
","Wisdom has a garden.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope is a ice,"A esperança é um gelo.
","Hope is an ice.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit becomes a storm,"O espírito se torna uma tempestade.
","The spirit becomes a storm.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope has a ice,"A esperança tem um gelo.
","Hope has an ice.
",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye has a flame,"O olho tem uma chama.
","The eye has a flame.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence is a thunder,"O silêncio é um trovão.
","Silence is a thunder.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
passion becomes a light,"A paixão se torna uma luz.
","Passion becomes a light.
",Sim,4,4,5,Sim,Não,Não,Não,Não,Não
life is a river,"A vida é um rio.
","Life is a river.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence has a thunder,"O silêncio troveja.
","Silence thunders.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
life has a river,"A vida tem um rio.
","Life has a river.
",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
memory is a ocean,"A memória é um oceano.
","Memory is an ocean.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice becomes a iron,"A voz se torna ferro.
","The voice becomes iron.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile has a wind,"Sorriso tem um vento.
","A smile has a wind.
",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
heart becomes a tree,"O coração vira árvore.
","The heart turns tree.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory has a ocean,"A memória tem um oceano.
","Memory has an ocean.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
life becomes a river,"A vida se torna um rio.
","Life becomes a river.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
my friend drinks the store.,"Meu amigo bebe a loja.
","My friend drinks the store.
",Sim,1,1,1,Não,Não,Sim,Não,Não,Não
soul has a shadow,"A alma tem uma sombra.
","The soul has a shadow.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the teacher visits the museum.,"O professor visita o museu.
","The professor visits the museum.
",Não,,,,,,,Não,Não,Não
the student works in the hospital.,"O estudante trabalha no hospital.
","The student works at the hospital.
",Não,,,,,,,Não,Não,Não
strength is a diamond,"Força é um diamante.
","Strength is a diamond.
",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
voice has a iron,"A voz tem um ferro.
","The voice has an iron.
",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear becomes a fire,"O medo vira fogo.
","Fear turns to fire.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit has a storm,"O espírito tem uma tempestade.
","The spirit has a storm.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love is a moon,"Amor é uma lua.
","Love is a moon.
",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
voice is a iron,"A voz é um ferro.
","The voice is iron.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
fear has a fire,"O medo tem uma chama.
","Fear has a flame.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
wisdom is a garden,"Sabedoria é um jardim.
","Wisdom is a garden.
",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
strength has a diamond,"A força tem um diamante.
","The Force has a diamond.
",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear is a fire,"O medo é um fogo.
","Fear is a fire.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
