ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
mind is a gold,a mente é um ouro,the mind is a gold,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
eye becomes a flame,o olho se torna uma chama,the eye becomes a flame,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart is a tree,O coração é uma árvore,The heart is a tree,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul becomes a shadow,a alma se torna uma sombra,the soul becomes a shadow,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time becomes a mountain,o tempo torna-se uma montanha,time becomes a mountain,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
she writes the office.,ela escreve para o escritório.,she writes to the office.,Sim,1,1,1,Não,Não,Não,Sim,Não,Não
wisdom becomes a garden,a sabedoria se torna um jardim,wisdom becomes a garden,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul is a shadow,a alma é uma sombra,the soul is a shadow,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
wisdom has a garden,A sabedoria tem um jardim,Wisdom has a garden,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope is a ice,a esperança é um gelo,hope is an ice,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit becomes a storm,O espírito torna-se uma tempestade,The spirit becomes a storm,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope has a ice,a esperança tem um gelo,hope has an ice,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye has a flame,o olho tem uma chama,the eye has a flame,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence is a thunder,o silêncio é um trovão,silence is a thunder,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
passion becomes a light,a paixão se torna uma luz,the passion becomes a light,Sim,4,4,5,Sim,Não,Não,Não,Não,Não
life is a river,A vida é um rio,Life is a river,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence has a thunder,o silêncio tem um trovão,silence has a thunder,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
life has a river,A vida tem um rio,Life has a river,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
memory is a ocean,a memória é um oceano,memory is an ocean,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice becomes a iron,a voz torna-se um ferro,the voice becomes an iron,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile has a wind,O sorriso tem um vento,The smile has a wind,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
heart becomes a tree,O coração se torna uma árvore,The heart becomes a tree,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory has a ocean,a memória tem um oceano,memory has an ocean,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
life becomes a river,A vida torna-se um rio,Life becomes a river,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
my friend drinks the store.,Meu amigo bebe a loja.,My friend drinks the store.,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
soul has a shadow,A alma tem uma sombra,The soul has a shadow,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the teacher visits the museum.,O professor visita o museu.,The teacher visits the museum.,Não,,,,,,,Não,Não,Não
the student works in the hospital.,O estudante trabalha no hospital.,The student works in the hospital.,Não,,,,,,,Não,Não,Não
strength is a diamond,a força é um diamante,strength is a diamond,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice has a iron,a voz tem um ferro,the voice has an iron,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear becomes a fire,O medo torna-se um fogo,Fear becomes a fire,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit has a storm,O espírito tem uma tempestade,The spirit has a storm,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love is a moon,O amor é uma lua,Love is a moon,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice is a iron,a voz é um ferro,the voice is an iron,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
fear has a fire,O medo tem um fogo,Fear has a fire,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
wisdom is a garden,A sabedoria é um jardim,Wisdom is a garden,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
strength has a diamond,a força tem um diamante,the strength has a diamond,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear is a fire,O medo é um fogo,Fear is a fire,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
