ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
wisdom has a garden,A sabedoria tem um jardim.,Wisdom has a garden.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope is a ice,Esperança é uma lágrima congelada.,"""Hope is a frozen tear.""",Sim,3,2,2,Não,Não,Sim,Sim,Não,Não
spirit becomes a storm,O espírito se torna uma tempestade.,The spirit becomes a storm.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope has a ice,A esperança tem um gelo.,Hope has ice.,Sim,2,2,2,Não,Não,Não,Não,Não,Não
eye has a flame,O olhar tem uma chama.,The gaze has a flame.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence is a thunder,O silêncio é um trovão.,Silence is a thunder.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
passion becomes a light,A paixão torna-se luz.,Passion becomes light.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
life is a river,A vida é um rio.,Life is a river.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence has a thunder,O silêncio é um trovão.,"""Silence is a thunder.""",Sim,5,5,5,Não,Sim,Não,Não,Não,Não
life has a river,A vida tem um rio.,Life has a river.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
memory is a ocean,A memória é um oceano.,Memory is an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice becomes a iron,A voz se torna de ferro.,The voice becomes iron.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile has a wind,"""O sorriso tem vento""","""A smile has a breeze.""",Sim,2,2,2,Não,Não,Não,Não,Não,Não
heart becomes a tree,O coração se torna uma árvore.,The heart becomes a tree.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory has a ocean,A memória tem um oceano.,Memory has an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
life becomes a river,Vida se torna um rio.,Life becomes a river.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
my friend drinks the store.,Meu amigo bebe a loja.,My friend drinks the shop.,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
soul has a shadow,"""A alma tem uma sombra""","""The soul has a shadow.""",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the teacher visits the museum.,O professor visita o museu.,The teacher visits the museum.,Não,,,,,,,Não,Não,Não
the student works in the hospital.,O aluno trabalha no hospital.,The student works at the hospital.,Não,,,,,,,Não,Não,Não
strength is a diamond,A força é um diamante.,"""Strength is a diamond.""",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice has a iron,A voz tem um ferro.,"""His voice has iron.""",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear becomes a fire,O medo se torna fogo.,"""Fear turns to fire.""",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit has a storm,O espírito tem uma tempestade.,The spirit has a storm.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love is a moon,O amor é um mês luar,Love is a lunar month.,Sim,1,1,1,Não,Não,Não,Sim,Não,Não
voice is a iron,"""A voz é uma ferro""","""The voice is iron""",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
fear has a fire,O medo tem um fogo.,"""Fear has a fire.""",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
wisdom is a garden,A sabedoria é um jardim.,Wisdom is a garden.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
strength has a diamond,"""Tempestade tem um diamante.""","""A storm has a diamond.""",Sim,1,1,1,Não,Não,Não,Sim,Não,Não
fear is a fire,O medo é uma chama.,Fear is a flame.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
