ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Uso inconsistente,Tradução incorreta,Erro na fonte,Não tradução
life becomes a river,A vida se torna um rio.,Life becomes a river.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
my friend drinks the store.,Meu amigo bebe a loja.,My friend drinks the store.,Sim,1,1,1,Não,Não,Sim,,Não,Não,Não
soul has a shadow,A alma tem uma sombra.,The soul has a shadow.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
the teacher visits the museum.,O professor visita o museu.,The teacher visits the museum.,Não,,,,,,,,Não,Não,Não
the student works in the hospital.,O estudante trabalha no hospital.,The student works at the hospital.,Não,,,,,,,,Não,Não,Não
strength is a diamond,A força é um diamante.,"""The strength is a diamond.""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
voice has a iron,A voz tem ferro.,The voice has iron.,Sim,4,4,4,Não,Sim,Não,,Não,Não,Não
fear becomes a fire,o medo se torna um fogo,fear becomes a fire,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
spirit has a storm,o espírito tem uma tempestade,the spirit has a storm,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
love is a moon,o amor é uma lua,Love is a moon.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
voice is a iron,A voz é um ferro.,The voice is an iron.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
fear has a fire,o medo tem um fogo,Fear has a fire.,Sim,4,4,4,Sim,Não,Não,,Não,Não,Não
wisdom is a garden,A sabedoria é um jardim.,Wisdom is a garden.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
strength has a diamond,a força tem um diamante,The force has a diamond.,Sim,4,4,4,Não,Sim,Não,,Não,Não,Não
fear is a fire,o medo é um fogo,Fear is a fire.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
