frase,ranking_total,quartil
Judge in Arpaio Case Wants to Hear Arguments Before Vacating Former Sheriff’s Conviction,71044,Q3
"Veterans, Americans Don’t Believe US Foreign Policy Makes US Safer",71142,Q3
Why I LOVE Cryptocurrency Crashes: How To Capitalize on Cryptocurrency Pullbacks,71285,Q3
Man has an eel trapped in his body after 'sticking it into his rectum',72004,Q3
"Defends Fox News in fact-free tweetstorm, rips CNN for pushing fake news",72805,Q4_pior
WYFP? I Wish I Had Something New to Tell You,74164,Q4_pior
The Honest Trailer For “Wonder Woman” Will Remind You Why Its The Best Comic Film In Years,74362,Q4_pior
Raiders Safety Keith McGill to Need Surgery After Fracturing Foot on Saturday,74460,Q4_pior
BUSTED: Leaked transcript shows Trump begged Mexican prez to stop saying he’d never pay for the wall,74515,Q4_pior
ANOTHER Las Vegas Shooting Survivor Found Dead After Hit-And-Run Accident,74706,Q4_pior
"Trump disillusioned with Congress, 'regrets' making Obamacare repeal his first effort",76613,Q4_pior
"Mueller Claims Incriminating ‘Text Messages’ Gone, Trump Finds ‘Evidence’ in Oval Office",77941,Q4_pior
Cartoon: Donald Trump sweeps the Fake News Awards nominations,79147,Q4_pior
Boycott The Government? Ann Arbor City Council Members Take A Knee During Pledge,79535,Q4_pior
CCW Weekend: Why You Could Shoot A Car Jacker But Not A Car Thief,79916,Q4_pior
"Bob Corker voted no on the tax scam once, but now he's a yes, because yay corporate tax cuts",79967,Q4_pior
Spotlight on green news & views: Hurricane Irma spins northward; Big Oil beats CA on drilling,80770,Q4_pior
"Raid on Paul Manafort's house involved no-knock warrant, expectations of evidence being destroyed",80823,Q4_pior
Obama rips the 'fundamental meanness' of the GOP's healthcare repeal bill,83159,Q4_pior
Judge Not Inclined to Reinstate Trump Sanctuary Cities Order,83188,Q4_pior
Woman Ordered to Take Down Pro-Trump Signs Would Rather Go to Jail Than Remove Them,83903,Q4_pior
Not quite woke: AP deletes tweet after misgendering newly elected transgender council member,86670,Q4_pior
Hawaii gov sheepishly explains why he didn’t retract the fake missile alert sooner,87815,Q4_pior
Leaker Reality Winner Smuggled Classified NSA Report in Her Pantyhose,88732,Q4_pior
WNBA team Seattle Storm raising money for baby butchers Planned Parenthood,91826,Q4_pior
"Bless her HEART! Chelsea Clinton confuses health insurance with health care, gets SCHOOLED",96840,Q4_pior
House Bill Will Make Churches Dark Money Super PACs,97084,Q4_pior
Trump's Ex-Campaign Chief Manafort Faces Obama Appointee on Bench,97729,Q4_pior
Unclean? Muslim Prof ID’ed As Woman Who Demanded Dogs Be Removed From Plane,102679,Q4_pior
