frase,score
"With Election Near, Mayor de Blasio Loves a Town Hall",8422
Illegal Immigrant Beheaded Mother And Gives SICK Excuse When Asked Why [WATCH],8417
PressTV-Erdogan to Saudi crown prince: You don’t own Islam,8413
President of Judicial Watch Says What Everybody is Thinking: “I Don’t Trust the FBI”,8408
Katy Perry just traded her Pixie for a Blonde Bob,8405
Rupi Kaur Is Kicking Down the Doors of Publishing,8395
Russians take the plunge in -38C at EXTREME swimming club,8394
Man has an eel trapped in his body after 'sticking it into his rectum',8394
CDC Recommends IV Dilaudid to Treat Foot Pain Caused by Stepping on a Stray Lego Piece,8383
Photogallery - Rain Brown of 'Alaskan Bush People' defends herself against haters,8378
Maxine Waters’s campaign committee wrote off $$10K spent on Hamilton tickets as fundraiser expense,8374
"Pittsburgh Steelers dropped the ball, lost to New England Patriots",8373
Michigan Teacher Exacts Revenge On Student By Sharing Their Browser History,8373
Name Me One Way ETs Have Saved This Planet – Part 1/2,8370
"For Older Gays Who Might Re-enter the Closet, a Ball Invites Them Out",8369
Oracle chairman guarantees his firm’s latest database warehousing system will beat Amazon in performance and for half the price,8363
"Australia: Devout Muslim butchered wife, mutilated her body, gouged her eye out",8361
Iran celebrates anniversary of US embassy takeover by showing off ICBM,8351
Pope Francis Criticizes Fake News Yet The MSM Is More Guilty Than Anyone,8345
FBI Releases Docs On Sandy Hook Showing Feds Visited Shooter BEFORE Massacre,8345
Judge in Arpaio Case Wants to Hear Arguments Before Vacating Former Sheriff’s Conviction,8338
Bill de Blasio Says He Regrets Promising List of Donors,8329
Photogallery - Apple to pursue ‘Augmented Reality' while earnings continue to increase,8326
Sloppy U.S. Spies Misused a Covert Network for Personal Shopping — and Other Stories from Internal NSA Documents,8324
"Mountain Goats on Your Trail? They Like You, and Your Urine",8323
Josh Duggar left kids with family ahead of his new baby,8317
Baltimore Police Now Blocking FBI From Investigating Murder of Cop Set To Testify Against Fellow Cops,8305
Russian trolls' Facebook promotions could have reached 70 million users,8301
Advertisers fleeing Sean Hannity’s show over defense of accused sexual predator Roy Moore,8277
How the Obama Administration Bypassed Congress to Grant De Facto Amnesty to Young Illegals,8273
Scaramucci has been praising Joe Paterno from White House to hype tribute movie he’s producing,8270
Brandon Reilly deserves a shot as a Buffalo Bills starter,8264
"Anthony Scaramucci Denies His Tweet Targeted Reince Priebus for FBI Investigation, Has Simple Explanation",8263
U.N. Secretary-General António Guterres Indicates There Is Nothing Wrong with ‘America First’,8254
Obama Admin Ignored Proper Procedure In Vetting Illegal Immigrants Ties To Terrorism,8243
Watchdog: U.S. Wasted Up to $62 Million on Afghan Border Security,8242
"Andrei AKULOV. Russia, US Officials Revive Dialogue on Arms Control: Offering Glimmer of Hope. Strategic Culture Foundation. Оn-line journal",8225
"California Needs a “Spec” Water Market, Not Contrived Markets",8209
Canadian Doctor Finds Limited Evidence That The ‘Man Flu’ Is The Real Deal,8206
‘The Runaways’ actress reveals one important change in the show,8202
Baltimore Police Now Blocking FBI from Investigating Murder of Cop Set to Testify Against Fellow Cops,8190
"Marina Ratner, Émigré Mathematician Who Found Midlife Acclaim, Dies at 78",8188
BUSTED: Vermont white nationalist loses job at pizza chain after being spotted in Charlottesville,8175
VPNs pulled out by Apple in China and Russia signs banning of VPNs,8173
Toymaker VTech Settles Charges of Violating Child Privacy Law,8154
Attorneys allege Motel 6 is siccing ICE on undocumented immigrant guests,8136
"Do We Need the ICO Regulation, and How to Tell Promising Projects From Hopeless and Fraudulent Ones",8135
Texas Clinics Offer ‘No-Cost Abortions’ for Victims of Hurricane Harvey,8128
James Cameron Sparks Outrage for Saying ‘Wonder Woman’ a ‘Step Backwards’ for Female Characters,8107
"Trump supporter Peter Thiel gave $$300,000 to AG investigating Google",8091
Germany could have deported Hamburg supermarket jihad murderer in 2015,8072
Bannon appeals to US Jewish community to join war on GOP establishment,8065
This Deal On Knives Includes 81 Percent Off A #1 Bestseller,8064
Case of Missing Lebanese Prime Minister Stirs Middle East Tensions,8063
EMP Bias Puts US at Risk as North Korea Threat Grows,8026
Florida sets its next death row execution in August,8012
"Egypt: Christians pelted with rocks, four churches closed as government treats prayer “as a crime”",8010
Another royal engagement is trending as Princess Eugenie plans a fall wedding,7996
Young Turks’ Cenk Uygur claims Christianity to blame for Holocaust,7987
CBS shocked to find black Trump voters still behind the president 100%,7982
"Judge rules to remove WWI cross memorial, because it symbolizes Christianity.",7975
"Audi Engineer Implicates Superiors in Diesel Case, Lawyer Says",7972
The Shannara Chronicles' to finish off season 2 with back to back episodes,7959
Jets Move Safety Ronald Martin to the Colts for Long Snapper Thomas Hennessy,7956
HHS Creates Exemption for Companies Opposed to Providing Birth Control on Religious Grounds,7955
ECB Spawned Mass Culture of Financial Dependency that’s Now Very Hard to Undo,7942
Makeup artist demands apology from Ben Affleck for allegedly grabbing her bottom,7941
Migrants from the U.S. make a beeline for Canada,7939
Interview: Man Who Stopped Texas Shooting Is Being Harassed by the Mainstream Media (Video),7933
Rick and Morty' just killed off a fan favorite,7932
"In open letter, Team Hillary accuses Donna Brazile of buying into ‘Russian-fueled propaganda’",7919
It’s complicated: Dems who took money from Harvey Weinstein mostly staying quiet for now,7919
Israel Hiding Its F-35 Warplane Hit By Syrian S-200 Missile?,7918
Megyn Kelly cracks 'joke' asking 'Will & Grace' fan if watching show made him choose to be gay,7909
"‘Friday the 13th: The Game’ dev previews secret game mode, Spring Break DLC",7904
"FBI OPENLY Working Against Trump: Pro-Clinton FBI Agents Conducted The Michael Flynn Interview, Cornered Him In The White House Under False Pretenses",7898
Fox News's Sean Hannity is threatening to sue the former Obama administration bigtime,7893
"Senate Budget Sells Out Our Environment, Health, and the Treasured Arctic National Wildlife Refuge",7888
Possible Congressional Candidate Shailene Woodley: Police Searched My Butt for Drugs During Dakota Pipeline Arrest,7885
