frase,score
U.S. Bombers Carry Out Exercise in South Korea in Show of Force to North,9526
The US Has a Niger by the Tail? Why Are American Soldiers Dying in Africa?,9525
"Venezuela Announces the “Petro” Digital Currency Backed by Gold, Oil and Diamonds",9523
"John Lear 24 July 17 Latest, on 911, Fake Moon Landing ’69, Roswell Plus John Lear Revisited [3 Part Videos]",9509
Trump-Worshiping Pastor Comes Against ‘Demonic Spirits’ Attacking White House (AUDIO),9507
Dakota Pipeline Developer Sues Enviros For Using Misinformation Against Pipeline,9473
"RNC asks Democrats 'Where's your plan?' for health care, gets owned in response",9455
"Fox News host calls out Trump, GOP over phony 'secret society' FBI conspiracy",9428
Donna Brazile Tells Her Critics Where They Can Go,9421
BUSTED: Leaked transcript shows Trump begged Mexican prez to stop saying he’d never pay for the wall,9417
WND » California adopts ‘bordello’ plan for long-term care centers » Print,9405
"Myanmar Military Report Blames ARSA for Rohingya Crisis, Acquitting Itself",9381
Calls to start Nathan Peterman grow even louder in Buffalo,9376
MSNBC’s Katy Tur Lashes Out At Male Viewer Who Noticed Her Cleavage,9364
FBI Releases Docs On Sandy Hook Showing Feds Visited Shooter BEFORE Massacre,9358
"One Good Guy with Gun vs 22 Unarmed Citizens stopping mass shootings, and violent crimes increased.",9349
This Deal On Knives Includes 81 Percent Off A #1 Bestseller,9347
"WATCH: ‘Cowards’ Remove Confederate Statues, Says Black Fmr. Dallas Councilwoman",9345
Cleveland Cavaliers will most likely waive their big man,9310
World Medalist Rower Jack Carlson Just Launched a Menswear Brand,9309
Reunion in New England: Patriots claim former tight end Martellus Bennett,9307
‘Thought-police scientists shutting down factual climate change debate’ – Ex-Aussie PM,9306
Virginia woman was fired from her job after she was photographed flipping off Trump's motorcade,9305
Aroma Chemicals Market expected to reach US$6.57 bn by the end of 2024,9305
Sen. Ted Cruz Opposes the Graham-Cassidy Obamacare Repeal Bill,9303
Bloomberg-Funded Everytown Gives $$1 Million to Gun Control Candidates in Virginia,9300
There Are So Many Elk In One Colorado County They Can Legally Be Hunted,9276
"Do We Need the ICO Regulation, and How to Tell Promising Projects From Hopeless and Fraudulent Ones",9272
Ex-intelligence czar warns it’s ‘pretty safe bet’ Kushner’s private email has been compromised by foreign spies,9266
Photogallery - Apple to pursue ‘Augmented Reality' while earnings continue to increase,9223
He’d know? Eric Holder urges voters to turn out because ‘voting machines get lost’,9194
"Let Them Eat (Yellow) Cake, Where the Uranium Comes From",9189
MINDBLOWING! THE 12-MONTH LIST OF ATTACKS AGAINST CONSERVATIVES SINCE TRUMP NOMINATION IN 2016,9179
Pursuit Channel Joins Push For SCI’s 2018 Annual Hunters’ Convention,9168
"THE REAL RINO's AREN'T CONSERVATIVES AT ALL, NEITHER ARE THEIR VOTERS, THEY JUST USE THE BRAND.",9147
NHS England Chief Doctor Wants Roll-Out of Genomic Medicine Within 5 Years,9126
"Trump disillusioned with Congress, 'regrets' making Obamacare repeal his first effort",9116
Peter Strzok's Wife and Government Attorney Wipes Her Facebook Page of All Evidence of Hillary Cheerleading,9096
It is Bogus: FBI Says it Can’t Substantiate Trump-Russia “Collusion” Allegations in Discredited “Dossier”,9086
Father Uses .44 Magnum to Shoot Grizzly Bear off Son,9083
Stanford Geologist Seriously Investigates Fictional Natural Disaster From Game Of Thrones,9082
Erin Heatherton Is Struggling to Leave This West Village Abode,9058
Huckabee Sanders fakes endorsement of Trump's 'destroy' North Korea policy—from Barack Obama,9057
"At Competitive Stuyvesant, Alumni Are Waging a Bitter Contest",9046
Patriots to sit four players versus Raiders; Tom Brady says sorry to wife,9042
"Redskins place Dustin Hopkins on IR, work out 20 players, sign new kicker",9040
Doctors Found Parasites They’d Never Seen Before Inside The North Korean Soldier Who Bolted At The DMZ,9025
‘Are you insane?’: Seth Meyers torches our ‘neediest and most insecure president’ Trump,9023
New Audio Book: The American Mercury on Leo Frank – Frank Takes the Stand,9009
Proof GMOs Cannot Be Contained — GM Mosquitoes Mating With Wild Mosquitoes And Spreading GM Traits,8996
John Mayer Backs Up Justin Bieber Over Canceled ‘Purpose’ World Tour,8972
The Shannara Chronicles' to finish off season 2 with back to back episodes,8970
MSNBC twists Las Vegas shooting to advocate for national gun registry – TheBlaze,8968
WATCH: Prank call targeting Joel Osteen’s prayer hotline quickly descends into hilarious absurdity,8967
Julia Barretto Might Have Showed Off the OPPO F5 Plus,8951
"Pittsburgh Steelers dropped the ball, lost to New England Patriots",8951
FBI Interviewed NYC Terrorist About His Ties to Terrorism Before the Attack,8949
"For Older Gays Who Might Re-enter the Closet, a Ball Invites Them Out",8947
"BREAKING! SINGER KAYA JONES: PUSSYCAT DOLLS WAS A PROSTITUTION RING, DRUGGED & MENTALLY BROKE US UNTIL ONE MEMBER COMMITTED SUICIDE",8915
Trump administration lied when it said DHS had vetted their bogus and racist terror report,8911
America is desperately failing Puerto Rico in the wake of Hurricane Maria,8911
Out for votes: Battle over rights inspires more US transgender candidates,8889
"Bob Corker voted no on the tax scam once, but now he's a yes, because yay corporate tax cuts",8865
Scaramucci Memo Leaked: Shows 'Communication Plan' For WH Staff Before His Firing,8832
"The Pentagon Drops the SPLC, Other Agencies Must, Too",8830
Advertisers fleeing Sean Hannity’s show over defense of accused sexual predator Roy Moore,8817
Iraqi victory in Mosul feared to bring on ISIS’ ‘Phase 3’,8810
Photogallery - 'Disco Demolition Night’ 38 years later: Steve Dahl changes disco forever,8805
Woman Ordered to Take Down Pro-Trump Signs Would Rather Go to Jail Than Remove Them,8791
Project Veritas Drops Another Video Bomb Of CNN Producer Mocking Chris Cuomo [VIDEO],8777
Japan and Utility Are Found Negligent Again in Fukushima Meltdowns,8768
Al Franken: So Dumb Even the Hard Left Corrects Him,8762
Halliburton shares up premarket after market beating fourth quarter,8753
"Joy Reid shreds Trump’s ‘racist, fear-mongering’ ad claiming Democrats will be ‘complicit in murders’",8749
"Irma shifts west, expected to cross the Keys, strike near Cape Coral; Tampa in sights",8740
St. Louis couple wins $32.4 million over illegal Bible-thumping robocalls voiced by Mike Huckabee,8738
Niger President Wants 600 Billion Per Year from Europe Or Else,8721
Ex-IT Aide for Debbie Wasserman Schultz Allegedly Abused Three Muslim Women,8720
Fox News retracts Trump-loving 'Navy SEAL' story after he was exposed as a stolen valor fraud,8715
American Sprinter Tori Bowie Wins a Surprise Gold at the Worlds,8697
U.K. Anti-Terror Censorship Law Stupidly Used Against Guy Who Fights Terrorism,8696
Josh Duggar left kids with family ahead of his new baby,8671
Scaramucci has been praising Joe Paterno from White House to hype tribute movie he’s producing,8671
Good Girls' gone bad: NBC drops first trailer for Mae Whitman-led dramedy,8622
Part 5: America’s Immigration-Driven Population Predicament—oil created a 100 year window that’s closing,8612
They’re afraid of us': Immigrants aren't reporting domestic abuse to police,8605
"Photogallery - Pittsburgh Steelers dropped the ball, lost to New England Patriots",8601
"For $350 in Rent, a Tenant Becomes a Landlord’s Helper",8594
"Photogallery - 'My 600-lb Life' Nikki Webster rocks jeans, wedding dress after huge weight loss",8568
U.S. Doubled Fuel Support for Saudi Bombing Campaign in Yemen After Deadly Strike on Funeral,8550
Actor Tyler Cornell Files Police Report Accusing Former Top Talent Agent of Sodomy,8543
Megyn Kelly cracks 'joke' asking 'Will & Grace' fan if watching show made him choose to be gay,8536
Not quite woke: AP deletes tweet after misgendering newly elected transgender council member,8529
Russians take the plunge in -38C at EXTREME swimming club,8522
David Letterman Earns Mark Twain Prize for Late-Night High Jinks,8518
"Andrei AKULOV. Russia, US Officials Revive Dialogue on Arms Control: Offering Glimmer of Hope. Strategic Culture Foundation. Оn-line journal",8512
HELLISH FLASHBACK: European royals are killing naked children for fun at human hunting parties?,8495
US Picks Up Iranian Chess Master Banned for Not Wearing Hijab,8486
Lettuce entertain you: Scantily clad models descend on Cuba to promote PETA agenda,8482
"American Legion, VFW Decide to Play Nice With Goodell; Don’t Support Boycott of NFL",8475
Los Angeles Libertarians Plan a Large Presence at Third Annual Politicon,8456
Dutch have done it again with NRA spoof video,8440
Sean Spicer trolled for tweet ripping WaPo for ignoring Weinstein scandal,8414
Michigan Teacher Exacts Revenge On Student By Sharing Their Browser History,8406
Canada takes in LGBT Russians fleeing ‘gay purge’ in Chechnya,8397
Huffington Post Misrepresents Islam To Give ISIS A Pass,8396
Trump's sham election commission preps to embrace faulty explanation for Trump's New Hampshire loss,8393
Illegal Immigrant Beheaded Mother And Gives SICK Excuse When Asked Why [WATCH],8392
Sorority Sisters Face Probe for Singing Kanye West Song Containing Word Forbidden to Whites,8389
Republicans are realizing they have to actually do policy work to make stuff happen,8371
How a Radical Left-Wing Historian Birthed the Anti-Columbus Crusade,8334
Oracle chairman guarantees his firm’s latest database warehousing system will beat Amazon in performance and for half the price,8334
"Mueller Claims Incriminating ‘Text Messages’ Gone, Trump Finds ‘Evidence’ in Oval Office",8333
Video captures Kids brush with death as a lightning bolt struck just feet away,8325
Trump’s 2020 Census May Cost California Congressional Seat by Counting Citizens,8310
PICS: Military Provides Relief to British Territories Struck by Hurricane Irma,8305
White supremacist finally served for ‘terror campaign’ targeting Jewish woman — after five months in hiding,8297
CoCo Vandeweghe Leads the U.S. Team in the Fed Cup Final,8292
General Hospital' bombshell-Patient 6 will be declared Jason on November 30,8290
Former Commander Warns US Could Lose War Against NKorea,8288
"Review: In Season 2, ‘The Good Place’ Blows Itself Up, Hilariously",8280
John Lewis blasts Trump’s ‘election fraud’ commission as a form of voter intimidation and harassment,8273
Shady data mining firm sought Clinton dirt from WikiLeaks right after getting hired by Trump,8245
Fobus Holster Announces Launch of its Summer Carry Giveaway,8244
"Stranded on Norwegian Island, Rowers End Their Arctic Mission",8238
Katy Perry just traded her Pixie for a Blonde Bob,8234
Canadian Doctor Finds Limited Evidence That The ‘Man Flu’ Is The Real Deal,8230
Blog: Sympathy for terrorists: State Department touts Palestinian charade,8208
PressTV-S Korea links detected xenon to North’s nuclear test,8203
Leader Who Rebuilt Time Warner Empire Prepares an Exit,8175
James Cameron Sparks Outrage for Saying ‘Wonder Woman’ a ‘Step Backwards’ for Female Characters,8175
"California Needs a “Spec” Water Market, Not Contrived Markets",8158
Watch As Sheriff Clarke Drops A 6 Word BOMBSHELL Live On Fox News…. EPIC,8158
Anybody want to help NY Times answer this Q about Bowe Bergdahl’s ‘legal fortunes’?,8152
DreamHost Ordered to Release Some Trump Protest Website Data to U.S.,8150
Security Incident Management Market to Witness a Pronounce Growth During 2017 – 2025,8135
Congress Must Audit PREPA as Hurricane Fallout in Puerto Rico Continues,8135
IDF Intel Chief After Syria Strike: Israel Fighting Enemies ‘Near and Far’,8132
VPNs pulled out by Apple in China and Russia signs banning of VPNs,8125
"Anti-depressants taken by millions linked to 28 murders in the UK in the past three decades, reveals shocking investigation – Infinite Unknown",8124
Why I am running progressive in the reddest congressional district in New York State,8110
American Peace Activist Is Denied Entry to South Korea,8103
Photogallery - Channing Frye shares his amazement over Derrick Rose,8086
New York City Ballet Reclaims Lincoln Center to Start the Season,8081
Google Executive Creates Biblical “Image Of The Beast” End Times Are Here,8075
WWE 'Raw' Rumors: Roman Reigns vs. The Miz sets up The Shield for 'TLC' PPV?,8072
"35 years ago today, The Young Ones made their debut on the BBC",8064
Saudi woman conveniently dies in crash ‘while learning to drive’ before the country lifts its ban on female drivers,8063
11-Year-Old Boy Holds Bb Gun To An Employee’s Head,8060
President Trump Leads American Family Taxes and Business Discussion…,8050
Kushner Family Business Court Ordered to Give Up Names of Business Partners,8046
"Marina Ratner, Émigré Mathematician Who Found Midlife Acclaim, Dies at 78",8046
"Beast Computer System Controls The World, Described By Fritz Springmeier",8026
Jimmy Fallon Picked Up a Stranger in the Middle of Storm,8015
Pope Francis Criticizes Fake News Yet The MSM Is More Guilty Than Anyone,8006
Rep. Moylan Revives His Campaign Against Law-Abiding Firearm Owners,8002
"With Styrka Dollars, Dealer Employees Save Big Bucks on Optics",7998
Police Found Hundreds Of Shell Casings At Scene Of Texas Shooting,7993
Cartier Hosted a Lavish Takeover of Governors Island With Caviar and Diamonds,7979
"Corporate Media Proves Loyalty to Abusers, Belittles Corey Feldman After He’s Vindicated (Video)",7978
Democrats set to question Jeff Sessions on another ‘clarification’ around meetings with Russians,7960
President Trump rescinds DACA mostly on false pretenses that are obvious,7955
As Russia Warns ‘World Faces War Worse Than Any Other In Human History’,7948
"Riders Outside Manhattan Can Now Hail Accessible Taxis, Too",7927
"In open letter, Team Hillary accuses Donna Brazile of buying into ‘Russian-fueled propaganda’",7920
"Judge rules to remove WWI cross memorial, because it symbolizes Christianity.",7915
CBS shocked to find black Trump voters still behind the president 100%,7913
"Mountain Goats on Your Trail? They Like You, and Your Urine",7872
The Warriors sign Nick Young while Dion Waiters stays in Miami,7869
Green Energy Coalition Compares Solar Tariff Supporters To Obama’s Solyndra,7867
Petrol bomb is found in Paris belonging to cement firm that is involved in constructing Trump’s Mexican wall,7861
"Jailed Brit, 78, could go free if US released key evidence",7845
‘Wonderstruck’ Director Todd Haynes Refuses to Dumb Down Stories for Kids,7837
Microchips Now in Your Medicine – FDA Approves Tracking Pills & New Brain Implants Increase Memory,7801
A Lambo For Under 10 Bitcoin: You Can Now Buy Supercars For Cryptos,7789
"Harvey update: Media analyzes its own analysis of Melania Trump’s shoes, finds it not sexist",7787
"Pelicans worked out Josh Smith, Martell Webster and Chase Budinger",7782
BUSTED: Vermont white nationalist loses job at pizza chain after being spotted in Charlottesville,7780
How Jeff Sessions is Stopping the EPA's Slush Fund,7776
Jordan Peele Continues Social Thriller Focus With Nazi Hunter TV Series,7775
Why Everyone is Wearing Black at the Golden Globes,7770
"JFK File: FBI Monitored Martin Luther King’s ‘Abnormal’ Sex Life of Orgies, Hookers and Joan Baez",7770
The Grande Dame of Documentary Is Leaving Her Home at HBO,7768
Canada: Urbanite Finds Success Growing Organic Choy for Vancouver Market,7759
"Trump Administration Defends Cuba Embargo at U.N., Reversing Obama",7758
Ron Paul Warns America’s “on the Verge of Something Like 1989’s Soviet System Collapse”,7754
CyberBerkut publishes email of Democrat plot to blame Russia for hacking 2016 election,7746
"Veterans, Americans Don’t Believe US Foreign Policy Makes US Safer",7739
Flood of Republican retirements continues even after supposed GOP tax win,7738
Five things restaurant servers wish they could tell you,7723
Green Bay Packers put Aaron Rodgers on IR again,7721
Sexual assaulter Trump privately doubted the accusers of sexual predator Moore,7713
No more talk': Advocates call on Dianne Feinstein to withhold spending vote and protect Dreamers,7701
Whistleblower: FBI Informant Says ‘Secret Society’ Held Secret Meetings Off Site,7699
Families of Captive French Islamic State Jihadis Sue to Bring them Back to Europe,7693
The Protest Art of Cuba Finds an Unlikely Champion,7691
Dem Senators Decline To Condemn Women’s March For Supporting Terrorist,7691
Another 'Teen Mom OG' star takes aim at the show's 'fake' storylines,7689
Photogallery - LeBron James drops 57 points as Cavs defeat Wizards,7683
Letter Written By 'Possessed' Nun 340 Years Ago Is Decoded Using Deep Web Software,7674
XS Sights illuminates the night with F8 Night Sights,7672
We Accept The Reality With Which We Are Presented,7667
"In debate over free speech, Linda Sarsour angered that ‘privileged white woman’ allowed to give an opinion",7662
Eddie Judge joking around with Tamra Judge's daughter shows dedication,7658
Blue States Practice the Family Values Red States Preach,7624
Who Did Saudi Arabia Detain Last Night in Anti-Corruption Move?,7621
U.K. Lawmakers Ask Facebook About Russian Influence in Brexit Vote,7617
"With a Monday Vote Expected, Democrats Press to Release Their Own Memo",7616
New York Times Asks Fox for Apology After ‘Inaccurate Segment’,7609
"For some victims, reporting a rape can bring doubt, abuse — and even prosecution",7604
Yankees Pound the Red Sox and Win a Four-Game Series,7598
Photogallery - Taylor Swift's dancer has defended her againt racist allegations,7596
Another royal engagement is trending as Princess Eugenie plans a fall wedding,7582
U.N. Secretary-General António Guterres Indicates There Is Nothing Wrong with ‘America First’,7577
Aleppo’s Melkite archbishop looks to rebuild city from the ashes,7576
ECB Spawned Mass Culture of Financial Dependency that’s Now Very Hard to Undo,7573
Man has an eel trapped in his body after 'sticking it into his rectum',7570
Egypt censored newspaper on Israel offers to ‘buy Sinai’,7552
Specially Designed Homes Provide Independence for Disabled Vets Thanks to Gary Sinise,7552
Inez Barron Wants to Become the First Black NYC Council Speaker,7544
Obama Admin Ignored Proper Procedure In Vetting Illegal Immigrants Ties To Terrorism,7538
St. Louis Protests: Police Say They ‘Owned’ the Night After 80 Arrests,7537
American Invasion: Imported Crawfish Are Taking Over a Park in Berlin,7521
Photogallery - Women quit their jobs in Google due to workplace culture,7518
Future of the 328 forest conservation units in Brazilian Amazon to be determined by Federal Supreme Court – “Brazil is currently experiencing an unprecedented offensive against the conservation units”,7515
"Australia: Devout Muslim butchered wife, mutilated her body, gouged her eye out",7512
NKorea Says It's Seriously Considering Plan to Strike Guam,7510
"Whether Trump’s Refugee Ban Expires or Not, the U.S. Will Take in a Record Low Number of Refugees",7493
REAL ID Allows Feds to Suspend Driver’s Licenses for “Cause” (VIDEO),7488
BOOM! Editor-in-chief of @RT_com drops a bomb on @Jack and Twitter,7486
The Plaza Loses Its Luster as a Real Estate Investment,7482
Disney Reports Mixed Earnings and a Full Project Pipeline,7480
VIDEO: President Trump shunned ‘fancy lunch’ to dine with U.S. and South Korean soldiers – Dr. Rich Swier,7476
in the past they died more readily and then at that point they are not posing a risk.,7475
Chris Christie goes NUCLEAR on Ted Cruz on both CNN and Morning Joe,7473
Charlie Rose Suspended After 8 Women Accuse Him of Groping,7471
University of Minnesota Teamsters approve strike authorization vote by large margin,7465
