frase,score
LeBron James has some interesting things to say about the Celtics,1898
"Rory McIlroy, a Wounded Champion, Begins FedEx Cup Defense",1924
North Korea Has Finally Agreed to Hold Official Talks with South Korea,1936
India Begins Shipping Wheat to Afghanistan Through Iran's Chabahar Port,1938
"Trump administration threatens to shut down Palestinian office in Washington, D.C. – Dr. Rich Swier",1951
"Man Sets Himself on Fire in Sydney, Protesting Immigration Policy",1956
Man accused of killing Richard Collins III is not being charged with a hate crime. Why not?,1989
Google Play Apps May Have Infected Phones With Malware,1998
Small farmers who voted for Trump are suing him for taking away Obama-era protections,2011
Rohingya Exodus Continues As Satellite Images Reveal Burning Villages,2011
Prosecutors Want Anthony Weiner to Serve About 2 Years in Prison,2022
"Samsung might launch Galaxy S9 in January 2018, based on the assembly schedule",2024
A few schools reopen in Puerto Rico as it tries to regain normalcy,2027
Australia imposes new checks for arrivals from Gulf emirates,2056
"Mark Penn and Andrew Stein have published the most execrable ""advice to Democrats"" op-ed ever",2063
"If You Have Kids, Share This Video With Them",2093
Flake Says He Will Support Democrat Over Roy Moore,2146
Medical marijuana is helping people for many more health problems than just pain,2151
Wells Fargo May Have Found More Fake Accounts Created by Employees,2170
Death of 2 State Troopers Adds Another Layer of Tragedy in Charlottesville,2195
Thousands of DACA Recipients Are Already Losing Their Protection From Deportation,2199
"In a Swiss Ski Town, Private Chalets Have Become the Place to Stay",2201
American automakers plan joint ventures to make electric cars in China,2214
McCarthy announces Rodgers' replacement and also signs 3rd QB,2216
These Naked Porn Stars Will Help You Understand Net Neutrality [NSFW],2225
"How Modern Women Are Destroying Society (And Before You Scream Sexist, WATCH THE VIDEO)",2228
Tyronn Lue predicts Kevin Love will have his best season as a Cavalier,2234
How We Used VR to Explore What Music Feels Like to a Deaf Person,2256
PaulCraigRoberts.org George Soros Could Not Subvert Europe Without Washington’s Approval,2279
Trump on Report He Ordered Mueller's Firing: 'Fake News',2281
WATCH LIVE: President Donald Trump unveils Afghanistan strategy in address to nation,2287
The president has declared war on his own country,2287
Prince Harry and Meghan Markle Were Caught Kissing in Toronto,2291
Saudi Arabia plans to lift driving ban on women,2296
Isaiah Thomas thinks the Celtics will regret trading him,2313
White nationalist rally: Obama quotes Nelson Mandela's 'Long Walk to freedom',2313
Amazon Opens Its First “Just Walk Out” Store in Seattle,2328
"He Puts Bill Maher on TV, and Jefferson, Dickens and Tolstoy on Stage",2330
The White House has become the craziest reality show on TV,2331
"At the Palais de Tokyo, Camille Henrot Finds Wonder in the Everyday",2365
"Golden State Warriors finalize signings of Steph Curry, Kevin Durant and others",2384
Rev. Graham: No President in My Lifetime Has Defended the Christian Faith Like Trump,2388
Veterans shared their stories in Israel while recovering from war – The Daily Texan [del.icio.us],2400
Saudi Arabia takes full control of the largest oil refinery in North America,2401
Goldfish make alcohol to survive the winter without oxygen,2402
Public Distrust in Vaccine Safety Is Becoming a Public Relations Crisis,2403
Netflix renews 'House of Cards' for the sixth and final season,2404
Why is the GOP desperate to pass this terrible healthcare bill? The Koch brothers threatened them,2404
Trump Announces New Ways to Help Veterans Get Medical Care,2406
"Vancouver Man Who Promised Riches to Investors Committed Fraud, Panel Says",2414
"One Night a Year, This Cactus Flower May Surprise You",2417
Photogallery - J.R. Smith says LeBron James is leaving the Cleveland Cavaliers,2420
Sheriff Joe Arpaio Says He Would Accept Pardon from Donald Trump,2441
Google Home Mini affected with bug that records conversations,2462
Every Republican should know Dictionary.com's 2017 Word of the Year,2462
Kevin McCarthy: Tax Reform Will Help Innovation and Entrepreneurship,2465
Hungary confronts Soros in battle for future of the West,2473
"Find hope in the sign of the cross, Pope tells Eastern Christians",2473
"Now, more than ever, Democrats need to shut the Judiciary Committee down",2528
What you don’t know could hurt you: Google censoring documents for the Banks?,2529
Why are Democrats suddenly distancing themselves from Hillary? Anybody? Mueller?,2530
"Alan Sagner, Who Revitalized the Port Authority, Dies at 97",2537
Top DHS official resigns over past racist remarks...and I have a question...,2568
"ISIS Is Apparently Selling Stolen Artifacts on eBay, Amazon, Facebook, WhatsApp",2610
Blockchain May Become an Important Part of the Gold Market,2610
How the MS-13 gang flourishes seven blocks from the White House,2646
US congress threatens to cut payments to Iraqi Kurds,2657
Dylan Marron Wants to Know Why People Hate One Another,2669
Jennifer Garner Reportedly Warned Lindsay Shookus About Ben Affleck,2691
Sportscaster Dick Enberg Found Dead at Home at Age 82,2697
Stallone is filming 'Escape Plan 3' while Lundren is training for 'Creed II',2702
Microsoft’s Surface Book 2 features more computational power than any rival,2703
"How House Conservatives Plan to Revive Obamacare Repeal, and Why It Could Work",2732
Police Drone Battle Continues After LAPD Approves New Purchase and Officer Training,2745
Donald Trump will increase the US military power in Afghanistan,2763
North Korea has launched six nuclear tests amidst growing UN concerns,2772
Alabama GOP now openly defending pedophilia in defense of Roy Moore,2776
Game of Thrones: a new theory by a Redditor shakes the whole fandom,2778
"Action: You, yes you, can help victims of domestic violence and our pets!",2780
Trump using donors' campaign cash to pay for his idiot son's legal defense,2780
"Eduardo del Río, Cartoonist Who Mocked Politics and Religion, Dies at 83",2786
Dragon Ball Xenoverse 2' DLC Pack 5 has a couple of surprises for players,2795
Apple plans to build an Iowa data center that fully runs with renewable energy,2812
Climate Change Demands an End to Excess and Greed,2818
"‘Crooklyn’ Wins the One Film, One New York Contest",2826
POLITICAL CORRECTNESS ON STEROIDS: What social media is doing to pretend the Muslim terrorist attacks in Spain never happened,2836
When the Boss Wants You to Do Something Unethical,2836
Why I’ve decided to unfollow the president on Twitter,2837
"New Hampshire Republicans vote to disenfranchise college students, impose poll tax on voters",2853
"Americans don’t trust CNN, but believe Trump even less",2854
"Instead of Launching a Missile, North Korea Throws a Party",2855
Bushnell Announces Dozens of New Optics at SHOT Show 2018,2860
A Young Poet Loses His Rhythm and Finds His Voice,2869
How can a ‘sanctuary school’ protect its DACA students?,2871
Here's something to be thankful for: Obamacare enrollments still breaking records,2872
Healthcare Cloud Computing Market revenue will reach $$25.7 billion by 2024,2874
Kim Kardashian flaunts her weight loss success in a bikini,2876
Congressional Republicans Are Escalating Their Feud With The FBI,2881
Rahm just banned Trump from Chicago after DACA decision,2889
Cindy Crawford and Rande Gerber Just Bought Another Incredible Home,2891
Melissa McCarthy Wins Emmy for Her Portrayal of Sean Spicer,2917
80 nations celebrate International Workers Day on May 1. Why not the U.S.?,2925
Murphy Leads Guadagno by 14 Points in New Monmouth Poll,2928
St. Louis archbishop leads prayer for peace after violent protests,2934
Trump is reasserting his role as the ultimate Zionist pawn,2936
What Would You Do If Satanists Erected a Giant Pentagram in Your Local Park?,2940
Firefighters Appear to Win Weekend Battle with Thomas Fire,2945
Conway Urges Alabama Voters: 'Don't Be Fooled' by Doug Jones,2952
Roger Stone is right: Trump needs to demand a Uranium One investigation now,2958
Why Dylan O'Brien is taking on a new role,2962
P.S. I Love You: Postscripts a Powerful Marketing Tool,2992
Why Andy Murray tennis fans should not ignore Tim Henman's comments,3009
Josh Mandel ends campaign against Democratic Sen. Sherrod Brown a month before Ohio filing deadline,3018
"Bitcoin Price Will Hit $1 Million, Says Social Capital Founder",3023
Chilling! UK Acid Attack Victim Speaks Out (Shocking Video),3024
Centrist Florida Senator Nelson Refuses to Support Removal of Confederate Monuments.,3026
Total Insanity! North Korea Announces Nuclear Sneak Attack Plan (Video),3036
"HA! Chelsea Handler just ADMITTED she feels like an idiot, and there was great rejoicing",3059
"When Donald Trump said Republican tax plan was 'not good for me,' he told a $$1 billion lie",3064
Michael Kors to Buy Jimmy Choo in $1.2 Billion Deal,3070
CIA Mike Pompeo Not Inviting Media to CIA Christmas Party,3094
I'm Writing a Book About Andrew Cuomo (So You Don't Have To),3098
"Would You Pay $$30,000 for the “World’s Most Luxurious Coloring Book”?",3099
Hurricane Nate Could Cause Nearly $$4 Billion In Damage Along Gulf Coast,3120
Anita Hill Wants Women In Tech To Sue Their Employers,3129
Proof: There Were at Least 7 Different Shooters During the Las Vegas Massacre (Video),3137
Texas Senate Says No to Boys in Girls’ Bathrooms,3139
Christians Provide More Aid To Hurricane Victims Than FEMA,3145
Hawaii begins cold war preparations in response to North Korean threat,3152
Donna Brazile reveals the extent of Hillary Clinton corruption at the DNC,3157
Wasserman Schultz Planned to Pay Imran Awan Even While He Lived in Pakistan,3166
FBI demands answers on sale of baby body parts,3178
Report Prepared for Congress Offers Details on ATF Funding,3180
How Russia Recruited George Papadopoulos to Penetrate the Trump Campaign,3182
This Photographer Wants to Change the Narrative on Black Men,3186
You’ll Never Guess Where Kate Middleton Is Spending Halloween,3191
"200,000 Americans call on Trump to 'recognize Antifa as terror organization'",3198
Rasmussen Poll: 56 Percent of Voters Don't Believe Border Wall Should Be Built,3208
Hurricane Irma Forces Yankees to Play Tampa Bay Rays at Citi Field,3209
Pension Funding Policies are Putting Colorado’s Credit Rating at Risk,3213
‘No Man’s Sky’ DLC: Update 1.3 to introduce a fourth race? What we know so far,3234
President Trump defends Melania's fashion on her foreign visits,3244
PaulCraigRoberts.org The Witch Hunt for Donald Trump Surpasses the Salem Witch Trials of 1692-93,3249
Mormon Church calls on political leaders to create protections for Dreamers,3251
Samantha Bee Demands an End to Arbitration in Sexual Misconduct Cases,3261
Elizabeth Smart Tells the True Story of Her Abduction in 2 New TV Projects,3262
Chester Bennington commits suicide at age 41 mainstream media report,3262
"Trump was so angry about the small crowd at his Phoenix rally, he fired a longtime event organizer",3277
"In the Depths of the Ecuadorian Amazon, Digital Communications Aid the Process of Self-Determination",3281
These activists predicted Houston flooding catastrophe. Will politicians listen now?,3290
Half A Billion Fewer Animals Were Killed Since 2007 Because People Are Eating Less Meat,3299
ISIS threatens Britain’s Prince George on messaging app Telegram,3306
LaVar Ball starting to criticize Lakers coach Luke Walton,3307
What Christian Artifacts of the Middle East Can Show Us About Tolerance,3314
How Rebecca Solnit Became the Voice of the Resistance,3317
Rivers Carry Millions of Tons of Plastic Debris into The Sea,3334
"Trump Campaign Raises $$11.6 Million, Spends $$1 Million on Legal Fees",3335
Democratic Senators Accepted Thousands From Tony Podesta For 2018 Campaigns,3344
China Denies Rex Tillerson’s Accusations of Predatory Economic Policy,3349
Rafael Nadal Wins the U.S. Open for His 16th Grand Slam Title,3350
Missing: Rex Tillerson—have you seen your Secretary of State,3353
The NFL Might Be Changing Their Policy On Marijuana,3356
Sexual Harassment Allegations Hit the Clinton and Sanders Campaigns,3380
Russia Used Facebook to Try to Spy on Macron Campaign,3382
Robin Bell projects new messages onto Trump Int'l Hotel in DC,3390
Erotica writing: take inspiration from your own adventures & experiences.,3396
"Ivana says Donald Trump isn’t racist, he just says ‘silly’ things because he gets confused",3401
New Alien Hunting Telescope Makes First Attempt to Find ETs Around Sun-like Stars,3430
Why Are Our Most Important Teachers Paid the Least?,3431
Manafort accused of lying to bankruptcy court — by his own son-in-law,3438
"White House loyalty blames Democrats, not Trump, for obstructing new hires",3446
CUNY professor says having “white nuclear family” promotes white supremacy,3451
Patriots QB Tom Brady has message for Jaguars cornerback Jalen Ramsey,3453
DROP THE CHARGES against Charlottesville community members resisting white supremacist terror,3456
Susan Collins (R-ME) Begins To Realize The Terrible Mistake She Made,3459
Photogallery - Fox News allegedly published a fake article in favor of Trump,3460
President Donald Trump lifts the Jones Act to help Puerto Rico,3469
Kirk Cousins wife gives birth to couple's first child,3481
State Department: Russian consulate in San Francisco closed to reach 'parity' after US expulsions,3498
How Obama Handled An Attack By A Racial Nationalist,3522
"Ivanka Trump draws largest audience to witness a speech in Tokyo, period.",3527
"Paris ‘March for Life’ Draws 40,000 in Protest Against Legal Abortion",3537
Poll: George W. Bush’s favorability rating has nearly doubled since he left office,3552
Black Man Who Wielded Flamethrower During White Nationalist Rally in Charlottesville is Arrested,3558
This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,3574
US Supreme Court rejects stay of execution for Ohio convict,3580
"Modern Love Podcast: Betty Gilpin Reads ‘A Lost Child, but Not Mine’",3589
"Pokemon the Movie: I Choose You,' Ash and his pokemon Pikachu is back.",3591
Donna Brazile: Clinton Campaign Took Over DNC in August 2015.,3595
When Durbin Asked the IRS to Silence Karl Rove,3605
Trump set to open $1 billion US Embassy in London,3615
Secret Service Holds First Full-Scale Training Exercise at the White House,3625
A Federal Regulator Is Probing Wells Fargo’s Mortgage Practices,3642
Trump administration has detained a Texas Dreamer for a month despite valid DACA status,3645
Millions of Americans Are Ingesting a Chemical Some Experts Believe Has No Safe Exposure Level,3648
Elizabeth Warren Attacks Neil Gorsuch’s Ties to Koch Network,3650
Can the Dallas Cowboys beat Philadelphia Eagles in Sunday Night Football?,3657
Why Asking About Citizenship Could Make the Census Less Accurate,3674
Authorities To Start Arresting People For Posting Photos Of Their Children Online,3684
Jimmy Kimmel adds his voice in support of the Children's Health Insurance Program,3689
America lifts ban on import of elephant trophies from Africa,3693
Trump Sharply Warns Turkey Against Military Strikes in Syria,3700
Manafort Used Trump Campaign Email to Correspond With Ukrainian Contact,3718
Why climate change is creating a new generation of child brides,3719
Rotten Apples Database Tracks Sexual Predators in Your Favorite Films and Shows,3720
"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests",3723
"Trump has decided to end DACA, with 6-month delay",3726
How Climate Change Is Playing Havoc With Olive Oil (and Farmers),3738
Roy Moore Finds a Rival From Afar: Gloria Allred,3741
Trump Must Embrace His Revolutionary Self Or Politically Perish,3774
Iraq Reclaims its Sovereignty with Victory Against ISIS & US Colonialisation,3776
Countless Scores Of Muslims Are Renouncing Islam And Giving Their Lives To Christ In Finland,3789
A Voracious Starfish Is Destroying the Great Barrier Reef,3794
"Norman Baker, Adventurer, Dies at 89; Crossed Atlantic on Reed Raft",3820
Rising Star Dem Harris Raises Funds for Fellow Lawmakers,3827
Remembering the Future: How Ancient Maya Agronomists Changed the Modern World,3837
NFL: The Kansas City Chiefs defeat the Philadelphia Eagles 27-20,3838
Wireless Carriers Are Helping Customers Affected by Hurricane Harvey,3848
"James Comey is tweeting again, this time quoting the chief Nuremberg prosecutor",3852
"Army Vet Sentenced to Night In Jail, Hidden Camera Captures Judge Entering His Cell [VIDEO]",3859
Making It Relevant: Helping Students Connect Their Studies to the World Today,3861
Media Reports Say Trump Could Help Congress Pass an Unconditional Dream Act Amnesty,3865
75 Percent of Reishi Supplements Don’t Actually Contain Reishi Mushroom,3868
Bill Maher shreds Donald Trump for wanting to be a 'dictator' like 'Kim Jong-un',3869
"They Quietly Left the Church, but the Sexual Abuse Continued",3887
Pastor Robert Jeffress: Gun Control Could Not Have Prevented Texas Church Shooting,3888
#TrumpRussia ...Kushner's firm was given $285M Deutsche Bank loan a month before Election Day,3900
Saudi Government Takes Control of Binladin Group Construction Giant,3901
Growbots vs. Zenprospect: Which Lead Generation Tool Can Grow Your Business,3905
Justin Bieber cancels tour to have sustainable career and lifestyle,3913
Global Chromatography Solvents Market Expected to Reach USD 3.56 billion with annual revenues 9.5% by 2024,3913
Dragon Ball Super' new spoiler explains the Caulifla-Kale relationship,3914
House Rejects Amendment Prohibiting DOD Funds For Gender Transition,3917
PA: Democrats HELPING Republicans Win Supreme Court (& Superior and Commonwealth Court) Election,3917
We Fought a War of Independence' Against King George for That,3935
Mike and Nathaniel’s Week in Tech: Everybody Loves Bitcoin,3936
Four States Declare ‘State of Emergency’ as Tropical Storm Nate Approaches,3942
Hackers Find ‘Ideal Testing Ground’ for Attacks: Developing Countries,3945
Congressional Democrats Promise a ‘Better Deal’ for American Workers,3955
Teen Mom 2': Kailyn Lowry had officially announced her baby's unusual name,3956
Bachelorette' star Chad Johnson reveals new woman in his life,3969
or Why Tax Cuts for Wealthy Corporations Won't Create Jobs,3974
Why is Emma Stone helping to defile our daughters?,3978
North Korean Ballistic Missile Accidentally Hit A Local Town – Infinite Unknown,3984
Fox’s Tomi Lahren admits she has no idea why players are protesting — but she’s still furiously angry,3991
Appeals court allows prayer at Michigan county’s public meetings,3991
Justin Trudeau welcomes refugees into Canada and then wishes he hadn’t,4001
Must I Tell My Therapist About My Other Therapist?,4004
Sam and Alexis make relationship choices regarding Julian and Jason,4005
Andrea Mitchell scolds Stephen Miller for being rude to Cuban-American Jim Acosta,4009
How Edie Windsor Championed Gay Rights: ‘She Was Everywhere’,4011
"José Molina, 81, Who Brought Spanish Dance to U.S. Audiences, Dies",4012
Berkshire Hathaway Makes a $9 Billion Bid for Energy Future Holdings,4017
Steve Bannon told Ivanka Trump: You don’t know what you’re doing,4020
"Fearing the Worst, China Plans Refugee Camps on North Korean Border",4020
Scientists May Have Found First Proof that We Live in A Multiverse,4022
2017 Data: Pew Reports 60% of Young Americans Use Online Streaming as Primary Way to Watch TV,4022
"Trump tweets GIF of him hitting Hillary Clinton with golf ball, Twitter erupts",4023
Unfunny comedian George Lopez booed off stage for Trump jokes,4026
Google employees plotted with Antifa terror groups to wage violent revolution to overthrow President Trump,4028
The Glass You Threw Almost Killed My Boyfriend. Please Share !,4037
Prince Harry Joined a Youth Rugby Team During His Recent Leeds Visit,4041
"Long After Protests, Students Shun the University of Missouri",4056
Back to Saturn? Five Missions Proposed to Follow Cassini,4064
"Robert de Zafra, Who Made Key Findings on Ozone, Dies at 85",4069
"""Why are We Talking about Tax Cuts when We Should Be Talking Treason!""",4075
Exceptionally Critical Audit Exposes Costly Failures in DOD’s Afghanistan Reconstruction,4081
Natural Wine Movement Finds a Lively Hub in Copenhagen,4092
Rep. Pete King on Iran Deal: US Needs to 'Clean This Up',4096
How HQ Trivia Became the Best Worst Thing on the Internet,4100
Chrissy Metz Will Make Her Stage Debut in ‘Fat Pig’,4114
Russia State Media: Russians See Crimea as ‘First Step in the Reunification of Russia’,4147
What Trump is Doing in Jerusalem and Why He Is Doing It,4153
"Sen. Ron Johnson: Media, Dems Are Sabotaging Trump Administration",4158
"Colin Kaepernick Donated $$25,000 to Group Honoring Convicted Cop Killer",4193
ESPN Host Who Called Trump A White Supremacist Is Leaving ‘SportsCenter’,4195
"‘I Voted for Donald Trump, and I Regret It’",4199
Grigor Dimitrov wins the 2017 Cincinnati Masters over Nick Kyrgios,4202
Justice Kennedy’s retirement rumors could spell the end of marriage equality and abortion rights: analysis,4217
Ron Insana: Gun Makers Must Be Held Liable for Every Massacre,4238
North Korean Pop Singer Leads Pre-Olympic Delegation to South,4240
Stephen Colbert Wants One of Trump’s ‘Corrupt Media Awards’,4240
False charges of ‘Fake News’ are harming our free press,4249
Why Net Neutrality Was Repealed and How It Affects You,4250
A reminder Stephen Miller once dumped a childhood friend because he was Latino,4251
Fabio Aru Takes the Lead as Chris Froome Falters in the Tour de France,4258
White House Pressures Congress to Soften Russia Sanctions Bill,4262
Can I Let My Friend Pay Off My Mortgages?,4262
"In Catalonia, a Church Becomes a Place of Artistic Pilgrimage",4264
RT Boss Calls Barack Obama ‘Insignificant Human Being’ – by Inessa,4270
Mooch chose to be with Trump instead of wife giving birth,4270
Could One of These Four Screenplays Win the Oscar?,4282
‘The Originals’ Season 5: Why did Paul Wesley refuse to do the crossover?,4303
"@jimmykimmel tells everyone ""Bill Cassidy lied right to my face""",4320
Federal Judge Rejects a Revised Voter ID Law in Texas,4327
Proposed legal immigration limits draw strong criticism from US bishops,4330
Marco Rubio still harbors doubts about Jim Bridenstine for NASA administrator,4331
Government Lawyers Ask Judge To Deny Release of Comey Memos,4336
Jenelle Evans talks about all of her kids but fans remind her of abortion,4339
5 Things Ivanka Trump Could Do Right Now on Equal Pay,4343
The global car oil filter market is poised to reach about US$$ 535 Mn by the end of 2022,4344
"Girl Scouts will be adding 23 new badges in the fields of science, technology, engineering, and math",4353
"Kendall Jenner, Nicole Kidman Attended the Biggest Polo Match New York Has Ever Seen",4354
Amazon just closed a contest where cities competed to be the second headquarters,4359
NSA quietly removes ‘honesty’ from its stated ‘core values’,4360
"In NAFTA Negotiations, Trump Must Ensure Protection of US Property Rights",4363
Last year Trump stood at the podium and encouraged a white nationalist leader assaulting a protester,4389
Trump's extremist appointees are turning Health and Human Services into an evangelical crusade,4397
People Are Saying 'We Don't Like Hatred and Bigotry',4397
Students Are Bringing Capitalism to Latin America: New at Reason,4408
Anfield Resources to change its name to Anfield Energy to emphasize focus on energy metals,4414
"Eagle Imports, Inc., Brings the Llama Micro Max to American Shores",4419
Study Reveals Stunning Truth About The Environmental Impacts Of Tobacco,4430
California man who scaled White House fence in March was sentenced Monday,4431
[WATCH] FAKE NEWS: MSNBC Lies About Hero Who Stopped Texas Church Mass Shooting,4432
Friend of Joy-Anna Duggar reveals shocking secret about her pregnancy,4440
"Ahead of Independence Referendum, Catalan Citizens Occupy Polling Stations",4467
"Keith Olbermann has nothing left to say, reportedly retires from political commentary",4485
Monsanto and Bayer are Maneuvering to Take Over The Cannabis Industry,4489
"Transgender Recruits Welcome at Police Departments, Even if Trump Doesn’t Want Them",4516
An ancient jawbone from a cave in Israel shows humans may have left Africa much earlier than thought,4531
How a simple clerical error led to this DACA recipient losing her protections,4536
What?! Sally Kohn defends Linda Sarsour AFTER her smear of Jake Tapper,4542
"Following Reports of Sexual Harassment, Republicans Want Roy Moore to Withdraw",4550
Tori Roloff starts rumors she could be pregnant with her second child,4552
Fallen Angels? New Documentary Reveals Profound Bible Secrets Solving the Origin of Mankind (Video),4560
"Hah-Hah! Julian Assange Masterfully Trolls John Podesta For Complaining About Being a ""Victim""",4562
Defense Secretary James Mattis Delivers Statement on North Korea…,4568
Alabama Radio Host to Trump: We Love You and We Support You But Don’t Tell Us Who to Vote For,4570
Brazilian company changes slogan of black toilet paper after racism claims,4575
"Manchester City 3, Burnley 0, Aguero marked his 177th EPL goal with a penalty",4578
"Sebastian Gorka, ousted from White House, may be blabbering national secrets on 'Fox and Friends'",4578
Leveraging data to provide insight into complex issues surrounding Veteran homelessness,4579
Gay Rights Groups Seek One More Win From Justice Kennedy,4588
"This November, Pennsylvania Democrats flipped offices for first time since 1799",4623
Tax Bill Would Curb Breaks for Sexual Abuse Settlements,4633
WaPo: Russians Used Facebook 'Retargeting' Tool to Mess with 2016 Election,4635
Dwyane Wade shares his amazing Kobe Bryant story about their first matchup,4642
Baltimore Officers Will Face No Federal Charges in Death of Freddie Gray,4655
HOLD UP: Is the Trump International Hotel in D.C. REALLY handing out this petition?,4672
"Is Your Coffee Killing You? Over 1,500 Chemicals Found In One Cup",4680
Security guard in Las Vegas shooting inexplicably disappears moments before interviews,4683
EPA Developed Neighborhood Risk Tool For Eight Years But Nobody Uses It,4706
New Hillary Clinton Emails Emerge -- Reveal Additional Mishandling of Classified Information,4708
We Should Have Followed Germany’s Example For Our Confederate Monuments,4714
Polish Leader Says Other Nations Envy Trump Visit to Warsaw,4716
Jean-Claude Bastos de Morais extolls Ghana government for funding innovation,4733
"Pope urges Peruvians to focus on hope, unity ahead of trip",4743
Russian billionaire insists Trump Tower meeting not about Clinton,4747
"Signs in sky reveal America as 'Covenant' nation, says 'Blood Moons' discoverer",4753
Government committee declares HPV vaccines should never be given to teenage boys … Media pursues total BLACKOUT on the story,4755
EPA Chief Scott Pruitt Proposes to Save $33 Billion with Repeal of Obama-Era Energy Plan,4758
Schumer and Allies Use Jimmy Kimmel Like a Pawn,4771
"Government reports 261,000 new jobs created in October, wages slip",4787
Kid Rock For Senate? New Website Leaves More Questions Than Answers,4790
ACLU take offensive measures against Trump's voting fraud claims,4798
Ottawa Senators sign John Oduya to a short-term deal in NHL contracts,4802
Injustice League: Rose McGowan Claims She Told Ben Affleck About Alleged Harvey Weinstein Rape,4807
The President of Honduras Is Deploying U.S.-Trained Forces Against Election Protesters,4811
Two More Accusers Say Moore Pursued Them at Alabama Mall,4816
WATCH: Mitch McConnell condemns another Republican senator for sexual misconduct in 1995,4817
In Berkeley Springs Morgan County Commission Hears Opponents of Mountaineer Gas Pipeline,4819
