frase,ranking_total,quartil
Bowe Bergdahl Expected to Make His Plea in Court Today,59295,Q2
Photogallery - Ottawa Senators sign John Oduya to a short-term deal in NHL contracts,60229,Q2
Photogallery - Justin Bieber settles issue with Marilyn Manson over T-shirt design,60331,Q2
"As ISIS’ Role in Syria Wanes, Other Conflicts Take the Stage",60427,Q2
Hobby Historian Claims to Have Discovered Forgotten 80-Meter Section of the Berlin Wall,60979,Q2
U.S. Airstrikes in Afghanistan Take Aim at Taliban Opium Labs,61343,Q3
Sen. Ted Cruz Opposes the Graham-Cassidy Obamacare Repeal Bill,62118,Q3
Homosexual Ellen DeGeneres faces backlash over Katy Perry tweet,62308,Q3
How Obama Handled An Attack By A Racial Nationalist,62414,Q3
"“That’s Really Sad,” Flyers Promoting White Supremacy Found at OSU",62478,Q3
Release of Apple iPhone X leads to reduce shipping orders of iPhone 8,62653,Q3
Chris Cornell’s wife meets with medical examiner ‘to find answers’,63903,Q3
Seattle Mayor Steps Down Following Fifth Allegation Of Child Sex Abuse,64852,Q3
Obama Admin Ignored Proper Procedure In Vetting Illegal Immigrants Ties To Terrorism,65640,Q3
"How Mashonda Tifrere, Art and Hip-Hop Maven, Spends Her Sundays",65844,Q3
EPA Developed Neighborhood Risk Tool For Eight Years But Nobody Uses It,66081,Q3
Defense Secretary James Mattis Delivers Statement on North Korea…,66141,Q3
Can I Test the Health of My Gut Microbiota?,66648,Q3
3 Ways GOP Tax Bill Could Change Your Life Insurance,66735,Q3
Jordan Peele Continues Social Thriller Focus With Nazi Hunter TV Series,67861,Q3
"So yeah, we’re thinking the Auto Mag in .44AMP is back (PHOTOS)",67877,Q3
"Trump Administration Defends Cuba Embargo at U.N., Reversing Obama",68206,Q3
Photogallery - LaVar Ball starting to criticize Lakers coach Luke Walton,69069,Q3
Joe Biden Charging Hundreds of Dollars to Those Who Want a Signed Copy of His Latest Book,69418,Q3
A NSC Official Booked a Room at Mar-a-Lago and the Government Picked up the Tab,69726,Q3
NJ House Members Take Sides on GOP Tax Bill,71214,Q3
Rand Paul on GOP Health Bill: Trying 'to Buy the Votes' of Sens,72458,Q3
Fox News host busts Citizens United architect for wanting accused molester Roy Moore to win ‘at any cost’,72544,Q3
"J.R. Smith reveals King's injury status, Says he will...",72642,Q3
HERE WE GO=> McCabe Testimony Contained *Numerous* Conflicts With Previous Witnesses -- New Subpoenas Planned!,73163,Q3
John McCain Goes ‘Maverick’ Again; Makes Anti-Trump Military Announcement Like A Real Leader,73502,Q4_pior
"President Trump, Air Force One, Left Japan – Approaching North Korea",74330,Q4_pior
President Trump caught rigging Official Presidential Job Performance Survey,74507,Q4_pior
The US Has a Niger by the Tail? Why Are American Soldiers Dying in Africa?,74662,Q4_pior
Gay Rights Groups Seek One More Win From Justice Kennedy,74701,Q4_pior
Russian General Killed in Syria and You’ll Never Believe Who Gets the Blame,74821,Q4_pior
Deadly Ambush of Green Berets in Niger Belies a ‘Low-Risk’ Mission,75926,Q4_pior
Writer triggered by Trump’s thwarted attempt to assault Puerto Ricans with cans of chicken,77293,Q4_pior
Sorority Sisters Face Probe for Singing Kanye West Song Containing Word Forbidden to Whites,78463,Q4_pior
"Emails: WaPo, NYT Reporters Didn’t Want to Cover Clinton-Lynch Tarmac Meeting – Dr. Rich Swier",78777,Q4_pior
"Target of Racist Graffiti Wrote It, Air Force Academy Says",79079,Q4_pior
DAAAMN! Jenna Jameson drops the MOTHER OF ALL TRUTH-BOMBS on Lisa Bloom,79124,Q4_pior
North Korean Ballistic Missile Accidentally Hit A Local Town – Infinite Unknown,79991,Q4_pior
E.U. to Trump: 'We're Not Renegotiating Iran Nuclear Deal',80158,Q4_pior
Killer Aadhaar Kills Another Aadivasi Woman By Denying Her Food – Countercurrents,82421,Q4_pior
Sen Al Franken Exposed as Sex Predator Who Groped Unconscious Woman While Proudly Smiling for Sick Photo +Video,82447,Q4_pior
Taliban Say Top Leader’s Son Carried Out a Suicide Attack,83230,Q4_pior
WNBA team Seattle Storm raising money for baby butchers Planned Parenthood,85308,Q4_pior
Iran Complains Instagram Shut Down Terror Chief ‘Hero’ Qasem Soleimani’s Page,85873,Q4_pior
"Edgar Smith, Killer Who Duped William F. Buckley, Dies at 83",86550,Q4_pior
WATCH: Kate Bolduan nails Virginia GOPer for appearing with top white nationalist just 5 months ago,89295,Q4_pior
Trump Appellate Nominee Says Her Religion Supersedes the Constitution,94904,Q4_pior
Dodgers’ Justin Turner Delivers a Walk-Off Homer to Topple Cubs,95288,Q4_pior
Are Helicopter Parents Raising Their Children To Be Unemployable?,96226,Q4_pior
Trump in Devastated Puerto Rico: You've Thrown Budget 'Out of Whack',100784,Q4_pior
