frase,ranking_total,quartil
A reminder Stephen Miller once dumped a childhood friend because he was Latino,163780,Q2
"35 years ago today, The Young Ones made their debut on the BBC",167830,Q2
Neoliberalism has conned us into fighting climate change as individuals,169326,Q2
Photogallery - ‘Rick and Morty’ Season 3 has shorter episodes; plot focuses on Beth,170658,Q2
First time buyers in Wokingham to be spared Stamp Duty,174596,Q2
Release of Apple iPhone X leads to reduce shipping orders of iPhone 8,177432,Q2
Project Veritas Drops Another Video Bomb Of CNN Producer Mocking Chris Cuomo [VIDEO],177811,Q2
Hedge Funds Pouring Cash into Silver and Gold! (Video),178120,Q2
Scientist Faces Criminal Charges Because Environmentalists Didn’t Like His Work,180060,Q2
Ben Affleck spotted house hunting with Lindsay Shookus in Los Angeles,181027,Q3
Rising Star Dem Harris Raises Funds for Fellow Lawmakers,183372,Q3
Broncos' Brock Osweiler would be replacing Trevor Siemian as the starter,183745,Q3
"Poynter, Facebook’s Arbiter of ‘Fake News,’ Sees Jewish Conspiracy to Purge H.R. McMaster",184098,Q3
Has NASA Lost Its Way? | 1993 Washington Post Article by Peter Carlson,184143,Q3
"Immigrant youth rallied for DREAM Act in D.C., the streets—and outside Speaker Ryan's house",184701,Q3
American Peace Activist Is Denied Entry to South Korea,187378,Q3
Health insurance will cost more because of GOP tax plan,189926,Q3
Photogallery - Justin Bieber settles issue with Marilyn Manson over T-shirt design,192048,Q3
"Born in Grief, New Group Helps Families of Slain Officers",192449,Q3
Criminal Complaint Filed Against EU Authorities Who Gave Glyphosate Green Light,193245,Q3
All things military: 41 family members join the army at the same time,193325,Q3
Saudi woman conveniently dies in crash ‘while learning to drive’ before the country lifts its ban on female drivers,194650,Q3
Rep. Moylan Revives His Campaign Against Law-Abiding Firearm Owners,194837,Q3
"Add another one, Virginia Tech has owned Virginia football since 2003.",198903,Q3
Security guard in Las Vegas shooting inexplicably disappears moments before interviews,198978,Q3
"In Danang, Vietnam, Trump Makes a Friendlier American Landing",199820,Q3
Raiders Safety Keith McGill to Need Surgery After Fracturing Foot on Saturday,203743,Q3
Robots will touch more tenderly when they wear this sensitive skin,205194,Q3
Acting Manhattan U.S. Attorney and DEA announce provisional arrest in London of Pakistani National for drug-trafficking on a massive scale,206023,Q3
President Trump rescinds DACA mostly on false pretenses that are obvious,210508,Q3
Hawkins: Good Guy with a Gun Could Have Stopped Stephen Paddock Before Mass Shooting,214627,Q3
"California Needs a “Spec” Water Market, Not Contrived Markets",214767,Q3
Photogallery - ‘Stranger Things’ creators plan to end series after fourth season,215603,Q3
"Judge rules to remove WWI cross memorial, because it symbolizes Christianity.",217298,Q3
Priest Found Guilty Of Cyanide Assassination Plot Against Church Leader,218870,Q4_pior
"After shockingly inaccurate comments, one of America's best takes John Kelly to school on Twitter",221632,Q4_pior
I.R.S. Says It Will Reject Tax Returns That Lack Health Insurance Disclosure,222209,Q4_pior
How Activate Virginia Recruited 76 Candidates to Refuse $$ from Dominion—A Model for Other States,222552,Q4_pior
IHOP waiter takes down robber with marital arts move (VIDEO),222999,Q4_pior
Elegance on Display: How 68-year-old Patti LuPone vocalizes her Trump Derangement Syndrome (NSFW),223569,Q4_pior
North Korean Ballistic Missile Accidentally Hit A Local Town – Infinite Unknown,226132,Q4_pior
John McCain Goes ‘Maverick’ Again; Makes Anti-Trump Military Announcement Like A Real Leader,231334,Q4_pior
Fobus Holster Announces Launch of its Summer Carry Giveaway,234323,Q4_pior
Families of Captive French Islamic State Jihadis Sue to Bring them Back to Europe,235055,Q4_pior
ELEY Makes Significant Investment in Competition Segment Within the USA,236545,Q4_pior
"Transgender troop enlistment not happening yet, Pentagon delays it for 6 months",236734,Q4_pior
Huffington Post Misrepresents Islam To Give ISIS A Pass,239981,Q4_pior
"Despite Puerto Rico Disaster, Vulture Firms Relentlessly Seeking Billions in Debt Payments",240583,Q4_pior
"Review: In Season 2, ‘The Good Place’ Blows Itself Up, Hilariously",245691,Q4_pior
US government files $$400bn Libor case lawsuit in London court,245783,Q4_pior
Cuomo Considering Monitor for NYCHA Amid Lead Paint Scandal,248758,Q4_pior
HOLY COW: Susan Rice tweet about Bowe Bergdahl and his family from 2014 will ENRAGE you,255484,Q4_pior
The Technology Our Personal Finance Columnist Trusts His Money With,257126,Q4_pior
Iran Complains Instagram Shut Down Terror Chief ‘Hero’ Qasem Soleimani’s Page,259597,Q4_pior
"One Good Guy with Gun vs 22 Unarmed Citizens stopping mass shootings, and violent crimes increased.",269582,Q4_pior
"Puh-LEEZE! Sen. Menendez (yes, THAT one) serves up Halloween scare about GOP",283434,Q4_pior
WND » Red-handed! Cops caught Dem IT aide hiding secret server » Print,284490,Q4_pior
Alabama state auditor says Roy Moore bombshell ‘much ado about very little’ — even if ‘completely true’,285976,Q4_pior
Photogallery - Streaker at Buffalo Bills game storms the field,301584,Q4_pior
