frase,ranking_total,quartil
Baltimore Police Now Blocking FBI from Investigating Murder of Cop Set to Testify Against Fellow Cops,79817,Q4_pior
"CNN Preacher Jim Acosta Should Shut His Loud, Irritating Face",81395,Q4_pior
Good Girls' gone bad: NBC drops first trailer for Mae Whitman-led dramedy,81405,Q4_pior
And Then There Were Two: 2nd Woman Accuses Franken of Groping,81909,Q4_pior
"New Report Suggests Seth Rich Murder Not Robbery, Possible “Hired Killer”",84006,Q4_pior
Priest Found Guilty Of Cyanide Assassination Plot Against Church Leader,84816,Q4_pior
Journalist Joins His Jailer’s Side in a Bizarre Persian Gulf Feud,85666,Q4_pior
Trump Appellate Nominee Says Her Religion Supersedes the Constitution,89323,Q4_pior
DAAAMN! Dana Loesch WALLOPS former Daily Show producer in FIERY back-and-forth over NRA ad,93681,Q4_pior
Photogallery - Streaker at Buffalo Bills game storms the field,94178,Q4_pior
‘Game of Thrones’ Hot Pie actor opened a bakery,94942,Q4_pior
Food Stamp Rolls Drop in States That Implement Work Requirements,99710,Q4_pior
