indice,dataset,tipo_label,ingles_original,melhor_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,outra_trad,parascore
9,newsmet,literais,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,As asas da morte da Força Aérea estão sendo preparadas para um plantão de 24 horas.,gemini,prompt4,gemini,prompt2,Ruim: Força Aérea prepara B-52s para voltar ao alerta de 24 horas.,0.9212
9,newsmet,literais,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,As asas da morte da Força Aérea estão sendo preparadas para um plantão de 24 horas.,gemini,prompt4,gemma3,prompt2,Não é bom: A Força Aérea está preparando os B-52 para retornar ao estado de alerta de 24 horas.,0.9343
9,newsmet,literais,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,As asas da morte da Força Aérea estão sendo preparadas para um plantão de 24 horas.,gemini,prompt4,gemma3,prompt4,Não é páreo: a Força Aérea está despertando os B-52 para um plantão eterno.,0.922
9,newsmet,literais,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,As asas da morte da Força Aérea estão sendo preparadas para um plantão de 24 horas.,gemini,prompt4,gemmaX,sem_prompt,Não é bom: a Força Aérea está a preparar os B-52 para regressarem ao alerta de 24 horas.,0.9196
10,newsmet,literais,Newspeak! U.N. now calls abortion part of basic 'right to life',Agora a União proclama o aborto como extensão natural do direito à existência.,gemma3,prompt4,gpt,prompt2,Novolinguagem! A ONU agora chama o aborto de parte do direito básico à 'vida'.,0.918
10,newsmet,literais,Newspeak! U.N. now calls abortion part of basic 'right to life',Agora a União proclama o aborto como extensão natural do direito à existência.,gemma3,prompt4,gpt,prompt4,A ONU agora considera o aborto parte do básico 'direito à vida'.,0.9315
10,newsmet,literais,Newspeak! U.N. now calls abortion part of basic 'right to life',Agora a União proclama o aborto como extensão natural do direito à existência.,gemma3,prompt4,gemini,prompt2,"Novafala! A ONU agora chama o aborto de parte do ""direito à vida"" fundamental.",0.9109
10,newsmet,literais,Newspeak! U.N. now calls abortion part of basic 'right to life',Agora a União proclama o aborto como extensão natural do direito à existência.,gemma3,prompt4,gemini,prompt4,A ONU agora batiza o aborto como parte do 'direito à vida' fundamental.,0.9343
10,newsmet,literais,Newspeak! U.N. now calls abortion part of basic 'right to life',Agora a União proclama o aborto como extensão natural do direito à existência.,gemma3,prompt4,gemma3,prompt2,Novilíngua! A ONU agora chama o aborto de parte do direito básico à vida.,0.9306
10,newsmet,literais,Newspeak! U.N. now calls abortion part of basic 'right to life',Agora a União proclama o aborto como extensão natural do direito à existência.,gemma3,prompt4,gemmaX,sem_prompt,"Newspeak! ONU agora chama o aborto de parte do ""direito à vida"" básico",0.8841
12,newsmet,literais,In case you forgot: Donald Trump still has the 'nuclear football',Caso você tenha esquecido: Donald Trump ainda tem o 'botijão nuclear'.,gpt,prompt4,gpt,prompt2,Caso você tenha esquecido: Donald Trump ainda tem a 'maleta nuclear'.,0.9404
12,newsmet,literais,In case you forgot: Donald Trump still has the 'nuclear football',Caso você tenha esquecido: Donald Trump ainda tem o 'botijão nuclear'.,gpt,prompt4,gemini,prompt2,"Caso tenha esquecido: Donald Trump ainda tem a ""maleta nuclear"".",0.9442
12,newsmet,literais,In case you forgot: Donald Trump still has the 'nuclear football',Caso você tenha esquecido: Donald Trump ainda tem o 'botijão nuclear'.,gpt,prompt4,gemini,prompt4,"Caso tenha esquecido: Donald Trump ainda está com a ""maleta nuclear"".",0.9507
12,newsmet,literais,In case you forgot: Donald Trump still has the 'nuclear football',Caso você tenha esquecido: Donald Trump ainda tem o 'botijão nuclear'.,gpt,prompt4,gemma3,prompt2,"Caso você tenha esquecido: Donald Trump ainda tem o ""kit nuclear"".",0.9474
12,newsmet,literais,In case you forgot: Donald Trump still has the 'nuclear football',Caso você tenha esquecido: Donald Trump ainda tem o 'botijão nuclear'.,gpt,prompt4,gemma3,prompt4,"Caso você tenha esquecido: Donald Trump ainda tem a ""pasta nuclear"" nas mãos.",0.9575
12,newsmet,literais,In case you forgot: Donald Trump still has the 'nuclear football',Caso você tenha esquecido: Donald Trump ainda tem o 'botijão nuclear'.,gpt,prompt4,gemmaX,sem_prompt,"Caso tenha esquecido: Donald Trump ainda tem a ""bola nuclear""",0.9543
13,newsmet,literais,Federico Pieraccini. Saudi-Israeli Friendship Is Driving the Rest of the Middle East Together. Strategic Culture Foundation. Оn-line journal,A Amizade Saudita-Israelense Junta o Resto do Oriente Médio.,gemini,prompt4,gpt,prompt2,Federico Pieraccini. A amizade entre Arábia Saudita e Israel está unindo o resto do Oriente Médio. Fundação de Cultura Estratégica. Revista on-line.,0.8693
13,newsmet,literais,Federico Pieraccini. Saudi-Israeli Friendship Is Driving the Rest of the Middle East Together. Strategic Culture Foundation. Оn-line journal,A Amizade Saudita-Israelense Junta o Resto do Oriente Médio.,gemini,prompt4,gpt,prompt4,A amizade entre Arábia Saudita e Israel está unindo o restante do Oriente Médio. Fundação de Cultura Estratégica. Jornal on-line.,0.8875
13,newsmet,literais,Federico Pieraccini. Saudi-Israeli Friendship Is Driving the Rest of the Middle East Together. Strategic Culture Foundation. Оn-line journal,A Amizade Saudita-Israelense Junta o Resto do Oriente Médio.,gemini,prompt4,gemini,prompt2,Federico Pieraccini. A Amizade Saudita-Israelense Está Unindo o Restante do Oriente Médio. Fundação Cultura Estratégica. Revista Online.,0.8993
13,newsmet,literais,Federico Pieraccini. Saudi-Israeli Friendship Is Driving the Rest of the Middle East Together. Strategic Culture Foundation. Оn-line journal,A Amizade Saudita-Israelense Junta o Resto do Oriente Médio.,gemini,prompt4,gemma3,prompt2,Federico Pieraccini. A amizade saudita-israelense está impulsionando o restante do Oriente Médio para a união. Strategic Culture Foundation. Revista on-line.,0.8678
13,newsmet,literais,Federico Pieraccini. Saudi-Israeli Friendship Is Driving the Rest of the Middle East Together. Strategic Culture Foundation. Оn-line journal,A Amizade Saudita-Israelense Junta o Resto do Oriente Médio.,gemini,prompt4,gemma3,prompt4,"A amizade entre a Arábia Saudita e Israel está impulsionando o resto do Oriente Médio em conjunto.

(Strategic Culture Foundation)",0.885
13,newsmet,literais,Federico Pieraccini. Saudi-Israeli Friendship Is Driving the Rest of the Middle East Together. Strategic Culture Foundation. Оn-line journal,A Amizade Saudita-Israelense Junta o Resto do Oriente Médio.,gemini,prompt4,gemmaX,sem_prompt,Federico Pieraccini. A amizade entre a Arábia Saudita e Israel está a unir o resto do Médio Oriente. Strategic Culture Foundation. Jornal on-line,0.8652
16,newsmet,literais,This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,Essa gestora de venture capital acabou de escrever um dos artigos mais certeiros sobre os erros que podem levar uma startup a dar o cano.,gemma3,prompt4,gpt,prompt2,Esta empresa de capital de risco acabou de escrever um dos artigos mais precisos sobre erros no financiamento de Seed.,0.9549
16,newsmet,literais,This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,Essa gestora de venture capital acabou de escrever um dos artigos mais certeiros sobre os erros que podem levar uma startup a dar o cano.,gemma3,prompt4,gpt,prompt4,Esta firma de capital de risco acaba de escrever um dos artigos mais precisos sobre os erros de financiamento Seed.,0.9551
16,newsmet,literais,This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,Essa gestora de venture capital acabou de escrever um dos artigos mais certeiros sobre os erros que podem levar uma startup a dar o cano.,gemma3,prompt4,gemini,prompt2,Esta firma de VC acabou de escrever um dos artigos mais certeiros sobre erros em financiamentos Seed.,0.949
16,newsmet,literais,This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,Essa gestora de venture capital acabou de escrever um dos artigos mais certeiros sobre os erros que podem levar uma startup a dar o cano.,gemma3,prompt4,gemini,prompt4,Essa firma de VC acaba de escrever um artigo certeiro sobre os tropeços no financiamento Seed.,0.9264
16,newsmet,literais,This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,Essa gestora de venture capital acabou de escrever um dos artigos mais certeiros sobre os erros que podem levar uma startup a dar o cano.,gemma3,prompt4,gemma3,prompt2,Esta empresa de capital de risco acabou de escrever um dos artigos mais precisos sobre erros em financiamentos Seed.,0.9492
16,newsmet,literais,This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,Essa gestora de venture capital acabou de escrever um dos artigos mais certeiros sobre os erros que podem levar uma startup a dar o cano.,gemma3,prompt4,gemmaX,sem_prompt,Esta empresa de capital de risco acabou de escrever um dos artigos mais acertados sobre erros de financiamento de Seed,0.9429
17,newsmet,literais,Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,Proprietário dos Texans Chamou Manifestantes de 'Detentos' — Agora Veja o Que Eles Fizeram em Retaliação.,gpt,prompt4,gpt,prompt2,O dono dos Texans chamou os manifestantes de 'detentos' — agora veja o que eles fizeram em retaliação.,0.9356
17,newsmet,literais,Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,Proprietário dos Texans Chamou Manifestantes de 'Detentos' — Agora Veja o Que Eles Fizeram em Retaliação.,gpt,prompt4,gemini,prompt2,Dono dos Texans Chamou Protestantes de 'Presidiários' — Agora Vejam o Que Fizeram em Retaliação,0.9665
17,newsmet,literais,Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,Proprietário dos Texans Chamou Manifestantes de 'Detentos' — Agora Veja o Que Eles Fizeram em Retaliação.,gpt,prompt4,gemini,prompt4,Dono dos Texans Chamou Manifestantes de 'Detentos' — Vejam Só o Que Fizeram em Retaliação,0.966
17,newsmet,literais,Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,Proprietário dos Texans Chamou Manifestantes de 'Detentos' — Agora Veja o Que Eles Fizeram em Retaliação.,gpt,prompt4,gemma3,prompt2,O dono dos Texans chamou os manifestantes de 'detentos' — veja o que eles fizeram em retaliação agora.,0.9534
17,newsmet,literais,Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,Proprietário dos Texans Chamou Manifestantes de 'Detentos' — Agora Veja o Que Eles Fizeram em Retaliação.,gpt,prompt4,gemma3,prompt4,O dono dos Texans chamou os manifestantes de 'detentos' — e agora vejam o que eles fizeram em retaliação.,0.9362
17,newsmet,literais,Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,Proprietário dos Texans Chamou Manifestantes de 'Detentos' — Agora Veja o Que Eles Fizeram em Retaliação.,gpt,prompt4,gemmaX,sem_prompt,"O proprietário dos Texans chamou os manifestantes de ""presidiários"" — agora, veja o que fizeram em retaliação",0.9318
18,newsmet,literais,"E.J. Dionne Challenges John McCain to Kill the GOP Tax ""Reform"" Giveaway to The Rich.","E.J. Dionne desafia John McCain a enterrar a ""reforma"" tributária que presenteia os ricos.",gpt,prompt4,gpt,prompt2,"E.J. Dionne desafia John McCain a acabar com a ""reforma"" tributária da GOP que beneficia os ricos.",0.9564
18,newsmet,literais,"E.J. Dionne Challenges John McCain to Kill the GOP Tax ""Reform"" Giveaway to The Rich.","E.J. Dionne desafia John McCain a enterrar a ""reforma"" tributária que presenteia os ricos.",gpt,prompt4,gemini,prompt2,"E.J. Dionne desafia John McCain a enterrar a ""reforma"" fiscal do Partido Republicano, uma benesse para os ricos.",0.9594
18,newsmet,literais,"E.J. Dionne Challenges John McCain to Kill the GOP Tax ""Reform"" Giveaway to The Rich.","E.J. Dionne desafia John McCain a enterrar a ""reforma"" tributária que presenteia os ricos.",gpt,prompt4,gemini,prompt4,"Dionne desafia John McCain a dar um fim à ""farra"" fiscal do Partido Republicano para os ricos.",0.9387
18,newsmet,literais,"E.J. Dionne Challenges John McCain to Kill the GOP Tax ""Reform"" Giveaway to The Rich.","E.J. Dionne desafia John McCain a enterrar a ""reforma"" tributária que presenteia os ricos.",gpt,prompt4,gemma3,prompt2,E.J. Dionne desafia John McCain a acabar com o presente fiscal para os ricos do Partido Republicano.,0.9609
18,newsmet,literais,"E.J. Dionne Challenges John McCain to Kill the GOP Tax ""Reform"" Giveaway to The Rich.","E.J. Dionne desafia John McCain a enterrar a ""reforma"" tributária que presenteia os ricos.",gpt,prompt4,gemma3,prompt4,E.J. Dionne Desafia John McCain a Enterrar o Presente Fiscal para os Ricos do Partido Republicano.,0.9293
18,newsmet,literais,"E.J. Dionne Challenges John McCain to Kill the GOP Tax ""Reform"" Giveaway to The Rich.","E.J. Dionne desafia John McCain a enterrar a ""reforma"" tributária que presenteia os ricos.",gpt,prompt4,gemmaX,sem_prompt,"E.J. Dionne desafia John McCain a eliminar a ""reforma"" fiscal do Partido Republicano que beneficia os ricos.",0.9753
19,newsmet,literais,"‘Liberal’ Washington Post: $$15/hour minimum wage will put people out of work, hurt poorest people","O salário mínimo de $$15/hora vai deixar pessoas na rua, prejudicando os mais pobres.",gpt,prompt4,gpt,prompt2,"'Washington Post 'liberal': O salário mínimo de $15/hora colocará pessoas fora do mercado de trabalho, afetando os mais pobres.'",0.9194
19,newsmet,literais,"‘Liberal’ Washington Post: $$15/hour minimum wage will put people out of work, hurt poorest people","O salário mínimo de $$15/hora vai deixar pessoas na rua, prejudicando os mais pobres.",gpt,prompt4,gemini,prompt2,"""Washington Post, 'liberal': salário mínimo de $15/hora fará com que pessoas percam seus empregos e prejudicará os mais pobres.""",0.9006
19,newsmet,literais,"‘Liberal’ Washington Post: $$15/hour minimum wage will put people out of work, hurt poorest people","O salário mínimo de $$15/hora vai deixar pessoas na rua, prejudicando os mais pobres.",gpt,prompt4,gemini,prompt4,"Um salário mínimo de 15 dólares por hora, defendido pela esquerda, vai botar gente na rua e afundar os mais pobres.",0.9428
19,newsmet,literais,"‘Liberal’ Washington Post: $$15/hour minimum wage will put people out of work, hurt poorest people","O salário mínimo de $$15/hora vai deixar pessoas na rua, prejudicando os mais pobres.",gpt,prompt4,gemma3,prompt2,‘'Washington Post' liberal: salário mínimo de 15 dólares/hora deixará pessoas desempregadas e prejudicará os mais pobres.',0.8997
19,newsmet,literais,"‘Liberal’ Washington Post: $$15/hour minimum wage will put people out of work, hurt poorest people","O salário mínimo de $$15/hora vai deixar pessoas na rua, prejudicando os mais pobres.",gpt,prompt4,gemma3,prompt4,"""Salário mínimo de 15 dólares/hora vai botar gente para a rua, ferindo os mais pobres.""",0.9513
19,newsmet,literais,"‘Liberal’ Washington Post: $$15/hour minimum wage will put people out of work, hurt poorest people","O salário mínimo de $$15/hora vai deixar pessoas na rua, prejudicando os mais pobres.",gpt,prompt4,gemmaX,sem_prompt,"Washington Post “liberal”: salário mínimo de 15 dólares/hora colocará as pessoas sem trabalho, prejudicando as pessoas mais pobres",0.9274
21,newsmet,literais,"REVEALED=> NFL Kneeler Colin Kaepernick Donated $$25,000 to Cop Killer Fund","A cortina da hipocrisia se rasgou: Kaepernick, o ajoelhado da NFL, irrigou com 25 mil dólares as raízes do crime contra policiais.",gemini,prompt4,gpt,prompt2,"REVELADO => O kneeler da NFL, Colin Kaepernick, doou $25.000 ao fundo de assassinos de policiais.",0.9071
21,newsmet,literais,"REVEALED=> NFL Kneeler Colin Kaepernick Donated $$25,000 to Cop Killer Fund","A cortina da hipocrisia se rasgou: Kaepernick, o ajoelhado da NFL, irrigou com 25 mil dólares as raízes do crime contra policiais.",gemini,prompt4,gpt,prompt4,"REVELADO => Colin Kaepernick, o que se ajoelha na NFL, doou R$ 25.000 para o fundo de assassinos de policiais.",0.9095
21,newsmet,literais,"REVEALED=> NFL Kneeler Colin Kaepernick Donated $$25,000 to Cop Killer Fund","A cortina da hipocrisia se rasgou: Kaepernick, o ajoelhado da NFL, irrigou com 25 mil dólares as raízes do crime contra policiais.",gemini,prompt4,gemini,prompt2,"REVELADO => Colin Kaepernick, jogador da NFL, doou $25.000 para um fundo de apoio a assassinos de policiais.",0.9087
21,newsmet,literais,"REVEALED=> NFL Kneeler Colin Kaepernick Donated $$25,000 to Cop Killer Fund","A cortina da hipocrisia se rasgou: Kaepernick, o ajoelhado da NFL, irrigou com 25 mil dólares as raízes do crime contra policiais.",gemini,prompt4,gemma3,prompt2,REVELADO: Joelhador da NFL Colin Kaepernick Doou 25.000 dólares para Fundo de Apoio a Assassino de Polícia,0.8727
21,newsmet,literais,"REVEALED=> NFL Kneeler Colin Kaepernick Donated $$25,000 to Cop Killer Fund","A cortina da hipocrisia se rasgou: Kaepernick, o ajoelhado da NFL, irrigou com 25 mil dólares as raízes do crime contra policiais.",gemini,prompt4,gemma3,prompt4,"Revelado: Joelhador da NFL, Colin Kaepernick, doou 25.000 dólares a um fundo de apoio a assassinos de policiais.",0.9129
21,newsmet,literais,"REVEALED=> NFL Kneeler Colin Kaepernick Donated $$25,000 to Cop Killer Fund","A cortina da hipocrisia se rasgou: Kaepernick, o ajoelhado da NFL, irrigou com 25 mil dólares as raízes do crime contra policiais.",gemini,prompt4,gemmaX,sem_prompt,"REVELADO => Colin Kaepernick, o jogador da NFL que se ajoelhava, doou 25 000 $ para o fundo dos assassinos de polícias",0.9152
22,newsmet,literais,New Report Destroys Fabricated Myth of Syria’s ‘White Helmets’,"Novo relatório esfarela o mito tecido sobre os ""Capacetes Brancos"" da Síria.",gemini,prompt4,gpt,prompt2,Novo relatório destrói o mito fabricado dos 'Capacetes Brancos' da Síria.,0.9531
22,newsmet,literais,New Report Destroys Fabricated Myth of Syria’s ‘White Helmets’,"Novo relatório esfarela o mito tecido sobre os ""Capacetes Brancos"" da Síria.",gemini,prompt4,gpt,prompt4,Novo Relatório Desmantela Mito Fabricado dos 'Cascos Brancos' da Síria.,0.9282
22,newsmet,literais,New Report Destroys Fabricated Myth of Syria’s ‘White Helmets’,"Novo relatório esfarela o mito tecido sobre os ""Capacetes Brancos"" da Síria.",gemini,prompt4,gemini,prompt2,Novo relatório destrói mito fabricado dos 'Capacetes Brancos' na Síria.,0.9507
22,newsmet,literais,New Report Destroys Fabricated Myth of Syria’s ‘White Helmets’,"Novo relatório esfarela o mito tecido sobre os ""Capacetes Brancos"" da Síria.",gemini,prompt4,gemma3,prompt2,Novo relatório desmascara o mito fabricado dos ‘Capacetes Brancos’ da Síria.,0.9552
22,newsmet,literais,New Report Destroys Fabricated Myth of Syria’s ‘White Helmets’,"Novo relatório esfarela o mito tecido sobre os ""Capacetes Brancos"" da Síria.",gemini,prompt4,gemma3,prompt4,Novo relatório desmascara a farsa dos ‘Capacetes Brancos’ da Síria.,0.9662
22,newsmet,literais,New Report Destroys Fabricated Myth of Syria’s ‘White Helmets’,"Novo relatório esfarela o mito tecido sobre os ""Capacetes Brancos"" da Síria.",gemini,prompt4,gemmaX,sem_prompt,"Novo relatório destrói o mito fabricado dos ""Capacetes Brancos"" da Síria",0.9486
23,newsmet,literais,Vice President Pence Makes Case for Healthcare Repeal Bill in Kentucky,O Vice-Presidente Pence Defende o Projeto de Lei para Revogação da Saúde em Kentucky.,gpt,prompt4,gpt,prompt2,O vice-presidente Pence defende o projeto de revogação da saúde no Kentucky.,0.9525
23,newsmet,literais,Vice President Pence Makes Case for Healthcare Repeal Bill in Kentucky,O Vice-Presidente Pence Defende o Projeto de Lei para Revogação da Saúde em Kentucky.,gpt,prompt4,gemini,prompt2,Vice-presidente Pence defende revogação do projeto de lei de saúde no Kentucky.,0.9762
23,newsmet,literais,Vice President Pence Makes Case for Healthcare Repeal Bill in Kentucky,O Vice-Presidente Pence Defende o Projeto de Lei para Revogação da Saúde em Kentucky.,gpt,prompt4,gemini,prompt4,Pence vende o peixe da revogação da lei de saúde no Kentucky.,0.9347
23,newsmet,literais,Vice President Pence Makes Case for Healthcare Repeal Bill in Kentucky,O Vice-Presidente Pence Defende o Projeto de Lei para Revogação da Saúde em Kentucky.,gpt,prompt4,gemma3,prompt2,O vice-presidente Pence defende a revogação da lei de saúde em Kentucky.,0.975
23,newsmet,literais,Vice President Pence Makes Case for Healthcare Repeal Bill in Kentucky,O Vice-Presidente Pence Defende o Projeto de Lei para Revogação da Saúde em Kentucky.,gpt,prompt4,gemma3,prompt4,Vice-presidente Pence Defende a Revogação da Lei do Sistema de Saúde em Kentucky.,0.9764
23,newsmet,literais,Vice President Pence Makes Case for Healthcare Repeal Bill in Kentucky,O Vice-Presidente Pence Defende o Projeto de Lei para Revogação da Saúde em Kentucky.,gpt,prompt4,gemmaX,sem_prompt,Vice-presidente Pence defende projeto de lei de revogação do sistema de saúde em Kentucky,0.962
27,newsmet,literais,"After Coup, Even Mugabe’s Own Party Is Dumping Him","Mesmo após o golpe, até seus próprios aliados estão descartando Mugabe.",gemma3,prompt4,gpt,prompt2,"Após o golpe, até mesmo o próprio partido de Mugabe está abandonando-o.",0.9508
27,newsmet,literais,"After Coup, Even Mugabe’s Own Party Is Dumping Him","Mesmo após o golpe, até seus próprios aliados estão descartando Mugabe.",gemma3,prompt4,gpt,prompt4,"Após o golpe, até o próprio partido de Mugabe está o abandonando.",0.9628
27,newsmet,literais,"After Coup, Even Mugabe’s Own Party Is Dumping Him","Mesmo após o golpe, até seus próprios aliados estão descartando Mugabe.",gemma3,prompt4,gemini,prompt2,"Após o golpe, até o próprio partido de Mugabe o está abandonando.",0.9652
27,newsmet,literais,"After Coup, Even Mugabe’s Own Party Is Dumping Him","Mesmo após o golpe, até seus próprios aliados estão descartando Mugabe.",gemma3,prompt4,gemini,prompt4,"Após o golpe, até o partido de Mugabe está abandonando o barco.",0.9578
27,newsmet,literais,"After Coup, Even Mugabe’s Own Party Is Dumping Him","Mesmo após o golpe, até seus próprios aliados estão descartando Mugabe.",gemma3,prompt4,gemma3,prompt2,"Após o golpe, até o próprio partido de Mugabe o está abandonando.",0.9652
27,newsmet,literais,"After Coup, Even Mugabe’s Own Party Is Dumping Him","Mesmo após o golpe, até seus próprios aliados estão descartando Mugabe.",gemma3,prompt4,gemmaX,sem_prompt,"Após o golpe, até o próprio partido de Mugabe está a abandoná-lo",0.941
28,newsmet,literais,Can Classical Music Take a Joke? A Violinist Is Shredded,A música clássica aguenta uma piada? Um violinista é destroçado.,gemma3,prompt4,gpt,prompt2,A música clássica pode levar uma piada? Um violinista é detonado.,0.9488
28,newsmet,literais,Can Classical Music Take a Joke? A Violinist Is Shredded,A música clássica aguenta uma piada? Um violinista é destroçado.,gemma3,prompt4,gpt,prompt4,A música clássica pode levar uma piada? Um violinista é desmantelado.,0.9513
28,newsmet,literais,Can Classical Music Take a Joke? A Violinist Is Shredded,A música clássica aguenta uma piada? Um violinista é destroçado.,gemma3,prompt4,gemini,prompt2,A Música Clássica Aceita uma Piada? Um Violinista é Despedaçado.,0.9455
28,newsmet,literais,Can Classical Music Take a Joke? A Violinist Is Shredded,A música clássica aguenta uma piada? Um violinista é destroçado.,gemma3,prompt4,gemini,prompt4,A Música Clássica Leva Na Brincadeira? Um Violinista Vai Para o Vinagre.,0.9241
28,newsmet,literais,Can Classical Music Take a Joke? A Violinist Is Shredded,A música clássica aguenta uma piada? Um violinista é destroçado.,gemma3,prompt4,gemma3,prompt2,A música clássica consegue levar uma piada? Um violinista é destroçado.,0.9603
28,newsmet,literais,Can Classical Music Take a Joke? A Violinist Is Shredded,A música clássica aguenta uma piada? Um violinista é destroçado.,gemma3,prompt4,gemmaX,sem_prompt,A música clássica pode receber piadas? Um violinista é ridicularizado,0.9509
31,newsmet,literais,"‘You imbeciles’! Yahoo News tries to paint GOPer Ed Gillespie as racist, fails MISERABLY",Seus imbecis!,gemini,prompt4,gpt,prompt2,"“Vocês, imbecis! O Yahoo News tenta retratar o republicano Ed Gillespie como racista, mas falha miseravelmente.”",0.7995
31,newsmet,literais,"‘You imbeciles’! Yahoo News tries to paint GOPer Ed Gillespie as racist, fails MISERABLY",Seus imbecis!,gemini,prompt4,gpt,prompt4,"Vocês, imbecis.",0.8952
