indice,dataset,modelo,prompt,ingles_original,portugues_traduzido,label,xcomet_xl,quartil
21,newsmet,gemini,prompt4,"REVEALED=> NFL Kneeler Colin Kaepernick Donated $$25,000 to Cop Killer Fund","A cortina da hipocrisia se rasgou: Kaepernick, o ajoelhado da NFL, irrigou com 25 mil dólares as raízes do crime contra policiais.
",0,2374,Q1
22,newsmet,gemini,prompt4,New Report Destroys Fabricated Myth of Syria’s ‘White Helmets’,"Novo relatório esfarela o mito tecido sobre os ""Capacetes Brancos"" da Síria.
",0,1916,Q2
23,newsmet,gpt,prompt4,Vice President Pence Makes Case for Healthcare Repeal Bill in Kentucky,O Vice-Presidente Pence Defende o Projeto de Lei para Revogação da Saúde em Kentucky.,0,1985,Q2
27,newsmet,gemma3,prompt4,"After Coup, Even Mugabe’s Own Party Is Dumping Him","Mesmo após o golpe, até seus próprios aliados estão descartando Mugabe.",0,2355,Q1
28,newsmet,gemma3,prompt4,Can Classical Music Take a Joke? A Violinist Is Shredded,A música clássica aguenta uma piada? Um violinista é destroçado.,0,2378,Q1
31,newsmet,gemini,prompt4,"‘You imbeciles’! Yahoo News tries to paint GOPer Ed Gillespie as racist, fails MISERABLY","Seus imbecis!
",0,2539,Q1
32,newsmet,gemma3,prompt4,Trump Must Embrace His Revolutionary Self Or Politically Perish,Trump precisa abraçar seu espírito revolucionário ou definhar politicamente.,0,2259,Q2
33,newsmet,gemma3,prompt4,NBA coach Popovich lambastes ‘unfit’ Trump as a ‘soulless coward’ for not calling families of slain soldiers,"Popovich destila fogo no exílio contra Trump, um “covarde sem alma” por ignorar o luto das famílias de soldados caídos.
",0,2098,Q2
34,newsmet,gemma3,prompt4,Judge Not Inclined to Reinstate Trump Sanctuary Cities Order,Relutância em reerguer a ordem das cidades-santuário de Trump.,0,2075,Q2
36,newsmet,gemma3,prompt4,Rand Paul and John McCain Might Have Killed the GOP’s Obamacare Repeal Bill,Rand Paul e John McCain Teriam Enterrado o GOP no Tumulo da Reforma do Obamacare.,0,2063,Q2
37,newsmet,gemini,prompt4,UFC enters sponsorship deal with Modelo to expand brand in consumer market,"O UFC brinda com Modelo para brindar a marca no mercado consumidor.
",0,2308,Q1
40,newsmet,gpt,prompt4,Michael Moore Takes His Broadway Audience on Buses to Protest Trump,Michael Moore Leva Sua Plateia da Broadway em Ônibus para Protestar Contra Trump,0,2105,Q2
43,newsmet,gemini,prompt4,Military Demands Tougher Immigration Controls As Terrorists Ravage Filipino City,"A caserna clama por fronteiras mais blindadas, enquanto o terrorista devasta a cidade filipina.
",0,2549,Q1
44,newsmet,gemini,prompt4,Trump Thanks Putin for Slashing US Embassy Staff: ‘It Cut Our Payroll’,"Trump agradece Putin por cortar pessoal da embaixada americana: 'Enxugou a folha de pagamento'
",0,1928,Q2
45,newsmet,gemini,prompt4,Ninth Circuit Delivers Trump Admin. a Setback on Travel Ban Executive Order Before Supreme Court Hearing,"Nona Corte Prega uma Peça na Administração Trump: Ban de Viagem Toma Tombo Antes do Julgamento no Supremo
",0,2333,Q1
46,newsmet,gemini,prompt4,What factors are affecting the strength of competition in Global Dermatology Drugs Market? What will be the size of the Dermatology Drugs Market in 2024?,"Quais ventos sopram sobre a arena competitiva do Mercado Global de Medicamentos Dermatológicos? Qual será o tamanho do tesouro do Mercado de Medicamentos Dermatológicos em 2024?
",0,2091,Q2
48,newsmet,gpt,prompt4,Cartoon: Donald Trump sweeps the Fake News Awards nominations,Donald Trump domina as indicações do Prêmio das Falsas Notícias.,0,1940,Q2
49,newsmet,gemini,prompt4,NFL: Steelers' David DeCastro slams his team over Jaguars' loss,"David DeCastro, dos Steelers, botou a boca no trombone sobre a derrota para os Jaguars.
",0,2317,Q1
52,newsmet,gpt,prompt4,A Reporter’s East Africa File Cabinets Yield Untold Stories,Os Gavetas de História da Reporter na África Oriental Revelam Contos Inexplorados.,0,2159,Q2
53,newsmet,gpt,prompt4,Hawaii gov sheepishly explains why he didn’t retract the fake missile alert sooner,"O governo do Havai, com certa timidez, explica por que não cancelou a falsa alerta de míssil mais cedo.",0,2252,Q2
54,newsmet,gemma3,prompt4,Defense Secretary James Mattis Delivers Statement on North Korea…,"O Secretário de Defesa James Mattis faz declaração sobre a Coreia do Norte…

...a Coreia do Norte está dançando na corda bamba, e nós não vamos deixar que ela caia de cara no chão. Eles estão jogando com fogo, e podem acabar se queimando. Não vamos tolerar que eles nos atirem pedras e esperem que nós apenas suportemos. Estamos preparando o terreno para uma resposta robusta, caso precisem aprender uma lição da maneira mais difícil. Não vamos dar a eles a chance de se dar ao luxo de subestimar a determinação dos Estados Unidos. Vamos deixá-los em alerta máximo, para que saibam que qualquer movimento deles será respondido com força e precisão. Estamos em guarda, e não vamos piscar enquanto eles tentam nos blefar. É hora de eles calarem a boca e pararem de fazer exigências. A diplomacia é uma avenida aberta, mas só se",0,2520,Q1
59,newsmet,gemma3,prompt4,Women’s March co-president responds to apologist for white nationalist patriarchy who questioned group’s ties,A co-presidente da Marcha das Mulheres responde a um apologista da patriarquia nacionalista branca que questionou os laços do grupo.,0,1988,Q2
60,newsmet,gemini,prompt4,Doughnut shop blasted over charity drive for needy family — because it asked Salvation Army to help,"A rosquinha explodiu por pedir ajuda ao Exército da Salvação para uma família necessitada.
",0,2303,Q1
61,newsmet,gemini,prompt4,The Yankees Absolutely Own the Twins in the Postseason,"Os Yankees comem o Minnesota Twins no café da manhã na pós-temporada.
",0,1997,Q2
63,newsmet,gemma3,prompt4,John McCain Goes ‘Maverick’ Again; Makes Anti-Trump Military Announcement Like A Real Leader,"John McCain volta a ser ""Fora da Curva""; Faz Declaração Militar Anti-Trump Como Um Verdadeiro Líder.",0,2256,Q2
64,newsmet,gemini,prompt4,Fox News allegedly published a fake article in favor of Trump,"A Fox News, dizem as más línguas, soltou uma nota falsa em louvor a Trump.
",0,2344,Q1
65,newsmet,gpt,prompt4,"Gaffney: On North Korea, ‘Strategic Patience’ Has Enabled Strategic Blackmail","Gaffney: Sobre a Coreia do Norte, a ‘Paciência Estratégica’ Permitindo o Chantageamento Estratégico.",0,2095,Q2
67,newsmet,gemini,prompt4,Photogallery - Friend of Joy-Anna Duggar reveals shocking secret about her pregnancy,"Galeria de Fotos - Amiga de Joy-Anna Duggar revela segredo bombástico sobre sua gravidez.
",0,2247,Q2
68,newsmet,gemini,prompt4,"Defends Fox News in fact-free tweetstorm, rips CNN for pushing fake news","Em meio a um tiroteio de tuítes sem munição, sai em defesa da Fox News e metralha a CNN por divulgar fake news.
",0,2278,Q1
73,newsmet,gpt,prompt4,WaPo: Russians Used Facebook 'Retargeting' Tool to Mess with 2016 Election,Russos Usaram Ferramenta de 'Reimpacto' do Facebook para Bagunçar a Eleição de 2016.,0,2163,Q2
76,newsmet,gemini,prompt4,Pokemon Go' APK update reveals major boost to 'Pokemon Go Plus device,"Pokémon Go: atualização do APK revela super injeção de adrenalina no 'Pokémon Go Plus'
",0,1971,Q2
78,newsmet,gemini,prompt4,or Why Tax Cuts for Wealthy Corporations Won't Create Jobs,"Por que cortes de impostos para corporações ricas não vão gerar empregos.
",0,2238,Q2
79,newsmet,gemma3,prompt4,Sessions outlines millions in grant funding sanctuary cities will lose this year,"A gestão delineia milhões em financiamento que cidades-santuário verão escoarem neste ano.
",0,2338,Q1
81,newsmet,gemma3,prompt4,‘What is this crap’? Gun-grabbing ass David Frum just slammed MILLIONS of Americans,"Que porcaria é essa? O David Frum, agarrado a armas como um louco, destilou veneno contra milhões de americanos.
",0,2124,Q2
83,newsmet,gemini,prompt4,University of Missouri struggles to recruit students two years after protests about racial injustice,"A Universidade do Missouri luta para atrair estudantes dois anos após as chamas da injustiça racial.
",0,2082,Q2
84,newsmet,gpt,prompt4,"Sean Hannity Teases ""HUGE ANNOUNCEMENTS Tonight"" -- Involves Bill O'Reilly!","Sean Hannity provoca ""ANÚNCIOS IMPERDÍVEIS ESTA NOITE"" -- Envolve Bill O'Reilly!",0,2326,Q1
85,newsmet,gemma3,prompt4,America lifts ban on import of elephant trophies from Africa,A América reabre as portas para as lembranças africanas de marfim.,0,2174,Q2
89,newsmet,gpt,prompt4,GOP Governor stiffs hamburger joint; tosses bill in garbage,O governador republicano boicota a lanchonete; joga a conta no lixo.,0,2304,Q1
94,newsmet,gpt,prompt4,Dark Storm Industries Drops Featureless DS-10 Typhoon in 6.5 Creedmoor,Indústrias Tempestuosas Lançam o DS-10 Tufão Sem Caráter em 6.5 Creedmoor.,0,2361,Q1
96,newsmet,gpt,prompt4,"Umm, NO: Alyssa Milano triggers avalanche of reality checks for claiming Obama killed Bin Laden","Umm, NÃO: Alyssa Milano provoca uma avalanche de despiques da realidade ao afirmar que Obama matou Bin Laden.",0,1938,Q2
98,newsmet,gemini,prompt4,‘What a scumbag’! Dem Rep. Seth Moulton proudly disrespects #Vegas shooting victims,"Que canalha!
",0,2536,Q1
101,newsmet,gemma3,prompt4,"AT LAST: Illegal Immigrant Deported 20 Times Sexually Assaults Woman, Finally Gets Hit Back By Karma","Por fim, o predador expulso vinte vezes encontra seu castigo na lei do retorno.",0,2516,Q1
102,newsmet,gemma3,prompt4,Liberal German Catholic Church Takes in Record $7.1 Billion in 2017 Tax Revenues,"Igreja Católica Liberta-se e Arrecada Razoável Soma de 7,1 Bilhões em 2017 Através de Impostos.
",0,2373,Q1
103,newsmet,gemma3,prompt4,Fox host shuts down BLM supporter over 10 requests for white people: ‘Textbook definition of racism’,Apresentador da Fox derruba defensor do BLM após dez pedidos por atenção aos brancos: ‘definição clássica de racismo’.,0,2494,Q1
105,newsmet,gemma3,prompt4,Coughlin to Raise Funds for Democrats in Battleground Districts,Coughlin para reacender a esperança em distritos decisivos.,0,2169,Q2
108,newsmet,gemma3,prompt4,Journalist Who Uncovered Russia's Antigay Persecution Shockingly Dies at 52,Jornalista que desvendou a perseguição antissética da Rússia finda aos 52 anos.,0,2461,Q1
114,newsmet,gemma3,prompt4,President Donald Trump lifts the Jones Act to help Puerto Rico,Donald Trump afrouxa as amarras da Lei Jones para socorrer Porto Rico.,0,2156,Q2
117,newsmet,gemma3,prompt4,Tax Bill Would Curb Breaks for Sexual Abuse Settlements,Projeto de Lei Frearia Privilégios em Acordos de Abuso Sexual.,0,2393,Q1
118,newsmet,gemma3,prompt4,"Celebrities are defending an Obama, but it's not the former President","Estrelas estão em defesa de um Obama, mas não o ex-presidente.",0,1944,Q2
120,newsmet,gemini,prompt4,Trump Russia Corruption Update #18: Trumps lie about his reason for firing Comey is fully exposed,"Trump Rússia: Escândalo #18: A mentira de Trump sobre a demissão de Comey vai para o vinagre.
",0,2207,Q2
121,newsmet,gemma3,prompt4,Photogallery - Trump supporters should hold his feet to the fire,"Que os apoiadores de Trump o mantenham na fogueira.
",0,2556,Q1
122,newsmet,gpt,prompt4,Vietnam is still holding Chinese Golden Buffalo Spirit from over 600 years ago,O Vietnã ainda guarda o Espírito do Boi Dourado Chinês de mais de 600 anos atrás.,0,2204,Q2
126,newsmet,gpt,prompt4,President Donald Trump kicks CNN reporter out of Oval Office,O presidente Donald Trump manda repórter da CNN embora do Salão Oval.,0,2285,Q1
129,newsmet,gemini,prompt4,"How to Eat a Keto Diet When You’re Vegan, Vegetarian, or Plant-Based","Como Navegar na Dieta Keto Sendo Vegano, Vegetariano ou à Base de Plantas
",0,2490,Q1
130,newsmet,gemma3,prompt4,Do the Dunes: Where You Can Ride the Sand,Domine as Dunas: Onde a Areia Ganha Vida.,0,2458,Q1
131,newsmet,gemma3,prompt4,Alabama state auditor says Roy Moore bombshell ‘much ado about very little’ — even if ‘completely true’,"O auditor do estado do Alabama diz que a bomba de Roy Moore é “muito barulho por pouco valor” – mesmo que seja ‘completamente verdadeira’.
",0,2329,Q1
132,newsmet,gpt,prompt4,‘The alt-right is a terrorist movement’: Ex-Bush ethics czar blasts Trump administration’s support of racists,A alt-right é um movimento terrorista.,0,2314,Q1
136,newsmet,gemini,prompt4,"Despite Puerto Rico Disaster, Vulture Firms Relentlessly Seeking Billions in Debt Payments","Apesar da tragédia em Porto Rico, abutres financeiros famintos por bilhões em dívidas não dão trégua.
",0,1967,Q2
138,newsmet,gemini,prompt4,"Judi Dench Gives a Touching, Majestic Performance in ‘Victoria and Abdul’","Judi Dench entrega uma atuação tocante e majestosa em ‘Victoria e Abdul’.
",0,2020,Q2
142,newsmet,gpt,prompt4,"Republican Tax Cut Would Benefit Wealthy and Corporations Most, Report Finds","Corte de Impostos Republicano Beneficiaria Mais os Ricos e as Corporações, Consta em Relatório.",0,2005,Q2
143,newsmet,gemini,prompt4,Democrat Alcee Hastings Left Taxpayers With An Expensive Sexual Harassment Tab,"Alcee Hastings deixou uma conta salgada de assédio sexual para os contribuintes pagarem.
",0,2107,Q2
144,newsmet,gemma3,prompt4,New York’s Muslim bomber goes on trial: “Attack the Kuffar [non-believers] in their backyard.”,"Terrorista muçulmano de Nova York enfrenta a justiça: ""Ataquem os incrédulos em seu próprio quintal.""",0,2109,Q2
146,newsmet,gemma3,prompt4,VICTORY: Wichita State drops bogus Title IX investigation of fraternity for hanging a banner,"Vitória: Wichita State desfaz investigação fajuta do Título IX contra fraternidade por pendurar um banner.
",0,2295,Q1
147,newsmet,gemini,prompt4,Government committee declares HPV vaccines should never be given to teenage boys … Media pursues total BLACKOUT on the story,"Comissão governamental decreta: vacinas contra HPV jamais devem ser aplicadas em adolescentes do sexo masculino… Mídia persegue CENSURA ABSOLUTA sobre o caso.
",0,2400,Q1
148,newsmet,gpt,prompt4,A Long-Tolerant Spa Town Feels the Chill of Slovak Populism,Uma Cidade Termal Longamente Tolerante Sente o Frio do Populismo Eslovaco.,0,2274,Q1
152,newsmet,gemma3,prompt4,WATCH: Joy Reid stumps Trump-supporting pastor with question about what president has done for black people,ASSISTA: Joy Reid deixa pastor apoiador de Trump sem resposta com pergunta sobre o que o presidente fez pelos negros.,0,2118,Q2
154,newsmet,gpt,prompt4,Photogallery - MSNBC host destroys Donald Trump over 'repulsive' support of Roy Moore,Galeria de Fotos - Apresentadora da MSNBC destroça Donald Trump por seu apoio 'repulsivo' a Roy Moore.,0,2127,Q2
157,newsmet,gemma3,prompt4,Jews of the Diaspora Bring Their Cause to the Israeli Public,Judeus da diáspora levantam a voz perante o público israelense.,0,2459,Q1
158,newsmet,gemini,prompt4,"Crooked Hillary Denies Donna Brazile Accusations of DNC Rigging ""That Just Wasn't the Case"" (VIDEO)","Hillary, a torta, nega acusações de Donna Brazile sobre a armação do DNC: ""Isso simplesmente não aconteceu"" (VÍDEO)
",0,2481,Q1
159,newsmet,gemini,prompt4,Trump spreads fake news about Obama in the Philippines,"Trump espalha notícias falsas sobre Obama nas Filipinas.
",0,1975,Q2
163,newsmet,gemma3,prompt4,Trump White House trashes CBO for being inaccurate — and proceeds to misspell ‘inaccurately’,"A Casa Branca de Trump ataca o CBO por ser impreciso — e segue a patada, soletrando ""inaccurately"" de forma errada.",0,2190,Q2
166,newsmet,gemma3,prompt4,"US ""Should & Will"" get along with Russia: Trump finally holds promise","""Trump finalmente oferece uma trégua para o gelo e o fogo russos.""",0,2457,Q1
167,newsmet,gemma3,prompt4,Jessica Chastain teases about possible role on 'X-Men: Dark Phoenix',"Jessica Chastain instiga sobre um possível papel em 'X-Men: Fênix Negra', atiçando a curiosidade como uma brasa sob a cinza.
",0,2155,Q2
169,newsmet,gpt,prompt4,‘Failed’: Jake Tapper destroys Trump for disrespecting families of dead soldiers with ‘reckless’ words,Jake Tapper arrasa Trump por desrespeitar as famílias dos soldados mortos com palavras 'irresponsáveis'.,0,2299,Q1
172,newsmet,gpt,prompt4,A Duo of Fashionable Auctions Hit the Block in London This Month,Uma Dobra de Leilões Elegantes Chega ao Palco em Londres Este Mês.,0,2386,Q1
173,newsmet,gpt,prompt4,Dominican Players Sharpen Their Skills With a Broomstick and Bottle Cap,Jogadores Dominicanos Afiando suas Habilidades com um Cabide e uma Tampa de Garrafa.,0,2281,Q1
174,newsmet,gemini,prompt4,U.S. tourist breaks German law by giving Hitler salute in public—gets minor beating from passerby,"Turista americano quebra a lei alemã ao fazer saudação nazista em público — leva uma surra de um transeunte.
",0,2478,Q1
175,newsmet,gemini,prompt4,Tweeps rip Chelsea Handler for vulgar tweet about Melania Trump,"Tweeps detonam Chelsea Handler por tuíte chulo sobre Melania Trump.
",0,2252,Q2
176,newsmet,gemma3,prompt4,Number Of Puerto Rico Residents Without Clean Water And Electricity Keeps Rising,"O número de porto-riquenhos à deriva, sem água potável nem luz, continua a engrossar.",0,2476,Q1
180,newsmet,gemma3,prompt4,Details Emerge Showing Violent History of Texas Church Shooter…,Detalhes vêm à tona revelando o passado truculento do atirador da igreja no Texas…,0,2017,Q2
181,newsmet,gemma3,prompt4,Overwatch': spotted unfamiliar weapons sparked speculations of weapon skins,"O avistar de armamentos desconhecidos atiçou a imaginação, gerando teorias sobre novas repinturas.",0,2366,Q1
182,newsmet,gemma3,prompt4,Napolitano Sues Trump to Save DACA Program She Helped Create,"Napolitano aciona Trump para resgatar o DACA, programa que ela ajudou a criar.",0,2238,Q2
183,newsmet,gemma3,prompt4,‘Greatest Showman’ Becomes a Sleeper Hit as Disrespected Films Flourish,"O Espetáculo Mais Grandioso Ascende como um Sucesso Surpreendente, à Medida que Filmes Desprezados Ganham Vida.",0,2398,Q1
187,newsmet,gemini,prompt4,Patch’s Local Advantage Makes Ad-Funded News Profitable 15 Months Straight,"A Vantagem Local da Patch: Notícias Financiadas por Anúncios Dão Lucro por 15 Meses Seguidos.
",0,2435,Q1
188,newsmet,gemini,prompt4,‘Fire Emblem Heroes’ dataminers uncover a future hero coming from 'Echoes',"Caçadores de dados de Fire Emblem Heroes desvendam um futuro herói vindo de 'Echoes'.
",0,2072,Q2
189,newsmet,gemma3,prompt4,"Tennessee Inmates Given Reduced Sentences in Exchange for Vasectomies, Birth Control",Detentos de Tennessee Alcançam Redução de Pena em Troca de Castração Voluntária e Controle de Natalidade.,0,2542,Q1
191,newsmet,gpt,prompt4,"Clinton’s pastor violates Eighth Commandment, ‘Hillary’s daily devotions’ book pulled","O pastor de Clinton fere o Oitavo Mandamento, livro 'devocionais diários de Hillary' retirado.",0,2362,Q1
194,newsmet,gemma3,prompt4,Jared and Ivanka move personal email accounts to Trump Organization computers to avoid scrutiny,Jared e Ivanka transferem suas contas de e-mail pessoais para computadores da Trump Organization para se esquivar do farelo.,0,2332,Q1
196,newsmet,gemma3,prompt4,Ron Insana: Gun Makers Must Be Held Liable for Every Massacre,"Fabricantes de armas devem pagar por cada carnificina.
",0,2120,Q2
199,newsmet,gemini,prompt4,Disney Said to Have Held Talks to Acquire 21st Century Fox Assets,"A Disney flertou com a raposa, sonhando em abocanhar seus bens.
",0,2480,Q1
206,newsmet,gemma3,prompt4,WATCH A Fox News Host SHRED David Clarke For Disrespecting John Lewis,"Assista a um apresentador da Fox News destroçar David Clarke por desrespeitar John Lewis.
",0,1918,Q2
208,newsmet,gemini,prompt4,Ex-Sheriff Joe Arpaio Found Guilty of Contempt for Targeting Immigrants,"O Xerife Joe Arpaio, o Velho Lobo, Atingido em Flagrante por Desprezo, Mirando Imigrantes.
",0,2304,Q1
212,newsmet,gemma3,prompt4,Secret Service Holds First Full-Scale Training Exercise at the White House,O Serviço Secreto realiza o primeiro simulado completo sob as paredes da Casa Branca.,0,2158,Q2
216,newsmet,gpt,prompt4,Photogallery - 'Dragon Ball Super' fans have uncovered the identity of the new Super Warrior,Galeria de Fotos - Fãs de 'Dragon Ball Super' descobriram a identidade do novo Guerreiro Super.,0,1995,Q2
219,newsmet,gemma3,prompt4,Food Stamp Rolls Drop in States That Implement Work Requirements,Auxílio Alimentar Desmorona em Estados que Impõem Trabalho Obrigatório.,0,2374,Q1
220,newsmet,gemini,prompt4,Yankees Sit Aaron Judge in Hopes of Restarting Him,"Os Yankees depositam Aaron Judge na esperança de ressuscitá-lo.
",0,2150,Q2
222,newsmet,gemma3,prompt4,Climate Change Demands an End to Excess and Greed,As mudanças climáticas exigem um fim aos luxos e à ganância desmedida.,0,2311,Q1
223,newsmet,gemma3,prompt4,"McCain Backs ACA, Vote Reflect His Speech for Dedication to BiPartisanship","McCain Endossa o ACA, Voto Reflete Sua Busca por Pontes Partidárias.",0,2297,Q1
224,newsmet,gemini,prompt4,Discussing Bias Against Muslims After a Terrorist Attack: ‘The Media Does Play a Role’,"Após um ataque terrorista, discutir o preconceito contra muçulmanos: 'a mídia acende a chama'.
",0,2353,Q1
225,newsmet,gemini,prompt4,‘Oh no’: Dem Sen. Chris Murphy teases ‘bipartisan breakthrough on gun legislation’,"Ih, lascou!
",0,2556,Q1
228,newsmet,gpt,prompt4,Whiny Republicans whine about McConnell forcing them to vote yes to end health care for millions,Republicanos reclamões reclamam sobre McConnell forçando-os a dizer sim para acabar com a saúde de milhões.,0,1960,Q2
229,newsmet,gemini,prompt4,Trump set to open $1 billion US Embassy in London,"Trump prestes a inaugurar a embaixada americana de 1 bilhão de dólares em Londres.
",0,2471,Q1
231,newsmet,gemma3,prompt4,Tori Roloff starts rumors she could be pregnant with her second child,Tori Roloff atiça boatos de que pode estar grávida de seu segundo filho.,0,2486,Q1
236,newsmet,gemini,prompt4,North Korea threatens a nuclear strike in the 'heart of the U.S.' after CIA director's comments,"A Coreia do Norte ameaça um ataque nuclear no ""coração dos EUA"" após comentários do diretor da CIA.
",0,2221,Q2
237,newsmet,gpt,prompt4,"Republican Tax “Reform” robbing Americans again, raising their Taxes, Fees and wildly increasing Health Care costs.","A ""Reforma"" Fiscal Republicana roubando os americanos novamente, elevando seus Impostos, Taxas e aumentando descontroladamente os Custos da Saúde.",0,1966,Q2
238,newsmet,gemini,prompt4,Pro-Hillary TV Personality Suggests Military Coup To Depose Trump,"Personalidade Pró-Hillary da TV Sugere Golpe Militar para Derrubar Trump.
",0,2257,Q2
239,newsmet,gemma3,prompt4,"ADHD drug use has skyrocketed 345% among young women in 12 years according to the CDC, increasing birth defects","O uso de medicamentos para TDAH disparou 345% entre jovens mulheres em 12 anos, segundo o CDC, semeando defeitos desde a aurora.",0,1979,Q2
245,newsmet,gemini,prompt4,Anna Faris has 'Mom' star Allison Janney's full support amidst Chris Pratt split,"Anna Faris tem o apoio irrestrito de Allison Janney, sua colega de ""Mom"", em meio à separação de Chris Pratt.
",0,2312,Q1
249,newsmet,gemini,prompt4,Trump on Report He Ordered Mueller's Firing: 'Fake News',"Fake News!
",0,2500,Q1
251,newsmet,gemma3,prompt4,"Congressman introduces ""COVFEFE Act"" to hold Trump's Tweets Accountable %%","Deputado apresenta o ""Projeto Antro do Coxixo"" para responsabilizar as Publicações de Trump.",0,2212,Q2
252,newsmet,gemma3,prompt4,‘Wild West of sexual harassment’: Eric Bolling’s accuser tells Joy Reid about the despicable culture at Fox News,O Velho Oeste do assédio sexual: a acusadora de Eric Bolling relata a Joy Reid sobre a cultura deplorável na Fox News.,0,2339,Q1
254,newsmet,gemini,prompt4,Cernovich Promises to Expose Top Democrat Accused of Sexual Harassment Tonight,"Cernovich promete desvendar podre de cacique democrata acusado de assédio sexual, hoje à noite.
",0,2163,Q2
255,newsmet,gpt,prompt4,STUPID ALERT! NARAL thinks they can get Gorsuch booted from SCOTUS case for THIS?,ALERTA DE ESTUPIDEZ! A NARAL acha que pode fazer o Gorsuch levar um pé na bunda do caso da SCOTUS por ISSO?,0,2355,Q1
256,newsmet,gemini,prompt4,Alt-right icon ‘Based Stickman’ faces a year in prison for beating counter-protesters with a baton,"O ""Stickman"" ""Based"", ícone da extrema-direita, vai passar um ano atrás das grades por dar umas bordoadas em manifestantes rivais com um cassetete.
",0,2448,Q1
259,newsmet,gemma3,prompt4,"Ivanka Trump draws largest audience to witness a speech in Tokyo, period.","Ivanka Trump atrai a maior multidão para testemunhar um discurso em Tóquio, ponto final.
",0,2001,Q2
260,newsmet,gpt,prompt4,"In Crimea, Russian Land Grab Feeds Cries of ‘Carpetbaggers!’","Na Crimeia, a Apropriação de Terras Russa Alimenta Os Clamores de ‘Aproveitadores!’",0,2306,Q1
262,newsmet,gpt,prompt4,"Death, Snakes, Injury Await Smuggled Aliens in South Texas","Morte, Cobras, Ferimentos Aguardam Alienígenas Contrabandeados no Sul do Texas.",0,2205,Q2
265,newsmet,gemma3,prompt4,Woman holding American flag pulled to ground & dragged at ‘free speech rally’ in Boston,"Mulher segurando a bandeira americana sendo arrastada ao chão e arrastada em um comício de ""liberdade de expressão"".",0,2330,Q1
267,newsmet,gemini,prompt4,"Puerto Rico Faces ‘Apocalyptic’ Devastation, Says Governor — 70K in ‘Danger’","Porto Rico enfrenta devastação apocalíptica, diz governador — 70 mil em 'perigo'
",0,2186,Q2
268,newsmet,gpt,prompt4,DACA Illegals say Impeach Trump vs Patriots Support President Trump,Imigrantes indocumentados dizem impeachment de Trump vs Patriotas apoiam o presidente Trump.,0,2242,Q2
274,newsmet,gpt,prompt4,‘What world are you living in?’ Paul Krugman sends heads to desks explaining why Trump won,Em que mundo você está vivendo? Paul Krugman faz cabeças baterem nas mesas ao explicar por que Trump venceu.,0,2023,Q2
275,newsmet,gemini,prompt4,‘Swing and a miss’: Jose Canseco addresses Political Pervalanche and it does NOT go well,"Errou feio, errou rude: José Canseco tenta se defender da 'Politicaçalha' e a coisa não sai bem.
",0,2526,Q1
277,newsmet,gemini,prompt4,Here's something to be thankful for: Obamacare enrollments still breaking records,"Eis algo para agradecer: os inscritos no Obamacare continuam batendo recordes.
",0,1992,Q2
280,newsmet,gpt,prompt4,"In Ohio, We Say No Knee-Jerk Bans On Any Gun Accessory","Em Ohio, dizemos que não se deve banir qualquer acessório de arma de maneira impulsiva.",0,2371,Q1
