indice,ingles_original,portugues_traduzido,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil,origem,parascore
55,She took a shower in the morning.,Ela lavou a alma pela manhã.,gemma3,prompt4,0.7097,0.8029276132583618,0.626274824142456,0.6998302936553955,Q1,parascore,0.9212
65,He took the bus to work.,Ele pegou o ônibus para o trampo.,gpt,prompt4,0.596,0.8401967287063599,0.5412707328796387,0.40645039081573486,Q2,parascore,0.904
65,He took the bus to work.,"Ele pegou o ônibus para o trabalho.
",gemini,prompt2,1.0113,1.0,0.9736977815628052,1.060231328010559,Q2,dataset_final,
65,He took the bus to work.,"Ele pegou o busão para o trabalho.
",gemini,prompt4,0.489,0.6135867834091187,0.6010028719902039,0.2524436116218567,Q2,parascore,0.931
65,He took the bus to work.,"Ele pegou a carruagem para o labor.
",gemma3,prompt4,0.3164,0.26299092173576355,0.4954496920108795,0.1907205879688263,Q2,parascore,0.9474
65,He took the bus to work.,Ele pegou o ônibus para trabalhar.,gemmaX,sem_prompt,1.0075,1.0,0.9742336869239807,1.0481599569320679,Q2,parascore,0.9592
69,She is brushing her teeth before bed.,"Ela está preparando a noite para dormir.
",gemini,prompt4,0.3723,0.4932049810886383,0.35891249775886536,0.2648637294769287,Q1,parascore,0.949
69,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,gemma3,prompt2,1.0268,1.0,0.9775684475898744,1.102954626083374,Q1,dataset_final,
69,She is brushing her teeth before bed.,Ela está escovando as estrelas antes de dormir.,gemma3,prompt4,0.5745,0.7636677622795105,0.5182328224182129,0.4416038393974304,Q1,parascore,0.9462
69,She is brushing her teeth before bed.,Ela está escoando os dentes antes de dormir.,gemmaX,sem_prompt,1.0184,1.0,0.951971709728241,1.1033005714416504,Q1,parascore,0.9386
72,I like to drink coffee in the morning.,Eu gosto de beber café pela manhã.,gpt,prompt2,1.0269,1.0,0.979884684085846,1.1007294654846191,Q1,parascore,0.9648
72,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",gemini,prompt2,1.029,1.0,0.978393256664276,1.1085923910140991,Q1,dataset_final,
72,I like to drink coffee in the morning.,"Afogo minhas mágoas no café da manhã.
",gemini,prompt4,0.6199,0.7144715785980225,0.4110479950904846,0.7342391610145569,Q1,parascore,0.9151
72,I like to drink coffee in the morning.,Gosto de tomar café de manhã.,gemmaX,sem_prompt,1.0199,1.0,0.9775829911231995,1.0821161270141602,Q1,parascore,0.9366
79,She is cleaning the kitchen after dinner.,Ela está arrumando a cozinha após o jantar.,gpt,prompt4,0.9182,0.9998085498809814,0.9184333682060242,0.8362772464752197,Q2,parascore,0.9568
79,She is cleaning the kitchen after dinner.,"Ela está limpando a cozinha depois do jantar.
",gemini,prompt2,1.0082,1.0,0.97198885679245,1.0527286529541016,Q2,dataset_final,
79,She is cleaning the kitchen after dinner.,"Ela está lavando a alma da cozinha depois do jantar.
",gemini,prompt4,0.5563,0.7449274063110352,0.5482771992683411,0.37570279836654663,Q2,parascore,0.9597
79,She is cleaning the kitchen after dinner.,Ela está varrendo os rastros do banquete.,gemma3,prompt4,0.6946,0.9183188080787659,0.4609697759151459,0.7044134140014648,Q2,parascore,0.9299
80,She is drinking water.,Ela está bebendo água.,gpt,prompt2,1.032,1.0,0.984463632106781,1.1115353107452393,Q1,dataset_final,
80,She is drinking water.,Ela está se hidratando.,gpt,prompt4,0.5547,0.8337322473526001,0.6483557820320129,0.18206197023391724,Q1,parascore,0.9653
80,She is drinking water.,"Ela está matando a sede.
",gemini,prompt4,0.7333,0.9643679261207581,0.5481679439544678,0.6872488260269165,Q1,parascore,0.9501
80,She is drinking water.,"Ela está saciando a sede.
",gemma3,prompt4,0.7405,0.9706754088401794,0.5560606718063354,0.6948258876800537,Q1,parascore,0.9304
81,They are having coffee at the café.,Eles estão tomando café no café.,gpt,prompt2,1.0174,1.0,0.9764923453330994,1.0758098363876345,Q2,dataset_final,
81,They are having coffee at the café.,Eles estão tomando um café no café.,gpt,prompt4,0.9373,0.9899328947067261,0.9535800814628601,0.8684970140457153,Q2,parascore,0.9534
81,They are having coffee at the café.,"Estão a tomar um café no ninho da conversa.
",gemini,prompt4,0.2915,0.3176923096179962,0.43121448159217834,0.12569937109947205,Q2,parascore,0.9075
81,They are having coffee at the café.,Eles estão se aquecendo na cafeteria.,gemma3,prompt4,0.6753,0.856897234916687,0.55748450756073,0.6114256381988525,Q2,parascore,0.9152
84,They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,gpt,prompt2,1.02,1.0,0.9793164134025574,1.0806715488433838,Q1,dataset_final,
84,They are visiting a museum this afternoon.,Eles estão fazendo uma visita ao museu esta tarde.,gpt,prompt4,0.91,0.9912000298500061,0.9219569563865662,0.8168865442276001,Q1,parascore,0.983
84,They are visiting a museum this afternoon.,"Eles vão passear nos olhos da tarde por um museu.
",gemini,prompt4,0.5288,0.7140430212020874,0.5344730019569397,0.3379691243171692,Q1,parascore,0.9326
84,They are visiting a museum this afternoon.,Eles estão peregrinando por um templo de memórias esta tarde.,gemma3,prompt4,0.6985,0.7973718643188477,0.6345604658126831,0.663466215133667,Q1,parascore,0.9586
84,They are visiting a museum this afternoon.,"Esta tarde, eles estão visitando um museu.",gemmaX,sem_prompt,1.0012,1.0,0.9428098797798157,1.060786485671997,Q1,parascore,0.9896
85,They are swimming at the pool.,Eles estão mergulhando na piscina.,gpt,prompt4,0.8598,0.9613805413246155,0.8109899759292603,0.8070970773696899,Q1,parascore,0.931
85,They are swimming at the pool.,"Eles estão nadando na piscina.
",gemini,prompt2,1.0197,1.0,0.9542171359062196,1.1050058603286743,Q1,dataset_final,
85,They are swimming at the pool.,Eles estão se afogando na piscina.,gemma3,prompt4,0.7657,0.9432681798934937,0.5167890191078186,0.8371275067329407,Q1,parascore,0.9074
87,She is talking to her friend on the phone.,Ela está conversando com a amiga pelo telefone.,gpt,prompt2,1.0284,1.0,0.9714134335517883,1.113664984703064,Q1,parascore,0.9583
87,She is talking to her friend on the phone.,Ela está conversando com a amiga ao telefone.,gpt,prompt4,0.9281,0.9998033046722412,0.9057053327560425,0.8788458108901978,Q1,parascore,0.9577
87,She is talking to her friend on the phone.,"Ela está falando com sua amiga no telefone.
",gemini,prompt2,1.0241,0.9912000298500061,0.9738432765007019,1.1073260307312012,Q1,parascore,0.9481
87,She is talking to her friend on the phone.,"Ela está tecendo confidências ao telefone.
",gemini,prompt4,0.5837,0.7728850841522217,0.5461515188217163,0.4319746792316437,Q1,parascore,0.9009
87,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,gemma3,prompt2,1.029,1.0,0.9736365675926208,1.113477110862732,Q1,dataset_final,
87,She is talking to her friend on the phone.,Ela está bordando uma conversa com a amiga ao telefone.,gemma3,prompt4,0.7003,0.8749700784683228,0.6149144768714905,0.6109727621078491,Q1,parascore,0.9324
87,She is talking to her friend on the phone.,Ela está falando com uma amiga no telefone.,gemmaX,sem_prompt,1.021,1.0,0.9347538948059082,1.1281726360321045,Q1,parascore,0.9437
97,He washed his car yesterday.,Ele deu um trato no carro ontem.,gpt,prompt4,0.7867,0.9449872970581055,0.7195836901664734,0.6955347657203674,Q1,parascore,0.9533
97,He washed his car yesterday.,"Ele lavou o carro dele ontem.
",gemini,prompt2,1.0182,1.0,0.981741428375244,1.0728662014007568,Q1,dataset_final,
97,He washed his car yesterday.,Ele lavou o carro ontem.,gemma3,prompt2,0.9952,1.0,0.9392293095588684,1.04625403881073,Q1,parascore,0.9797
97,He washed his car yesterday.,Ele lavou seu carro ontem.,gemmaX,sem_prompt,1.0064,1.0,0.9830175638198853,1.0361069440841675,Q1,parascore,0.9772
131,They went for a swim at the pool.,Eles foram se refrescar na piscina.,gpt,prompt4,0.8966,0.9973573684692383,0.8341532945632935,0.8583551645278931,Q2,parascore,0.9519
131,They went for a swim at the pool.,"Eles foram nadar na piscina.
",gemini,prompt2,1.0072,1.0,0.8959540128707886,1.1255375146865845,Q2,dataset_final,
131,They went for a swim at the pool.,"Eles mergulharam no frescor azul.
",gemma3,prompt4,0.6076,0.792765736579895,0.4327305257320404,0.5972164869308472,Q2,parascore,0.9045
136,I met my friends for lunch.,Encontrei meus amigos para almoçar.,gpt,prompt4,0.9345,0.9990782737731934,0.9819269180297852,0.8223651647567749,Q2,parascore,0.9197
136,I met my friends for lunch.,"Encontrei meus amigos para um banquete de palavras.
",gemini,prompt4,0.793,0.9352645874023438,0.638958215713501,0.8047385215759277,Q2,parascore,0.9236
136,I met my friends for lunch.,"Eu encontrei meus amigos para almoçar.
",gemma3,prompt2,1.0174,1.0,0.981300413608551,1.0709837675094604,Q2,dataset_final,
136,I met my friends for lunch.,Encontrei minha turma para um rango.,gemma3,prompt4,0.5676,0.7887672185897827,0.5254781246185303,0.38857370615005493,Q2,parascore,0.9072
136,I met my friends for lunch.,Encontrei-me com os meus amigos para almoçar.,gemmaX,sem_prompt,0.997,1.0,0.9806405901908875,1.0104358196258545,Q2,parascore,0.9231
147,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,gpt,prompt2,1.0383,1.0,0.9814562797546388,1.133400797843933,Q1,dataset_final,
147,She bought a new phone last week.,"Ela estreou um celular novo semana passada.
",gemini,prompt4,0.8632,0.9801793098449707,0.7958188652992249,0.8136329650878906,Q1,parascore,0.9448
147,She bought a new phone last week.,Ela comprou um celular novo na semana passada.,gemma3,prompt2,1.0353,1.0,0.9814289212226868,1.124375581741333,Q1,parascore,0.9673
147,She bought a new phone last week.,Ela trocou de aparelho na semana passada.,gemma3,prompt4,0.6587,0.7528673410415649,0.7450435757637024,0.4780842661857605,Q1,parascore,0.9666
147,She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,gemmaX,sem_prompt,1.038,1.0,0.9816002249717712,1.132291316986084,Q1,parascore,0.9874
153,They watched a movie on the weekend.,"Eles assistiram a um filme no fim de semana.
",gemini,prompt2,1.025,1.0,0.976432740688324,1.098678708076477,Q1,dataset_final,
153,They watched a movie on the weekend.,"No fim de semana, eles se embalaram num filme.
",gemini,prompt4,0.7445,0.8579429388046265,0.7694197297096252,0.6061171889305115,Q1,parascore,0.9384
153,They watched a movie on the weekend.,"Eles se perderam na tela do fim de semana.
",gemma3,prompt4,0.5123,0.6925108432769775,0.44765588641166687,0.39659762382507324,Q1,parascore,0.9517
158,She made a salad for lunch.,Ela fez uma salada para o almoço.,gpt,prompt2,1.0314,1.0,0.9793736338615416,1.1148709058761597,Q1,dataset_final,
158,She made a salad for lunch.,Ela preparou uma salada para o almoço.,gpt,prompt4,0.9091,0.9680360555648804,0.8984755277633667,0.860730767250061,Q1,parascore,0.9653
158,She made a salad for lunch.,Ela juntou um arco-íris no prato para o almoço.,gemma3,prompt4,0.6707,0.7604343891143799,0.6439613699913025,0.607776939868927,Q1,parascore,0.9166
177,He is reading a newspaper.,Ele está lendo um jornal.,gpt,prompt2,1.0298,1.0,0.9775685667991638,1.1118632555007937,Q1,dataset_final,
177,He is reading a newspaper.,"Ele está devorando o jornal.
",gemini,prompt4,0.509,0.8096744418144226,0.4744326174259186,0.24285507202148438,Q1,parascore,0.9423
187,He read a book before bed.,Ele mergulhou em um livro antes de dormir.,gpt,prompt4,0.7854,0.8539971113204956,0.845918595790863,0.6562687158584595,Q2,parascore,0.9455
187,He read a book before bed.,"Ele leu um livro antes de dormir.
",gemini,prompt2,1.0138,1.0,0.976381540298462,1.064913630485535,Q2,dataset_final,
187,He read a book before bed.,"Ele se afogou em palavras antes de dormir.
",gemini,prompt4,0.6442,0.7807184457778931,0.640333354473114,0.511678159236908,Q2,parascore,0.9319
187,He read a book before bed.,Ele mergulhou em páginas antes de dormir.,gemma3,prompt4,0.6337,0.8613018989562988,0.6050928831100464,0.43475931882858276,Q2,parascore,0.9463
196,I went to the beach for vacation.,Eu fui para a praia de férias.,gpt,prompt2,1.0083,1.0,0.9769195914268494,1.0481189489364624,Q2,dataset_final,
196,I went to the beach for vacation.,Fui à praia para relaxar.,gpt,prompt4,0.9168,0.9990476369857788,0.8845838904380798,0.8667585849761963,Q2,parascore,0.9426
196,I went to the beach for vacation.,"Eu fui à praia para as férias.
",gemini,prompt2,1.0002,1.0,0.9757611155509949,1.0248892307281494,Q2,parascore,0.9748
196,I went to the beach for vacation.,"Mergulhei na praia para as férias.
",gemini,prompt4,0.7449,0.8853768110275269,0.7396393418312073,0.609643280506134,Q2,parascore,0.9416
196,I went to the beach for vacation.,Eu fui à praia de férias.,gemma3,prompt2,1.0015,1.0,0.9482870101928711,1.056140661239624,Q2,parascore,0.9765
196,I went to the beach for vacation.,Fui para a praia de férias.,gemmaX,sem_prompt,0.9875,1.0,0.9362310171127319,1.0263715982437134,Q2,parascore,0.9567
201,He is doing his homework in the study room.,Ele está fazendo a lição de casa na sala de estudos.,gpt,prompt2,1.0077,1.0,0.9760352969169617,1.0471869707107544,Q2,parascore,0.9492
201,He is doing his homework in the study room.,Ele está fazendo seu dever de casa no escritório.,gpt,prompt4,0.8947,0.9621582627296448,0.8766635060310364,0.8451407551765442,Q2,parascore,0.9658
201,He is doing his homework in the study room.,"Ele está fazendo o dever de casa no escritório.
",gemini,prompt2,0.966,0.955623984336853,0.8967497944831848,1.0456699132919312,Q2,parascore,0.9602
201,He is doing his homework in the study room.,"Ele está debruçado sobre os livros no escritório.
",gemini,prompt4,0.6806,0.8657429814338684,0.4714548885822296,0.7047113180160522,Q2,parascore,0.9221
201,He is doing his homework in the study room.,Ele está se dedicando aos seus estudos no refúgio do saber.,gemma3,prompt4,0.662,0.7959117889404297,0.6069796681404114,0.5831465721130371,Q2,parascore,0.9159
201,He is doing his homework in the study room.,Ele está fazendo sua lição de casa na sala de estudo.,gemmaX,sem_prompt,1.0112,1.0,0.9739362001419068,1.0595543384552002,Q2,dataset_final,
202,They planted flowers in the garden.,Eles semearam flores no jardim.,gpt,prompt4,0.9516,0.9987729787826538,0.9759141802787781,0.8801453113555908,Q1,parascore,0.9378
202,They planted flowers in the garden.,"Eles semearam flores no jardim da vida.
",gemini,prompt4,0.8294,0.9481274485588074,0.7013612389564514,0.8386416435241699,Q1,parascore,0.9501
202,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",gemma3,prompt2,1.0313,1.0,0.9763957262039183,1.1174554824829102,Q1,dataset_final,
203,They are making pizza together.,Eles estão fazendo pizza juntos.,gemma3,prompt2,1.0069,1.0,0.9862179756164552,1.0343519449234009,Q2,dataset_final,
203,They are making pizza together.,Estão a fazer uma pizza juntos.,gemmaX,sem_prompt,0.9936,1.0,0.9493257999420166,1.0316191911697388,Q2,parascore,0.9331
208,He called his parents yesterday.,Ele chamou os pais dele ontem.,gpt,prompt2,1.0137,1.0,0.981137216091156,1.0600143671035769,Q2,dataset_final,
208,He called his parents yesterday.,Ele entrou em contato com os pais ontem.,gpt,prompt4,0.9099,1.0,0.896990954875946,0.8326543569564819,Q2,parascore,0.9434
208,He called his parents yesterday.,"Ele ligou para os pais dele ontem.
",gemini,prompt2,1.011,1.0,0.9814514517784119,1.051631212234497,Q2,parascore,0.9469
208,He called his parents yesterday.,"Ele ligou para a base ontem.
",gemini,prompt4,0.4911,0.691163182258606,0.5408408641815186,0.24129772186279297,Q2,parascore,0.9262
208,He called his parents yesterday.,"Ele telefonou para os pais no ontem.
",gemma3,prompt4,0.493,0.6496205925941467,0.5299861431121826,0.29941460490226746,Q2,parascore,0.929
209,He wrote a letter to his friend.,Ele escreveu uma carta para seu amigo.,gpt,prompt2,1.0243,1.0,0.9758993983268738,1.0969433784484863,Q1,parascore,0.9714
209,He wrote a letter to his friend.,Ele escreveu uma carta para o amigo.,gpt,prompt4,0.9119,0.9848524332046509,0.9216126799583435,0.8293194770812988,Q1,parascore,0.9702
209,He wrote a letter to his friend.,"Ele escreveu uma carta para o amigo dele.
",gemini,prompt2,1.0245,1.0,0.9736509323120116,1.0999906063079834,Q1,dataset_final,
209,He wrote a letter to his friend.,"Ele teceu uma carta ao amigo.
",gemini,prompt4,0.9259,0.9883773922920227,0.9468928575515747,0.8424123525619507,Q1,parascore,0.9561
209,He wrote a letter to his friend.,Ele escreveu uma carta para o seu amigo.,gemma3,prompt2,1.0235,1.0,0.9747703671455383,1.0957673788070679,Q1,parascore,0.9782
209,He wrote a letter to his friend.,Ele desfolhou um bilhete para o amigo.,gemma3,prompt4,0.7879,0.907564640045166,0.6456727385520935,0.8105217218399048,Q1,parascore,0.9169
228,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",gemini,prompt2,1.0289,1.0,0.980880081653595,1.1057063341140747,Q1,dataset_final,
237,He is making tea in the kitchen.,Ele está preparando um chá na cozinha.,gpt,prompt4,0.9138,0.9862394332885742,0.9147500395774841,0.8403461575508118,Q1,parascore,0.9547
237,He is making tea in the kitchen.,"Ele está fazendo chá na cozinha.
",gemini,prompt2,1.0177,1.0,0.9768637418746948,1.0763717889785769,Q1,dataset_final,
237,He is making tea in the kitchen.,"Ele está botando a chaleira pra cantar na cozinha.
",gemini,prompt4,0.5302,0.7842409610748291,0.5330358147621155,0.2732434570789337,Q1,parascore,0.9177
237,He is making tea in the kitchen.,"Ele está preparando o chá no coração da casa.
",gemma3,prompt4,0.6279,0.8096499443054199,0.5617121458053589,0.5123485922813416,Q1,parascore,0.9499
244,He went fishing with his friends.,Ele foi pescar com os amigos.,gpt,prompt2,1.0101,1.0,0.9781059622764587,1.0522589683532715,Q2,parascore,0.9516
244,He went fishing with his friends.,"Ele foi pescar com seus amigos.
",gemini,prompt2,1.0153,1.0,0.9790359139442444,1.0668598413467407,Q2,dataset_final,
244,He went fishing with his friends.,"Foi pescar com os amigos.
",gemini,prompt4,0.8145,0.827386736869812,0.8386792540550232,0.7773036360740662,Q2,parascore,0.9663
244,He went fishing with his friends.,"Partiu à pesca com a turma.
",gemma3,prompt4,0.4975,0.6223108768463135,0.6180135607719421,0.252088725566864,Q2,parascore,0.9313
254,She plays the piano beautifully.,Ela toca piano com maestria.,gpt,prompt4,0.9142,1.0,0.9030176997184753,0.8396698832511902,Q1,parascore,0.9306
254,She plays the piano beautifully.,"Ela toca piano lindamente.
",gemini,prompt2,1.027,1.0,0.9808467626571656,1.1001147031784058,Q1,dataset_final,
256,They are going to the cinema tonight.,Eles vão ao cinema esta noite.,gpt,prompt2,1.0154,1.0,0.982410967350006,1.0637775659561155,Q2,dataset_final,
256,They are going to the cinema tonight.,"Eles vão ao cinema hoje à noite.
",gemini,prompt2,0.9913,1.0,0.9575442671775818,1.016325831413269,Q2,parascore,0.9652
256,They are going to the cinema tonight.,"Eles vão às estrelas esta noite.
",gemini,prompt4,0.7263,0.8088088035583496,0.6613887548446655,0.7086206674575806,Q2,parascore,0.9556
256,They are going to the cinema tonight.,Eles vão se perder nas sombras da tela esta noite.,gemma3,prompt4,0.6533,0.7271815538406372,0.530788779258728,0.7017824649810791,Q2,parascore,0.9344
269,He visited the museum with his class.,Ele visitou o museu com sua turma.,gpt,prompt2,0.9992,1.0,0.9724180102348328,1.0250972509384155,Q2,parascore,0.9698
269,He visited the museum with his class.,"Ele visitou o museu com a turma dele.
",gemini,prompt2,0.9935,1.0,0.9715792536735535,1.009057641029358,Q2,parascore,0.9693
269,He visited the museum with his class.,"Ele passeou pelo museu com sua turma.
",gemini,prompt4,0.7987,0.9189136028289795,0.8411390781402588,0.6361115574836731,Q2,parascore,0.9718
269,He visited the museum with his class.,Ele guiou a turma pelos corredores da história.,gemma3,prompt4,0.6158,0.7076112031936646,0.5709943771362305,0.5688994526863098,Q2,parascore,0.9161
269,He visited the museum with his class.,Ele visitou o museu com sua classe.,gemmaX,sem_prompt,1.007,1.0,0.972622573375702,1.0484081506729126,Q2,dataset_final,
270,I visited my parents last weekend.,Eu visitei meus pais no último fim de semana.,gpt,prompt2,1.0215,1.0,0.9830445647239685,1.0814471244812012,Q1,parascore,0.9767
270,I visited my parents last weekend.,Eu fui visitar meus pais no último fim de semana.,gpt,prompt4,0.8906,0.9755676984786987,0.8961911797523499,0.8000887036323547,Q1,parascore,0.9671
270,I visited my parents last weekend.,"Visitei meus pais no fim de semana passado.
",gemini,prompt2,1.0235,1.0,0.9820217490196228,1.088486909866333,Q1,dataset_final,
270,I visited my parents last weekend.,"Fui visitar meus pais no fim de semana passado.
",gemini,prompt4,0.6754,0.8128429651260376,0.6979780793190002,0.5153254270553589,Q1,parascore,0.9432
270,I visited my parents last weekend.,Passei para ver meus pais no fim de semana que foi.,gemma3,prompt4,0.6554,0.7919666767120361,0.5263540148735046,0.6480257511138916,Q1,parascore,0.9467
273,He watched a football match on TV.,Ele assistiu a uma partida de futebol na TV.,gpt,prompt2,1.0078,1.0,0.9852189421653748,1.0382657051086426,Q2,dataset_final,
273,He watched a football match on TV.,Ele assistiu a um jogo de futebol na TV.,gpt,prompt4,0.9471,1.0,0.9847589135169983,0.8566612601280212,Q2,parascore,0.979
273,He watched a football match on TV.,"Ele assistiu a um duelo de gigantes na telinha.
",gemini,prompt4,0.7762,0.922600269317627,0.630038321018219,0.7759370803833008,Q2,parascore,0.9525
273,He watched a football match on TV.,"Ele acompanhou um espetáculo de embates em uma tela.
",gemma3,prompt4,0.567,0.6416221857070923,0.5107719302177429,0.5486541986465454,Q2,parascore,0.9174
285,He is working on his laptop.,Ele está digitando em seu laptop.,gpt,prompt4,0.901,0.9806771278381348,0.9109326004981995,0.811445951461792,Q2,parascore,0.9354
