indice,ingles_original,melhor_trad,outra_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,parascore
84,They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,Eles estão fazendo uma visita ao museu esta tarde.,gpt,prompt2,gpt,prompt4,0.983
437,They are playing basketball in the yard.,Eles estão jogando basquete no quintal.,Eles estão fazendo uma partida de basquete no quintal.,gemmaX,sem_prompt,gpt,prompt4,0.9809
397,I went to the store to buy some bread.,Eu fui à loja para comprar pão.,Fui à loja comprar pão.,gpt,prompt2,gemini,prompt2,0.9798
397,I went to the store to buy some bread.,Eu fui à loja para comprar pão.,Fui à loja comprar pão.,gpt,prompt2,gemmaX,sem_prompt,0.9798
97,He washed his car yesterday.,Ele lavou o carro dele ontem.,Ele lavou o carro ontem.,gemini,prompt2,gemma3,prompt2,0.9797
391,He is playing soccer with his friends.,Ele está jogando futebol com os amigos dele.,Ele está jogando bola com os amigos.,gemini,prompt2,gpt,prompt4,0.9791
273,He watched a football match on TV.,Ele assistiu a uma partida de futebol na TV.,Ele assistiu a um jogo de futebol na TV.,gpt,prompt2,gpt,prompt4,0.979
585,They are watching TV in the living room.,Eles estão assistindo TV na sala.,Eles estão assistindo à televisão na sala de estar.,gemini,prompt2,gpt,prompt4,0.979
567,She played tennis with her brother.,Ela jogou tênis com o irmão dela.,Ela jogou tênis com seu irmão.,gemini,prompt2,gpt,prompt2,0.9789
476,They went hiking in the mountains.,Eles foram fazer trilha nas montanhas.,Eles foram explorar as montanhas.,gpt,prompt2,gpt,prompt4,0.9787
516,I made a cup of tea for myself.,Eu preparei uma xícara de chá para mim.,Fiz uma xícara de chá para mim.,gemma3,prompt2,gemini,prompt2,0.9783
209,He wrote a letter to his friend.,Ele escreveu uma carta para o amigo dele.,Ele escreveu uma carta para o seu amigo.,gemini,prompt2,gemma3,prompt2,0.9782
22,She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,Ela está apresentando no trabalho.,gemma3,prompt2,gemini,prompt2,0.9774
97,He washed his car yesterday.,Ele lavou o carro dele ontem.,Ele lavou seu carro ontem.,gemini,prompt2,gemmaX,sem_prompt,0.9772
542,She had a meeting with her boss.,Ela teve uma reunião com seu chefe.,Ela teve uma conversa com seu chefe.,gemma3,prompt2,gpt,prompt4,0.9771
270,I visited my parents last weekend.,Visitei meus pais no fim de semana passado.,Eu visitei meus pais no último fim de semana.,gemini,prompt2,gpt,prompt2,0.9767
196,I went to the beach for vacation.,Eu fui para a praia de férias.,Eu fui à praia de férias.,gpt,prompt2,gemma3,prompt2,0.9765
567,She played tennis with her brother.,Ela jogou tênis com o irmão dela.,Ela jogou tênis com o irmão.,gemini,prompt2,gpt,prompt4,0.976
397,I went to the store to buy some bread.,Eu fui à loja para comprar pão.,Eu fui à loja comprar pão.,gpt,prompt2,gemma3,prompt2,0.9758
307,They went shopping for new clothes.,Eles foram fazer compras de roupas novas.,Eles foram às compras por novas roupas.,gemma3,prompt2,gpt,prompt4,0.9754
196,I went to the beach for vacation.,Eu fui para a praia de férias.,Eu fui à praia para as férias.,gpt,prompt2,gemini,prompt2,0.9748
541,She is visiting her grandmother in the hospital.,Ela está visitando a avó dela no hospital.,Ela está visitando a avó na UTI.,gpt,prompt2,gemini,prompt4,0.974
346,She played cards with her friends.,Ela jogou cartas com as amigas dela.,Ela jogou cartas com as amigas.,gemini,prompt2,gemini,prompt4,0.9734
346,She played cards with her friends.,Ela jogou cartas com as amigas dela.,Ela jogava cartas com seus amigos.,gemini,prompt2,gemmaX,sem_prompt,0.9732
683,He plays soccer every weekend.,Ele joga futebol todo fim de semana.,Ele veste a camisa todo fim de semana.,gemini,prompt2,gemini,prompt4,0.9726
589,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,Ele enviou uma mensagem ao seu colega.,gpt,prompt2,gpt,prompt4,0.9719
269,He visited the museum with his class.,Ele visitou o museu com sua classe.,Ele passeou pelo museu com sua turma.,gemmaX,sem_prompt,gemini,prompt4,0.9718
307,They went shopping for new clothes.,Eles foram fazer compras de roupas novas.,Eles foram comprar roupas novas.,gemma3,prompt2,gemini,prompt2,0.9715
307,They went shopping for new clothes.,Eles foram fazer compras de roupas novas.,Eles foram comprar roupas novas.,gemma3,prompt2,gemmaX,sem_prompt,0.9715
209,He wrote a letter to his friend.,Ele escreveu uma carta para o amigo dele.,Ele escreveu uma carta para seu amigo.,gemini,prompt2,gpt,prompt2,0.9714
209,He wrote a letter to his friend.,Ele escreveu uma carta para o amigo dele.,Ele escreveu uma carta para seu amigo.,gemini,prompt2,gemmaX,sem_prompt,0.9714
499,They are having a discussion in the classroom.,Eles estão tendo uma discussão na sala de aula.,Eles estão trocando ideias na sala de aula.,gpt,prompt2,gpt,prompt4,0.9708
209,He wrote a letter to his friend.,Ele escreveu uma carta para o amigo dele.,Ele escreveu uma carta para o amigo.,gemini,prompt2,gpt,prompt4,0.9702
269,He visited the museum with his class.,Ele visitou o museu com sua classe.,Ele visitou o museu com sua turma.,gemmaX,sem_prompt,gpt,prompt2,0.9698
269,He visited the museum with his class.,Ele visitou o museu com sua classe.,Ele visitou o museu com sua turma.,gemmaX,sem_prompt,gpt,prompt4,0.9698
269,He visited the museum with his class.,Ele visitou o museu com sua classe.,Ele visitou o museu com sua turma.,gemmaX,sem_prompt,gemma3,prompt2,0.9698
346,She played cards with her friends.,Ela jogou cartas com as amigas dela.,Ela jogou cartas com os amigos.,gemini,prompt2,gpt,prompt2,0.9697
346,She played cards with her friends.,Ela jogou cartas com as amigas dela.,Ela jogou cartas com seus amigos.,gemini,prompt2,gemma3,prompt2,0.9695
269,He visited the museum with his class.,Ele visitou o museu com sua classe.,Ele visitou o museu com a turma dele.,gemmaX,sem_prompt,gemini,prompt2,0.9693
547,They went for a walk in the park.,Eles foram passear no parque.,Eles foram dar uma caminhada no parque.,gpt,prompt2,gemmaX,sem_prompt,0.9693
292,They are painting the walls of their house.,Eles estão pintando as paredes da casa deles.,Eles estão pintando as paredes de sua casa.,gpt,prompt2,gemma3,prompt2,0.969
449,She cooked dinner for her family.,Ela cozinhou o jantar para a família dela.,Ela preparou o jantar para a família.,gemma3,prompt2,gpt,prompt4,0.9689
402,He is checking his email.,Ele está verificando seu e-mail.,Ele está conferindo suas mensagens.,gemma3,prompt2,gpt,prompt4,0.9681
541,She is visiting her grandmother in the hospital.,Ela está visitando a avó dela no hospital.,Ela está visitando a avó no hospital.,gpt,prompt2,gpt,prompt4,0.9681
147,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,Ela comprou um celular novo na semana passada.,gpt,prompt2,gemma3,prompt2,0.9673
270,I visited my parents last weekend.,Visitei meus pais no fim de semana passado.,Eu fui visitar meus pais no último fim de semana.,gemini,prompt2,gpt,prompt4,0.9671
391,He is playing soccer with his friends.,Ele está jogando futebol com os amigos dele.,Ele está jogando futebol com seus amigos.,gemini,prompt2,gpt,prompt2,0.9671
391,He is playing soccer with his friends.,Ele está jogando futebol com os amigos dele.,Ele está jogando futebol com seus amigos.,gemini,prompt2,gemma3,prompt2,0.9671
391,He is playing soccer with his friends.,Ele está jogando futebol com os amigos dele.,Ele está jogando futebol com seus amigos.,gemini,prompt2,gemmaX,sem_prompt,0.9671
585,They are watching TV in the living room.,Eles estão assistindo TV na sala.,Eles estão assistindo TV na sala de estar.,gemini,prompt2,gpt,prompt2,0.9669
585,They are watching TV in the living room.,Eles estão assistindo TV na sala.,Eles estão assistindo TV na sala de estar.,gemini,prompt2,gemmaX,sem_prompt,0.9669
449,She cooked dinner for her family.,Ela cozinhou o jantar para a família dela.,Ela cozinhou o jantar para sua família.,gemma3,prompt2,gpt,prompt2,0.9668
449,She cooked dinner for her family.,Ela cozinhou o jantar para a família dela.,Ela cozinhou o jantar para sua família.,gemma3,prompt2,gemmaX,sem_prompt,0.9668
652,She is organizing her closet.,Ela está organizando seu armário.,Ela está organizando o armário dela.,gpt,prompt2,gemini,prompt2,0.9668
52,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,Ela foi ao correio enviar uma encomenda.,gemmaX,sem_prompt,gpt,prompt4,0.9666
147,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,Ela trocou de aparelho na semana passada.,gpt,prompt2,gemma3,prompt4,0.9666
570,The car stopped at the red light.,O carro parou no semáforo vermelho.,O carro parou no sinal de alerta.,gemma3,prompt2,gemma3,prompt4,0.9664
244,He went fishing with his friends.,Ele foi pescar com seus amigos.,Foi pescar com os amigos.,gemini,prompt2,gemini,prompt4,0.9663
589,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,Ele enviou um email para o colega dele.,gpt,prompt2,gemini,prompt2,0.9663
547,They went for a walk in the park.,Eles foram passear no parque.,Eles foram dar uma volta no parque.,gpt,prompt2,gpt,prompt4,0.9661
201,He is doing his homework in the study room.,Ele está fazendo sua lição de casa na sala de estudo.,Ele está fazendo seu dever de casa no escritório.,gemmaX,sem_prompt,gpt,prompt4,0.9658
55,She took a shower in the morning.,Ela tomou um banho de manhã.,Ela tomou banho de manhã.,gpt,prompt2,gemini,prompt2,0.9656
576,They went to a museum last month.,Eles foram a um museu no mês passado.,Eles visitaram um museu no mês passado.,gpt,prompt2,gpt,prompt4,0.9654
80,She is drinking water.,Ela está bebendo água.,Ela está se hidratando.,gpt,prompt2,gpt,prompt4,0.9653
158,She made a salad for lunch.,Ela fez uma salada para o almoço.,Ela preparou uma salada para o almoço.,gpt,prompt2,gpt,prompt4,0.9653
158,She made a salad for lunch.,Ela fez uma salada para o almoço.,Ela preparou uma salada para o almoço.,gpt,prompt2,gemini,prompt4,0.9653
256,They are going to the cinema tonight.,Eles vão ao cinema esta noite.,Eles vão ao cinema hoje à noite.,gpt,prompt2,gemini,prompt2,0.9652
256,They are going to the cinema tonight.,Eles vão ao cinema esta noite.,Eles vão ao cinema hoje à noite.,gpt,prompt2,gemma3,prompt2,0.9652
256,They are going to the cinema tonight.,Eles vão ao cinema esta noite.,Eles vão ao cinema hoje à noite.,gpt,prompt2,gemmaX,sem_prompt,0.9652
72,I like to drink coffee in the morning.,Eu gosto de tomar café de manhã.,Eu gosto de beber café pela manhã.,gemini,prompt2,gpt,prompt2,0.9648
52,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,Ela foi aos correios para enviar um pacote.,gemmaX,sem_prompt,gemini,prompt2,0.9644
288,She had a cup of soup for lunch.,Ela tomou uma xícara de sopa no almoço.,Ela teve um prato de sopa no almoço.,gemmaX,sem_prompt,gpt,prompt4,0.9643
570,The car stopped at the red light.,O carro parou no semáforo vermelho.,O carro parou no sinal vermelho.,gemma3,prompt2,gpt,prompt4,0.9643
570,The car stopped at the red light.,O carro parou no semáforo vermelho.,O carro parou no sinal vermelho.,gemma3,prompt2,gemini,prompt2,0.9643
570,The car stopped at the red light.,O carro parou no semáforo vermelho.,O carro parou no sinal vermelho.,gemma3,prompt2,gemmaX,sem_prompt,0.9643
346,She played cards with her friends.,Ela jogou cartas com as amigas dela.,Ela jogou na sorte com suas amigas.,gemini,prompt2,gpt,prompt4,0.9641
601,She is making a salad for lunch.,Ela está fazendo uma salada para o almoço.,Ela está preparando uma salada para o almoço.,gpt,prompt2,gpt,prompt4,0.964
601,She is making a salad for lunch.,Ela está fazendo uma salada para o almoço.,Ela está preparando uma salada para o almoço.,gpt,prompt2,gemini,prompt4,0.964
487,The train arrived at the station on time.,O trem chegou à estação na hora certa.,O trem chegou à estação no horário.,gemini,prompt2,gemma3,prompt2,0.9639
676,She reads a book every night.,Ela lê um livro todas as noites.,Ela se alimenta de livros todas as noites.,gpt,prompt2,gemini,prompt4,0.9638
449,She cooked dinner for her family.,Ela cozinhou o jantar para a família dela.,Ela preparou um banquete para a família.,gemma3,prompt2,gemini,prompt4,0.9626
701,She is making a smoothie for breakfast.,Ela está fazendo um smoothie para o café da manhã.,Ela está preparando um batido para o café da manhã.,gpt,prompt2,gpt,prompt4,0.9625
515,They are enjoying a cup of coffee together.,Eles estão aproveitando uma xícara de café juntos.,Eles estão dividindo uma xícara de café juntos.,gemma3,prompt2,gpt,prompt4,0.9623
589,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,Ele disparou um e-mail para o colega.,gpt,prompt2,gemini,prompt4,0.9622
641,They are having a family gathering at home.,Eles estão fazendo uma reunião familiar em casa.,Eles estão tendo um encontro familiar em casa.,gemini,prompt2,gpt,prompt2,0.9618
641,They are having a family gathering at home.,Eles estão fazendo uma reunião familiar em casa.,Eles estão tendo um encontro familiar em casa.,gemini,prompt2,gpt,prompt4,0.9618
641,They are having a family gathering at home.,Eles estão fazendo uma reunião familiar em casa.,Eles estão tendo um encontro familiar em casa.,gemini,prompt2,gemma3,prompt2,0.9618
541,She is visiting her grandmother in the hospital.,Ela está visitando a avó dela no hospital.,Ela está visitando sua avó no hospital.,gpt,prompt2,gemini,prompt2,0.9616
541,She is visiting her grandmother in the hospital.,Ela está visitando a avó dela no hospital.,Ela está visitando sua avó no hospital.,gpt,prompt2,gemma3,prompt2,0.9616
541,She is visiting her grandmother in the hospital.,Ela está visitando a avó dela no hospital.,Ela está visitando sua avó no hospital.,gpt,prompt2,gemmaX,sem_prompt,0.9616
683,He plays soccer every weekend.,Ele joga futebol todo fim de semana.,Ele joga bola todo fim de semana.,gemini,prompt2,gpt,prompt4,0.9616
652,She is organizing her closet.,Ela está organizando seu armário.,Ela está organizando sua vida.,gpt,prompt2,gpt,prompt4,0.9614
401,She is sending a letter to her friend.,Ela está enviando uma carta para sua amiga.,Ela está enviando uma carta para a amiga dela.,gemmaX,sem_prompt,gpt,prompt2,0.9613
487,The train arrived at the station on time.,O trem chegou à estação na hora certa.,O trem chegou à estação no ponto marcado.,gemini,prompt2,gemma3,prompt4,0.9613
4,He likes to watch movies in his free time.,Ele gosta de assistir filmes em seu tempo livre.,Ele gosta de assistir filmes no tempo livre.,gemini,prompt2,gemma3,prompt2,0.9603
201,He is doing his homework in the study room.,Ele está fazendo sua lição de casa na sala de estudo.,Ele está fazendo o dever de casa no escritório.,gemmaX,sem_prompt,gemini,prompt2,0.9602
422,They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,Eles estão planejando uma viagem à Europa.,gemini,prompt2,gpt,prompt4,0.9601
598,She is writing a letter to her friend.,Ela está escrevendo uma carta para sua amiga.,Ela está escrevendo uma carta para a amiga dela.,gpt,prompt2,gemini,prompt2,0.9599
79,She is cleaning the kitchen after dinner.,Ela está limpando a cozinha depois do jantar.,Ela está lavando a alma da cozinha depois do jantar.,gemini,prompt2,gemini,prompt4,0.9597
288,She had a cup of soup for lunch.,Ela tomou uma xícara de sopa no almoço.,Ela almoçou uma caneca de sopa.,gemmaX,sem_prompt,gemini,prompt4,0.9597
487,The train arrived at the station on time.,O trem chegou à estação na hora certa.,O trem chegou à estação na hora marcada.,gemini,prompt2,gemini,prompt4,0.9597
335,She works as a software engineer.,Ela trabalha como engenheira de software.,Ela atua como engenheira de software.,gemini,prompt2,gpt,prompt4,0.9595
487,The train arrived at the station on time.,O trem chegou à estação na hora certa.,O comboio chegou à estação no horário.,gemini,prompt2,gemmaX,sem_prompt,0.9595
476,They went hiking in the mountains.,Eles foram fazer trilha nas montanhas.,Eles foram fazer caminhadas nas montanhas.,gpt,prompt2,gemmaX,sem_prompt,0.9593
65,He took the bus to work.,Ele pegou o ônibus para o trabalho.,Ele pegou o ônibus para trabalhar.,gemini,prompt2,gemmaX,sem_prompt,0.9592
401,She is sending a letter to her friend.,Ela está enviando uma carta para sua amiga.,Ela está lançando uma carta para a amiga.,gemmaX,sem_prompt,gemini,prompt4,0.9592
430,I am learning how to cook.,Estou aprendendo a cozinhar.,Estou a aprender a cozinhar.,gemini,prompt2,gemmaX,sem_prompt,0.9592
464,They are visiting their friends in the city.,Eles estão visitando seus amigos na cidade.,Eles estão de passagem pela cidade dos amigos.,gemini,prompt2,gemini,prompt4,0.959
84,They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,Eles estão peregrinando por um templo de memórias esta tarde.,gpt,prompt2,gemma3,prompt4,0.9586
516,I made a cup of tea for myself.,Eu preparei uma xícara de chá para mim.,Preparei um chá para mim.,gemma3,prompt2,gemini,prompt4,0.9585
87,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,Ela está conversando com a amiga pelo telefone.,gemma3,prompt2,gpt,prompt2,0.9583
573,She is playing with her cat.,Ela está brincando com seu gato.,Ela está brincando com o gato dela.,gemini,prompt2,gemini,prompt4,0.9582
407,She is putting on her shoes.,Ela está calçando os sapatos.,Ela está calçando os sapatos da vida.,gemini,prompt2,gemini,prompt4,0.958
449,She cooked dinner for her family.,Ela cozinhou o jantar para a família dela.,Ela preparou o ninho para sua família.,gemma3,prompt2,gemma3,prompt4,0.958
52,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,Ela foi ao correio para enviar um pacote.,gemmaX,sem_prompt,gpt,prompt2,0.9579
52,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,Ela foi ao correio para enviar um pacote.,gemmaX,sem_prompt,gemma3,prompt2,0.9579
41,She made breakfast for the family.,Ela fez o café da manhã para a família.,Ela preparou o café da manhã para a família.,gemma3,prompt2,gpt,prompt4,0.9578
41,She made breakfast for the family.,Ela fez o café da manhã para a família.,Ela preparou o café da manhã para a família.,gemma3,prompt2,gemini,prompt2,0.9578
41,She made breakfast for the family.,Ela fez o café da manhã para a família.,Ela preparou o ninho para a família.,gemma3,prompt2,gemma3,prompt4,0.9578
593,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,Eu lavei a roupa ontem.,gpt,prompt2,gpt,prompt4,0.9578
593,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,Eu lavei a roupa ontem.,gpt,prompt2,gemini,prompt2,0.9578
593,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,Eu lavei a roupa ontem.,gpt,prompt2,gemma3,prompt2,0.9578
87,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,Ela está conversando com a amiga ao telefone.,gemma3,prompt2,gpt,prompt4,0.9577
683,He plays soccer every weekend.,Ele joga futebol todo fim de semana.,Ele joga futebol todo final de semana.,gemini,prompt2,gemmaX,sem_prompt,0.9573
79,She is cleaning the kitchen after dinner.,Ela está limpando a cozinha depois do jantar.,Ela está arrumando a cozinha após o jantar.,gemini,prompt2,gpt,prompt4,0.9568
196,I went to the beach for vacation.,Eu fui para a praia de férias.,Fui para a praia de férias.,gpt,prompt2,gemmaX,sem_prompt,0.9567
342,They cleaned the house on Saturday.,Eles limparam a casa no sábado.,Eles deram uma geral na casa no sábado.,gemma3,prompt2,gpt,prompt4,0.9563
397,I went to the store to buy some bread.,Eu fui à loja para comprar pão.,Fui à padaria comprar pão.,gpt,prompt2,gpt,prompt4,0.9563
209,He wrote a letter to his friend.,Ele escreveu uma carta para o amigo dele.,Ele teceu uma carta ao amigo.,gemini,prompt2,gemini,prompt4,0.9561
288,She had a cup of soup for lunch.,Ela tomou uma xícara de sopa no almoço.,Ela teve uma xícara de sopa no almoço.,gemmaX,sem_prompt,gpt,prompt2,0.9561
407,She is putting on her shoes.,Ela está calçando os sapatos.,Ela está calçando a vida.,gemini,prompt2,gemma3,prompt4,0.9561
699,They are playing board games in the living room.,Eles estão jogando jogos de tabuleiro na sala de estar.,Eles estão jogando os dados da vida na sala de estar.,gpt,prompt2,gpt,prompt4,0.956
542,She had a meeting with her boss.,Ela teve uma reunião com seu chefe.,Ela teve um encontro com o leão.,gemma3,prompt2,gemini,prompt4,0.9559
292,They are painting the walls of their house.,Eles estão pintando as paredes da casa deles.,Eles estão vestindo as paredes de sua casa com cor.,gpt,prompt2,gemma3,prompt4,0.9558
316,He is writing an essay for school.,Ele está escrevendo uma redação para a escola.,Ele está escrevendo um ensaio para a escola.,gemma3,prompt2,gpt,prompt2,0.9558
316,He is writing an essay for school.,Ele está escrevendo uma redação para a escola.,Ele está escrevendo um ensaio para a escola.,gemma3,prompt2,gemmaX,sem_prompt,0.9558
402,He is checking his email.,Ele está verificando seu e-mail.,Ele está pescando seus e-mails.,gemma3,prompt2,gemini,prompt4,0.9557
256,They are going to the cinema tonight.,Eles vão ao cinema esta noite.,Eles vão às estrelas esta noite.,gpt,prompt2,gemini,prompt4,0.9556
369,They went to a restaurant for dinner.,Eles foram a um restaurante para o jantar.,Eles foram a um restaurante para jantar.,gpt,prompt2,gpt,prompt4,0.9553
369,They went to a restaurant for dinner.,Eles foram a um restaurante para o jantar.,Eles foram a um restaurante para jantar.,gpt,prompt2,gemini,prompt2,0.9553
369,They went to a restaurant for dinner.,Eles foram a um restaurante para o jantar.,Eles foram a um restaurante para jantar.,gpt,prompt2,gemma3,prompt2,0.9553
369,They went to a restaurant for dinner.,Eles foram a um restaurante para o jantar.,Eles foram a um restaurante para jantar.,gpt,prompt2,gemmaX,sem_prompt,0.9553
515,They are enjoying a cup of coffee together.,Eles estão aproveitando uma xícara de café juntos.,Eles estão apreciando uma xícara de café juntos.,gemma3,prompt2,gemini,prompt2,0.9551
237,He is making tea in the kitchen.,Ele está fazendo chá na cozinha.,Ele está preparando um chá na cozinha.,gemini,prompt2,gpt,prompt4,0.9547
591,They took a bus to the city center.,Eles pegaram um ônibus para o centro da cidade.,Eles pegaram um ônibus rumo ao coração da cidade.,gpt,prompt2,gpt,prompt4,0.9546
435,He is drinking tea in the morning.,Ele está bebendo chá de manhã.,Ele está tomando chá da rainha pela manhã.,gemma3,prompt2,gemini,prompt4,0.9543
449,She cooked dinner for her family.,Ela cozinhou o jantar para a família dela.,Ela preparou o jantar para a família dela.,gemma3,prompt2,gemini,prompt2,0.9543
645,She studied for the test all week.,Ela estudou para o teste a semana toda.,Ela estudou para a prova a semana toda.,gpt,prompt2,gemini,prompt2,0.9543
645,She studied for the test all week.,Ela estudou para o teste a semana toda.,Ela estudou para a prova a semana toda.,gpt,prompt2,gemma3,prompt2,0.9543
52,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,Ela foi aos correios entregar um pedaço de si.,gemmaX,sem_prompt,gemma3,prompt4,0.9539
55,She took a shower in the morning.,Ela tomou um banho de manhã.,Ela tomou um banho pela manhã.,gpt,prompt2,gpt,prompt4,0.9539
55,She took a shower in the morning.,Ela tomou um banho de manhã.,Ela tomou um banho pela manhã.,gpt,prompt2,gemma3,prompt2,0.9539
542,She had a meeting with her boss.,Ela teve uma reunião com seu chefe.,Ela teve um desfile com o patrão.,gemma3,prompt2,gemma3,prompt4,0.9539
676,She reads a book every night.,Ela lê um livro todas as noites.,Ela se alimenta de histórias todas as noites.,gpt,prompt2,gemma3,prompt4,0.9535
81,They are having coffee at the café.,Eles estão tomando café no café.,Eles estão tomando um café no café.,gpt,prompt2,gpt,prompt4,0.9534
41,She made breakfast for the family.,Ela fez o café da manhã para a família.,Ela botou o sol na mesa para a família.,gemma3,prompt2,gemini,prompt4,0.9533
97,He washed his car yesterday.,Ele lavou o carro dele ontem.,Ele deu um trato no carro ontem.,gemini,prompt2,gpt,prompt4,0.9533
97,He washed his car yesterday.,Ele lavou o carro dele ontem.,Ele deu um trato no carro ontem.,gemini,prompt2,gemma3,prompt4,0.9533
601,She is making a salad for lunch.,Ela está fazendo uma salada para o almoço.,Ela está montando um banquete verde para o almoço.,gpt,prompt2,gemma3,prompt4,0.9528
273,He watched a football match on TV.,Ele assistiu a uma partida de futebol na TV.,Ele assistiu a um duelo de gigantes na telinha.,gpt,prompt2,gemini,prompt4,0.9525
331,She is playing with her children in the garden.,Ela está brincando com seus filhos no jardim.,Ela está brincando com os filhos no jardim.,gemini,prompt2,gpt,prompt2,0.9525
567,She played tennis with her brother.,Ela jogou tênis com o irmão dela.,Ela duelou tênis com o irmão.,gemini,prompt2,gemini,prompt4,0.9525
567,She played tennis with her brother.,Ela jogou tênis com o irmão dela.,Ela duelou tênis com o irmão.,gemini,prompt2,gemma3,prompt4,0.9525
306,She is arranging flowers in a vase.,Ela está arranjando flores em um vaso.,Ela está organizando flores em um vaso.,gemma3,prompt2,gpt,prompt4,0.9524
306,She is arranging flowers in a vase.,Ela está arranjando flores em um vaso.,Ela está organizando flores em um vaso.,gemma3,prompt2,gemmaX,sem_prompt,0.9524
464,They are visiting their friends in the city.,Eles estão visitando seus amigos na cidade.,Eles estão visitando os amigos na cidade.,gemini,prompt2,gpt,prompt4,0.9521
307,They went shopping for new clothes.,Eles foram fazer compras de roupas novas.,Eles foram às compras por roupas novas.,gemma3,prompt2,gpt,prompt2,0.952
131,They went for a swim at the pool.,Eles foram nadar na piscina.,Eles foram se refrescar na piscina.,gemini,prompt2,gpt,prompt4,0.9519
556,They are doing laundry in the basement.,Eles estão lavando roupa no porão.,Estão lavando roupa suja no porão.,gemini,prompt2,gemini,prompt4,0.9518
153,They watched a movie on the weekend.,Eles assistiram a um filme no fim de semana.,Eles se perderam na tela do fim de semana.,gemini,prompt2,gemma3,prompt4,0.9517
244,He went fishing with his friends.,Ele foi pescar com seus amigos.,Ele foi pescar com os amigos.,gemini,prompt2,gpt,prompt2,0.9516
244,He went fishing with his friends.,Ele foi pescar com seus amigos.,Ele foi pescar com os amigos.,gemini,prompt2,gpt,prompt4,0.9516
332,I am playing video games in my room.,Estou jogando video games no meu quarto.,Estou jogando videogames no meu quarto.,gemini,prompt2,gpt,prompt2,0.951
