frase,score
They enjoyed a picnic in the park.,618
cast a shadow,615
don't cry over spilled milk,615
hard as nails,614
She painted a picture of a landscape.,614
dark horse,612
a blessing in disguise,604
don’t put all your eggs in one basket,599
a tower of strength,593
They met their friends at the café.,586
She had a meeting with her boss.,579
falling apart at the seams,578
against the clock,578
dressed to kill,576
He ate his breakfast quickly.,572
all in a day's work,563
They went hiking in the mountains.,545
like a fish out of water,539
as good as gold,528
He traveled to Paris last year.,527
change your tune,511
a shot in the dark,505
They are enjoying a cup of coffee together.,499
He sent an email to his colleague.,493
She studied for the test all week.,487
at a snail's pace,480
They had a barbecue in the backyard.,476
I made a cup of tea for myself.,473
She played tennis with her brother.,470
The car stopped at the red light.,469
They went to the supermarket yesterday.,465
all the world's a stage,465
They are planning a trip to Europe.,464
He made a sandwich for lunch.,443
They took a bus to the city center.,437
She cooked dinner for her family.,432
They have three children.,428
butterflies in my stomach,427
a weight on my shoulders,427
She is preparing for a job interview.,425
She took the train to the city.,423
The weather is very cold today.,415
from the bottom of my heart,407
calm before the storm,399
She visited the art gallery on Sunday.,392
They are having a discussion in the classroom.,390
a fish out of water,381
They went to a restaurant for dinner.,380
She cleaned the kitchen after dinner.,375
black and blue,375
They went for a walk in the park.,373
She is sending a letter to her friend.,369
don't judge a book by its cover,368
She is writing a letter to her friend.,367
built like a tank,363
I worked on my computer for two hours.,362
against all odds,361
She is practicing yoga in the park.,352
The dog is playing outside.,342
He plays soccer every weekend.,340
They went to a museum last month.,339
She is typing on her computer.,317
a piece of cake,317
better late than never,312
clear as crystal,289
They are watching TV in the living room.,268
I did the laundry yesterday.,268
The train arrived at the station on time.,257
a taste of freedom,252
blood is thicker than water,252
She reads a book every night.,240
actions speak louder than words,221
Water boils at 100°C.,87
