ingles_original,portugues_traduzido,ingles_traduzido,modelo_prompt,XCOMET-XL
don't bite the hand that feeds you,"Não morda a mão que te alimenta.
","Don't bite the hand that feeds you.
",gemini/prompt2,0.9912000298500061
don't bite the hand that feeds you,não morda a mão que te alimenta,"""Don't bite the hand that feeds you.""",gpt/prompt1,0.9912000298500061
don't bite the hand that feeds you,Não morda a mão que te alimenta.,"""Don't bite the hand that feeds you.""",gpt/prompt2,0.9912000298500061
don't bite the hand that feeds you,Não morda a mão que te alimenta.,Bite not the hand that feeds you.,llama/prompt2,0.9912000298500061
don't bite the hand that feeds you,Não morda a mão que te alimenta.,"""Don't bite the hand that feeds you.""",mistral/prompt3,0.9912000298500061
don't bite the hand that feeds you,"Não morda a mão que te afaga.
",Don't bite the hand that feeds you.,gemini/prompt3,0.9955623149871821
don't bite the hand that feeds you,"Não morda a mão que te alimenta.
",Don't bite the hand that feeds you.,gemini/prompt4,1.0
don't bite the hand that feeds you,Não morda a mão que te alimenta.,Don't bite the hand that feeds you.,gemma3/prompt1,1.0
don't bite the hand that feeds you,"Não morda a mão que o alimenta.
",Don't bite the hand that feeds you.,gemma3/prompt2,1.0
don't bite the hand that feeds you,Não morda a mão que te alimenta.,Don't bite the hand that feeds you.,gemma3/prompt3,1.0
don't bite the hand that feeds you,Não morda a mão que o alimenta.,Don't bite the hand that feeds you.,gemma3/prompt4,1.0
don't bite the hand that feeds you,Não morda a mão que o alimenta,Don't bite the hand that feeds you,gemmaX/,1.0
don't bite the hand that feeds you,Não morda a mão que te alimenta.,Don't bite the hand that feeds you.,gpt/prompt3,1.0
don't bite the hand that feeds you,Não morda a mão que te alimenta.,Don't bite the hand that feeds you.,gpt/prompt4,1.0
don't bite the hand that feeds you,Não mordache a mão que te alimenta.,Don't bite the hand that feeds you.,llama/prompt1,1.0
don't bite the hand that feeds you,Não mordas a mão que te alimenta,Don't bite the hand that feeds you,marian/,1.0
don't bite the hand that feeds you,Não morde a mão que te alimenta.,Don't bite the hand that feeds you.,mistral/prompt1,1.0
don't bite the hand that feeds you,Não morde a mão que te alimenta.,"""Don't bite the hand that feeds you.""",mistral/prompt2,1.0
don't bite the hand that feeds you,Não morda a mão que te alimenta,Don't bite the hand that feeds you.,mistral/prompt4,1.0
don't bite the hand that feeds you,não morda a mão que lhe dá comida,"""Don't bite the hand that feeds you.""",qwen/prompt1,1.0
don't bite the hand that feeds you,não morda a mão que te alimenta,don't bite the hand that feeds you,qwen/prompt2,1.0
curiosity killed the cat,A curiosidade matou o gato.,Careless whispers cost the cat its life.,gemma3/prompt4,0.89076542854309
curiosity killed the cat,Curiosidade matou o gato.,Curiosidade matou o gato. -> Curiosity killed the cat.,mistral/prompt4,0.9589654207229611
curiosity killed the cat,A curiosidade matou o gato.,A cat's curiosity was its downfall.,llama/prompt3,0.9729809165000911
curiosity killed the cat,"A curiosidade matou o gato.
","Curiosity killed the cat.
",gemini/prompt1,1.0
curiosity killed the cat,"A curiosidade matou o gato.
","Curiosity killed the cat.
",gemini/prompt2,1.0
curiosity killed the cat,"A curiosidade matou o gato.
",Curiosity killed the cat.,gemini/prompt3,1.0
curiosity killed the cat,"A curiosidade matou o gato.
",Curiosity killed the cat.,gemini/prompt4,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,gemma3/prompt1,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,gemma3/prompt2,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,gemma3/prompt3,1.0
curiosity killed the cat,curiosidade matou o gato,Curiosity killed the cat.,gemmaX/,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,gpt/prompt1,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,gpt/prompt2,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,gpt/prompt3,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,gpt/prompt4,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,llama/prompt1,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,llama/prompt2,1.0
curiosity killed the cat,A curiosidade matou o gato.,"""Curiosity killed the cat.""",llama/prompt4,1.0
curiosity killed the cat,curiosidade matou o gato,curiosity killed the cat,marian/,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,meta/,1.0
curiosity killed the cat,Curiosidade matou o gato.,Curiosity killed the cat.,mistral/prompt1,1.0
curiosity killed the cat,Curiosidade matou o gato.,Curiosity killed the cat.,mistral/prompt2,1.0
curiosity killed the cat,Curiosidade matou o gato,Curiosity killed the cat.,mistral/prompt3,1.0
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,qwen/prompt1,1.0
curiosity killed the cat,A curiosidade matou o gato,Curiosity killed the cat,qwen/prompt2,1.0
curiosity killed the cat,A curiosidade matou o gato,Curiosity killed the cat.,qwen/prompt3,1.0
curiosity killed the cat,A curiosidade matou o gato,Curiosity killed the cat,qwen/prompt4,1.0
big fish in a small pond,peixão em poço pequeno,"""激情在小池塘里"" 可以翻译为 ""passion in a small pond""。",qwen/prompt3,0.682857871055603
big fish in a small pond,peixe grande em um pequeno lago,a big fish in a small pond,qwen/prompt4,0.984445869922637
big fish in a small pond,grande peixe em um lago pequeno,"""big fish in a small pond""",mistral/prompt4,0.9860615730285641
big fish in a small pond,um grande peixe em um pequeno lago,a big fish in a small pond,gpt/prompt1,0.9893284440040581
big fish in a small pond,Peixe grande em um aquário pequeno.,Big fish in a small pond.,gpt/prompt3,0.9930623769760131
big fish in a small pond,grande peixe em um pequeno lago,Big fish in a small pond.,mistral/prompt1,0.994783401489257
big fish in a small pond,peixe grande em um reservatório pequeno,big fish in a small pond,qwen/prompt1,0.9963030815124511
big fish in a small pond,grande peixe em um pequeno aquário,big fish in a small pond,gpt/prompt4,0.9963520765304561
big fish in a small pond,Peixe grande num pequeno tanque.,Um peixe-gigante em um aquário pequeno.,llama/prompt3,0.9969568252563471
big fish in a small pond,"Peixe grande em aquário.
",Big fish in a small pond.,gemini/prompt3,0.9975783824920651
big fish in a small pond,Peixe grande em pequeno rio.,Big Fish in a Small Pond.,llama/prompt4,0.9982575178146361
big fish in a small pond,peixe grande em um pequeno lago,"""Big fish in a small pond""",mistral/prompt3,0.998900294303894
big fish in a small pond,peixe grande num pequeno lago,Big fish in a small pond,gemmaX/,0.9995615482330321
big fish in a small pond,Peixe grande num lago pequeno,Big fish in a small pond,qwen/prompt2,0.9999229907989501
big fish in a small pond,Peixe grande em lago pequeno,Big fish in a small pond,gemma3/prompt1,0.9999231100082391
big fish in a small pond,peixe grande em uma pequena lagoa,Big fish in a small pond,marian/,0.9999231100082391
big fish in a small pond,Peixe grande em um lago pequeno,Big fish in a small pond,meta/,0.9999231100082391
big fish in a small pond,Peixe grande num lago pequeno.,A big fish in a small pond.,gemma3/prompt4,0.9999723434448241
big fish in a small pond,"Peixe grande em lago pequeno.
","Big fish in a small pond.
",gemini/prompt1,1.0
big fish in a small pond,"Peixe grande em lago pequeno
","Big fish in a small pond
",gemini/prompt2,1.0
big fish in a small pond,"Peixe grande em lagoa pequena.
",Big fish in a small pond.,gemini/prompt4,1.0
big fish in a small pond,Peixe grande em lago pequeno.,Big fish in a small pond.,gemma3/prompt2,1.0
big fish in a small pond,Peixe grande em lagoza.,Big fish in a small pond.,gemma3/prompt3,1.0
big fish in a small pond,grande peixe em um pequeno lago,big fish in a small pond,gpt/prompt2,1.0
big fish in a small pond,Peixe grande em um pequeno tanque.,A big fish in a small pond.,llama/prompt1,1.0
big fish in a small pond,Peixe grande num tanque pequeno.,A big fish in a small tank.,llama/prompt2,1.0
big fish in a small pond,Peixe grande em um lago pequeno,Big fish in a small pond.,mistral/prompt2,1.0
an open book,Livro aberto.,"""Book ajar.""",llama/prompt3,0.805601716041564
an open book,"""an open book"" para o português com sentido metafórico é ""livro aberto"".","""An open book""",mistral/prompt4,0.881504654884338
an open book,>>pt<<um livro aberto,■p<<< open book,meta/,0.8864716887474061
an open book,"""Um livro aberto""","""A Book Open""",mistral/prompt3,0.9692580103874201
an open book,abrir o livro,turn the page,qwen/prompt4,0.974222898483276
an open book,livro aberto,open book,mistral/prompt2,0.981968641281127
an open book,"Um livro aberto
","An open book
",gemini/prompt1,1.0
an open book,"Um livro aberto
","An open book
",gemini/prompt2,1.0
an open book,"Um livro aberto.
",An open book.,gemini/prompt3,1.0
an open book,"Um livro aberto.
",An open book.,gemini/prompt4,1.0
an open book,Um livro aberto,An open book,gemma3/prompt1,1.0
an open book,"Um livro aberto.
",An open book.,gemma3/prompt2,1.0
an open book,"Um livro aberto.
",An open book.,gemma3/prompt3,1.0
an open book,Um livro aberto.,An open book.,gemma3/prompt4,1.0
an open book,um livro aberto,an open book,gemmaX/,1.0
an open book,um livro aberto,an open book,gpt/prompt1,1.0
an open book,um livro aberto,an open book,gpt/prompt2,1.0
an open book,um livro aberto,an open book,gpt/prompt3,1.0
an open book,um livro aberto,an open book,gpt/prompt4,1.0
an open book,Um livro aberto.,An open book.,llama/prompt1,1.0
an open book,Um livro aberto,An open book.,llama/prompt2,1.0
an open book,Um livro aberto.,Um livro aberto.,llama/prompt4,1.0
an open book,um livro aberto,an open book,marian/,1.0
an open book,um livro aberto,an open book,mistral/prompt1,1.0
an open book,um livro aberto,an open book,qwen/prompt1,1.0
an open book,um livro aberto,an open book,qwen/prompt2,1.0
an open book,um livro aberto,an open book,qwen/prompt3,1.0
my hands are tied,Eu posso. As minhas mãos estão atadas.,I got my hands tied.,meta/,0.8426603078842161
my hands are tied,"Estou de mãos atadas.
","I'm in a bind.
",gemini/prompt1,0.9028789997100831
my hands are tied,Minha mão está atada.,"""I am bound.""",mistral/prompt3,0.9370422363281251
my hands are tied,"Estou de mãos atadas.
","I'm hamstrung.
",gemini/prompt2,0.945519208908081
my hands are tied,Meus pés estão amarrados,My feet are tied.,mistral/prompt4,0.9674052000045771
my hands are tied,Meus braços estão amarrados.,"""My arms are tied""",llama/prompt3,0.9735370874404901
my hands are tied,As mãos estão atadas.,Hands are tied.,gemma3/prompt4,0.9766715168952941
my hands are tied,Minha mão está atada,My hand is tied.,mistral/prompt1,0.9874081611633301
my hands are tied,"Estou de mãos atadas.
",My hands are tied.,gemini/prompt3,0.9983310699462891
my hands are tied,"Estou de mãos atadas.
",My hands are tied.,gemini/prompt4,0.9983310699462891
my hands are tied,minhas mãos estão atadas,My hands are tied,qwen/prompt2,0.9990295171737671
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,gemma3/prompt1,1.0
my hands are tied,"As minhas mãos estão atadas.
",My hands are tied.,gemma3/prompt2,1.0
my hands are tied,As minhas mãos estão amarradas.,My hands are tied.,gemma3/prompt3,1.0
my hands are tied,Minhas mãos estão atadas,My hands are tied,gemmaX/,1.0
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,gpt/prompt1,1.0
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,gpt/prompt2,1.0
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,gpt/prompt3,1.0
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,gpt/prompt4,1.0
my hands are tied,Minhas mãos estão amarradas.,My hands are tied.,llama/prompt1,1.0
my hands are tied,Estou limitado nas minhas opções.,I am limited in my options.,llama/prompt2,1.0
my hands are tied,São minhas mãos que estão amarradas.,Min hands are tied.,llama/prompt4,1.0
my hands are tied,Tenho as mãos atadas.,My hands are tied.,marian/,1.0
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,mistral/prompt2,1.0
my hands are tied,Minhas mãos estão amarradas,My hands are tied.,qwen/prompt1,1.0
my hands are tied,Minhas mãos estão amarradas,My hands are tied.,qwen/prompt3,1.0
my hands are tied,minhas mãos estão amarradas,My hands are tied,qwen/prompt4,1.0
She visited the art gallery on Sunday.,"A alma flutuou pela galeria de cores no domingo.
",The soul drifted through a Sunday gallery of hues.,gemma3/prompt3,0.55915629863739
She visited the art gallery on Sunday.,Visitou o museu de arte no domingo.,"""Visitou o templo da beleza no domingo.""",llama/prompt3,0.643101274967193
She visited the art gallery on Sunday.,Ela passeou pelo templo das cores no domingo.,She wandered through the cathedral of hues on Sunday.,gemma3/prompt4,0.659209907054901
She visited the art gallery on Sunday.,"Ela passeou pelos quadros no domingo.
",She strolled through the gallery of her memories on Sunday.,gemini/prompt4,0.776071786880493
She visited the art gallery on Sunday.,Ela passeou pelas cores da galeria no domingo.,She strolled through the colors of the gallery on Sunday.,gpt/prompt3,0.7906812429428101
She visited the art gallery on Sunday.,"No domingo, ela passeou pelos jardins da arte.
","On Sunday, she strolled through the gardens of art.",gemini/prompt3,0.9008132815361021
She visited the art gallery on Sunday.,Visitou a galeria de arte no dia do Senhor.,She attended the art gallery on the Lord's Day.,llama/prompt4,0.9295662641525261
She visited the art gallery on Sunday.,Ela mergulhou no mundo das artes no domingo.,She dived into the world of arts on Sunday.,qwen/prompt3,0.9586828947067261
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery Sunday.,meta/,0.9824000597000121
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She explored the art gallery on Sunday.,mistral/prompt3,0.990416944026947
She visited the art gallery on Sunday.,"Ela visitou a galeria de arte no domingo.
","She visited the art gallery on Sunday.
",gemini/prompt1,0.9912000298500061
She visited the art gallery on Sunday.,"Ela visitou a galeria de arte no domingo.
","She visited the art gallery on Sunday.
",gemini/prompt2,0.9912000298500061
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,gemma3/prompt1,1.0
She visited the art gallery on Sunday.,"Ela visitou a galeria de arte no domingo.
",She visited the art gallery on Sunday.,gemma3/prompt2,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,gemmaX/,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,gpt/prompt1,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,gpt/prompt2,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,gpt/prompt4,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,llama/prompt1,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,llama/prompt2,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,marian/,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,mistral/prompt1,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,mistral/prompt2,1.0
She visited the art gallery on Sunday.,ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,mistral/prompt4,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,qwen/prompt1,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,She visited the art gallery on Sunday.,qwen/prompt2,1.0
She visited the art gallery on Sunday.,Ela visitou a galeria de arte no Domingo.,She visited the art gallery on Sunday.,qwen/prompt4,1.0
break the ice,"""Vá lá, não sejas estúpido. ""","""Go ahead. Don't be such a fool"".",meta/,0.562792778015136
break the ice,Quebrar o gelo,"""Break the ice.""",mistral/prompt3,0.9761043787002561
break the ice,"Quebrar o gelo
","Break the ice
",gemini/prompt1,0.9912000298500061
break the ice,"Quebrar o gelo
","Break the ice
",gemini/prompt2,0.9912000298500061
break the ice,quebrar o gelo,break the ice,gpt/prompt1,0.9912000298500061
break the ice,quebrar o gelo,break the ice,gpt/prompt2,0.9912000298500061
break the ice,quebrar o gelo,break the ice,gpt/prompt4,0.9912000298500061
break the ice,Romper o gelo,Breaking the ice.,llama/prompt2,0.9912000298500061
break the ice,quebrar o gelo,break the ice,qwen/prompt1,0.9912000298500061
break the ice,quebrar o gelo,break the ice,qwen/prompt3,0.9912000298500061
break the ice,quebrar o gelo,break the ice,qwen/prompt4,0.9912000298500061
break the ice,"Quebrar o gelo.
",Break the ice.,gemini/prompt3,1.0
break the ice,"Quebrar o gelo
",Break the ice,gemini/prompt4,1.0
break the ice,Quebrar o gelo,Break the ice,gemma3/prompt1,1.0
break the ice,Quebrar o gelo,Break the ice,gemma3/prompt2,1.0
break the ice,"Quebrar o gelo.
",Break the ice.,gemma3/prompt3,1.0
break the ice,Quebrar o gelo.,Break the ice.,gemma3/prompt4,1.0
break the ice,quebrar o gelo,breaking the ice,gemmaX/,1.0
break the ice,Quebrar o gelo.,Break the ice.,gpt/prompt3,1.0
break the ice,Romper o gelo,Break the ice.,llama/prompt1,1.0
break the ice,Romper o gelo,Break the ice.,llama/prompt3,1.0
break the ice,Quebrar o gelo.,Break the ice.,llama/prompt4,1.0
break the ice,quebre o gelo,Break the ice,marian/,1.0
break the ice,Quebrar o gelo,Break the ice,mistral/prompt1,1.0
break the ice,Quebrar o gelo,Break the ice,mistral/prompt2,1.0
break the ice,quebrar o gelo,Break the ice,mistral/prompt4,1.0
break the ice,Quebrar o gelo,Break the ice,qwen/prompt2,1.0
They are planning a trip to Europe.,Eles estão traçando rotas para o Velho Mundo.,They’re charting courses for Yesterday.,gemma3/prompt4,0.25438967347145003
They are planning a trip to Europe.,Eles estão planejando uma jornada pelo continente europeu.,They are charting a journey through the European continent of their careers.,qwen/prompt3,0.7309295535087581
They are planning a trip to Europe.,"Estão desenhando um mapa para o outro lado do mundo.
",They're charting a course to the far side of the world.,gemma3/prompt3,0.811314105987548
They are planning a trip to Europe.,"Estão com a Europa na mira.
",They've got Europe in their crosshairs.,gemini/prompt4,0.8966984152793881
They are planning a trip to Europe.,"Eles estão com a Europa na mira.
",They've got Europe in their crosshairs.,gemini/prompt3,0.903991281986236
They are planning a trip to Europe.,Eles estão fazendo um passeio planejado para a Europa.,They are taking a well-planned stroll through Europe.,llama/prompt4,0.9372651576995851
They are planning a trip to Europe.,Eles estão traçando um mapa para uma viagem à Europa.,They are charting a course for a journey to Europe.,gpt/prompt3,0.9487895965576171
They are planning a trip to Europe.,Eles estão traçando um roteiro para a Europa.,They are mapping out a course for Europe.,llama/prompt3,0.959252119064331
They are planning a trip to Europe.,Estão organizando uma viagem pela Europa.,"""They're planning an odyssey through Europe.""",mistral/prompt3,0.9639065265655511
They are planning a trip to Europe.,Eles estão planejando uma jornada pela Europa.,They are plotting a journey through Europe.,qwen/prompt4,0.970366358757019
They are planning a trip to Europe.,Eles estão planejando uma viagem à Europa.,They are plotting a journey to Europe.,gpt/prompt4,0.9802229404449461
They are planning a trip to Europe.,Estão a planear uma viagem à Europa.,They are planning on a trip to Europe.,meta/,0.9912000298500061
They are planning a trip to Europe.,Eles estão se preparando para uma jornada pela Europa.,They are gearing up for a journey through Europe.,mistral/prompt4,0.9959665536880491
They are planning a trip to Europe.,"Eles estão planejando uma viagem para a Europa.
","They are planning a trip to Europe.
",gemini/prompt1,1.0
They are planning a trip to Europe.,"Eles estão planejando uma viagem para a Europa.
","They are planning a trip to Europe.
",gemini/prompt2,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,They are planning a trip to Europe.,gemma3/prompt1,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,They are planning a trip to Europe.,gemma3/prompt2,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,They are planning a trip to Europe.,gemmaX/,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,They are planning a trip to Europe.,gpt/prompt1,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,They are planning a trip to Europe.,gpt/prompt2,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,They are planning a trip to Europe.,llama/prompt1,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,They are planning a trip to Europe.,llama/prompt2,1.0
They are planning a trip to Europe.,Estão a planear uma viagem à Europa.,They're planning a trip to Europe.,marian/,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem para a Europa.,They are planning a trip to Europe.,mistral/prompt1,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem à Europa.,They are planning a trip to Europe.,mistral/prompt2,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem à Europa.,They are planning a trip to Europe.,qwen/prompt1,1.0
They are planning a trip to Europe.,Eles estão planejando uma viagem à Europa.,They are planning a trip to Europe.,qwen/prompt2,1.0
She bought a new phone last week.,Ela comprou uma nova mochila para o telefone (por ter se tornado uma bagagem),She bought a new phone case (because she had become luggage).,llama/prompt4,0.483632326126098
She bought a new phone last week.,"Ela desapegou do passado na semana passada.
",She untethered herself from the past last week.,gemini/prompt3,0.5366501808166501
She bought a new phone last week.,"A semana passada, ela ganhou uma janela para o mundo.","Last week, she gained a glimpse of the world.",gemma3/prompt3,0.585528373718261
She bought a new phone last week.,Elas comprou um novo telefone há uma semana.,She kicked the bucket a week ago.,qwen/prompt4,0.680732131004333
She bought a new phone last week.,Ela adquiriu um novo olhar para o mundo na semana passada.,Ela adquiriu novos óculos para o mundo na semana passada.,llama/prompt3,0.699298381805419
She bought a new phone last week.,Ela trocou de aparelho na semana passada.,She upgraded her antenna last week.,gemma3/prompt4,0.752867341041564
She bought a new phone last week.,Ela comprou um novo capô para o carro do seu relacionamento na última semana.,She bought a new hood for her relationship’s car last week.,qwen/prompt3,0.8346612453460691
She bought a new phone last week.,Ela adquiriu um novo portal de conexões na semana passada.,She acquired a new gateway to connections last week.,gpt/prompt3,0.86763322353363
She bought a new phone last week.,Comprou um telefone novo na semana passada.,He got a new phone last week.,meta/,0.9428936243057251
She bought a new phone last week.,"She bought a new phone last week.

Responder:
""Ela comprou um telefone novo na semana passada.""

Se precisar de ajuda adicional ou explicações, estou à disposição!",She purchased a new smartphone last week.,mistral/prompt3,0.9685915708541871
She bought a new phone last week.,"Ela estreou um celular novo semana passada.
",She unwrapped a brand new phone last week.,gemini/prompt4,0.98017930984497
She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,She got herself a shiny new phone last week.,gpt/prompt4,0.9890260696411131
She bought a new phone last week.,"Ela comprou um celular novo semana passada.
","She bought a new cell phone last week.
",gemini/prompt1,1.0
She bought a new phone last week.,"Ela comprou um telefone novo na semana passada.
","She bought a new phone last week.
",gemini/prompt2,1.0
She bought a new phone last week.,Ela comprou um celular novo semana passada.,She bought a new phone last week.,gemma3/prompt1,1.0
She bought a new phone last week.,Ela comprou um celular novo na semana passada.,She bought a new phone last week.,gemma3/prompt2,1.0
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,gemmaX/,1.0
She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,She bought a new phone last week.,gpt/prompt1,1.0
She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,She bought a new phone last week.,gpt/prompt2,1.0
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,llama/prompt1,1.0
She bought a new phone last week.,Ela comprou um novo telefone semana passada.,She bought a new phone last week.,llama/prompt2,1.0
She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,She bought a new phone last week.,marian/,1.0
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,mistral/prompt1,1.0
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,mistral/prompt2,1.0
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,mistral/prompt4,1.0
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,qwen/prompt1,1.0
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,qwen/prompt2,1.0
close to my heart,"""Near to my heart""","""My heart is as near to me as the sun.""",mistral/prompt3,0.695200622081756
