indice,dataset,modelo,prompt,ingles_original,portugues_traduzido,label,xcomet_xl
1984,newsmet,gemma3,prompt4,Shocking Intel Document Gives Names! People Going To Jail! Dwarfs Watergate!! Verified By Q Anon!,Documento Explosivo Revela Nomes! Pessoas a Rumo às Grades! Watergate Anão!! Confirmado por Q Anon!,0,2572
1951,newsmet,gemini,prompt4,How Can We Fix The CFPB? Shut It Down,"Como podemos acabar com o CFPB? Botar uma pedra em cima.
",0,2572
1323,newsmet,gemini,prompt4,"‘Massive military response’: After meeting with Trump, Gen. Mattis strongly warns North Korea","Uma resposta militar colossal.
",0,2571
310,newsmet,gemma3,prompt4,Homeland Security Faces Lawsuit Over Warrantless Searches At Border,Segurança Nacional na mira de ação judicial por revistas sem mandado na fronteira.,0,2571
1975,newsmet,gemma3,prompt4,LeBron James compliments Lonzo Ball after breaking his record,"""Ver o garoto finalmente florescer foi algo especial. Ele está realmente começando a encontrar o seu ritmo, e eu fico feliz por ele. Quebrar o meu recorde? É só o começo do que ele pode fazer. O futuro é dele.""

**Tradução:**

""Ver a flor desabrochar finalmente foi um espetáculo. Ele está, enfim, encontrando o seu compasso, e fico contente por isso. Derrubar o meu marco? É apenas a primeira nota de uma sinfonia que ele pode reger. O futuro lhe pertence.""",0,2570
2248,newsmet,gemini,prompt4,HBO posts Jorah's love letter to Daenerys in full,"""Minha querida Daenerys,

Escrevo esta carta com o coração pesado, pois fui banido mais uma vez. Sei que minhas ações passadas trouxeram vergonha a você, e por isso mereço.

Nunca houve um homem que amasse uma mulher como eu amo você. Você me deu um propósito, uma razão para viver, um fogo para me guiar. Eu jurei te proteger, servi-la, e eu falhei miseravelmente.

O que me resta agora é o desgosto e o arrependimento. Você merece um homem melhor, um homem que possa estar ao seu lado em tempos de dificuldade, um homem que não a decepcionaria.

Eu sei que você está cercada por muitos conselheiros dignos, pessoas que a amam e querem o seu bem. Eu desejo que eles a sirvam bem.

Espero que um dia você possa me perdoar. Eu sempre a amarei.

Com amor eterno,

Jorah Mormont.""
",0,2570
1716,newsmet,gemma3,prompt4,Corporate Media Continues Blackout of DNC Lawsuit Even as 2 Witnesses Die,"A grande mídia corporativa mantém o silêncio sobre a ação judicial do Partido Democrata, mesmo enquanto duas testemunhas partem desta para sempre.",0,2569
1983,newsmet,gemini,prompt4,CDC Recommends IV Dilaudid to Treat Foot Pain Caused by Stepping on a Stray Lego Piece,"O CDC recomenda Dilaudid intravenoso para tratar a dor no pé causada por pisar em uma peça de Lego perdida.
",0,2569
1566,newsmet,gemini,prompt4,"$$2,000/year Muslim girls’ school won’t provide toilet paper or soap for students ‘for cultural reasons’","Uma escola islâmica de meninas, que cobra 2.000 dólares por ano, não fornecerá papel higiênico ou sabão para as alunas, ""por questões culturais"".
",0,2568
1148,newsmet,gemma3,prompt4,Pot meet kettle! WATCH: Al Sharpton says President Trump IS a racist,O caldeirão chamou a panela de feia.,0,2568
1948,newsmet,gemini,prompt4,Man has an eel trapped in his body after 'sticking it into his rectum',"O sujeito enfiou uma enguia no cu e agora está enrascado.
",0,2567
1340,newsmet,gemma3,prompt4,Toyota to Take 5 Percent Stake in Mazda and Build Joint U.S. Plant,Toyota assume 5% de participação na Mazda e ergue fábrica conjunta nos EUA.,0,2566
845,newsmet,gemini,prompt4,LOL. Hillary Bought a Second Home in New York in Anticipation of Winning 2016 Election (VIDEO),"Hillary comprou uma segunda casa em Nova York, antecipando a vitória na eleição de 2016 (VÍDEO).
",0,2566
1078,newsmet,gemma3,prompt4,Antifa Protester Who Slashed Police Horse in Face with Nail on Pole Is Formally Charged,Ativista Antifascista que Feriu Cavalo Policial no Rosto com Preguinho em Vareta é Formalmente Acusado.,0,2565
362,newsmet,gemini,prompt4,‘No innocent explanation for this’: Kurt Eichenwald exposes reasons for Kushner meeting with Russian bankers,"Nenhuma explicação inocente para isso.
",0,2565
1226,newsmet,gemini,prompt4,"U.S. Report Says Humans Cause Climate Change, Contradicting Top Trump Officials","O relatório dos EUA cospe na cara do negacionismo, contradizendo os próceres de Trump.
",0,2564
1190,newsmet,gemma3,prompt4,‘Hawaii Five-O’ Season 8 Episode 7: Does McGarrett make a tragic misfire?,McGarrett Atira no Escuro?,0,2564
1577,newsmet,gemini,prompt4,LOCK HIM UP: Kyle Adam Maraghy arrested for sucker punching fan at Panthers-Eagles game,"Botá-lo na jaula.
",0,2563
911,newsmet,gemma3,prompt4,"Kidnapped Pharmacist Gives Violent Gunman Drugs, He Doesn’t Realize What Kind Until It’s Too Late","Farmacêutico Sequestrado Oferece Drogas a Abalado Armado, Sem Saber a Real Potência Até Ser Tarde Demais.",0,2563
424,newsmet,gemini,prompt4,5 Things Ivanka Trump Could Do Right Now on Equal Pay,"Aqui estão as 5 sugestões traduzidas, mantendo o tom metafórico:

1.  **Get her hands dirty.**
    *   Meter a mão na massa.

2.  **Put her money where her mouth is.**
    *   Mostrar serviço.

3.  **Take a page from someone else's book.**
    *   Seguir o exemplo.

4.  **Break the glass ceiling.**
    *   Romper a barreira.

5.  **Lead by example.**
    *   Dar o exemplo.
",0,2562
1428,newsmet,gemma3,prompt4,"FBI OPENLY Working Against Trump: Pro-Clinton FBI Agents Conducted The Michael Flynn Interview, Cornered Him In The White House Under False Pretenses","FBI AGE DE ABERTO Combatendo Trump: Agentes do FBI Favoráveis a Clinton Conduziram o Interrogatório de Michael Flynn, Encurralaram-no na Casa Branca Sob Falsos Ares.",0,2562
646,newsmet,gemma3,prompt4,E.U. to Trump: 'We're Not Renegotiating Iran Nuclear Deal',Não vamos reabrir a caixa de Pandora.,0,2561
1754,newsmet,gemini,prompt4,Suspect Identified In NYC Terror Attack That Left 8 Dead; Pled Allegiance To ISIS,"Suspeito identificado no ataque terrorista em NY que deixou 8 mortos; jurou lealdade ao Estado Islâmico.
",0,2561
560,newsmet,gemma3,prompt4,Hospital Ship in Puerto Rico Has Seen Few Patients,O navio-hospital em Porto Rico viu poucos rostos.,0,2560
2285,newsmet,gemini,prompt4,New York Times interview: Trump insists there was no collusion with Russia ... sixteen times,"Aqui estão as dezesseis traduções metafóricas da frase ""Trump insists there was no collusion with Russia"" (em uma entrevista ao New York Times), mantendo o tom original:

1.  Trump jura de pés juntos que não houve conluio com a Rússia.
2.  Trump bate o pé, negando qualquer mão na roda com a Rússia.
3.  Trump crava as unhas no chão: não houve combinação com a Rússia.
4.  Trump joga na lata do lixo a ideia de conluio com a Rússia.
5.  Trump põe uma pedra em cima da história de conluio com a Rússia.
6.  Trump enterra de vez a história de conluio com a Rússia.
7.  Trump passa uma borracha na acusação de conluio com a Rússia.
8.  Trump cospe no prato, negando qualquer ligação com a Rússia.
9.  Trump faz vista grossa para a hipótese de conluio com a Rússia.
10. Trump enterra a cabeça na areia: nega qualquer conluio com a Rússia.
11. Trump lava as mãos da acusação de conluio com a Rússia.
12. Trump risca do mapa a ideia de combinação com a Rússia.
13. Trump fecha a porta na cara da suspeita de conluio com a Rússia.
14. Trump dá um chega pra lá na história de conluio com a Rússia.
15. Trump finca a bandeira: não houve aliança com a Rússia.
16. Trump faz pouco caso da ideia de conluio com a Rússia.
",0,2560
702,newsmet,gemma3,prompt4,All things military: 41 family members join the army at the same time,Quarenta e um laços de sangue alistaram-se de uma vez só aos gritos da pátria.,0,2559
2309,newsmet,gemini,prompt4,Actor Tyler Cornell Files Police Report Accusing Former Top Talent Agent of Sodomy,"Tyler Cornell, ator, vai à delegacia e denuncia ex-agente por abuso.
",0,2559
809,newsmet,gemini,prompt4,Distiller Makes Booze Out of Wine Spat Out by Strangers at a Tasting Event,"O destilador transforma o vinho cuspido em néctar dos deuses.
",0,2558
722,newsmet,gemma3,prompt4,"Muslim Woman Renounces Islam And Gives Her Life To Jesus After Her Daughter Is Miraculously Healed, Her Husband Violently Attacks Her And She Is Now In Hiding","Mulher muçulmana abandona a fé e entrega a vida a Jesus após a filha ser curada milagrosamente, seu marido a agredir violentamente e ela se refugiar na sombra.",0,2558
480,newsmet,gemini,prompt4,Ex-Con Interpreter Delivers Gibberish Sign Language at Police Press Conference,"Ex-presidiário, tradutor de araque, entrega balela em linguagem de sinais na coletiva da polícia.
",0,2557
575,newsmet,gemma3,prompt4,Scaramucci: Trump loves pizza so he can’t be elitist,Trump adora pizza para não parecer metido.,0,2557
121,newsmet,gemma3,prompt4,Photogallery - Trump supporters should hold his feet to the fire,"Que os apoiadores de Trump o mantenham na fogueira.
",0,2556
225,newsmet,gemini,prompt4,‘Oh no’: Dem Sen. Chris Murphy teases ‘bipartisan breakthrough on gun legislation’,"Ih, lascou!
",0,2556
1922,newsmet,gemini,prompt4,‘Are you insane?’: Seth Meyers torches our ‘neediest and most insecure president’ Trump,"Você perdeu o juízo?
",0,2555
478,newsmet,gemma3,prompt4,Kevin James on Why ‘Kevin Can Wait’ Dumped Erinn Hayes,"Kevin James sobre o motivo de ‘Kevin A Espera’ ter dispensado Erinn Hayes.

""Foi como se o navio tivesse virado. De repente, a direção mudou, e a tripulação me disse que a capitã precisava deixar a embarcação. Foi uma bofetada no estômago. Eles me explicaram que precisavam seguir por um caminho diferente, um caminho que não incluía mais a Erinn. Não me entendam mal, a Erinn é talentosa, mas a bússola do show apontava para outro lado. Foi uma decisão de cima, uma ordem que eu simplesmente não podia bater as botas.""",0,2555
449,newsmet,gemini,prompt4,It’s confusing. There is no explanation': Some green card holders getting turned away from US Army,"""É um labirinto. Nenhuma luz no fim do túnel.""
",0,2554
608,newsmet,gemma3,prompt4,Addie Zinone says that she had an affair with Matt Lauer 16 years ago,Addie Zinone afirma ter vivido um caso com Matt Lauer há 16 anos.,0,2554
2094,newsmet,gemma3,prompt4,I.R.S. Says It Will Reject Tax Returns That Lack Health Insurance Disclosure,O Leãozinho Avisa: Declarações Sem Comprovação de Plano de Saúde Serão Descartadas.,0,2553
928,newsmet,gemini,prompt4,Manafort accused of lying to bankruptcy court — by his own son-in-law,"Manafort, acusado de mentir ao tribunal de falência — pelo próprio genro.
",0,2553
1778,newsmet,gemini,prompt4,‘I Love Islamic State’: Muslim Guilty of Showing Beheading Video to Child,"Admirador do Estado Islâmico: Muçulmano culpado por exibir vídeo de decapitação a criança.
",0,2552
2584,newsmet,gemma3,prompt4,Father Uses .44 Magnum to Shoot Grizzly Bear off Son,"Pai usa Magnum.44 para afastar urso pardo do filho.
",0,2552
1105,newsmet,gemma3,prompt4,LONDON: Perpetual Muslim victimhood made possible by self-hating British Christian and Jewish useful idiots,"LONDRES: Vítima perpétua do Islã perpetuada por britânicos cristãos e judeus autodepreciados, meros fantoches.",0,2551
1219,newsmet,gemini,prompt4,8 Frugal and Forgotten Ways Your Great-Grandparents Made it Through Hard Times,"Aqui está a tradução:

1.  **Cultivando a Própria Mesa (Grow Your Own Grocery Store):** Transformando o Quintal em um Emporium Doméstico.
2.  **Consertando, Reusando, Revivendo (Fix, Reuse, Revive):** A Arte da Sobrevivência Econômica.
3.  **O Tesouro Escondido do Desperdício (The Hidden Treasure of Waste):** Onde o Lixo Vira Ouro.
4.  **A Economia da Troca: Uma Moeda Invisível (The Barter Economy: An Invisible Currency):** Onde a Confiança é a Chave.
5.  **O Poder da Comunidade: Juntos Somos Fortes (The Power of Community: United We Stand):** Uma Mão Lava a Outra.
6.  **Armazenando para o Futuro: Uma Despensa para a Tempestade (Stockpiling for the Future: A Pantry for the Storm):** Preparando-se para Dias Sombrios.
7.  **A Arte da Remodelação e Adaptação (The Art of Repurposing and Adaptation):** Uma Nova Vida para o Velho.
8.  **A Disciplina da Gratidão: Contando as Bênçãos (The Discipline of Gratitude: Counting Your Blessings):** Encontrando a Riqueza no Simples.
",0,2551
1733,newsmet,gemma3,prompt4,‘Three Musketeers’ Terror Group Found Guilty Of Plotting Attack On UK Authorities,Gangue dos Três Mosqueteiros Apenada por Tramar Atentado Contra Autoridades Britânicas.,0,2550
1730,newsmet,gemini,prompt4,‘It’s a blessing’: Muslim relief groups help disaster-stricken Southern communities recover,"É um bálsamo.
",0,2550
675,newsmet,gemma3,prompt4,An IGA Supermarket in Montreal is growing its own vegetables on the roof,"Um supermercado IGA em Montreal está cultivando seus próprios vegetais no telhado, plantando futuro.",0,2549
43,newsmet,gemini,prompt4,Military Demands Tougher Immigration Controls As Terrorists Ravage Filipino City,"A caserna clama por fronteiras mais blindadas, enquanto o terrorista devasta a cidade filipina.
",0,2549
1572,newsmet,gemini,prompt4,Catholics encounter the homeless on the streets of Hollywood,"Católicos se deparam com a miséria na passarela da fama.
",0,2548
2218,newsmet,gemma3,prompt4,Pregnant woman in a crop top denied service at Washington restaurant for ‘violating the health code’,Grávida de top cropped negada no restaurante de Washington por 'desrespeitar o código sanitário'.,0,2547
2190,newsmet,gemini,prompt4,Fascist Judge Convicts US Marine General For Defending Gito Detainees’ Rights,"Juiz fascista condena general da Marinha dos EUA por defender os direitos de detentos em Guantánamo.
",0,2547
1443,newsmet,gemma3,prompt4,"X22Report It’s On, The Cabal Goes All In To Push The Next Event – Episode 1423b","Está Ligado: A Cabala Aposta Todas as Fichas no Próximo Evento – Episódio 1423b

A cortina se eleva, e o tabuleiro se revela. A Cabala, acorrentada a velhas engrenagens, agora despeja seu último barril de pólvora para orquestrar o próximo ato. A dança da serpente se intensifica, com cada movimento calculado para desviar o olhar da verdadeira peça central.

O palco está montado, as marionetes alinhadas, e o maestro, com mãos enluvadas, aumenta o volume. A narrativa está sendo escrita com tinta de sombras, e a realidade, distorcida como um espelho quebrado.

Preparem-se, pois a tempestade se aproxima. O relógio, com seus ponteiros implacáveis, marca o tempo até o clímax. A Cabala, em seu desespero, busca desesperadamente",0,2546
957,newsmet,gemini,prompt4,"Trump, Putin agree to ceasefire deal for south-western Syria","Trump e Putin selam a paz na Síria, como dois donos de cassino dividindo a aposta.
",0,2546
846,newsmet,gemini,prompt4,"The KC Star posted an article Wed eve on their Internet page, then a third of a page on their print","O KC Star soltou uma matéria na web na noite de quarta, e depois um terço de página na edição impressa.
",0,2545
1565,newsmet,gemma3,prompt4,America's Wealthiest Private School Admits Staff Showed Conversion Therapy Video,"A escola particular mais abastada da América admite que funcionários exibiram vídeo de ""terapia da conversão"".",0,2545
1695,newsmet,gemini,prompt4,How universal background checks could have stopped Sutherland Springs,"Como um raio de sol na escuridão de Sutherland Springs.
",0,2544
10,newsmet,gemma3,prompt4,Newspeak! U.N. now calls abortion part of basic 'right to life',"Agora a União proclama o aborto como extensão natural do direito à existência.
",0,2544
1054,newsmet,gemma3,prompt4,‘Family Guy’ Predicted the Kevin Spacey Scandal Way Back in 2005,"Os Simpsons anteciparam o escândalo de Kevin Spacey lá atrás, em 2005.
",0,2543
650,newsmet,gemini,prompt4,Mother Kills Her Baby By Throwing Him Out Of 6th Floor Window Naked,"A esperança despenca do sexto andar, despida de qualquer promessa.
",0,2543
189,newsmet,gemma3,prompt4,"Tennessee Inmates Given Reduced Sentences in Exchange for Vasectomies, Birth Control",Detentos de Tennessee Alcançam Redução de Pena em Troca de Castração Voluntária e Controle de Natalidade.,0,2542
959,newsmet,gemini,prompt4,"‘WTF is going on’? Paul Manafort is suing Rod Rosenstein, Robert Mueller, AND the DOJ","Que raio está pegando fogo?!
",0,2542
502,newsmet,gemini,prompt4,California ‘Puppy Mill’ Ban Would Also Cover Kittens and Bunnies,"Califórnia Proíbe ""Fábricas de Filhotes"", Incluindo Gatinhos e Coelhinhos.
",0,2541
2438,newsmet,gemma3,prompt4,"6.4 in Levuka, Eastern, Fiji Earthquakes DR.TURI DID IT AGAIN!","O Doutor Turi voltou a sacudir as entranhas de Levuka, Leste, Fiji.
",0,2541
1200,newsmet,gemma3,prompt4,‘He’s proven to be a liar’: Rep. Frederica Wilson denounces President Donald Trump,Ele se revelou um contador de histórias.,0,2540
975,newsmet,gemini,prompt4,Arrest Warrant Issued for Model Who Wore Tee-Shirt and Skirt in Saudi Arabia Streets,"Um mandado de captura foi emitido contra a modelo que ousou desfiar saia e camiseta pelas ruas da Arábia Saudita.
",0,2540
2394,newsmet,gemma3,prompt4,Rich NYC residents use terrorism as an excuse against subway elevators for people with disabilities,Moradores ricos de Nova York usam o terror como desculpa para se opor a elevadores de metrô para pessoas com deficiência.,0,2539
31,newsmet,gemini,prompt4,"‘You imbeciles’! Yahoo News tries to paint GOPer Ed Gillespie as racist, fails MISERABLY","Seus imbecis!
",0,2539
1216,newsmet,gemma3,prompt4,Here's a question for Trump on his public shaming of Jeff Sessions: Why don't you grow a pair?,Por que você não assume a responsa e para de dar desculpas?,0,2538
1736,newsmet,gemini,prompt4,Tyga wants a paternity test once Kylie's baby is born,"Tyga quer saber se o neném é dele, assim que nascer.
",0,2538
1147,newsmet,gemini,prompt4,CIA Mike Pompeo Not Inviting Media to CIA Christmas Party,"Mike Pompeo, como a CIA, ignora a mídia na festa de Natal.
",0,2537
98,newsmet,gemini,prompt4,‘What a scumbag’! Dem Rep. Seth Moulton proudly disrespects #Vegas shooting victims,"Que canalha!
",0,2536
1850,newsmet,gemma3,prompt4,‘He drank the Kool-Aid’: Homeland Chief Kelly ripped for lying at his hearing — then pushing Trump agenda,Ele engoliu a cartilha.,0,2535
1950,newsmet,gemini,prompt4,Photogallery - The US needs another Deng Xiaoping in North Korea,"A Coreia do Norte precisa de um novo Deng Xiaoping.
",0,2535
1554,newsmet,gemini,prompt4,Man shot by Chicago police officer is awarded $$44.7 million,"A bala da lei rendeu 44,7 milhões de dólares.
",0,2534
1319,newsmet,gemma3,prompt4,"ISIS Has Lost Raqqa, Where Will It Go Next?","O Estado Islâmico perdeu Raqqa, para onde irá agora?",0,2534
1881,newsmet,gemini,prompt4,Baltimore Dept Switched Out Whistleblower Cop’s Partner The Day He Was Murdered With his Own Gun,"Em Baltimore, a polícia trocou o parceiro do policial denunciante no dia em que ele foi assassinado com a própria arma.
",0,2533
1278,newsmet,gemma3,prompt4,Taliban Say Top Leader’s Son Carried Out a Suicide Attack,"O filho do líder supremo selou seu destino em um ataque suicida.
",0,2533
2173,newsmet,gemma3,prompt4,"This is a Michigan story, or is it? We need more Guns in Bars , churches and schools.","Esta é uma história do Michigan, ou será? Precisamos de mais armas em bares, igrejas e escolas.",0,2532
1255,newsmet,gemma3,prompt4,Twitter reacts to Donald Trump Jr. posting proof he colluded with Russia,"Reações no Twitter ao Donald Trump Jr. postar provas de sua conluio com a Rússia:

*   ""A corda sumiu do canhão, e o show de marionetes está exposto.""
*   ""A ratoeira foi armada, e o rato saiu com a armadilha na boca.""
*   ""O castelo de areia desmoronou com a maré alta da verdade.""
*   ""A máscara caiu, revelando o palhaço por trás da maquiagem.""
*   ""O lobo esteve vestindo pele de ovelha por tempo demais.""
*   ""O poço secou, e a sede pela desculpa se intensificou.""
*   ""O vaso de Pandora foi aberto, e os problemas jorraram.""
*   ""A música parou, e a dança da decepção chegou ao fim.""
*   ""A teia se des",0,2531
1684,newsmet,gemini,prompt4,10 Ways My Wife And I Cut Our Grocery Bill By 75 Percent,"Aqui estão 10 maneiras de ""domar a fera"" da conta do supermercado, cortando-a em 75%:

1.  **Cortamos a garganta** do desperdício alimentar.
2.  **Cavamos fundo** nos cupons e promoções.
3.  **Fizemos uma faxina** no nosso cardápio, planejando as refeições como um general.
4.  **Demos um chega pra lá** nos supermercados caros.
5.  **Apostamos na colheita**, cultivando nossa própria horta.
6.  **Desvendamos os segredos** das compras a granel.
7.  **Enxugamos a gordura** das marcas e embalagens chiques.
8.  **Reinventamos a roda** com as sobras, transformando-as em banquetes.
9.  **Fizemos um pacto** com o freezer, estocando o que é bom e barato.
10. **Viramos a mesa** do consumismo impulsivo.
",0,2530
1145,newsmet,gemma3,prompt4,Top Lawyer Confirms ‘Poltergeist’ Child Actor Killed by Hollywood Pedophile Ring,Advogado de Destaque Confirma que Jovem Ator Assombrado por Fantasmas Morreu Vitimado por Rede de Predadores de Hollywood.,0,2530
