ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
He is attending a business meeting.,Ele está participando de uma reunião de negócios.,He is attending a business meeting.,1,1,2,76,121,388,1,590
cool as a cucumber,Frio como um pepino,Cool as a cucumber,1,44,3,43,328,243,41,703
He took the bus to work.,Ele pegou o ônibus para ir trabalhar.,He caught the bus to go to work.,21,44,105,403,454,106,1,1134
as easy as pie,tão fácil como tirar mel de uma colmeia,as easy as taking honey from a hive,32,44,262,657,602,377,294,2268
butterfly effect,Efeito Borboleta,Butterfly Effect,1,44,5,410,477,229,1,1167
They watched a TV show in the evening.,Eles assistiram a um programa de TV à noite.,They watched a TV program at night.,31,42,97,435,449,221,1,1276
She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,She is brushing her teeth before going to sleep.,17,22,136,420,391,75,1,1062
blown out of the water,derrubado da água,knocked out of the water,12,15,88,419,492,470,187,1683
He is feeding his pet hamster.,Ele está alimentando seu hamster de estimação.,He is feeding his pet hamster.,1,1,3,160,122,225,1,513
I like to drink coffee in the morning.,Eu gosto de beber café de manhã.,I like to drink coffee in the morning.,1,1,3,125,111,19,1,261
"another day, another dollar","mais um dia, mais um dólar","Another day, another dollar",1,15,3,291,146,49,1,506
actions speak louder than words,Ações falam mais alto do que palavras.,Actions speak louder than words.,1,26,100,55,249,20,1,452
climbing up the ladder,subindo a escada,going up the stairs,32,44,188,511,524,434,63,1796
early bird catches the worm,"Quem madruga, aproveita.","Who rises early, gains.",45,44,335,677,684,672,323,2780
She is baking cookies in the kitchen.,Ela está assando biscoitos na cozinha.,She is baking cookies in the kitchen.,1,1,5,130,174,403,68,782
bleeding heart,Coração sensível ou coração mole,Sensitive heart or soft heart,43,44,269,681,667,419,336,2459
She is cleaning the kitchen after dinner.,Ela está limpando a cozinha após o jantar.,She is cleaning the kitchen after dinner.,1,1,3,51,231,150,1,438
She is drinking water.,Ela está bebendo água.,She is drinking water.,1,1,3,94,38,12,1,150
They are having coffee at the café.,Eles estão tomando café no café.,They are having coffee at the coffee shop.,14,19,39,418,384,79,1,954
hard pill to swallow,pílula difícil de engolir,bitter pill to swallow,17,44,110,537,478,205,63,1454
a slap on the wrist,uma leve repreensão,a mild reprimand,44,44,321,547,677,306,97,2036
They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,They are visiting a museum this afternoon.,1,1,4,120,106,60,1,293
They are swimming at the pool.,Eles estão nadando na piscina.,They are swimming in the pool.,11,44,25,380,316,41,1,818
cat on a hot tin roof,gato em um telhado de zinco quente,cat on a hot tin roof,1,1,3,337,85,280,63,770
She is talking to her friend on the phone.,Ela está conversando com a amiga ao telefone.,She is talking with her friend on the phone.,8,16,8,379,308,17,1,737
He is walking his dog in the park.,Ele está caminhando com seu cachorro no parque.,He is walking with his dog in the park.,2,16,26,369,329,171,63,976
add fuel to the fire,acrescentar lenha à fogueira,add fuel to the fire,1,1,3,235,66,240,1,547
in hot water,em águas quentes,in hot water,1,44,2,345,6,440,63,901
boiling point,ponto de ebulição,Boiling point,1,44,3,348,245,43,1,685
beat a dead horse,bater em um cavalo morto,beat a dead horse,1,1,3,307,200,656,101,1269
blind alley,beco sem saída,Dead end,52,44,292,568,662,641,332,2591
cutting corners,Fazer economias às custas da qualidade,Cutting costs at the expense of quality,45,44,330,572,653,364,151,2159
actions speak louder than words,Ações falam mais alto do que palavras.,Actions speak louder than words.,1,26,100,55,249,20,1,452
chip on the shoulder,Peso na consciência,Weight on my conscience,44,44,331,620,670,365,286,2360
He washed his car yesterday.,Ele lavou o seu carro ontem.,He washed his car yesterday.,1,1,3,145,54,186,1,391
cold as ice,frio como gelo,cold as ice,1,44,3,107,9,329,1,494
He is attending a wedding.,Ele está participando de um casamento.,He is attending a wedding.,1,1,3,21,58,376,1,461
He is making a cup of coffee.,Ele está preparando uma xícara de café.,He is preparing a cup of coffee.,10,21,12,395,382,178,1,999
chasing shadows,perseguindo sombras,Chasing shadows,1,44,3,294,261,320,1,924
feast your eyes,Banqueteie seus olhos ou Delicie seus olhos,Feast your eyes or Delight your eyes,28,44,158,597,532,584,334,2277
a diamond in the rough,um diamante bruto,a rough diamond,32,44,190,543,538,252,218,1817
He is having breakfast with his family.,Ele está tomando o café da manhã com sua família.,He is having breakfast with his family.,1,1,3,83,96,255,1,440
blind as a bat,Cego como um morcego,Blind as a bat,1,44,3,177,381,600,147,1353
light at the end of the tunnel,luz no fim do túnel,light at the end of the tunnel,1,1,3,295,224,134,1,659
as old as the hills,tão velho quanto as montanhas,as old as the hills,1,1,3,188,19,372,28,612
break the ice,Quebrar o gelo,Break the ice,1,44,3,333,345,189,1,916
He went for a jog in the morning.,Ele foi correr de manhã.,He went running in the morning.,21,39,170,486,472,170,1,1359
finding your feet,encontrar seu rumo,find your way,40,44,230,534,548,361,241,1998
give someone a run for their money,dar a alguém um desafio difícil,to give someone a tough challenge,33,44,251,628,606,122,160,1844
have a bone to pick,ter uma queixa ou uma pendência a resolver,have a complaint or an issue to resolve,33,44,298,623,609,468,236,2311
barking up the wrong tree,Subindo a árvore errada,Barking up the wrong tree,1,15,3,50,332,623,215,1239
He enjoyed a cup of coffee in the morning.,Ele aproveitou uma xícara de café pela manhã.,He enjoyed a cup of coffee in the morning.,1,1,3,221,268,311,1,806
ball is in your court,A bola está com você,The ball is with you,36,44,232,596,464,245,148,1765
"blood, sweat, and tears","Sangue, suor e lágrimas","Blood, sweat and tears",1,44,32,397,180,6,1,661
going down in flames,descendo em chamas,going down in flames,1,1,3,33,36,555,92,721
break a leg,Quebra uma perna,Break a leg,1,44,3,356,175,357,63,999
The kids played in the playground.,As crianças brincaram no parquinho.,The children played in the playground.,11,17,15,308,289,378,1,1019
change of tune,mudança de tom ou mudança de discurso,tone shift or shift in discourse,52,44,310,579,597,266,157,2005
paint the town red,pintar a cidade de vermelho,to paint the town red,7,15,115,415,366,455,86,1459
burnt out,Queimado por dentro,Burned from the inside,52,44,273,501,533,411,79,1893
burning the midnight oil,Queimando a meia-noite de óleo ou Trabalhando até altas horas da noite,Burning the midnight oil,1,44,4,302,427,673,307,1758
come out of the woodwork,sair do armário,come out of the closet,12,15,238,531,585,332,269,1982
blessing in disguise,Bênção disfarçada,Blessing in disguise,1,44,3,319,429,237,63,1096
He is cutting vegetables for dinner.,Ele está cortando vegetais para o jantar.,He is cutting vegetables for dinner.,1,1,3,38,160,287,1,491
bigger than life,maior do que a vida,bigger than life,1,44,3,19,11,424,1,503
cast iron stomach,estômago de ferro fundido,cast-iron stomach,1,44,65,327,566,257,84,1344
arm and a leg,um braço e uma perna,an arm and a leg,7,15,58,461,444,85,76,1146
as hungry as a wolf,tão faminto como um lobo,as hungry as a wolf,1,1,3,13,88,412,188,706
They went for a swim at the pool.,Eles foram nadar na piscina.,They went swimming in the pool.,29,44,135,453,462,4,1,1128
blow a fuse,Queimar uma fusível,Blow a fuse,1,44,3,250,593,612,199,1702
He is drawing a picture of his dog.,Ele está desenhando uma imagem do seu cão.,He is drawing a picture of his dog.,1,1,3,265,159,264,1,694
bend over backwards,Inclinar-se ao extremo,Bend to the extreme,43,44,237,552,666,487,177,2206
any port in a storm,Qualquer porto em uma tempestade,Any port in a storm,1,15,3,309,318,374,1,1021
I met my friends for lunch.,Encontrei meus amigos para almoçar.,I met my friends for lunch.,1,1,3,209,57,259,1,531
bare bones,Osso nu ou estrutura básica,Bare bones or basic structure,29,44,189,592,591,581,165,2191
bottom of the totem pole,fundo da escala social,bottom of the social scale,28,44,279,632,632,397,152,2164
face the music,enfrentar a realidade,face reality,37,44,260,595,586,501,171,2194
chomping at the bit,mordendo o freio,champing at the bit,17,44,147,515,587,690,303,2303
on cloud nine,No sétimo céu,In seventh heaven,52,44,308,613,669,210,290,2186
between a rock and a hard place,Entre a cruz e a espada,Between the cross and the sword,41,44,283,680,661,286,331,2326
batten down the hatches,Abrir os portãs e preparar-se para o pior.,Open the gates and prepare for the worst.,50,44,328,610,629,465,304,2430
all ears,Tudo ouvidos,All ears,1,44,2,370,353,616,197,1583
a fly on the wall,uma mosca na parede,a fly on the wall,1,1,4,195,171,244,57,673
as sharp as a tack,tão afiado quanto um prego,as dull as a nail,28,44,163,609,636,640,359,2479
She bought a new phone last week.,Ela comprou um novo telefone na semana passada.,She bought a new phone last week.,1,1,4,157,62,3,1,229
don't put all your eggs in one basket,não coloque todos os seus ovos na mesma cesta,Don't put all your eggs in one basket,1,3,3,27,265,288,18,605
bottom of the barrel,fundo do barril,bottom of the barrel,1,1,3,5,283,375,1,669
carrying the weight of the world,carregando o peso do mundo,carrying the weight of the world,1,1,2,232,229,467,1,933
cogs in the machine,engrenagens da máquina,gears of the machine,32,44,221,551,594,247,182,1871
I am traveling to the mountains this weekend.,Estou viajando para as montanhas este fim de semana.,I'm traveling to the mountains this weekend.,9,9,48,313,296,196,1,872
They watched a movie on the weekend.,Eles assistiram a um filme no fim de semana.,They watched a movie over the weekend.,10,27,42,422,343,52,1,897
blowing off steam,desencanando,unplugging,52,44,326,626,674,606,326,2654
face the music,enfrentar as consequências,to face the consequences,29,44,275,631,595,479,219,2272
a heart of gold,um coração de ouro,a heart of gold,1,1,3,261,70,117,43,496
caught in a web,preso em uma teia,caught in a web,1,1,3,306,235,445,51,1042
She made a salad for lunch.,Ela fez uma salada para o almoço.,She made a salad for lunch.,1,1,2,212,104,8,1,329
mind over matter,Mente sobre matéria,Mind over matter,1,44,2,282,364,474,48,1215
as good as done,tanto feito,so much done,43,44,300,601,589,452,283,2312
a voice in the wilderness,uma voz no deserto,a voice in the wilderness,1,1,3,325,221,274,1,826
He went to the gym to lift weights.,Ele foi à academia para levantar pesos.,He went to the gym to lift weights.,1,1,3,253,242,238,1,739
another one bites the dust,mais um cai na poeira,another one bites the dust,1,1,3,53,244,557,208,1067
curiosity killed the cat,A curiosidade matou o gato,Curiosity killed the cat,1,44,3,64,430,162,1,705
by leaps and bounds,De grandes saltos,Of great leaps,43,44,271,604,608,607,275,2452
They are practicing their dance routine.,Eles estão praticando a rotina de dança.,They are practicing the dance routine.,11,44,33,406,347,471,1,1313
honest as the day is long,tão honesto quanto o dia é longo,as honest as the day is long,4,5,91,330,440,438,87,1395
butter wouldn’t melt in their mouth,manteiga não derreteria na sua boca,Butter wouldn't melt in her mouth,10,44,148,496,496,391,229,1814
be in hot water,estar em apuros,to be in trouble,32,44,278,655,678,538,301,2526
by the seat of your pants,pela calça,by the pants,24,44,222,520,584,635,285,2314
comfort zone,zona de conforto,comfort zone,1,44,3,358,4,322,1,733
give the green light,dar sinal verde,give the green light,1,1,3,288,48,436,71,848
fingers crossed,Mantendo os dedos cruzados,Keeping my fingers crossed,24,44,225,493,404,139,16,1345
He went to the airport to catch a flight.,Ele foi para o aeroporto para pegar um voo.,He went to the airport to catch a flight.,1,1,3,229,263,228,1,726
as mad as a hatter,louco como um chapéu de palha,mad as a hatter,7,6,124,473,527,692,244,2073
cracking the whip,dar o golpe de misericórdia,to deal the finishing blow,44,44,293,640,644,659,329,2653
He is reading a newspaper.,Ele está lendo um jornal.,He is reading a newspaper.,1,1,3,149,136,9,1,300
as easy as shooting fish in a barrel,tão fácil quanto atirar em peixes dentro de um barril,as easy as shooting fish in a barrel,1,1,4,72,271,341,37,727
He is taking photos with his camera.,Ele está tirando fotos com sua câmera.,He is taking pictures with his camera.,10,27,6,311,256,371,1,982
ants in your pants,formigas nas calças,ants in the pants,17,44,162,492,509,586,155,1965
He is cleaning the windows.,Ele está limpando as janelas.,He is cleaning the windows.,1,1,3,93,232,429,35,794
clean bill of health,Atestado de boa saúde,Certificate of Good Health,32,44,291,536,553,232,193,1881
cold feet,Pés frios,Cold feet,1,44,4,362,359,153,60,983
burn bridges,Queimar pontes,Burn bridges,1,44,3,371,354,23,1,797
cat's out of the bag,o gato saiu da bolsa,The cat is out of the bag,16,37,137,402,473,346,1,1412
bury your head in the sand,Enterrar a cabeça na areia,Bury one's head in the sand,16,26,180,449,508,304,113,1596
He read a book before bed.,Ele leu um livro antes de dormir.,He read a book before sleeping.,11,17,73,365,352,121,1,940
bridge the gap,Preencher a lacuna,Fill the gap,24,44,216,503,490,595,63,1935
He went to the doctor for a check-up.,Ele foi ao médico para uma consulta.,He went to the doctor for an appointment.,22,19,131,498,494,331,63,1558
She is watching the sunset from the balcony.,Ela está vendo o pôr do sol do balcão.,She's watching the sunset from the balcony.,9,9,31,335,387,583,20,1374
blessing in disguise,uma bênção disfarçada,a blessing in disguise,10,44,113,352,360,269,1,1149
a penny for your thoughts,Um centavo pelos seus pensamentos,A penny for your thoughts,1,15,2,99,288,95,1,501
He is playing the guitar in the living room.,Ele está tocando violão na sala de estar.,He is playing the guitar in the living room.,1,1,3,185,194,172,1,557
He is sitting on the chair.,Ele está sentado na cadeira.,He is sitting in the chair.,11,44,20,360,413,283,1,1132
come hell or high water,"quer chova ou faça sol, ou venha o que vier","Rain or shine, come what may",49,44,282,650,692,498,345,2560
I went to the beach for vacation.,Eu fui à praia de férias.,I went to the beach on vacation.,10,21,38,384,338,116,1,908
as cool as a cucumber,tão calmo quanto um pepino,as cool as a cucumber,1,1,3,26,185,290,53,559
break the ice,Quebrar o gelo,Break the ice,1,44,3,333,345,189,1,916
at the end of the day,no final do dia,at the end of the day,1,1,4,275,272,675,56,1284
can't see the forest for the trees,não ver a floresta por causa das árvores,can't see the wood for the trees,9,44,54,491,519,580,350,2047
He is doing his homework in the study room.,Ele está fazendo o dever de casa na sala de estudo.,He is doing his homework in the study room.,1,1,3,102,197,145,1,450
They planted flowers in the garden.,Eles plantaram flores no jardim.,They planted flowers in the garden.,1,1,3,248,158,15,1,427
They are making pizza together.,Eles estão fazendo pizza juntos.,They are making pizza together.,1,1,3,69,25,177,1,277
blown out of proportion,levado às últimas consequências,taken to its logical conclusion,52,44,341,584,660,523,292,2496
hand in glove,mão na luva,glove in hand,40,44,217,434,479,564,132,1910
birds of a feather flock together,"Pássaros de 同o pena se reúnem juntos, porém é mais comum a expressão ""Quem com quem se anda, com quem se casa""","Birds of a feather flock together, however it's more common the expression ""Tell me who you hang with, and I'll tell you who you are"" or ""Who you walk with, you will marry"".",42,43,285,639,700,653,371,2733
get out of hand,saír do controle,get out of control,17,44,201,514,439,351,63,1629
He called his parents yesterday.,Ele ligou para os pais ontem.,He called his parents yesterday.,1,1,5,224,81,190,1,503
He wrote a letter to his friend.,Ele escreveu uma carta para o seu amigo.,He wrote a letter to his friend.,1,1,3,266,182,27,1,481
She danced at the party last night.,Ela dançou na festa ontem à noite.,She danced at the party last night.,1,1,3,234,167,234,1,641
close to home,perto de casa,Near home,37,44,151,408,520,345,63,1568
"if you can't stand the heat, get out of the kitchen","Se você não aguenta o calor, saia da cozinha.","If you can't stand the heat, get out of the kitchen.",1,4,27,58,340,147,1,578
between the devil and the deep blue sea,Entre a cruz e a espada,Between the cross and the sword,29,44,256,679,668,286,364,2326
get cold feet,ficar com medo de última hora,get cold feet,1,44,2,328,102,689,266,1432
fish out of water,peixe fora d'água,fish out of water,1,1,4,183,56,192,1,438
over the moon,Sobre a lua,About the moon,24,44,198,600,503,123,63,1555
once in a blue moon,Uma vez na lua azul,Once in a blue moon,1,15,3,292,278,480,23,1092
chip off the old block,Um pedaço do velho bloco,A piece of the old block,30,44,206,578,561,482,122,2023
break the mold,quebrar o molde,break the mold,1,44,3,339,14,390,1,792
ace in the hole,trunfo na manga,trump card,52,44,325,557,680,651,370,2679
She is gardening in the backyard.,Ela está fazendo jardinagem no quintal.,She is doing gardening in the backyard.,4,21,35,354,335,127,1,877
blind as a bat,ciego como um morcego,blind as a bat,1,1,3,177,161,589,173,1105
call it a day,dar por encerrado o dia,call it a day,1,1,3,35,110,539,1,690
calm before the storm,calma antes da tempestade,Calm before the storm,1,44,3,105,355,285,63,856
He attended a wedding last weekend.,Ele participou de um casamento no fim de semana passado.,He attended a wedding over the past weekend.,21,40,132,474,351,359,1,1378
chill to the bone,gelar até os ossos,freezing to the bone,17,44,133,279,531,638,254,1896
broad strokes,pinceladas gerais,broad brushstrokes,32,44,270,535,614,660,309,2464
She is listening to music while cooking.,Ela está ouvindo música enquanto cozinha.,She is listening to music while she cooks.,14,19,59,338,346,28,1,805
blind as a bat,cego como uma toupeira,blind as a bat,1,1,3,177,210,587,161,1140
all thumbs,todo dedos,all fingers,32,44,215,469,630,313,324,2027
chip on your shoulder,Um peso nas costas,A weight on one's back,48,44,302,615,633,389,251,2282
chase rainbows,Perseguir arco-íris,Chasing rainbows,32,44,139,404,441,488,1,1549
"hope for the best, prepare for the worst","Esperar o melhor, preparar-se para o pior","Hope for the best, prepare for the worst.",1,7,44,113,303,222,1,691
get a grip,Pegue o controle da situação,Take control of the situation,52,44,327,545,544,262,217,1991
finger on the pulse,dedo no pulso,finger on the pulse,1,1,3,240,144,350,192,931
ball of fire,bola de fogo,ball of fire,1,44,3,299,45,316,42,750
He is making tea in the kitchen.,Ele está fazendo chá na cozinha.,He is making tea in the kitchen.,1,1,4,114,149,98,1,368
bite your lip,Morda o seu lábio,Bite your lip,1,44,3,361,236,459,190,1294
live in a glass house,Viver em uma casa de vidro,Living in a glass house,12,15,82,426,397,152,1,1085
into thin air,no ar rarefeito,in the rarefied air,43,44,252,583,658,462,185,2227
don’t cry over spilled milk,não chore sobre o leite derramado,don't cry over spilled milk,1,15,107,180,282,324,1,910
don't count your chickens before they hatch,Não conte com os ovos antes de eles nascerem,Don't count your chickens before they hatch.,1,13,60,115,365,381,1,936
close to my heart,próximo ao meu coração,close to my heart,1,1,3,12,91,423,1,532
He went fishing with his friends.,Ele foi pescar com seus amigos.,He went fishing with his friends.,1,1,3,252,112,112,1,482
as clear as mud,tão claro quanto lama,as clear as mud,1,1,3,44,18,370,17,454
be a fly on the wall,Ser uma mosca na parede,To be a fly on the wall,4,5,77,413,457,444,223,1623
changing gears,mudando de marcha ou trocando de marcha,shifting gear or changing gear,43,44,207,527,505,609,179,2114
call it quits,Desistir ou abandonar,Desist ou abandonar é traduzido para Give up or abandon em inglês,52,44,346,645,640,686,341,2754
bottom line,o resultado final,the final result,52,44,336,560,551,270,94,1907
bet the farm,Arriscar tudo,Risk everything,52,44,318,629,611,281,340,2275
as free as a bird,livre como um pássaro,Free as a bird,7,44,150,433,378,183,107,1302
flying by the seat of your pants,voando pela brisa das calças,flying by the seat of one's pants,14,17,146,468,525,645,281,2096
chasing your tail,Correr atrás do próprio rabo,Chase one's own tail,44,44,258,530,558,499,245,2178
She plays the piano beautifully.,Ela toca piano lindamente.,She plays the piano beautifully.,1,1,4,198,75,45,1,325
heart of stone,Coração de pedra,Heart of stone,1,44,3,329,356,107,1,841
They are going to the cinema tonight.,Eles vão ao cinema hoje à noite.,They are going to the movies tonight.,10,21,79,421,304,214,1,1050
a taste of your own medicine,um gostinho da sua própria medicina,a taste of one's own medicine,16,44,153,437,408,425,1,1484
break the ice,Quebrar o gelo,Break the ice,1,44,3,333,345,189,1,916
cloud of suspicion,Nuvem de suspeita,Cloud of suspicion,1,44,3,316,257,5,1,627
diamond in the rough,uma joia bruta,a rough gem,43,44,276,565,599,622,260,2409
beat the clock,bater o relógio,beat the clock,1,44,2,40,137,576,64,864
He is repairing the broken chair.,Ele está consertando a cadeira quebrada.,He is fixing the broken chair.,11,28,14,376,380,212,1,1022
She is watching a movie at the theater.,Ela está assistindo a um filme no cinema.,She is watching a movie at the cinema.,9,8,17,428,348,96,1,907
a penny saved is a penny earned,um centavo economizado é um centavo ganho,a penny saved is a penny earned,1,1,1,122,115,223,125,588
He cleaned the garage on Saturday.,Ele limpou a garagem no sábado.,He cleaned the garage on Saturday.,1,1,2,135,211,559,1,910
a fish out of water,um peixe fora d'água,a fish out of water,1,1,3,90,162,138,1,396
down to earth,Pé no chão,Both feet on the ground,52,44,352,617,650,460,293,2468
happy as a clam,Feliz como uma ostra,Happy as a clam,1,44,3,75,371,503,104,1101
He visited the museum with his class.,Ele visitou o museu com sua turma.,He visited the museum with his class.,1,1,4,274,225,202,1,708
I visited my parents last weekend.,Eu visitei meus pais no último fim de semana.,I visited my parents over the last weekend.,10,35,89,487,322,70,1,1014
by the skin of your teeth,por um fio de cabelo,by a hair's breadth,49,44,303,612,689,588,276,2561
crack the code,decifrar o código,decode the code,24,44,223,482,442,349,63,1627
He watched a football match on TV.,Ele assistiu a uma partida de futebol na TV.,He watched a soccer match on TV.,10,27,11,484,310,169,1,1012
climbing the corporate ladder,subindo a escada corporativa,Climbing the corporate ladder,1,44,3,141,388,265,63,905
all in the same boat,todos no mesmo barco,all in the same boat,1,1,4,178,27,249,1,461
cold feet,Pés frios,Cold feet,1,44,4,362,359,153,60,983
a mountain to climb,uma montanha para escalar,a mountain to climb,1,1,2,205,28,439,1,677
break the back of it,quebrar as costas disso,break one's back over it,30,44,246,619,646,655,327,2567
blowing off steam,desabafando,venting,52,44,268,581,654,634,354,2587
cook up a storm,cozinhar uma tempestade,cook up a storm,1,1,3,301,79,536,66,987
dead in the water,morta na água,dead in the water,1,1,3,247,16,197,4,469
bite the big one,morder o bolo,take the bait,43,44,290,633,643,691,363,2707
buy a lemon,comprar um limão,to buy a lemon,10,44,122,466,379,30,63,1114
get a second wind,ganhar um segundo fôlego,get a second wind,1,1,3,298,220,525,119,1167
He is working on his laptop.,Ele está trabalhando no seu laptop.,He is working on his laptop.,1,1,4,236,34,201,1,478
clear as mud,claro como água turva,clear as muddy water,29,44,169,480,420,500,162,1804
different strokes for different folks,Gostos diferentes para pessoas diferentes,Different strokes for different folks,1,15,3,37,273,574,118,1021
