ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
They went for a swim at the pool.,Eles foram se refrescar na piscina.,They went to cool off in the pool.,0,46,62,280,430,401,74,35,1328
blow a fuse,perder a cabeça,lose one's head,1,68,62,476,610,666,400,420,2702
He is drawing a picture of his dog.,Ele está retratando seu cão.,He is painting his dog.,0,36,62,168,448,360,188,126,1388
bend over backwards,dar o máximo de si,give your all,1,68,62,525,690,679,468,493,2985
any port in a storm,qualquer porto em uma tempestade,any port in a storm,1,1,1,3,160,95,244,1,505
I met my friends for lunch.,Encontrei meus amigos para almoçar.,I met my friends for lunch.,0,1,1,3,105,49,174,15,348
bare bones,osso do ofício,the bone of the trade,1,68,62,425,654,661,469,535,2874
bottom of the totem pole,no fundo da hierarquia,at the bottom of the pecking order,1,46,62,426,626,560,255,297,2272
face the music,Encarar a realidade.,Face the music.,1,1,62,222,55,283,688,59,1370
chomping at the bit,ansioso para agir,eager to spring into action,1,68,62,502,629,610,406,324,2601
on cloud nine,nas nuvens,on cloud nine,1,1,62,3,185,28,615,353,1247
between a rock and a hard place,estar entre a cruz e a espada,to be caught between a rock and a hard place,1,16,18,177,420,391,563,426,2011
batten down the hatches,Fechar a tampa.,Put a lid on it.,1,68,62,492,501,599,492,471,2685
all ears,com os ouvidos atentos,with keen ears,1,53,62,368,527,532,561,446,2549
a fly on the wall,mosca na parede,fly on the wall,1,8,6,190,366,355,500,464,1889
as sharp as a tack,afiado como uma faca.,sharp as a tack.,1,8,13,308,255,251,331,284,1450
She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,She got herself a shiny new phone last week.,0,24,42,79,343,297,117,99,1001
don't put all your eggs in one basket,Não coloque todos os seus ovos em uma única cesta.,Don't put all your eggs in one basket.,1,1,10,35,13,168,150,65,442
bottom of the barrel,no fundo do poço,bottom of the barrel,1,1,1,3,2,150,528,155,840
carrying the weight of the world,carregar o peso do mundo,carry the weight of the world,1,13,7,14,250,228,463,140,1115
cogs in the machine,peças na engrenagem,cogs in the machine,1,1,1,3,128,107,366,108,714
I am traveling to the mountains this weekend.,Vou subir a serra neste fim de semana.,I'm going to head to the hills this weekend.,0,43,62,225,357,386,516,335,1924
They watched a movie on the weekend.,Eles assistiram a um filme no fim de semana.,They watched a movie over the weekend.,0,11,33,29,253,189,13,1,529
blowing off steam,soltar a pressão,let off steam,1,31,62,227,407,524,473,407,2131
face the music,Encarar a realidade.,Face the music.,1,1,62,222,55,283,688,59,1370
a heart of gold,coração de ouro,heart of gold,1,11,62,187,326,263,230,63,1142
caught in a web,pegos em uma teia,caught in a web,1,1,1,3,156,136,362,104,763
She made a salad for lunch.,Ela preparou uma salada para o almoço.,She whipped up a salad for lunch.,0,23,25,71,277,316,65,235,1012
mind over matter,A mente sobre a matéria.,Mind over matter.,1,1,62,158,162,222,437,67,1109
as good as done,praticamente feito,pretty much done,1,57,62,431,469,465,198,29,1711
a voice in the wilderness,uma voz que clama no deserto,a voice crying in the wilderness,1,6,62,99,419,342,190,196,1314
He went to the gym to lift weights.,Ele foi à academia para malhar.,He hit the gym to work out.,0,45,62,290,412,486,163,219,1677
another one bites the dust,Mais um caiu.,Another one bites the dust.,1,1,32,65,15,257,627,280,1277
curiosity killed the cat,A curiosidade matou o gato.,Curiosity killed the cat.,1,1,62,127,59,267,30,1,547
by leaps and bounds,a passos largos,by leaps and bounds,1,1,1,4,10,138,640,209,1003
They are practicing their dance routine.,Eles estão ensaiando sua coreografia.,They are rehearsing their choreography.,0,44,62,230,387,337,129,24,1213
honest as the day is long,honesto como um dia que não tem fim,honest as a never-ending day,1,46,62,365,471,488,282,352,2066
butter wouldn’t melt in their mouth,"parece um anjo, mas é uma serpente.","""Looks like an angel, but is a serpent.""",1,68,62,549,689,672,11,563,2614
be in hot water,estar encrencado,to be in hot water,1,8,13,116,202,341,537,236,1453
by the seat of your pants,na intuição,in the gut,1,61,62,436,602,660,682,568,3071
comfort zone,zona de conforto,comfort zone,1,1,62,3,200,5,283,1,555
give the green light,dar a luz verde,give the green light,1,1,1,3,145,37,394,12,593
fingers crossed,Dedos cruzados.,Fingers crossed.,1,1,62,226,5,149,46,14,503
He went to the airport to catch a flight.,Ele foi ao aeroporto para pegar um voo.,He went to the airport to catch a flight.,0,1,1,3,117,134,155,1,412
as mad as a hatter,maluco de pedra,stone crazy,1,68,62,537,666,643,569,556,3101
cracking the whip,puxar as rédeas,to rein in,1,68,62,515,664,676,608,540,3133
He is reading a newspaper.,Ele está folheando um jornal.,He is flipping through a newspaper.,0,27,62,140,279,402,80,107,1097
as easy as shooting fish in a barrel,mais fácil que tirar doce de criança,easier than taking candy from a baby,1,67,62,399,658,604,432,506,2728
He is taking photos with his camera.,Ele está capturando momentos com sua câmera.,He is capturing moments with his lens.,0,42,62,210,349,433,324,154,1574
ants in your pants,Inquietação.,Restlessness.,1,68,62,558,541,685,301,551,2766
He is cleaning the windows.,Ele está limpando os horizontes.,He is clearing the horizons.,0,38,62,293,576,567,581,369,2486
clean bill of health,atestado de saúde impecável,clean bill of health,1,1,1,4,114,35,380,174,709
cold feet,pé atrás,a backfoot,1,68,62,449,674,606,677,549,3085
burn bridges,queimar pontes,burn bridges,1,1,62,5,205,120,60,70,523
cat's out of the bag,O segredo foi revelado.,The secret has been unveiled.,1,64,62,538,623,579,53,367,2286
bury your head in the sand,enterrar a cabeça na areia,to bury one's head in the sand,1,28,41,295,284,395,337,253,1633
He read a book before bed.,Ele mergulhou em um livro antes de dormir.,He dove into a book before bedtime.,0,37,62,245,531,388,454,451,2168
bridge the gap,cobrir a lacuna,bridge the gap,1,1,62,3,116,142,248,1,573
He went to the doctor for a check-up.,Ele foi ao médico para uma consulta.,He went to see the doctor for a check-up.,0,2,15,39,178,184,254,1,673
She is watching the sunset from the balcony.,Ela está contemplando o pôr do sol da sacada.,She is gazing at the sunset from the balcony.,0,15,24,38,228,247,405,130,1087
blessing in disguise,Uma benção disfarçada.,A hidden blessing.,1,55,62,435,495,460,92,1,1600
a penny for your thoughts,Um real por seus pensamentos.,A dollar for your thoughts.,1,17,62,215,48,406,220,256,1224
He is playing the guitar in the living room.,Ele está dedilhando a guitarra na sala de estar.,He's strumming the guitar in the living room.,0,20,16,170,360,331,271,212,1380
He is sitting on the chair.,Ele está sentado na cadeira.,He is seated in the chair.,0,31,62,117,214,312,225,13,974
come hell or high water,A qualquer custo.,At any cost.,1,68,62,554,616,662,99,500,2561
I went to the beach for vacation.,Fui à praia para relaxar.,I went to the beach to unwind.,0,28,25,266,506,343,48,16,1232
as cool as a cucumber,tranquilo como um pepino,cool as a cucumber,1,8,6,164,244,245,172,296,1135
break the ice,quebrar o gelo,break the ice,1,1,62,3,182,98,208,70,624
at the end of the day,No fim das contas.,In the end.,1,50,62,441,564,491,478,289,2375
can't see the forest for the trees,não vê a floresta pelas árvores,can’t see the forest for the trees,1,1,4,53,199,139,446,153,995
He is doing his homework in the study room.,Ele está fazendo seu dever de casa no escritório.,He's doing his homework at the office.,0,39,62,212,427,354,113,268,1475
They planted flowers in the garden.,Eles semearam flores no jardim.,They planted flowers in the garden.,0,1,1,3,125,86,14,19,249
They are making pizza together.,Eles estão se unindo para criar algo especial.,They are coming together to forge something extraordinary.,0,48,62,371,580,548,253,437,2299
blown out of proportion,exagerado,exaggerated,1,68,62,472,444,523,486,292,2347
hand in glove,mão na luva,a perfect fit,1,68,62,543,600,642,678,469,3062
birds of a feather flock together,Pássaros da mesma plumagem voam juntos.,Birds of a feather flock together.,1,1,19,76,167,370,402,366,1401
get out of hand,sair do controle,slip out of hand,1,24,62,238,383,293,521,395,1916
He called his parents yesterday.,Ele entrou em contato com os pais ontem.,He reached out to his parents yesterday.,0,31,48,271,324,322,145,1,1142
He wrote a letter to his friend.,Ele escreveu uma carta para o amigo.,He penned a letter to the friend.,0,28,62,74,282,260,156,136,998
She danced at the party last night.,Ela dançou na festa na noite passada.,She danced at the party last night.,0,1,1,3,120,79,189,1,394
close to home,perto do coração,close to the heart,1,41,62,349,575,469,399,250,2145
"if you can't stand the heat, get out of the kitchen","Se você não aguenta a pressão, saia da cozinha.","If you can't take the heat, get out of the kitchen.",1,5,20,72,305,284,488,100,1274
between the devil and the deep blue sea,entre a cruz e a espada,between a rock and a hard place,1,58,62,395,679,665,684,534,3077
get cold feet,ter um pé atrás,to have reservations,1,68,62,466,651,683,634,520,3084
fish out of water,fora do seu elemento,out of your element,1,46,62,429,632,544,481,474,2668
over the moon,nas nuvens,in the clouds,1,55,62,364,548,585,497,408,2519
once in a blue moon,uma vez na vida,once in a lifetime,1,32,62,401,639,481,247,255,2117
chip off the old block,canto da mesma pedra,a stone's throw away,1,68,62,486,594,695,660,505,3070
break the mold,quebrar o molde,break the mold,1,1,62,3,188,17,329,1,601
ace in the hole,trunfo na manga,ace up one's sleeve,1,60,62,455,584,669,666,525,3021
She is gardening in the backyard.,Ela está cultivando vida no quintal.,She is nurturing life in the garden.,0,37,62,292,518,528,404,334,2175
blind as a bat,cego como um morcego,Blind as a bat.,1,1,62,141,4,304,623,175,1310
call it a day,dar um tempo,take a break,1,57,62,433,634,483,465,139,2273
calm before the storm,a calmaria antes da tempestade,the calm before the storm,1,8,13,83,233,141,214,135,827
He attended a wedding last weekend.,Ele foi a um casamento no último fim de semana.,He attended a wedding last weekend.,0,1,1,3,70,41,210,1,327
chill to the bone,gelar até os ossos,freeze to the bone,1,24,62,145,425,454,552,333,1995
broad strokes,traços amplos,broad strokes,1,1,62,2,186,21,579,243,1094
She is listening to music while cooking.,Ela está ouvindo música enquanto cozinha.,She's stirring the pot to the beat of the music.,0,56,62,381,488,547,363,294,2191
blind as a bat,cego como um morcego,blind as a bat,1,1,1,3,92,105,574,186,962
all thumbs,ter dois pés esquerdos,have two left feet,1,68,62,523,603,655,128,562,2601
chip on your shoulder,carregar um peso nas costas,to carry a burden on one's back,1,66,62,479,552,631,213,316,2319
chase rainbows,perseguir ilusões,chasing illusions,1,68,62,383,507,494,417,345,2276
"hope for the best, prepare for the worst","Esperar pelo melhor, preparar-se para o pior.","Hope for the best, prepare for the worst.",1,1,7,30,61,162,68,1,330
get a grip,Tenha firmeza.,Stand strong.,1,68,62,510,517,510,534,491,2692
finger on the pulse,ter o dedo na ferida,to touch a sore spot,1,68,62,443,630,620,602,530,2955
ball of fire,bola de fogo,fireball,1,68,62,412,344,347,286,291,1810
He is making tea in the kitchen.,Ele está preparando um chá na cozinha.,He's brewing a tea in the kitchen.,0,31,30,121,364,275,124,123,1068
bite your lip,morder a língua,bite one's tongue,1,57,62,389,399,518,553,245,2223
live in a glass house,Viver em uma casa de vidro.,Living in a glass house.,1,17,32,254,258,280,19,1,861
into thin air,No ar.,In the air.,1,55,62,410,513,575,636,473,2724
don’t cry over spilled milk,Não adianta chorar sobre o leite derramado.,There's no use crying over spilled milk.,1,51,62,363,338,346,261,177,1598
don't count your chickens before they hatch,Não conte com o ovo antes da galinha ter saído.,Don't count your chickens before they hatch.,1,1,12,48,62,204,410,131,868
close to my heart,perto do meu coração,close to my heart,1,1,1,3,9,56,368,1,439
He went fishing with his friends.,Ele foi pescar com os amigos.,He went fishing with his friends.,0,1,1,3,127,68,75,1,276
as clear as mud,claro como lama,clear as mud,1,11,62,201,223,132,287,33,949
be a fly on the wall,ser uma mosca na parede,to be a fly on the wall,1,4,4,67,242,321,317,301,1256
changing gears,mudar de marcha,shift gears,1,46,62,269,342,375,551,225,1870
call it quits,dar um tempo,take a break,1,68,62,487,500,495,465,321,2398
bottom line,A essência da questão.,The heart of the matter.,1,68,62,545,534,574,193,403,2379
bet the farm,apostar tudo,go all in,1,68,62,495,633,645,395,459,2757
as free as a bird,livre como um pássaro,free as a bird,1,8,6,204,262,203,142,165,990
flying by the seat of your pants,nas coxas.,half-baked,1,68,62,556,683,702,662,569,3302
chasing your tail,correndo em círculos,running in circles,1,68,62,464,465,616,347,481,2503
She plays the piano beautifully.,Ela toca piano com maestria.,She plays the piano with mastery.,0,27,41,160,271,306,125,1,931
heart of stone,coração de pedra,heart of stone,1,1,62,3,174,74,135,1,450
They are going to the cinema tonight.,Eles vão ao cinema esta noite.,They're hitting the silver screen tonight.,0,51,62,321,424,526,369,374,2127
a taste of your own medicine,Provar do próprio veneno.,To taste one's own medicine.,1,46,62,359,345,458,384,142,1796
break the ice,quebrar o gelo,break the ice,1,1,62,3,182,98,208,70,624
cloud of suspicion,nuvem de suspeita,cloud of suspicion,1,1,62,4,165,47,49,1,329
diamond in the rough,gema bruta,rough diamond,1,55,62,377,512,411,617,466,2500
beat the clock,vencer o tempo,beat the clock,1,1,62,2,31,121,307,210,734
He is repairing the broken chair.,Ele está consertando a cadeira quebrada.,He is fixing the broken chair.,0,13,34,11,209,226,137,1,631
She is watching a movie at the theater.,Ela está assistindo a um filme no cinema.,She is watching a movie in the theater.,0,10,21,8,213,154,111,1,518
a penny saved is a penny earned,Um centavo guardado é um centavo ganho.,A penny saved is a penny earned.,1,1,12,21,119,163,21,278,615
He cleaned the garage on Saturday.,Ele limpou a bagunça no sábado.,He cleared up the mess on Saturday.,0,37,62,282,406,407,541,386,2121
a fish out of water,peixe fora d'água,a fish out of water,1,1,1,3,51,93,187,1,337
down to earth,pé no chão,down to earth,1,1,62,3,60,27,434,119,706
happy as a clam,feliz como um peixe na água,happy as a clam,1,1,1,3,42,73,639,189,948
He visited the museum with his class.,Ele visitou o museu com sua turma.,He visited the museum with his crew.,0,11,11,133,460,385,263,427,1690
I visited my parents last weekend.,Eu fui visitar meus pais no último fim de semana.,I went to see my folks last weekend.,0,41,62,217,309,325,233,206,1393
by the skin of your teeth,por um fio,by a thread,1,61,62,445,619,692,603,559,3041
crack the code,decifrar o enigma,unravel the riddle,1,55,62,390,498,522,153,95,1775
He watched a football match on TV.,Ele assistiu a um jogo de futebol na TV.,He watched a football match on TV.,0,1,1,3,104,34,79,1,223
climbing the corporate ladder,subir na vida corporativa,climb the corporate ladder,1,24,62,18,235,182,527,234,1282
all in the same boat,Todos no mesmo barco.,We're all in the same boat.,1,14,19,336,232,264,7,1,873
cold feet,arrepios,chills,1,68,62,430,487,593,520,455,2615
a mountain to climb,uma montanha a escalar,a mountain to climb,1,1,1,2,101,33,341,21,500
break the back of it,quebrar a espinha do problema,break the back of the problem,1,27,32,311,369,487,549,343,2118
blowing off steam,desabafar,venting,1,68,62,393,516,603,522,495,2659
cook up a storm,preparar um banquete,to prepare a feast,1,59,62,394,615,529,459,336,2454
dead in the water,morto na água,dead in the water,1,1,1,3,124,16,169,83,397
bite the big one,dar o último suspiro,take the last breath,1,59,62,497,652,600,357,554,2781
